,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Pegboard Nerds, Downhearted ,ft. Jonny Rose,0.0389,https://api.spotify.com/v1/audio-analysis/6o2PbdLKJvEHr4VMxjuREK,4B,0.591,210038.0,0.847,6o2PbdLKJvEHr4VMxjuREK,6.25e-06,8.0,0.0811,-4.007,1.0,0.046,120.039,4.0,https://api.spotify.com/v1/tracks/6o2PbdLKJvEHr4VMxjuREK,audio_features,spotify:track:6o2PbdLKJvEHr4VMxjuREK,0.33
1,Stonebank, Finally,unknown,0.0526,https://api.spotify.com/v1/audio-analysis/1sfFFQQWSscbvg2Z7brU4L,6A,0.652,214843.0,0.974,1sfFFQQWSscbvg2Z7brU4L,0.225,7.0,0.355,-1.376,0.0,0.14,123.996,4.0,https://api.spotify.com/v1/tracks/1sfFFQQWSscbvg2Z7brU4L,audio_features,spotify:track:1sfFFQQWSscbvg2Z7brU4L,0.217
2,Tokyo Machine, PARTY,unknown,0.00461,https://api.spotify.com/v1/audio-analysis/3ctALRkR72C3EKav4HgePA,9B,0.765,219375.0,0.925,3ctALRkR72C3EKav4HgePA,0.224,7.0,0.343,-4.221,1.0,0.0965,127.953,4.0,https://api.spotify.com/v1/tracks/3ctALRkR72C3EKav4HgePA,audio_features,spotify:track:3ctALRkR72C3EKav4HgePA,0.505
3,Stephen Walking," Wake Up, The House Is Underwater!",unknown,0.000355,https://api.spotify.com/v1/audio-analysis/4B9IdFsStXBW8qA8WWZuQE,8A,0.724,191999.0,0.984,4B9IdFsStXBW8qA8WWZuQE,0.0166,9.0,0.224,-3.656,0.0,0.105,120.021,4.0,https://api.spotify.com/v1/tracks/4B9IdFsStXBW8qA8WWZuQE,audio_features,spotify:track:4B9IdFsStXBW8qA8WWZuQE,0.606
4,Au5 Fractal, Dreaming,unknown,0.0161,https://api.spotify.com/v1/audio-analysis/2cvzdxUcNhyCmiuFfmk5Qh,6B,0.627,333750.0,0.801,2cvzdxUcNhyCmiuFfmk5Qh,0.0233,10.0,0.139,-6.977,1.0,0.0545,128.013,4.0,https://api.spotify.com/v1/tracks/2cvzdxUcNhyCmiuFfmk5Qh,audio_features,spotify:track:2cvzdxUcNhyCmiuFfmk5Qh,0.475
5,Hush, Dampkring,unknown,,,,,,,,,,,,,,,,,,,
6,Rich Edwards, Where I'll Be Waiting ,VIP Mix,0.181,https://api.spotify.com/v1/audio-analysis/3jaFpX0ipGKN9PJuO2TRau,10B,0.47,200818.0,0.683,3jaFpX0ipGKN9PJuO2TRau,1.14e-06,2.0,0.0727,-5.882,1.0,0.0397,140.084,4.0,https://api.spotify.com/v1/tracks/3jaFpX0ipGKN9PJuO2TRau,audio_features,spotify:track:3jaFpX0ipGKN9PJuO2TRau,0.226
7,Deon Custom, Roses,unknown,0.00341,https://api.spotify.com/v1/audio-analysis/0oWO6fBIJYr9YSGtZ0pS4v,10A,0.427,220987.0,0.903,0oWO6fBIJYr9YSGtZ0pS4v,0.744,11.0,0.112,-4.935,0.0,0.0378,138.545,4.0,https://api.spotify.com/v1/tracks/0oWO6fBIJYr9YSGtZ0pS4v,audio_features,spotify:track:0oWO6fBIJYr9YSGtZ0pS4v,0.166
8,Notaker, Infinite,unknown,0.0937,https://api.spotify.com/v1/audio-analysis/341ShRaeysVdxLetlI391K,12A,0.633,355200.0,0.669,341ShRaeysVdxLetlI391K,0.82,1.0,0.108,-8.124,0.0,0.0483,99.987,4.0,https://api.spotify.com/v1/tracks/341ShRaeysVdxLetlI391K,audio_features,spotify:track:341ShRaeysVdxLetlI391K,0.0381
9,Topi, Bad Language,unknown,0.00316,https://api.spotify.com/v1/audio-analysis/4ow3Mo3RXiQqSlpQJurTsy,9B,0.715,193846.0,0.99,4ow3Mo3RXiQqSlpQJurTsy,0.398,7.0,0.312,-1.905,1.0,0.129,104.004,4.0,https://api.spotify.com/v1/tracks/4ow3Mo3RXiQqSlpQJurTsy,audio_features,spotify:track:4ow3Mo3RXiQqSlpQJurTsy,0.421
10,"Mr FijiWiji, Laura Brehm AgNO3", Pure Sunlight,unknown,0.00581,https://api.spotify.com/v1/audio-analysis/76wvstfVxkEz9nhnYYQNga,6B,0.711,337699.0,0.851,76wvstfVxkEz9nhnYYQNga,0.153,10.0,0.347,-3.746,1.0,0.044,105.003,4.0,https://api.spotify.com/v1/tracks/76wvstfVxkEz9nhnYYQNga,audio_features,spotify:track:76wvstfVxkEz9nhnYYQNga,0.0587
11,Aero Chord, Break Them ,ft. Anna Yvette,0.0647,https://api.spotify.com/v1/audio-analysis/2NLvwD3JfTsGgUzzYyfmBv,9A,0.744,259200.0,0.796,2NLvwD3JfTsGgUzzYyfmBv,0.0287,4.0,0.108,-2.546,0.0,0.0908,100.022,4.0,https://api.spotify.com/v1/tracks/2NLvwD3JfTsGgUzzYyfmBv,audio_features,spotify:track:2NLvwD3JfTsGgUzzYyfmBv,0.238
12,Bustre, Shadow,unknown,0.000737,https://api.spotify.com/v1/audio-analysis/5J3UmIZoifVgsXoi7AqCLm,11A,0.55,403448.0,0.985,5J3UmIZoifVgsXoi7AqCLm,0.862,6.0,0.0643,-4.748,0.0,0.0625,174.023,4.0,https://api.spotify.com/v1/tracks/5J3UmIZoifVgsXoi7AqCLm,audio_features,spotify:track:5J3UmIZoifVgsXoi7AqCLm,0.122
13,Droptek, Rupture,unknown,0.000112,https://api.spotify.com/v1/audio-analysis/60BJaLZAbqej7GUa4Ab2kF,3B,0.552,273116.0,0.915,60BJaLZAbqej7GUa4Ab2kF,0.541,1.0,0.0925,-3.038,1.0,0.0578,174.056,4.0,https://api.spotify.com/v1/tracks/60BJaLZAbqej7GUa4Ab2kF,audio_features,spotify:track:60BJaLZAbqej7GUa4Ab2kF,0.232
14,Noisestorm, Leaving Now,unknown,0.00587,https://api.spotify.com/v1/audio-analysis/54GhIt6ohl4iEJvIRSq6fm,1B,0.358,237177.0,0.915,54GhIt6ohl4iEJvIRSq6fm,0.202,11.0,0.126,-2.301,1.0,0.0579,170.001,4.0,https://api.spotify.com/v1/tracks/54GhIt6ohl4iEJvIRSq6fm,audio_features,spotify:track:54GhIt6ohl4iEJvIRSq6fm,0.118
