,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Dirty Audio, Alien Cookies,unknown,0.00143,https://api.spotify.com/v1/audio-analysis/0Qn41OeDY9zAaNJ1D9aeeZ,10A,0.5,170031.0,0.939,0Qn41OeDY9zAaNJ1D9aeeZ,0.000123,11.0,0.836,-1.559,0.0,0.172,144.982,4.0,https://api.spotify.com/v1/tracks/0Qn41OeDY9zAaNJ1D9aeeZ,audio_features,spotify:track:0Qn41OeDY9zAaNJ1D9aeeZ,0.187
1,Astronaut   Harry Brooks Jnr, Champions,unknown,0.121,https://api.spotify.com/v1/audio-analysis/0UFtsK5aSrq5zYai4aikAu,11A,0.495,209062.0,0.791,0UFtsK5aSrq5zYai4aikAu,0.0,6.0,0.0863,-3.799,0.0,0.0656,127.99,4.0,https://api.spotify.com/v1/tracks/0UFtsK5aSrq5zYai4aikAu,audio_features,spotify:track:0UFtsK5aSrq5zYai4aikAu,0.13
2,Stonebank, Feel It,unknown,0.00343,https://api.spotify.com/v1/audio-analysis/0HpepDtAMDveTbWilG2Mek,11A,0.555,304548.0,0.956,0HpepDtAMDveTbWilG2Mek,0.0252,6.0,0.655,-4.271,0.0,0.252,154.988,4.0,https://api.spotify.com/v1/tracks/0HpepDtAMDveTbWilG2Mek,audio_features,spotify:track:0HpepDtAMDveTbWilG2Mek,0.236
3,KUURO   MC Mota, Rapture,unknown,0.000442,https://api.spotify.com/v1/audio-analysis/3wLEJnLL7vi1GtHTDhAsQW,3B,0.659,221687.0,0.951,3wLEJnLL7vi1GtHTDhAsQW,0.0107,1.0,0.0465,-3.036,1.0,0.119,150.036,4.0,https://api.spotify.com/v1/tracks/3wLEJnLL7vi1GtHTDhAsQW,audio_features,spotify:track:3wLEJnLL7vi1GtHTDhAsQW,0.457
4,Stonebank   EMEL, Moving On,unknown,0.0128,https://api.spotify.com/v1/audio-analysis/3W25CkC8ZPMNxUjzaq5odO,3B,0.587,335473.0,0.961,3W25CkC8ZPMNxUjzaq5odO,0.00399,1.0,0.0906,-3.046,1.0,0.332,127.987,4.0,https://api.spotify.com/v1/tracks/3W25CkC8ZPMNxUjzaq5odO,audio_features,spotify:track:3W25CkC8ZPMNxUjzaq5odO,0.171
5,Trivecta   Danyka Nadeau, Into The Limelight,unknown,0.0935,https://api.spotify.com/v1/audio-analysis/6VkVzHGvYvcKT6aiAE19ue,5B,0.522,270000.0,0.931,6VkVzHGvYvcKT6aiAE19ue,7.05e-05,3.0,0.103,-4.646,1.0,0.0616,127.928,4.0,https://api.spotify.com/v1/tracks/6VkVzHGvYvcKT6aiAE19ue,audio_features,spotify:track:6VkVzHGvYvcKT6aiAE19ue,0.457
6,Hellberg   Cozi Zuehlsdorff, The Girl,unknown,0.0691,https://api.spotify.com/v1/audio-analysis/2TsMgZTaacXikcOAEezzyk,8A,0.49,265660.0,0.72,2TsMgZTaacXikcOAEezzyk,0.0,9.0,0.121,-3.797,0.0,0.0351,125.993,4.0,https://api.spotify.com/v1/tracks/2TsMgZTaacXikcOAEezzyk,audio_features,spotify:track:2TsMgZTaacXikcOAEezzyk,0.428
7,Gammer KAYZO   AU8UST, Over The Edge,unknown,0.131,https://api.spotify.com/v1/audio-analysis/5PfVzDU0u2ozK5si1gr0hq,8B,0.707,243934.0,0.813,5PfVzDU0u2ozK5si1gr0hq,0.000264,0.0,0.0982,-5.278,1.0,0.0517,121.909,4.0,https://api.spotify.com/v1/tracks/5PfVzDU0u2ozK5si1gr0hq,audio_features,spotify:track:5PfVzDU0u2ozK5si1gr0hq,0.247
8,Direct, Too Far Away,unknown,0.29,https://api.spotify.com/v1/audio-analysis/3xTsQPaniSkkw3aBOmqsYe,1A,0.643,235000.0,0.692,3xTsQPaniSkkw3aBOmqsYe,0.79,8.0,0.108,-10.314,0.0,0.0741,131.933,4.0,https://api.spotify.com/v1/tracks/3xTsQPaniSkkw3aBOmqsYe,audio_features,spotify:track:3xTsQPaniSkkw3aBOmqsYe,0.0317
9,PYLOT, Flashbacks,unknown,0.00292,https://api.spotify.com/v1/audio-analysis/3fmZhbUaoUBbYFkcTSmvPf,3B,0.558,239995.0,0.932,3fmZhbUaoUBbYFkcTSmvPf,0.534,1.0,0.345,-5.259,1.0,0.0396,100.008,4.0,https://api.spotify.com/v1/tracks/3fmZhbUaoUBbYFkcTSmvPf,audio_features,spotify:track:3fmZhbUaoUBbYFkcTSmvPf,0.0497
