,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Rose Royce, Wishing On A Star ,Nic Fanciulli Remix,0.716,https://api.spotify.com/v1/audio-analysis/0u2CGItUO2jYEiFaXD7n5S,4A,0.333,291760.0,0.422,0u2CGItUO2jYEiFaXD7n5S,4.13e-05,5.0,0.0455,-15.171,0.0,0.0527,97.305,4.0,https://api.spotify.com/v1/tracks/0u2CGItUO2jYEiFaXD7n5S,audio_features,spotify:track:0u2CGItUO2jYEiFaXD7n5S,0.553
1,George Smeddles, Funky Track,unknown,6.74e-05,https://api.spotify.com/v1/audio-analysis/5XlobGkOQizzCZRbQUe7x9,8B,0.813,373770.0,0.739,5XlobGkOQizzCZRbQUe7x9,0.882,0.0,0.0283,-10.075,1.0,0.0733,125.006,4.0,https://api.spotify.com/v1/tracks/5XlobGkOQizzCZRbQUe7x9,audio_features,spotify:track:5XlobGkOQizzCZRbQUe7x9,0.966
2,Kreature, Wacomin,unknown,3.83e-05,https://api.spotify.com/v1/audio-analysis/5ZhKq6KBzL1nUNRmdBJdNV,11B,0.766,379355.0,0.841,5ZhKq6KBzL1nUNRmdBJdNV,0.861,9.0,0.124,-7.777,1.0,0.0791,124.012,4.0,https://api.spotify.com/v1/tracks/5ZhKq6KBzL1nUNRmdBJdNV,audio_features,spotify:track:5ZhKq6KBzL1nUNRmdBJdNV,0.329
3,The Junkies Carlo Lio, Swiss Doin',unknown,4.8e-05,https://api.spotify.com/v1/audio-analysis/4Vuj1KP0Etle1wfFKKxVmt,9B,0.805,436496.0,0.908,4Vuj1KP0Etle1wfFKKxVmt,0.758,7.0,0.0469,-7.186,1.0,0.0413,124.01,4.0,https://api.spotify.com/v1/tracks/4Vuj1KP0Etle1wfFKKxVmt,audio_features,spotify:track:4Vuj1KP0Etle1wfFKKxVmt,0.132
4,Loopsize, Kontrol Punkt,unknown,0.000141,https://api.spotify.com/v1/audio-analysis/1TPcRYpUahAAmszwe7BLgh,9B,0.668,460208.0,0.834,1TPcRYpUahAAmszwe7BLgh,0.928,7.0,0.12,-12.997,1.0,0.0334,122.0,4.0,https://api.spotify.com/v1/tracks/1TPcRYpUahAAmszwe7BLgh,audio_features,spotify:track:1TPcRYpUahAAmszwe7BLgh,0.0837
5,ID, Something Else,unknown,,,,,,,,,,,,,,,,,,,
6,Latmun, Passion,unknown,0.000649,https://api.spotify.com/v1/audio-analysis/7rkD26A15SFf7eLby5K6ne,8A,0.806,342857.0,0.944,7rkD26A15SFf7eLby5K6ne,0.897,9.0,0.612,-6.647,0.0,0.0509,126.015,4.0,https://api.spotify.com/v1/tracks/7rkD26A15SFf7eLby5K6ne,audio_features,spotify:track:7rkD26A15SFf7eLby5K6ne,0.97
7,Groove Armada   Parris Mitchell, House With Me,unknown,0.00128,https://api.spotify.com/v1/audio-analysis/7lxTvIGPUj9EAGTJH7hMIH,8B,0.775,429549.0,0.962,7lxTvIGPUj9EAGTJH7hMIH,0.94,0.0,0.0339,-5.982,1.0,0.0715,125.005,4.0,https://api.spotify.com/v1/tracks/7lxTvIGPUj9EAGTJH7hMIH,audio_features,spotify:track:7lxTvIGPUj9EAGTJH7hMIH,0.783
8,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
9,D'Julz, Da Madness ,The Martinez Brothers feat. Phil Weeks Edit,,,,,,,,,,,,,,,,,,,
