,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Danny Wade, Can You See Me,unknown,8.02e-05,https://api.spotify.com/v1/audio-analysis/1sPY7OtsYpAMPYRBANb681,9B,0.687,285937.0,0.896,1sPY7OtsYpAMPYRBANb681,0.0212,7.0,0.0641,-4.403,1.0,0.0341,128.011,4.0,https://api.spotify.com/v1/tracks/1sPY7OtsYpAMPYRBANb681,audio_features,spotify:track:1sPY7OtsYpAMPYRBANb681,0.0376
1,HI,LO & Chocolate Puma ,unknown,,,,,,,,,,,,,,,,,,,
2,Gareth Emery feat. Alex Sierra, We Were Young ,Tritonal Remix,0.012,https://api.spotify.com/v1/audio-analysis/5tjOwSihWiylLoe7HC0z6f,4B,0.545,243584.0,0.877,5tjOwSihWiylLoe7HC0z6f,5.84e-06,8.0,0.243,-3.988,1.0,0.0517,128.066,4.0,https://api.spotify.com/v1/tracks/5tjOwSihWiylLoe7HC0z6f,audio_features,spotify:track:5tjOwSihWiylLoe7HC0z6f,0.497
3,Tom Fall Tim White, Revival,unknown,0.25,https://api.spotify.com/v1/audio-analysis/3uyPgyHkL4dojjaOERBb7H,5A,0.487,201562.0,0.911,3uyPgyHkL4dojjaOERBb7H,0.0,0.0,0.585,-3.841,0.0,0.0714,127.945,4.0,https://api.spotify.com/v1/tracks/3uyPgyHkL4dojjaOERBb7H,audio_features,spotify:track:3uyPgyHkL4dojjaOERBb7H,0.118
4,Nicky Romero, Take Me ,ft. Colton Avery,0.18,https://api.spotify.com/v1/audio-analysis/12Z8KLuCzuyEzU3PkWkZZm,5A,0.559,208828.0,0.788,12Z8KLuCzuyEzU3PkWkZZm,0.0,0.0,0.157,-3.941,0.0,0.0348,126.978,4.0,https://api.spotify.com/v1/tracks/12Z8KLuCzuyEzU3PkWkZZm,audio_features,spotify:track:12Z8KLuCzuyEzU3PkWkZZm,0.368
5,HIIO, Survivor,unknown,0.0261,https://api.spotify.com/v1/audio-analysis/60FWCN57b2eM2XdNTcHneI,6A,0.455,204094.0,0.904,60FWCN57b2eM2XdNTcHneI,0.00016,7.0,0.112,-2.71,0.0,0.104,126.858,4.0,https://api.spotify.com/v1/tracks/60FWCN57b2eM2XdNTcHneI,audio_features,spotify:track:60FWCN57b2eM2XdNTcHneI,0.178
6,Cuebrick feat. Colordrive, Runners In Disguise,unknown,,,,,,,,,,,,,,,,,,,
7,Calvin Harris, Awooga ,unknown,0.000999,https://api.spotify.com/v1/audio-analysis/29d6Ve1skFZv710ZDibJNN,8A,0.514,231240.0,0.987,29d6Ve1skFZv710ZDibJNN,0.935,9.0,0.343,-3.402,0.0,0.0592,125.956,4.0,https://api.spotify.com/v1/tracks/29d6Ve1skFZv710ZDibJNN,audio_features,spotify:track:29d6Ve1skFZv710ZDibJNN,0.17
8,Melvin Reese feat. Sunnery James Ryan Marciano, Lift U Up ,Vato_Gonzalez & Ibranovski Dirty House Bootleg,0.00736,https://api.spotify.com/v1/audio-analysis/1P75aHhjTlRNYAaZeGCbrQ,12A,0.789,354387.0,0.644,1P75aHhjTlRNYAaZeGCbrQ,0.0971,1.0,0.0481,-7.871,0.0,0.0823,127.973,4.0,https://api.spotify.com/v1/tracks/1P75aHhjTlRNYAaZeGCbrQ,audio_features,spotify:track:1P75aHhjTlRNYAaZeGCbrQ,0.187
9,Akade Thimlife, Wanderers,unknown,0.0163,https://api.spotify.com/v1/audio-analysis/5eSalz4Xi7dc1eFjaNQeOf,10B,0.629,206250.0,0.863,5eSalz4Xi7dc1eFjaNQeOf,0.0,2.0,0.156,-4.126,1.0,0.0632,128.109,4.0,https://api.spotify.com/v1/tracks/5eSalz4Xi7dc1eFjaNQeOf,audio_features,spotify:track:5eSalz4Xi7dc1eFjaNQeOf,0.338
10,Zedd Grey, Adrenaline,unknown,0.0647,https://api.spotify.com/v1/audio-analysis/2pi3gRZ7K1Tf9YSyHYqPJT,10A,0.656,170107.0,0.989,2pi3gRZ7K1Tf9YSyHYqPJT,0.647,11.0,0.0516,-3.046,0.0,0.0453,127.989,4.0,https://api.spotify.com/v1/tracks/2pi3gRZ7K1Tf9YSyHYqPJT,audio_features,spotify:track:2pi3gRZ7K1Tf9YSyHYqPJT,0.395
11,MOTi Maurice West, Disco Weapon,unknown,0.00116,https://api.spotify.com/v1/audio-analysis/0j3aXPwzbQIngGMbFzntNG,11A,0.529,181875.0,0.967,0j3aXPwzbQIngGMbFzntNG,0.431,6.0,0.379,-5.591,0.0,0.152,128.052,4.0,https://api.spotify.com/v1/tracks/0j3aXPwzbQIngGMbFzntNG,audio_features,spotify:track:0j3aXPwzbQIngGMbFzntNG,0.185
12,Mike Taylor, Body High ,Andrea Rullo Remix,0.0197,https://api.spotify.com/v1/audio-analysis/7vjsFhqTTa4GftKMnRJU7H,10A,0.704,225027.0,0.871,7vjsFhqTTa4GftKMnRJU7H,0.0,11.0,0.0881,-3.73,0.0,0.0751,127.996,4.0,https://api.spotify.com/v1/tracks/7vjsFhqTTa4GftKMnRJU7H,audio_features,spotify:track:7vjsFhqTTa4GftKMnRJU7H,0.748
13,Blinders, Hero,unknown,0.411,https://api.spotify.com/v1/audio-analysis/5q8pYCgbJRIQPenFnL1Kxl,4A,0.718,183120.0,0.93,5q8pYCgbJRIQPenFnL1Kxl,2.9e-06,5.0,0.296,-2.491,0.0,0.133,125.009,4.0,https://api.spotify.com/v1/tracks/5q8pYCgbJRIQPenFnL1Kxl,audio_features,spotify:track:5q8pYCgbJRIQPenFnL1Kxl,0.601
