,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Nicky Romero   ZROQ, WTF,unknown,0.000705,https://api.spotify.com/v1/audio-analysis/0DyeiVFwnfAvfyUGdu5l9q,9B,0.662,382036.0,0.98,0DyeiVFwnfAvfyUGdu5l9q,0.623,7.0,0.0482,-4.655,1.0,0.121,127.993,4.0,https://api.spotify.com/v1/tracks/0DyeiVFwnfAvfyUGdu5l9q,audio_features,spotify:track:0DyeiVFwnfAvfyUGdu5l9q,0.0842
1,Nicky Romero Calvin Harris, Iron,unknown,0.00139,https://api.spotify.com/v1/audio-analysis/0uqMUcdMvQtNQLO4jVockW,4A,0.546,219653.0,0.887,0uqMUcdMvQtNQLO4jVockW,0.0424,5.0,0.606,-4.694,0.0,0.0799,125.983,4.0,https://api.spotify.com/v1/tracks/0uqMUcdMvQtNQLO4jVockW,audio_features,spotify:track:0uqMUcdMvQtNQLO4jVockW,0.436
2,Nicky Romero NERVO, Like Home,unknown,0.0298,https://api.spotify.com/v1/audio-analysis/0n1mqmzrgN2H5noKuTa5hd,3A,0.702,181935.0,0.931,0n1mqmzrgN2H5noKuTa5hd,0.515,10.0,0.0818,-4.896,0.0,0.0904,123.963,4.0,https://api.spotify.com/v1/tracks/0n1mqmzrgN2H5noKuTa5hd,audio_features,spotify:track:0n1mqmzrgN2H5noKuTa5hd,0.199
3,Nicky Romero, Symphonica,unknown,0.0586,https://api.spotify.com/v1/audio-analysis/77M3svAgHHCxMorrm6XFnG,5A,0.645,160000.0,0.83,77M3svAgHHCxMorrm6XFnG,4.43e-05,0.0,0.0336,-2.634,0.0,0.21,150.047,4.0,https://api.spotify.com/v1/tracks/77M3svAgHHCxMorrm6XFnG,audio_features,spotify:track:77M3svAgHHCxMorrm6XFnG,0.4
4,Nicky Romero Krewella, Legacy,unknown,0.0609,https://api.spotify.com/v1/audio-analysis/4IWLawtdMznqdOnbOR9cWW,5A,0.586,195707.0,0.706,4IWLawtdMznqdOnbOR9cWW,0.0,0.0,0.12,-3.673,0.0,0.0454,127.961,4.0,https://api.spotify.com/v1/tracks/4IWLawtdMznqdOnbOR9cWW,audio_features,spotify:track:4IWLawtdMznqdOnbOR9cWW,0.219
5,Tritonal Paris Blohm   Sterling Fox, Colors,unknown,0.123,https://api.spotify.com/v1/audio-analysis/2UXfcIiYWyIvKBlHyNQlsD,5A,0.478,225973.0,0.887,2UXfcIiYWyIvKBlHyNQlsD,0.0,0.0,0.276,-4.308,0.0,0.0972,125.993,4.0,https://api.spotify.com/v1/tracks/2UXfcIiYWyIvKBlHyNQlsD,audio_features,spotify:track:2UXfcIiYWyIvKBlHyNQlsD,0.53
6,Stadiumx Taylr Renee, Howl At The Moon,unknown,0.0525,https://api.spotify.com/v1/audio-analysis/6oFd2c2UiVfFBTIJiFVfz6,3A,0.514,183750.0,0.934,6oFd2c2UiVfFBTIJiFVfz6,0.00089,10.0,0.137,-3.201,0.0,0.0992,127.953,4.0,https://api.spotify.com/v1/tracks/6oFd2c2UiVfFBTIJiFVfz6,audio_features,spotify:track:6oFd2c2UiVfFBTIJiFVfz6,0.182
7,John Christian, Next Level ,Nicky Romero Edit,0.00791,https://api.spotify.com/v1/audio-analysis/5kj0QS2Eh0c4MKMvfBDij2,4A,0.733,312246.0,0.986,5kj0QS2Eh0c4MKMvfBDij2,0.888,5.0,0.36,-2.148,0.0,0.23,127.986,4.0,https://api.spotify.com/v1/tracks/5kj0QS2Eh0c4MKMvfBDij2,audio_features,spotify:track:5kj0QS2Eh0c4MKMvfBDij2,0.435
8,Nicky Romero   Volt State   Danny Shah, Warriors,unknown,0.00105,https://api.spotify.com/v1/audio-analysis/053gewpNbAHfGkDTDFpuQ0,4B,0.67,311965.0,0.893,053gewpNbAHfGkDTDFpuQ0,0.0175,8.0,0.655,-2.645,1.0,0.0409,126.991,4.0,https://api.spotify.com/v1/tracks/053gewpNbAHfGkDTDFpuQ0,audio_features,spotify:track:053gewpNbAHfGkDTDFpuQ0,0.649
9,Nicky Romero Stadiumx   Georgia Ku, Harmony,unknown,0.00247,https://api.spotify.com/v1/audio-analysis/7gKHPnLpX2X8XYB7HtTdg0,3A,0.648,335714.0,0.9,7gKHPnLpX2X8XYB7HtTdg0,0.0638,10.0,0.0913,-3.771,0.0,0.0791,128.028,4.0,https://api.spotify.com/v1/tracks/7gKHPnLpX2X8XYB7HtTdg0,audio_features,spotify:track:7gKHPnLpX2X8XYB7HtTdg0,0.335
