,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Nicky Romero   Eric Lumiere, The Moment ,Novell,0.0625,https://api.spotify.com/v1/audio-analysis/4xVy3g7qRlZ0UPTDjDsMz5,2A,0.528,200791.0,0.563,4xVy3g7qRlZ0UPTDjDsMz5,0.0,3.0,0.305,-6.077,0.0,0.0318,125.99,4.0,https://api.spotify.com/v1/tracks/4xVy3g7qRlZ0UPTDjDsMz5,audio_features,spotify:track:4xVy3g7qRlZ0UPTDjDsMz5,0.197
1,Merk Kremont, Ciao,unknown,0.000486,https://api.spotify.com/v1/audio-analysis/5mRU27KFBixfRXHoMAw5tk,4A,0.695,164062.0,0.982,5mRU27KFBixfRXHoMAw5tk,0.814,5.0,0.347,-1.982,0.0,0.078,128.036,4.0,https://api.spotify.com/v1/tracks/5mRU27KFBixfRXHoMAw5tk,audio_features,spotify:track:5mRU27KFBixfRXHoMAw5tk,0.508
2,w/ Jamie Lewis   Michael Watford, For You ,Put Your Hands Up In The Air Acapella,0.185,https://api.spotify.com/v1/audio-analysis/3CO19cTl5zzlWx9GWEpOhD,11B,0.425,273773.0,0.519,3CO19cTl5zzlWx9GWEpOhD,0.0,9.0,0.102,-9.707,1.0,0.0279,143.887,4.0,https://api.spotify.com/v1/tracks/3CO19cTl5zzlWx9GWEpOhD,audio_features,spotify:track:3CO19cTl5zzlWx9GWEpOhD,0.208
3,Alesso   Nico Vinz, I Wanna Know ,Deniz Koyu & Alesso Remix,0.0703,https://api.spotify.com/v1/audio-analysis/7HwGFDbX9zC4R4fgFUZBrD,10B,0.707,327053.0,0.736,7HwGFDbX9zC4R4fgFUZBrD,5.59e-06,2.0,0.0403,-5.314,1.0,0.0526,124.97,4.0,https://api.spotify.com/v1/tracks/7HwGFDbX9zC4R4fgFUZBrD,audio_features,spotify:track:7HwGFDbX9zC4R4fgFUZBrD,0.551
4,Nicky Romero, Ready 2 Rumble,unknown,0.002,https://api.spotify.com/v1/audio-analysis/1FTuI2u4EvgfyVJdCIjrDK,8B,0.684,179048.0,0.995,1FTuI2u4EvgfyVJdCIjrDK,0.519,0.0,0.324,-3.125,1.0,0.0833,126.002,4.0,https://api.spotify.com/v1/tracks/1FTuI2u4EvgfyVJdCIjrDK,audio_features,spotify:track:1FTuI2u4EvgfyVJdCIjrDK,0.123
5,Nicky Romero   Volt State   Danny Shah, Warriors,unknown,0.00105,https://api.spotify.com/v1/audio-analysis/053gewpNbAHfGkDTDFpuQ0,4B,0.67,311965.0,0.893,053gewpNbAHfGkDTDFpuQ0,0.0175,8.0,0.655,-2.645,1.0,0.0409,126.991,4.0,https://api.spotify.com/v1/tracks/053gewpNbAHfGkDTDFpuQ0,audio_features,spotify:track:053gewpNbAHfGkDTDFpuQ0,0.649
6,John Christian Arin Tone Corey James   Avicii Nicky Romero   Galantis Tom Jame, Collage ,Nicky Romero Mashup,5.6e-05,https://api.spotify.com/v1/audio-analysis/5SCVmxAA0Twr4vGyy27rgM,11A,0.633,259219.0,0.929,5SCVmxAA0Twr4vGyy27rgM,0.87,6.0,0.109,-3.286,0.0,0.0582,128.01,4.0,https://api.spotify.com/v1/tracks/5SCVmxAA0Twr4vGyy27rgM,audio_features,spotify:track:5SCVmxAA0Twr4vGyy27rgM,0.0578
7,David Guetta feat. Sia Fetty Wap   Sebastian Ingrosso Tommy Trash, Bang My Head ,Nicky Romero Mashup,0.0525,https://api.spotify.com/v1/audio-analysis/53Y0kdCa1CZ9gRqEuknfwy,8B,0.599,193333.0,0.869,53Y0kdCa1CZ9gRqEuknfwy,0.00719,0.0,0.103,-3.697,1.0,0.0789,108.061,4.0,https://api.spotify.com/v1/tracks/53Y0kdCa1CZ9gRqEuknfwy,audio_features,spotify:track:53Y0kdCa1CZ9gRqEuknfwy,0.593
8,Dumbers MAXIMALS, Dancin',unknown,0.0138,https://api.spotify.com/v1/audio-analysis/1YDzFO7v41QCyUXJ3U5BdH,3A,0.635,177958.0,0.9,1YDzFO7v41QCyUXJ3U5BdH,0.747,10.0,0.308,-5.538,0.0,0.0351,126.945,4.0,https://api.spotify.com/v1/tracks/1YDzFO7v41QCyUXJ3U5BdH,audio_features,spotify:track:1YDzFO7v41QCyUXJ3U5BdH,0.874
9,Mike Posner, I Took A Pill In Ibiza ,W&W Festival Mix,0.0353,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,6A,0.663,197933.0,0.713,1MtUq6Wp1eQ8PC6BbPCj8P,7.68e-06,7.0,0.0843,-6.647,0.0,0.112,101.965,4.0,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,audio_features,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,0.69
