,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Yousef, Life Is Too Short,unknown,0.000495,https://api.spotify.com/v1/audio-analysis/0dkL5gnPDa8flnIL39VutJ,9B,0.83,476348.0,0.822,0dkL5gnPDa8flnIL39VutJ,0.935,7.0,0.0281,-6.799,1.0,0.0467,124.999,4.0,https://api.spotify.com/v1/tracks/0dkL5gnPDa8flnIL39VutJ,audio_features,spotify:track:0dkL5gnPDa8flnIL39VutJ,0.63
1,Zoo Brazil, Sand,unknown,0.000525,https://api.spotify.com/v1/audio-analysis/2Gs3BsQ5cnKLZ12cGHp6Vm,2B,0.766,421633.0,0.942,2Gs3BsQ5cnKLZ12cGHp6Vm,0.899,6.0,0.122,-7.351,1.0,0.0468,123.0,4.0,https://api.spotify.com/v1/tracks/2Gs3BsQ5cnKLZ12cGHp6Vm,audio_features,spotify:track:2Gs3BsQ5cnKLZ12cGHp6Vm,0.0452
2,Wielki, Empire,unknown,0.0826,https://api.spotify.com/v1/audio-analysis/6K0oW3ZgimPZ1PZliBDuUa,4A,0.76,193999.0,0.786,6K0oW3ZgimPZ1PZliBDuUa,0.724,5.0,0.337,-6.827,0.0,0.0506,119.018,4.0,https://api.spotify.com/v1/tracks/6K0oW3ZgimPZ1PZliBDuUa,audio_features,spotify:track:6K0oW3ZgimPZ1PZliBDuUa,0.0467
3,Pablo Bolivar, Dahnser,unknown,0.000937,https://api.spotify.com/v1/audio-analysis/0LebbipwV2fEzTYyxQjhdm,7B,0.736,428307.0,0.711,0LebbipwV2fEzTYyxQjhdm,0.898,5.0,0.138,-8.583,1.0,0.0457,121.986,4.0,https://api.spotify.com/v1/tracks/0LebbipwV2fEzTYyxQjhdm,audio_features,spotify:track:0LebbipwV2fEzTYyxQjhdm,0.44
4,Sons Of Maria, Chimera,unknown,0.139,https://api.spotify.com/v1/audio-analysis/7k2vkS1Gb5WbbaAjqhnAV4,6A,0.758,246393.0,0.868,7k2vkS1Gb5WbbaAjqhnAV4,0.844,7.0,0.0788,-6.325,0.0,0.0474,121.989,4.0,https://api.spotify.com/v1/tracks/7k2vkS1Gb5WbbaAjqhnAV4,audio_features,spotify:track:7k2vkS1Gb5WbbaAjqhnAV4,0.04
5,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,CamelPhat Elderbrook, Cola,unknown,0.0245,https://api.spotify.com/v1/audio-analysis/7ir1tVqAtNjctvteJPw5MF,2B,0.706,223869.0,0.74,7ir1tVqAtNjctvteJPw5MF,0.512,6.0,0.135,-7.904,1.0,0.0325,122.007,3.0,https://api.spotify.com/v1/tracks/7ir1tVqAtNjctvteJPw5MF,audio_features,spotify:track:7ir1tVqAtNjctvteJPw5MF,0.444
7,Nora En Pure, Freedom Lives Within,unknown,0.058,https://api.spotify.com/v1/audio-analysis/3Y3dppi1IcKKeuIWnqexeU,12A,0.726,242750.0,0.781,3Y3dppi1IcKKeuIWnqexeU,0.727,1.0,0.703,-6.835,0.0,0.0459,119.993,4.0,https://api.spotify.com/v1/tracks/3Y3dppi1IcKKeuIWnqexeU,audio_features,spotify:track:3Y3dppi1IcKKeuIWnqexeU,0.0736
8,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
9,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
