,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Ferreck Dawn, Mad Love,unknown,0.029,https://api.spotify.com/v1/audio-analysis/78NRMCvDfXSQevqQEPYjJC,12A,0.646,242427.0,0.852,78NRMCvDfXSQevqQEPYjJC,0.692,1.0,0.155,-7.136,0.0,0.0452,122.764,4.0,https://api.spotify.com/v1/tracks/78NRMCvDfXSQevqQEPYjJC,audio_features,spotify:track:78NRMCvDfXSQevqQEPYjJC,0.586
1,Abedz Stulp Fiction, Nothing To Lose,unknown,,,,,,,,,,,,,,,,,,,
2,Disciples, Daylight ,Boston Bun Remix,8.34e-05,https://api.spotify.com/v1/audio-analysis/3UyitdoEXLZwvHQK4rAIlB,3B,0.803,313548.0,0.781,3UyitdoEXLZwvHQK4rAIlB,0.22,1.0,0.055,-7.777,1.0,0.0523,124.012,4.0,https://api.spotify.com/v1/tracks/3UyitdoEXLZwvHQK4rAIlB,audio_features,spotify:track:3UyitdoEXLZwvHQK4rAIlB,0.381
3,Redondo Deepme, White Keys,unknown,0.00443,https://api.spotify.com/v1/audio-analysis/4Ri0AkjVnbuTeSVrhfVpHP,4B,0.681,200880.0,0.781,4Ri0AkjVnbuTeSVrhfVpHP,0.165,8.0,0.2,-5.88,1.0,0.0429,125.018,4.0,https://api.spotify.com/v1/tracks/4Ri0AkjVnbuTeSVrhfVpHP,audio_features,spotify:track:4Ri0AkjVnbuTeSVrhfVpHP,0.276
4,Luca Guerrieri, Chain Of Fools ,Sunset Mix,0.00489,https://api.spotify.com/v1/audio-analysis/6x5I2wkE5zcjSDskOlOhMu,3B,0.594,450795.0,0.951,6x5I2wkE5zcjSDskOlOhMu,0.603,1.0,0.0356,-5.795,1.0,0.0536,123.007,4.0,https://api.spotify.com/v1/tracks/6x5I2wkE5zcjSDskOlOhMu,audio_features,spotify:track:6x5I2wkE5zcjSDskOlOhMu,0.243
5,Mike Mago Dragonette, Secret Stash,unknown,0.0473,https://api.spotify.com/v1/audio-analysis/2JmAlHyfooRkDCAMVh7JQ2,8B,0.686,226604.0,0.851,2JmAlHyfooRkDCAMVh7JQ2,0.0195,0.0,0.109,-2.723,1.0,0.0476,123.055,4.0,https://api.spotify.com/v1/tracks/2JmAlHyfooRkDCAMVh7JQ2,audio_features,spotify:track:2JmAlHyfooRkDCAMVh7JQ2,0.385
6,Hardwell   Jay Sean, Thinking About You,unknown,0.0271,https://api.spotify.com/v1/audio-analysis/6C6MLXm77V9VH0v27oJRak,11A,0.702,191311.0,0.914,6C6MLXm77V9VH0v27oJRak,5.97e-05,6.0,0.259,-3.197,0.0,0.0507,121.994,4.0,https://api.spotify.com/v1/tracks/6C6MLXm77V9VH0v27oJRak,audio_features,spotify:track:6C6MLXm77V9VH0v27oJRak,0.623
7,Mac Miller   Anderson .Paak, Dang!,unknown,0.00826,https://api.spotify.com/v1/audio-analysis/5iUQMwxUPdJBFeGkePtM66,4A,0.836,305350.0,0.67,5iUQMwxUPdJBFeGkePtM66,0.000355,5.0,0.0837,-6.907,0.0,0.23,107.018,4.0,https://api.spotify.com/v1/tracks/5iUQMwxUPdJBFeGkePtM66,audio_features,spotify:track:5iUQMwxUPdJBFeGkePtM66,0.556
8,Keljet, Love At First Sight,unknown,0.00358,https://api.spotify.com/v1/audio-analysis/2HWrJ1yZ3GHovEUOuo173t,6A,0.697,204873.0,0.648,2HWrJ1yZ3GHovEUOuo173t,0.0,7.0,0.166,-6.394,0.0,0.123,113.68,4.0,https://api.spotify.com/v1/tracks/2HWrJ1yZ3GHovEUOuo173t,audio_features,spotify:track:2HWrJ1yZ3GHovEUOuo173t,0.492
9,Claude VonStroke, The Rain Break,unknown,0.00013,https://api.spotify.com/v1/audio-analysis/6AWQoBfrxHaYA7oiq9Y63c,8A,0.808,389578.0,0.958,6AWQoBfrxHaYA7oiq9Y63c,0.81,9.0,0.0507,-7.546,0.0,0.0513,120.017,4.0,https://api.spotify.com/v1/tracks/6AWQoBfrxHaYA7oiq9Y63c,audio_features,spotify:track:6AWQoBfrxHaYA7oiq9Y63c,0.47
