,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Last Story, Toberu Mono ,Thaehan Remix,,,,,,,,,,,,,,,,,,,
1,R3hab   VERITE, Trouble,unknown,0.181,https://api.spotify.com/v1/audio-analysis/3A2waEDfZQfl6RNOn8Y1xW,8A,0.744,173203.0,0.595,3A2waEDfZQfl6RNOn8Y1xW,5.89e-05,9.0,0.148,-6.076,0.0,0.0782,94.92,4.0,https://api.spotify.com/v1/tracks/3A2waEDfZQfl6RNOn8Y1xW,audio_features,spotify:track:3A2waEDfZQfl6RNOn8Y1xW,0.56
2,Snavs Reau Beau, Dreams,unknown,0.0596,https://api.spotify.com/v1/audio-analysis/0QGhs8bxsEomFNUUkSH653,8A,0.712,149606.0,0.852,0QGhs8bxsEomFNUUkSH653,0.00518,9.0,0.209,-3.864,0.0,0.0567,110.025,4.0,https://api.spotify.com/v1/tracks/0QGhs8bxsEomFNUUkSH653,audio_features,spotify:track:0QGhs8bxsEomFNUUkSH653,0.327
3,Chelsea Shirt, Your Shirt,unknown,0.185,https://api.spotify.com/v1/audio-analysis/5vtyFzfLkCSJvXEZFjQAa1,10B,0.426,232759.0,0.476,5vtyFzfLkCSJvXEZFjQAa1,0.0,2.0,0.327,-6.64,1.0,0.0741,179.793,4.0,https://api.spotify.com/v1/tracks/5vtyFzfLkCSJvXEZFjQAa1,audio_features,spotify:track:5vtyFzfLkCSJvXEZFjQAa1,0.169
4,Ella Vos, White Noise ,R3hab Remix,0.0304,https://api.spotify.com/v1/audio-analysis/7dpnZJj7ITXcnmbmLIdEqs,5B,0.579,196433.0,0.578,7dpnZJj7ITXcnmbmLIdEqs,0.000229,3.0,0.1,-5.361,1.0,0.0283,78.582,4.0,https://api.spotify.com/v1/tracks/7dpnZJj7ITXcnmbmLIdEqs,audio_features,spotify:track:7dpnZJj7ITXcnmbmLIdEqs,0.356
5,Sia   Kendrick Lamar, The Greatest ,BOXINLION Remix,0.0102,https://api.spotify.com/v1/audio-analysis/7xHWNBFm6ObGEQPaUxHuKO,3B,0.668,210227.0,0.725,7xHWNBFm6ObGEQPaUxHuKO,0.000479,1.0,0.0561,-6.127,1.0,0.266,191.944,4.0,https://api.spotify.com/v1/tracks/7xHWNBFm6ObGEQPaUxHuKO,audio_features,spotify:track:7xHWNBFm6ObGEQPaUxHuKO,0.729
6,DJ Snake   Justin Bieber, Let Me Love You ,R3hab Remix,0.0181,https://api.spotify.com/v1/audio-analysis/7mbbGuqfaIIFHImIwu45Xi,5A,0.437,175000.0,0.819,7mbbGuqfaIIFHImIwu45Xi,0.0,0.0,0.449,-2.801,0.0,0.107,203.893,4.0,https://api.spotify.com/v1/tracks/7mbbGuqfaIIFHImIwu45Xi,audio_features,spotify:track:7mbbGuqfaIIFHImIwu45Xi,0.506
7,Cage The Elephant, Shake Me Down,unknown,0.33,https://api.spotify.com/v1/audio-analysis/6Ks0lh8Y1XUpgmtkfKD7hH,6B,0.38,209653.0,0.756,6Ks0lh8Y1XUpgmtkfKD7hH,0.0,10.0,0.873,-5.935,1.0,0.0449,112.213,4.0,https://api.spotify.com/v1/tracks/6Ks0lh8Y1XUpgmtkfKD7hH,audio_features,spotify:track:6Ks0lh8Y1XUpgmtkfKD7hH,0.234
8,Afrojack   Luis Fonsi, Wave Your Flag,unknown,0.0654,https://api.spotify.com/v1/audio-analysis/4MosgqXjivm3tXz8GusGrl,11B,0.705,193853.0,0.818,4MosgqXjivm3tXz8GusGrl,0.0,9.0,0.091,-2.662,1.0,0.0662,104.974,4.0,https://api.spotify.com/v1/tracks/4MosgqXjivm3tXz8GusGrl,audio_features,spotify:track:4MosgqXjivm3tXz8GusGrl,0.599
9,Justin Caruso   Victoria Zaro, Talk About Me,unknown,0.068,https://api.spotify.com/v1/audio-analysis/5sjeezV8z2Or1RFw5LjNVn,12A,0.795,178056.0,0.635,5sjeezV8z2Or1RFw5LjNVn,0.00046,1.0,0.213,-4.699,0.0,0.0885,107.974,4.0,https://api.spotify.com/v1/tracks/5sjeezV8z2Or1RFw5LjNVn,audio_features,spotify:track:5sjeezV8z2Or1RFw5LjNVn,0.541
10,YOGI   AlunaGeorge Less Is More, Blow You Up,unknown,0.0466,https://api.spotify.com/v1/audio-analysis/0MpuMMLaWGLYHC9MxKc3VH,3A,0.712,188401.0,0.7,0MpuMMLaWGLYHC9MxKc3VH,0.000116,10.0,0.132,-6.563,0.0,0.0515,100.025,4.0,https://api.spotify.com/v1/tracks/0MpuMMLaWGLYHC9MxKc3VH,audio_features,spotify:track:0MpuMMLaWGLYHC9MxKc3VH,0.59
11,Deorro, Rise And Shine,unknown,0.00238,https://api.spotify.com/v1/audio-analysis/2jmbv50W0P2GPIpu2Dc7h5,3B,0.781,128906.0,0.773,2jmbv50W0P2GPIpu2Dc7h5,0.45,1.0,0.075,-7.627,1.0,0.116,127.999,4.0,https://api.spotify.com/v1/tracks/2jmbv50W0P2GPIpu2Dc7h5,audio_features,spotify:track:2jmbv50W0P2GPIpu2Dc7h5,0.521
12,Brooke Candy   Sia, Living Out Loud ,NOTD Remix,0.0866,https://api.spotify.com/v1/audio-analysis/1SADIoyAKTEWOER46haPsj,8A,0.595,203300.0,0.866,1SADIoyAKTEWOER46haPsj,0.0,9.0,0.117,-3.22,0.0,0.0903,139.979,4.0,https://api.spotify.com/v1/tracks/1SADIoyAKTEWOER46haPsj,audio_features,spotify:track:1SADIoyAKTEWOER46haPsj,0.498
13,Alayna, Falling Autumn,unknown,0.451,https://api.spotify.com/v1/audio-analysis/3ykujidUtB16GxCQgPU1sz,12A,0.696,225453.0,0.462,3ykujidUtB16GxCQgPU1sz,1.13e-06,1.0,0.103,-6.231,0.0,0.0485,131.107,4.0,https://api.spotify.com/v1/tracks/3ykujidUtB16GxCQgPU1sz,audio_features,spotify:track:3ykujidUtB16GxCQgPU1sz,0.252
14,Snakehips MØ, Don't Leave ,Ekali Remix,,,,,,,,,,,,,,,,,,,
15,Flume   Tove Lo, Say It,unknown,0.0668,https://api.spotify.com/v1/audio-analysis/5aOpzm8W8zysk4asB9hxJw,2A,0.598,262521.0,0.532,5aOpzm8W8zysk4asB9hxJw,3.22e-06,3.0,0.0617,-6.833,0.0,0.0295,74.963,4.0,https://api.spotify.com/v1/tracks/5aOpzm8W8zysk4asB9hxJw,audio_features,spotify:track:5aOpzm8W8zysk4asB9hxJw,0.261
16,Flume   Pusha T, Enough,unknown,0.0555,https://api.spotify.com/v1/audio-analysis/57O9wvanius3PMAO2TlzEx,1B,0.317,192293.0,0.87,57O9wvanius3PMAO2TlzEx,0.000251,11.0,0.18,-5.529,1.0,0.135,99.935,4.0,https://api.spotify.com/v1/tracks/57O9wvanius3PMAO2TlzEx,audio_features,spotify:track:57O9wvanius3PMAO2TlzEx,0.283
17,The Chainsmokers   Halsey, Closer ,R3hab Remix,0.081,https://api.spotify.com/v1/audio-analysis/0Ye1olMyvB2rLjZ4vlYVWI,4B,0.775,161120.0,0.559,0Ye1olMyvB2rLjZ4vlYVWI,0.0,8.0,0.219,-5.89,1.0,0.0417,100.042,4.0,https://api.spotify.com/v1/tracks/0Ye1olMyvB2rLjZ4vlYVWI,audio_features,spotify:track:0Ye1olMyvB2rLjZ4vlYVWI,0.408
