,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Galantis   FTampa Kenneth G, 97 ,Kenneth G Mashup,0.000395,https://api.spotify.com/v1/audio-analysis/4PTFVYYpaMyi3JMN7PZdeP,3B,0.51,234667.0,0.941,4PTFVYYpaMyi3JMN7PZdeP,0.0585,1.0,0.23,-6.358,1.0,0.0835,128.996,4.0,https://api.spotify.com/v1/tracks/4PTFVYYpaMyi3JMN7PZdeP,audio_features,spotify:track:4PTFVYYpaMyi3JMN7PZdeP,0.304
1,Kenneth G, Rage,unknown,0.00395,https://api.spotify.com/v1/audio-analysis/1eIbNDoYGJfmZEeAFTzYAN,3B,0.708,286965.0,0.962,1eIbNDoYGJfmZEeAFTzYAN,0.867,1.0,0.0941,-2.985,1.0,0.0563,128.03,4.0,https://api.spotify.com/v1/tracks/1eIbNDoYGJfmZEeAFTzYAN,audio_features,spotify:track:1eIbNDoYGJfmZEeAFTzYAN,0.306
2,Curbi, Shinai,unknown,0.0159,https://api.spotify.com/v1/audio-analysis/3Oh092rIoSMFzYcJDLw3X3,4A,0.705,198760.0,0.962,3Oh092rIoSMFzYcJDLw3X3,0.582,5.0,0.0484,-2.105,0.0,0.0534,127.989,4.0,https://api.spotify.com/v1/tracks/3Oh092rIoSMFzYcJDLw3X3,audio_features,spotify:track:3Oh092rIoSMFzYcJDLw3X3,0.0374
3,Eptic, Eat My Dust,unknown,0.0906,https://api.spotify.com/v1/audio-analysis/0MWh4HE2dRw437x1IYCSte,4A,0.804,234375.0,0.995,0MWh4HE2dRw437x1IYCSte,0.475,5.0,0.264,-3.118,0.0,0.27,128.013,4.0,https://api.spotify.com/v1/tracks/0MWh4HE2dRw437x1IYCSte,audio_features,spotify:track:0MWh4HE2dRw437x1IYCSte,0.101
4,Wiwek Moksi   Quintino, Masta ,MOTi & Kenneth G Mashup,0.00901,https://api.spotify.com/v1/audio-analysis/7tgX0Gs6hKDxdBJLMJbqbJ,2B,0.678,197115.0,0.792,7tgX0Gs6hKDxdBJLMJbqbJ,0.711,6.0,0.0956,-5.244,1.0,0.0566,128.005,4.0,https://api.spotify.com/v1/tracks/7tgX0Gs6hKDxdBJLMJbqbJ,audio_features,spotify:track:7tgX0Gs6hKDxdBJLMJbqbJ,0.682
5,MOTi Kenneth G, East West,unknown,0.00485,https://api.spotify.com/v1/audio-analysis/6XHwtkdoqK7vpOGvHHFYrp,3B,0.581,147840.0,0.926,6XHwtkdoqK7vpOGvHHFYrp,0.735,1.0,0.263,-3.192,1.0,0.139,125.137,4.0,https://api.spotify.com/v1/tracks/6XHwtkdoqK7vpOGvHHFYrp,audio_features,spotify:track:6XHwtkdoqK7vpOGvHHFYrp,0.401
6,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,Robin Schulz David Guetta   Cheat Codes, Shed A Light ,MOTi Remix,0.00497,https://api.spotify.com/v1/audio-analysis/1ftzZWaKP6ny1bmQI6aZJV,3B,0.664,271475.0,0.8,1ftzZWaKP6ny1bmQI6aZJV,0.0285,1.0,0.306,-6.916,1.0,0.0406,122.021,4.0,https://api.spotify.com/v1/tracks/1ftzZWaKP6ny1bmQI6aZJV,audio_features,spotify:track:1ftzZWaKP6ny1bmQI6aZJV,0.61
8,Eptic, Spellbound ,LOUD ABOVT US! Bootleg,0.0481,https://api.spotify.com/v1/audio-analysis/3QRxV2c69JXp1BjKzWysQy,3B,0.735,311172.0,0.915,3QRxV2c69JXp1BjKzWysQy,0.0,1.0,0.534,-5.375,1.0,0.248,144.979,4.0,https://api.spotify.com/v1/tracks/3QRxV2c69JXp1BjKzWysQy,audio_features,spotify:track:3QRxV2c69JXp1BjKzWysQy,0.468
9,MOTi, ID,unknown,,,,,,,,,,,,,,,,,,,
