,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sephyx, Sound Of Sephyx,unknown,0.0149,https://api.spotify.com/v1/audio-analysis/2tLrnRZas1KVcfqVwfVX8e,3B,0.356,252022.0,0.857,2tLrnRZas1KVcfqVwfVX8e,0.00446,1.0,0.1,-4.776,1.0,0.0684,149.219,4.0,https://api.spotify.com/v1/tracks/2tLrnRZas1KVcfqVwfVX8e,audio_features,spotify:track:2tLrnRZas1KVcfqVwfVX8e,0.222
1,Gareth Emery   Christina Novelli, Concrete Angel ,Coone & Code Black Remix,0.0062,https://api.spotify.com/v1/audio-analysis/2sMmOf67mSj2eLekHYbAVN,9B,0.522,235982.0,0.95,2sMmOf67mSj2eLekHYbAVN,0.00738,7.0,0.366,-2.612,1.0,0.0573,150.027,4.0,https://api.spotify.com/v1/tracks/2sMmOf67mSj2eLekHYbAVN,audio_features,spotify:track:2sMmOf67mSj2eLekHYbAVN,0.115
2,Sephyx Bonnie X Clyde, Where It Hurts,unknown,0.00112,https://api.spotify.com/v1/audio-analysis/58L5Hzc19P2R3xbNWuPJsA,9A,0.485,175804.0,0.833,58L5Hzc19P2R3xbNWuPJsA,2.32e-05,4.0,0.385,-3.938,0.0,0.0331,150.073,4.0,https://api.spotify.com/v1/tracks/58L5Hzc19P2R3xbNWuPJsA,audio_features,spotify:track:58L5Hzc19P2R3xbNWuPJsA,0.0913
3,Blademasterz, Melody Of The Blade,unknown,0.185,https://api.spotify.com/v1/audio-analysis/3fD7R1pntLuqG76Pww81WA,9A,0.567,212800.0,0.817,3fD7R1pntLuqG76Pww81WA,2.52e-06,4.0,0.195,-4.142,0.0,0.0677,149.984,3.0,https://api.spotify.com/v1/tracks/3fD7R1pntLuqG76Pww81WA,audio_features,spotify:track:3fD7R1pntLuqG76Pww81WA,0.302
4,Zatox, Indigo,unknown,0.000862,https://api.spotify.com/v1/audio-analysis/6151qXIEyqj6dayTOM5h21,3B,0.485,147200.0,0.998,6151qXIEyqj6dayTOM5h21,0.175,1.0,0.346,-4.829,1.0,0.342,150.02,4.0,https://api.spotify.com/v1/tracks/6151qXIEyqj6dayTOM5h21,audio_features,spotify:track:6151qXIEyqj6dayTOM5h21,0.07
5,Toneshifterz, Psychedelic Wasteland,unknown,0.223,https://api.spotify.com/v1/audio-analysis/0BmqkgXYzTamJ6hlUaNwx2,12A,0.756,329600.0,0.954,0BmqkgXYzTamJ6hlUaNwx2,0.000353,1.0,0.102,-5.41,0.0,0.236,150.009,4.0,https://api.spotify.com/v1/tracks/0BmqkgXYzTamJ6hlUaNwx2,audio_features,spotify:track:0BmqkgXYzTamJ6hlUaNwx2,0.286
6,Psyko Punkz, Dance,unknown,0.00836,https://api.spotify.com/v1/audio-analysis/4lJAHAMuSCeWzuXhwfutAr,9A,0.51,176000.0,0.801,4lJAHAMuSCeWzuXhwfutAr,0.0,4.0,0.105,-5.767,0.0,0.0494,150.02,4.0,https://api.spotify.com/v1/tracks/4lJAHAMuSCeWzuXhwfutAr,audio_features,spotify:track:4lJAHAMuSCeWzuXhwfutAr,0.0912
7,Wildstylez Ran,D ,unknown,0.28,https://api.spotify.com/v1/audio-analysis/4DKgW2VzcO0aRgHbEgsWRR,11B,0.75,140867.0,0.533,4DKgW2VzcO0aRgHbEgsWRR,3.59e-05,9.0,0.174,-10.289,1.0,0.102,81.993,4.0,https://api.spotify.com/v1/tracks/4DKgW2VzcO0aRgHbEgsWRR,audio_features,spotify:track:4DKgW2VzcO0aRgHbEgsWRR,0.883
8,Sephyx, Lights,unknown,0.00877,https://api.spotify.com/v1/audio-analysis/4jmpLry5HX1NuxXlPKhHg3,6A,0.548,171562.0,0.917,4jmpLry5HX1NuxXlPKhHg3,0.281,7.0,0.277,-4.608,0.0,0.0457,112.536,3.0,https://api.spotify.com/v1/tracks/4jmpLry5HX1NuxXlPKhHg3,audio_features,spotify:track:4jmpLry5HX1NuxXlPKhHg3,0.268
9,Atmozfears, Living For The Future,unknown,0.00458,https://api.spotify.com/v1/audio-analysis/6MBZqbhB1T40FC3Dj2nvNO,5A,0.55,288412.0,0.986,6MBZqbhB1T40FC3Dj2nvNO,0.00301,0.0,0.096,-2.898,0.0,0.0688,150.0,4.0,https://api.spotify.com/v1/tracks/6MBZqbhB1T40FC3Dj2nvNO,audio_features,spotify:track:6MBZqbhB1T40FC3Dj2nvNO,0.34
10,Darren Styles Re,Con ft. Matthew Steeper ,Da Tweekaz Remix,,,,,,,,,,,,,,,,,,,
11,Audiotricz, Let There Be Light,unknown,0.019,https://api.spotify.com/v1/audio-analysis/6DUXTNrILvMUEPtj8PIYyO,11B,0.518,189200.0,0.77,6DUXTNrILvMUEPtj8PIYyO,0.194,9.0,0.355,-6.15,1.0,0.0634,150.008,4.0,https://api.spotify.com/v1/tracks/6DUXTNrILvMUEPtj8PIYyO,audio_features,spotify:track:6DUXTNrILvMUEPtj8PIYyO,0.068
12,Wildstylez Hard Driver, Get Wild Go Hard,unknown,0.00307,https://api.spotify.com/v1/audio-analysis/76LuMmWqoQRJVXWa7geAa4,3A,0.521,192007.0,0.959,76LuMmWqoQRJVXWa7geAa4,1.94e-05,10.0,0.616,-4.811,0.0,0.149,150.01,4.0,https://api.spotify.com/v1/tracks/76LuMmWqoQRJVXWa7geAa4,audio_features,spotify:track:76LuMmWqoQRJVXWa7geAa4,0.0768
13,Bass Modulators, Shadows,unknown,0.00231,https://api.spotify.com/v1/audio-analysis/4C5uwjs9MXHBEqA3d70QGU,2B,0.456,214394.0,0.945,4C5uwjs9MXHBEqA3d70QGU,0.766,6.0,0.253,-3.699,1.0,0.0391,149.954,4.0,https://api.spotify.com/v1/tracks/4C5uwjs9MXHBEqA3d70QGU,audio_features,spotify:track:4C5uwjs9MXHBEqA3d70QGU,0.21
14,Sephyx, Monster,unknown,0.000608,https://api.spotify.com/v1/audio-analysis/2EB9VgnA5rW4b7qSdF8LbF,12A,0.445,192004.0,0.846,2EB9VgnA5rW4b7qSdF8LbF,0.00082,1.0,0.352,-3.455,0.0,0.0465,149.858,4.0,https://api.spotify.com/v1/tracks/2EB9VgnA5rW4b7qSdF8LbF,audio_features,spotify:track:2EB9VgnA5rW4b7qSdF8LbF,0.248
