,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Ruben De Ronde, Dreamers,unknown,1.71e-05,https://api.spotify.com/v1/audio-analysis/3BS6vzzYVDdoNCtgX5RlfC,1B,0.425,250000.0,0.85,3BS6vzzYVDdoNCtgX5RlfC,0.764,11.0,0.0608,-2.848,1.0,0.0374,183.986,4.0,https://api.spotify.com/v1/tracks/3BS6vzzYVDdoNCtgX5RlfC,audio_features,spotify:track:3BS6vzzYVDdoNCtgX5RlfC,0.722
1,Armin van Buuren   Fiora, Waiting For The Night ,Ruben De Ronde Remix,0.017,https://api.spotify.com/v1/audio-analysis/2sokEjNK2Va3d3Vb9MDxyK,3B,0.649,291429.0,0.794,2sokEjNK2Va3d3Vb9MDxyK,0.342,1.0,0.399,-6.674,1.0,0.0476,126.0,4.0,https://api.spotify.com/v1/tracks/2sokEjNK2Va3d3Vb9MDxyK,audio_features,spotify:track:2sokEjNK2Va3d3Vb9MDxyK,0.218
2,Ruben De Ronde X Rodg X Louise Rademakers, Riptide ,Solid Stone Remix,0.0313,https://api.spotify.com/v1/audio-analysis/2MJEs0nwdMxa0TEBRUyOgC,6A,0.665,194219.0,0.702,2MJEs0nwdMxa0TEBRUyOgC,0.755,7.0,0.238,-9.875,0.0,0.0407,122.996,4.0,https://api.spotify.com/v1/tracks/2MJEs0nwdMxa0TEBRUyOgC,audio_features,spotify:track:2MJEs0nwdMxa0TEBRUyOgC,0.194
3,Ruben De Ronde X Rodg, Pull A Lewie,unknown,0.0659,https://api.spotify.com/v1/audio-analysis/7oM8IC7jK6XWMF0jGBEghW,3B,0.773,204000.0,0.642,7oM8IC7jK6XWMF0jGBEghW,0.0552,1.0,0.519,-6.641,1.0,0.0804,127.991,4.0,https://api.spotify.com/v1/tracks/7oM8IC7jK6XWMF0jGBEghW,audio_features,spotify:track:7oM8IC7jK6XWMF0jGBEghW,0.247
4,Ruben De Ronde X Rodg, Strobe Machine,unknown,0.000566,https://api.spotify.com/v1/audio-analysis/6XgWcT4FSqv5Fx1qAtDFVq,3B,0.747,185689.0,0.949,6XgWcT4FSqv5Fx1qAtDFVq,0.75,1.0,0.262,-5.637,1.0,0.0496,127.939,4.0,https://api.spotify.com/v1/tracks/6XgWcT4FSqv5Fx1qAtDFVq,audio_features,spotify:track:6XgWcT4FSqv5Fx1qAtDFVq,0.037
5,Estiva, Barba,unknown,4.56e-05,https://api.spotify.com/v1/audio-analysis/5UCuCyeCuZIl7YjpOH5axk,1B,0.379,182855.0,0.907,5UCuCyeCuZIl7YjpOH5axk,0.739,11.0,0.25,-11.333,1.0,0.0403,125.927,4.0,https://api.spotify.com/v1/tracks/5UCuCyeCuZIl7YjpOH5axk,audio_features,spotify:track:5UCuCyeCuZIl7YjpOH5axk,0.213
6,Ruben De Ronde X Rodg, Whoop,unknown,0.0174,https://api.spotify.com/v1/audio-analysis/46XeKClXvOR5Cx1w40FKGA,3B,0.594,175656.0,0.913,46XeKClXvOR5Cx1w40FKGA,0.00773,1.0,0.32,-6.307,1.0,0.0966,130.038,4.0,https://api.spotify.com/v1/tracks/46XeKClXvOR5Cx1w40FKGA,audio_features,spotify:track:46XeKClXvOR5Cx1w40FKGA,0.252
7,Ruben De Ronde X Rodg Estiva, Intergalactic,unknown,3.38e-05,https://api.spotify.com/v1/audio-analysis/0zRZfKBB7E3H24w639fO4R,10A,0.455,255085.0,0.968,0zRZfKBB7E3H24w639fO4R,0.869,11.0,0.282,-5.468,0.0,0.0523,127.962,4.0,https://api.spotify.com/v1/tracks/0zRZfKBB7E3H24w639fO4R,audio_features,spotify:track:0zRZfKBB7E3H24w639fO4R,0.168
8,Ruben De Ronde Kimberly Hale, All In,unknown,0.00997,https://api.spotify.com/v1/audio-analysis/3AokgleAUj8UKj13xKukRC,10A,0.654,263906.0,0.768,3AokgleAUj8UKj13xKukRC,0.0628,11.0,0.0832,-4.998,0.0,0.0314,128.008,4.0,https://api.spotify.com/v1/tracks/3AokgleAUj8UKj13xKukRC,audio_features,spotify:track:3AokgleAUj8UKj13xKukRC,0.0749
9,Ruben De Ronde, Save Me,unknown,0.0053,https://api.spotify.com/v1/audio-analysis/0R77B2i0L1Th6UG4QNdnRw,7B,0.659,211851.0,0.785,0R77B2i0L1Th6UG4QNdnRw,0.00985,5.0,0.349,-5.19,1.0,0.0498,128.031,4.0,https://api.spotify.com/v1/tracks/0R77B2i0L1Th6UG4QNdnRw,audio_features,spotify:track:0R77B2i0L1Th6UG4QNdnRw,0.295
10,Ruben De Ronde PROFF   Deirdre Mclaughlin, Fade Away With Me,unknown,3.48e-05,https://api.spotify.com/v1/audio-analysis/65Zi68UEXbQr1KHzPD7cQW,8A,0.637,206702.0,0.875,65Zi68UEXbQr1KHzPD7cQW,0.215,9.0,0.337,-5.645,0.0,0.0397,126.026,4.0,https://api.spotify.com/v1/tracks/65Zi68UEXbQr1KHzPD7cQW,audio_features,spotify:track:65Zi68UEXbQr1KHzPD7cQW,0.471
11,Ruben De Ronde X Rodg Ben Gold, Bombsquadkittens,unknown,0.692,https://api.spotify.com/v1/audio-analysis/6lJvfqspGRLmLlWANdOcrR,9A,0.487,66500.0,0.732,6lJvfqspGRLmLlWANdOcrR,0.964,4.0,0.229,-10.061,0.0,0.0937,117.899,4.0,https://api.spotify.com/v1/tracks/6lJvfqspGRLmLlWANdOcrR,audio_features,spotify:track:6lJvfqspGRLmLlWANdOcrR,0.145
