,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Maribou State   Khruangbin, Feel Good,unknown,0.328,https://api.spotify.com/v1/audio-analysis/3PURbsY67tLMyausOABtit,9A,0.566,267201.0,0.757,3PURbsY67tLMyausOABtit,0.84,4.0,0.396,-8.37,0.0,0.0355,102.016,4.0,https://api.spotify.com/v1/tracks/3PURbsY67tLMyausOABtit,audio_features,spotify:track:3PURbsY67tLMyausOABtit,0.403
1,Bondax   Aquilo, Deeper,unknown,0.0292,https://api.spotify.com/v1/audio-analysis/1PGwrY6gFTa0ucEnO0ObuT,11A,0.827,222160.0,0.664,1PGwrY6gFTa0ucEnO0ObuT,2.67e-05,6.0,0.346,-6.844,0.0,0.0649,122.023,4.0,https://api.spotify.com/v1/tracks/1PGwrY6gFTa0ucEnO0ObuT,audio_features,spotify:track:1PGwrY6gFTa0ucEnO0ObuT,0.934
2,Grace Carter, Why Her Not Me ,Channel Tres Remix,0.0397,https://api.spotify.com/v1/audio-analysis/41z1FlA1qyfbpz1NRJW7Cz,8A,0.777,216803.0,0.589,41z1FlA1qyfbpz1NRJW7Cz,0.788,9.0,0.153,-9.742,0.0,0.0419,124.997,4.0,https://api.spotify.com/v1/tracks/41z1FlA1qyfbpz1NRJW7Cz,audio_features,spotify:track:41z1FlA1qyfbpz1NRJW7Cz,0.24
3,NAO   A.K. Paul, So Good,unknown,0.318,https://api.spotify.com/v1/audio-analysis/2xBqTlrFA93Sozm7XLI87A,9A,0.593,180687.0,0.211,2xBqTlrFA93Sozm7XLI87A,0.0,4.0,0.101,-8.249,0.0,0.273,96.024,5.0,https://api.spotify.com/v1/tracks/2xBqTlrFA93Sozm7XLI87A,audio_features,spotify:track:2xBqTlrFA93Sozm7XLI87A,0.834
4,Clean Bandit   Demi Lovato, Solo ,Syn Cole Remix,0.0166,https://api.spotify.com/v1/audio-analysis/2VpFnn8Eg5PlriOVb98FJw,10A,0.772,249677.0,0.746,2VpFnn8Eg5PlriOVb98FJw,3.95e-06,11.0,0.0453,-3.79,0.0,0.0377,123.98,4.0,https://api.spotify.com/v1/tracks/2VpFnn8Eg5PlriOVb98FJw,audio_features,spotify:track:2VpFnn8Eg5PlriOVb98FJw,0.775
5,Fatboy Slim, Gangster Trippin ,Sultan + Shepard Remix,0.102,https://api.spotify.com/v1/audio-analysis/19VVmenPRBEdWwg0Vp2lKh,9B,0.679,191160.0,0.985,19VVmenPRBEdWwg0Vp2lKh,0.0107,7.0,0.33,-3.357,1.0,0.0617,124.953,4.0,https://api.spotify.com/v1/tracks/19VVmenPRBEdWwg0Vp2lKh,audio_features,spotify:track:19VVmenPRBEdWwg0Vp2lKh,0.462
6,Bazzi   Camila Cabello, Beautiful ,EDX Remix,0.0611,https://api.spotify.com/v1/audio-analysis/6AZ21kPj2a0INgf3uCviVu,10B,0.69,187869.0,0.862,6AZ21kPj2a0INgf3uCviVu,1.85e-05,2.0,0.238,-4.154,1.0,0.0944,121.975,4.0,https://api.spotify.com/v1/tracks/6AZ21kPj2a0INgf3uCviVu,audio_features,spotify:track:6AZ21kPj2a0INgf3uCviVu,0.453
7,Igloo   Nina Jade, Bahama Dreams,unknown,0.018,https://api.spotify.com/v1/audio-analysis/6h8jNsPOUDB8cdUb3tcF8s,11A,0.712,190006.0,0.901,6h8jNsPOUDB8cdUb3tcF8s,0.00385,6.0,0.123,-4.24,0.0,0.0353,124.008,4.0,https://api.spotify.com/v1/tracks/6h8jNsPOUDB8cdUb3tcF8s,audio_features,spotify:track:6h8jNsPOUDB8cdUb3tcF8s,0.777
8,Duke Dumont, Runway,unknown,0.0681,https://api.spotify.com/v1/audio-analysis/3UCOxTSO17cTWgIwMxElUA,1A,0.832,160480.0,0.801,3UCOxTSO17cTWgIwMxElUA,0.00786,8.0,0.105,-6.237,0.0,0.336,125.979,4.0,https://api.spotify.com/v1/tracks/3UCOxTSO17cTWgIwMxElUA,audio_features,spotify:track:3UCOxTSO17cTWgIwMxElUA,0.293
9,Disclosure Friend Within, The Mechanism,unknown,0.0269,https://api.spotify.com/v1/audio-analysis/6extgyeYdF9MW3gBe91rY4,10A,0.811,386738.0,0.806,6extgyeYdF9MW3gBe91rY4,0.141,11.0,0.035,-6.65,0.0,0.263,120.053,4.0,https://api.spotify.com/v1/tracks/6extgyeYdF9MW3gBe91rY4,audio_features,spotify:track:6extgyeYdF9MW3gBe91rY4,0.633
