,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sam Feldt Deepend   Teemu, Runaways ,Muzzaik & Stadiumx Remix,0.297,https://api.spotify.com/v1/audio-analysis/522qX6uz7EBHogZtIquQ3w,1B,0.645,210530.0,0.94,522qX6uz7EBHogZtIquQ3w,6.27e-05,11.0,0.15,-2.022,1.0,0.0484,126.053,4.0,https://api.spotify.com/v1/tracks/522qX6uz7EBHogZtIquQ3w,audio_features,spotify:track:522qX6uz7EBHogZtIquQ3w,0.753
1,w/ Sam Feldt Deepend   Teemu, Runaways ,Jay Hardway Remix,0.96,https://api.spotify.com/v1/audio-analysis/0sXOTpVVDCR2rs4MsjwS7G,11B,0.422,191704.0,0.0341,0sXOTpVVDCR2rs4MsjwS7G,1.05e-05,9.0,0.11,-18.41,1.0,0.0625,205.354,4.0,https://api.spotify.com/v1/tracks/0sXOTpVVDCR2rs4MsjwS7G,audio_features,spotify:track:0sXOTpVVDCR2rs4MsjwS7G,0.233
2,Sam Feldt Hook N Sling, Open Your Eyes,unknown,0.0023,https://api.spotify.com/v1/audio-analysis/0uLKe11CKz2QIZjkqWYnCK,4A,0.658,188813.0,0.863,0uLKe11CKz2QIZjkqWYnCK,3.9e-05,5.0,0.0812,-5.544,0.0,0.0396,121.927,4.0,https://api.spotify.com/v1/tracks/0uLKe11CKz2QIZjkqWYnCK,audio_features,spotify:track:0uLKe11CKz2QIZjkqWYnCK,0.382
3,w/ Sam Feldt Hook N Sling, Open Your Eyes ,Club Mix,0.963,https://api.spotify.com/v1/audio-analysis/1Gpedygu85qEllELXBcwqQ,8B,0.67,150628.0,0.188,1Gpedygu85qEllELXBcwqQ,3e-05,0.0,0.11,-8.826,1.0,0.0497,104.166,4.0,https://api.spotify.com/v1/tracks/1Gpedygu85qEllELXBcwqQ,audio_features,spotify:track:1Gpedygu85qEllELXBcwqQ,0.554
4,Sam Feldt X Lucas Steve   Wulf, Summer On You ,Club Edit,0.0295,https://api.spotify.com/v1/audio-analysis/0o8PAzsSLDa4MVQJixGVty,6A,0.731,160009.0,0.727,0o8PAzsSLDa4MVQJixGVty,4.56e-06,7.0,0.171,-5.608,0.0,0.0356,120.968,4.0,https://api.spotify.com/v1/tracks/0o8PAzsSLDa4MVQJixGVty,audio_features,spotify:track:0o8PAzsSLDa4MVQJixGVty,0.601
5,w/ Major Lazer DJ Snake   MØ, Lean On ,Acapella,0.00346,https://api.spotify.com/v1/audio-analysis/5wldXGLEOoRXxMWJ8rIUWE,6A,0.723,176561.0,0.809,5wldXGLEOoRXxMWJ8rIUWE,0.00123,7.0,0.565,-3.081,0.0,0.0625,98.007,4.0,https://api.spotify.com/v1/tracks/5wldXGLEOoRXxMWJ8rIUWE,audio_features,spotify:track:5wldXGLEOoRXxMWJ8rIUWE,0.274
6,Sam Feldt, ID,unknown,0.769,https://api.spotify.com/v1/audio-analysis/0jaazBya4GKJUHKoXoWtBp,9B,0.558,142560.0,0.341,0jaazBya4GKJUHKoXoWtBp,0.0,7.0,0.117,-8.914,1.0,0.0331,139.087,4.0,https://api.spotify.com/v1/tracks/0jaazBya4GKJUHKoXoWtBp,audio_features,spotify:track:0jaazBya4GKJUHKoXoWtBp,0.72
7,Sam Feldt, Been A While ,Madison Mars Remix,0.00858,https://api.spotify.com/v1/audio-analysis/2brlguJCJcH55OWZnITLtX,12A,0.629,179705.0,0.923,2brlguJCJcH55OWZnITLtX,0.000347,1.0,0.372,-3.13,0.0,0.0824,126.03,4.0,https://api.spotify.com/v1/tracks/2brlguJCJcH55OWZnITLtX,audio_features,spotify:track:2brlguJCJcH55OWZnITLtX,0.276
8,Sam Feldt   Kimberly Anne, Show Me Love ,EDX Indian Summer Remix,0.287,https://api.spotify.com/v1/audio-analysis/4bAmAVdks2Y84VNVVLXFwN,8B,0.596,180336.0,0.666,4bAmAVdks2Y84VNVVLXFwN,0.000454,0.0,0.0733,-5.825,1.0,0.0943,117.057,4.0,https://api.spotify.com/v1/tracks/4bAmAVdks2Y84VNVVLXFwN,audio_features,spotify:track:4bAmAVdks2Y84VNVVLXFwN,0.708
9,Sam Feldt, What About The Love,unknown,0.0262,https://api.spotify.com/v1/audio-analysis/6DORP4UQQSVx1t0NpJ13hP,11B,0.712,191266.0,0.634,6DORP4UQQSVx1t0NpJ13hP,9.1e-06,9.0,0.0918,-5.158,1.0,0.035,125.988,4.0,https://api.spotify.com/v1/tracks/6DORP4UQQSVx1t0NpJ13hP,audio_features,spotify:track:6DORP4UQQSVx1t0NpJ13hP,0.277
10,King Arthur   TRM, Right Now ,Sam Feldt Edit,0.152,https://api.spotify.com/v1/audio-analysis/4EupaZnUh9CBOTisAoGesq,12B,0.657,197584.0,0.941,4EupaZnUh9CBOTisAoGesq,3.76e-06,4.0,0.282,-2.255,1.0,0.033,123.075,4.0,https://api.spotify.com/v1/tracks/4EupaZnUh9CBOTisAoGesq,audio_features,spotify:track:4EupaZnUh9CBOTisAoGesq,0.615
11,Bakermat, Baby,unknown,0.135,https://api.spotify.com/v1/audio-analysis/1bA2ZK7CFxEMnyn1dWP2jp,12A,0.708,160053.0,0.922,1bA2ZK7CFxEMnyn1dWP2jp,0.0513,1.0,0.225,-2.715,0.0,0.116,125.961,4.0,https://api.spotify.com/v1/tracks/1bA2ZK7CFxEMnyn1dWP2jp,audio_features,spotify:track:1bA2ZK7CFxEMnyn1dWP2jp,0.637
12,Major Lazer   Nyla, Light It Up ,Quintino Remix,0.0375,https://api.spotify.com/v1/audio-analysis/0TQ1FvC8TJ09iibSfwRP81,8A,0.747,166138.0,0.877,0TQ1FvC8TJ09iibSfwRP81,0.000833,9.0,0.233,-3.782,0.0,0.0664,107.991,4.0,https://api.spotify.com/v1/tracks/0TQ1FvC8TJ09iibSfwRP81,audio_features,spotify:track:0TQ1FvC8TJ09iibSfwRP81,0.752
13,w/ Mike Mago Dragonette, Secret Stash ,The Him Remix,0.0473,https://api.spotify.com/v1/audio-analysis/2JmAlHyfooRkDCAMVh7JQ2,8B,0.686,226604.0,0.851,2JmAlHyfooRkDCAMVh7JQ2,0.0195,0.0,0.109,-2.723,1.0,0.0476,123.055,4.0,https://api.spotify.com/v1/tracks/2JmAlHyfooRkDCAMVh7JQ2,audio_features,spotify:track:2JmAlHyfooRkDCAMVh7JQ2,0.385
