,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Fatum, Mowgli,unknown,0.00145,https://api.spotify.com/v1/audio-analysis/0gDvRFAWbRGjiQckmbapKj,9A,0.463,268089.0,0.958,0gDvRFAWbRGjiQckmbapKj,0.565,4.0,0.173,-4.416,0.0,0.0513,125.958,4.0,https://api.spotify.com/v1/tracks/0gDvRFAWbRGjiQckmbapKj,audio_features,spotify:track:0gDvRFAWbRGjiQckmbapKj,0.0542
1,Freyer, Roller,unknown,0.00972,https://api.spotify.com/v1/audio-analysis/4eObkmBEcW15L6n8ReyDPR,3A,0.74,181190.0,0.952,4eObkmBEcW15L6n8ReyDPR,0.674,10.0,0.367,-3.945,0.0,0.0804,125.974,4.0,https://api.spotify.com/v1/tracks/4eObkmBEcW15L6n8ReyDPR,audio_features,spotify:track:4eObkmBEcW15L6n8ReyDPR,0.594
2,Toby Green, Ready,unknown,0.000103,https://api.spotify.com/v1/audio-analysis/4kUhGR7prYS8wTy5G91OZy,10B,0.65,171290.0,0.921,4kUhGR7prYS8wTy5G91OZy,0.54,2.0,0.0719,-3.836,1.0,0.0524,123.984,4.0,https://api.spotify.com/v1/tracks/4kUhGR7prYS8wTy5G91OZy,audio_features,spotify:track:4kUhGR7prYS8wTy5G91OZy,0.298
3,D.O.D, Glow,unknown,0.549,https://api.spotify.com/v1/audio-analysis/5FCMtcrNxuaw1PCN0xDG2t,12A,0.619,192877.0,0.91,5FCMtcrNxuaw1PCN0xDG2t,0.0,1.0,0.328,-2.761,0.0,0.133,125.972,4.0,https://api.spotify.com/v1/tracks/5FCMtcrNxuaw1PCN0xDG2t,audio_features,spotify:track:5FCMtcrNxuaw1PCN0xDG2t,0.412
4,Q.T. Quartet   Marco V, Hold That Sucker Down ,Sander van Doorn Mashup,0.00474,https://api.spotify.com/v1/audio-analysis/5ldghiPoPt7crWCSqmGJik,10A,0.568,398107.0,0.886,5ldghiPoPt7crWCSqmGJik,0.914,11.0,0.137,-4.532,0.0,0.0322,129.027,4.0,https://api.spotify.com/v1/tracks/5ldghiPoPt7crWCSqmGJik,audio_features,spotify:track:5ldghiPoPt7crWCSqmGJik,0.12
5,David Tort, Tatiana,unknown,0.00619,https://api.spotify.com/v1/audio-analysis/5JtQqOjTeMbm07Jt4u9Ld6,9A,0.693,189283.0,0.91,5JtQqOjTeMbm07Jt4u9Ld6,0.781,4.0,0.123,-7.62,0.0,0.0485,123.009,4.0,https://api.spotify.com/v1/tracks/5JtQqOjTeMbm07Jt4u9Ld6,audio_features,spotify:track:5JtQqOjTeMbm07Jt4u9Ld6,0.182
6,KhoMha, Aether,unknown,0.293,https://api.spotify.com/v1/audio-analysis/1KgDxnBdxwSRbG9ZLjksIx,4B,0.511,198180.0,0.898,1KgDxnBdxwSRbG9ZLjksIx,0.0316,8.0,0.11,-6.161,1.0,0.1,128.003,4.0,https://api.spotify.com/v1/tracks/1KgDxnBdxwSRbG9ZLjksIx,audio_features,spotify:track:1KgDxnBdxwSRbG9ZLjksIx,0.0395
7,Armin van Buuren, Blah Blah Blah,unknown,0.00897,https://api.spotify.com/v1/audio-analysis/1SlmnBIvGymszbbmeLYLvV,4A,0.612,183519.0,0.963,1SlmnBIvGymszbbmeLYLvV,0.00378,5.0,0.294,-3.912,0.0,0.0531,138.009,4.0,https://api.spotify.com/v1/tracks/1SlmnBIvGymszbbmeLYLvV,audio_features,spotify:track:1SlmnBIvGymszbbmeLYLvV,0.179
8,Purple Haze, ID,unknown,0.0555,https://api.spotify.com/v1/audio-analysis/7ovZrVOyT2FmGQA7wUQj1a,8B,0.422,244376.0,0.534,7ovZrVOyT2FmGQA7wUQj1a,0.0,0.0,0.153,-5.62,1.0,0.0272,82.587,4.0,https://api.spotify.com/v1/tracks/7ovZrVOyT2FmGQA7wUQj1a,audio_features,spotify:track:7ovZrVOyT2FmGQA7wUQj1a,0.475
9,Alex Metric Ten Ven, Otic,unknown,0.000639,https://api.spotify.com/v1/audio-analysis/0Y7jYT21EajziOCTyovfLT,5A,0.601,272000.0,0.869,0Y7jYT21EajziOCTyovfLT,0.954,0.0,0.0909,-7.674,0.0,0.0349,119.988,4.0,https://api.spotify.com/v1/tracks/0Y7jYT21EajziOCTyovfLT,audio_features,spotify:track:0Y7jYT21EajziOCTyovfLT,0.0768
