,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,LH4L   Billion Dollars, Neoprene ,Skrillex Remix,0.00234,https://api.spotify.com/v1/audio-analysis/2XKjM0qIo9rhA4B3tFkO86,4B,0.656,197950.0,0.877,2XKjM0qIo9rhA4B3tFkO86,0.616,8.0,0.22,-9.641,1.0,0.112,160.083,4.0,https://api.spotify.com/v1/tracks/2XKjM0qIo9rhA4B3tFkO86,audio_features,spotify:track:2XKjM0qIo9rhA4B3tFkO86,0.538
1,w/ Skrillex Damian Marley, Make It Bun Dem ,Acapella,0.00119,https://api.spotify.com/v1/audio-analysis/0mlf3yOGzVnIVxjybDQL3h,9B,0.556,213697.0,0.881,0mlf3yOGzVnIVxjybDQL3h,0.0,7.0,0.0709,-2.224,1.0,0.082,104.973,1.0,https://api.spotify.com/v1/tracks/0mlf3yOGzVnIVxjybDQL3h,audio_features,spotify:track:0mlf3yOGzVnIVxjybDQL3h,0.337
2,Schoolboy Q   Kendrick Lamar, Collard Greens ,GZ Remix,0.025,https://api.spotify.com/v1/audio-analysis/0zO8ctW0UiuOefR87OeJOZ,1B,0.825,299960.0,0.575,0zO8ctW0UiuOefR87OeJOZ,9.94e-06,11.0,0.205,-4.87,1.0,0.0633,153.954,4.0,https://api.spotify.com/v1/tracks/0zO8ctW0UiuOefR87OeJOZ,audio_features,spotify:track:0zO8ctW0UiuOefR87OeJOZ,0.65
3,Jack Ü   Snails Taranchyla, Holla Out,unknown,0.1,https://api.spotify.com/v1/audio-analysis/3LDKrOek8eqZA52IeauhrW,11A,0.639,256000.0,0.989,3LDKrOek8eqZA52IeauhrW,0.0,6.0,0.678,-2.842,0.0,0.497,149.983,4.0,https://api.spotify.com/v1/tracks/3LDKrOek8eqZA52IeauhrW,audio_features,spotify:track:3LDKrOek8eqZA52IeauhrW,0.382
4,Skrillex   Ragga Twins, All Is Fair In Love And Brostep,unknown,0.00112,https://api.spotify.com/v1/audio-analysis/3XThyUoEI8BPDjdu954Uof,1B,0.581,249120.0,0.925,3XThyUoEI8BPDjdu954Uof,0.0,11.0,0.406,-3.213,1.0,0.151,139.982,4.0,https://api.spotify.com/v1/tracks/3XThyUoEI8BPDjdu954Uof,audio_features,spotify:track:3XThyUoEI8BPDjdu954Uof,0.269
5,Yo Majesty, Club Action ,Smookie Illson Bootleg,0.363,https://api.spotify.com/v1/audio-analysis/6IGb2aTRQmc1NQmHd7soDf,3A,0.937,244053.0,0.861,6IGb2aTRQmc1NQmHd7soDf,0.0,10.0,0.083,-5.456,0.0,0.139,126.892,4.0,https://api.spotify.com/v1/tracks/6IGb2aTRQmc1NQmHd7soDf,audio_features,spotify:track:6IGb2aTRQmc1NQmHd7soDf,0.849
6,YOGI   Pusha T, Burial ,Skrillex & TrollPhace Remix,0.019,https://api.spotify.com/v1/audio-analysis/7DHX1Ng0V186U2idfFfjGi,10B,0.689,226849.0,0.935,7DHX1Ng0V186U2idfFfjGi,0.000299,2.0,0.24,-4.449,1.0,0.167,145.984,4.0,https://api.spotify.com/v1/tracks/7DHX1Ng0V186U2idfFfjGi,audio_features,spotify:track:7DHX1Ng0V186U2idfFfjGi,0.391
7,"A$AP Ferg   A$ap Rocky, French Montana, Schoolboy Q Trinidad", Work ,Remix,0.0246,https://api.spotify.com/v1/audio-analysis/7xVLFuuYdAvcTfcP3IG3dS,3B,0.841,283693.0,0.733,7xVLFuuYdAvcTfcP3IG3dS,0.0,1.0,0.174,-5.077,1.0,0.142,130.009,4.0,https://api.spotify.com/v1/tracks/7xVLFuuYdAvcTfcP3IG3dS,audio_features,spotify:track:7xVLFuuYdAvcTfcP3IG3dS,0.284
8,w/ MERCER DJ Snake, Lunatic ,Acapella,0.000452,https://api.spotify.com/v1/audio-analysis/46hVih7KosdGBHX4GqGys4,9A,0.63,288750.0,0.996,46hVih7KosdGBHX4GqGys4,0.285,4.0,0.0996,-2.121,0.0,0.176,127.979,4.0,https://api.spotify.com/v1/tracks/46hVih7KosdGBHX4GqGys4,audio_features,spotify:track:46hVih7KosdGBHX4GqGys4,0.124
9,w/ Ragga Twins, Bad Man ,Skrillex Remix,0.0344,https://api.spotify.com/v1/audio-analysis/6PP3BCQrkByud52IKWxJZe,11B,0.794,193213.0,0.719,6PP3BCQrkByud52IKWxJZe,0.000232,9.0,0.125,-10.017,1.0,0.0408,136.008,4.0,https://api.spotify.com/v1/tracks/6PP3BCQrkByud52IKWxJZe,audio_features,spotify:track:6PP3BCQrkByud52IKWxJZe,0.941
