,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Slushii, All I've Ever Wanted ,Lookas Remix,0.041,https://api.spotify.com/v1/audio-analysis/1w5GiowT8eXagycUBqcz2g,1A,0.619,222073.0,0.56,1w5GiowT8eXagycUBqcz2g,0.0,8.0,0.118,-5.584,0.0,0.0372,119.946,4.0,https://api.spotify.com/v1/tracks/1w5GiowT8eXagycUBqcz2g,audio_features,spotify:track:1w5GiowT8eXagycUBqcz2g,0.138
1,Slushii, Make Me Feel,unknown,0.00948,https://api.spotify.com/v1/audio-analysis/4B71ZSghPGMQrB0q07zfiN,1B,0.623,242208.0,0.945,4B71ZSghPGMQrB0q07zfiN,3.74e-05,11.0,0.356,-4.571,1.0,0.448,150.057,4.0,https://api.spotify.com/v1/tracks/4B71ZSghPGMQrB0q07zfiN,audio_features,spotify:track:4B71ZSghPGMQrB0q07zfiN,0.349
2,D.R.A.M.   Lil Yachty, Broccoli ,heRobust Busted Remix,0.0989,https://api.spotify.com/v1/audio-analysis/7BPMGuDQ3gn6doR8WnDcjY,4A,0.775,166087.0,0.57,7BPMGuDQ3gn6doR8WnDcjY,0.0,5.0,0.277,-9.921,0.0,0.428,161.888,4.0,https://api.spotify.com/v1/tracks/7BPMGuDQ3gn6doR8WnDcjY,audio_features,spotify:track:7BPMGuDQ3gn6doR8WnDcjY,0.618
3,graves Coolights, Say Things ,Crankdat Re-Crank,,,,,,,,,,,,,,,,,,,
4,Alan Walker   Iselin Solheim, Faded ,Slushii Remix,0.0291,https://api.spotify.com/v1/audio-analysis/7gHs73wELdeycvS48JfIos,2B,0.589,212627.0,0.651,7gHs73wELdeycvS48JfIos,3.2e-06,6.0,0.111,-5.097,1.0,0.0306,90.011,4.0,https://api.spotify.com/v1/tracks/7gHs73wELdeycvS48JfIos,audio_features,spotify:track:7gHs73wELdeycvS48JfIos,0.166
5,w/ Slushii, Emptiness,unknown,0.296,https://api.spotify.com/v1/audio-analysis/0IGIIcTPyuS1e5wPnUfqdd,7B,0.487,224400.0,0.429,0IGIIcTPyuS1e5wPnUfqdd,7e-05,5.0,0.16,-9.293,1.0,0.0273,100.014,4.0,https://api.spotify.com/v1/tracks/0IGIIcTPyuS1e5wPnUfqdd,audio_features,spotify:track:0IGIIcTPyuS1e5wPnUfqdd,0.0392
6,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,YOGI   Pusha T, Burial ,Skrillex & TrollPhace Remix / Slushii Flip,0.019,https://api.spotify.com/v1/audio-analysis/7DHX1Ng0V186U2idfFfjGi,10B,0.689,226849.0,0.935,7DHX1Ng0V186U2idfFfjGi,0.000299,2.0,0.24,-4.449,1.0,0.167,145.984,4.0,https://api.spotify.com/v1/tracks/7DHX1Ng0V186U2idfFfjGi,audio_features,spotify:track:7DHX1Ng0V186U2idfFfjGi,0.391
8,Future, Mask Off ,ID Remix,0.0102,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,10B,0.833,204600.0,0.434,0VgkVdmE4gld66l8iyGjgx,0.0219,2.0,0.165,-8.795,1.0,0.431,150.062,4.0,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,0.281
9,DJ Snake   Justin Bieber, Let Me Love You,unknown,0.0771,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,4B,0.652,205947.0,0.713,0lYBSQXN6rCTvUZvg9S0lU,1.02e-05,8.0,0.144,-5.311,1.0,0.0368,100.023,4.0,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,audio_features,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,0.152
10,w/ Ookay Slushii, ID,unknown,0.000383,https://api.spotify.com/v1/audio-analysis/4AhgE3LxNm0DVoogzaqOK0,4B,0.357,91933.0,0.627,4AhgE3LxNm0DVoogzaqOK0,0.578,8.0,0.15,-11.323,1.0,0.165,91.687,4.0,https://api.spotify.com/v1/tracks/4AhgE3LxNm0DVoogzaqOK0,audio_features,spotify:track:4AhgE3LxNm0DVoogzaqOK0,0.136
11,Galantis, In My Head ,Slushii Remix,0.00622,https://api.spotify.com/v1/audio-analysis/1PBk2knn4anq0vaS5KGDG2,8B,0.548,221066.0,0.895,1PBk2knn4anq0vaS5KGDG2,0.0184,0.0,0.108,-2.794,1.0,0.0392,127.829,4.0,https://api.spotify.com/v1/tracks/1PBk2knn4anq0vaS5KGDG2,audio_features,spotify:track:1PBk2knn4anq0vaS5KGDG2,0.616
12,Swedish House Mafia   John Martin, Save The World ,Crankdat Re-Crank,0.0144,https://api.spotify.com/v1/audio-analysis/65hRZOQkVjmBdusz1N7aOv,8B,0.507,213338.0,0.665,65hRZOQkVjmBdusz1N7aOv,0.0,0.0,0.0759,-7.598,1.0,0.0474,126.879,4.0,https://api.spotify.com/v1/tracks/65hRZOQkVjmBdusz1N7aOv,audio_features,spotify:track:65hRZOQkVjmBdusz1N7aOv,0.4
13,w/ ID, ID,unknown,0.948,https://api.spotify.com/v1/audio-analysis/2CHVX2nzAYl5omgRfAtkjC,5B,0.575,156373.0,0.125,2CHVX2nzAYl5omgRfAtkjC,0.0,3.0,0.438,-18.952,1.0,0.145,126.925,4.0,https://api.spotify.com/v1/tracks/2CHVX2nzAYl5omgRfAtkjC,audio_features,spotify:track:2CHVX2nzAYl5omgRfAtkjC,0.35
14,Diplo   LIZ, Set Me Free,unknown,0.0145,https://api.spotify.com/v1/audio-analysis/5wAGSHcFqFD9NVb3eTq7aB,4A,0.61,196010.0,0.956,5wAGSHcFqFD9NVb3eTq7aB,3.33e-05,5.0,0.133,-3.041,0.0,0.0752,150.0,4.0,https://api.spotify.com/v1/tracks/5wAGSHcFqFD9NVb3eTq7aB,audio_features,spotify:track:5wAGSHcFqFD9NVb3eTq7aB,0.785
15,w/ Slushii Dion Timmer, Test Me,unknown,,,,,,,,,,,,,,,,,,,
16,Aazar Brokango, New Level,unknown,,,,,,,,,,,,,,,,,,,
17,w/ heRobust, Skurt Reynolds,unknown,0.0631,https://api.spotify.com/v1/audio-analysis/6d1snl8uoYzP6cIuDlc2v2,1B,0.641,225103.0,0.883,6d1snl8uoYzP6cIuDlc2v2,0.00163,11.0,0.506,-3.493,1.0,0.193,144.992,4.0,https://api.spotify.com/v1/tracks/6d1snl8uoYzP6cIuDlc2v2,audio_features,spotify:track:6d1snl8uoYzP6cIuDlc2v2,0.551
18,Twenty One Pilots, Ride,unknown,0.00835,https://api.spotify.com/v1/audio-analysis/2Z8WuEywRWYTKe1NybPQEW,2B,0.645,214507.0,0.713,2Z8WuEywRWYTKe1NybPQEW,0.0,6.0,0.113,-5.355,1.0,0.0393,74.989,4.0,https://api.spotify.com/v1/tracks/2Z8WuEywRWYTKe1NybPQEW,audio_features,spotify:track:2Z8WuEywRWYTKe1NybPQEW,0.566
19,w/ Jack Ü   2 Chainz, Febreze,unknown,0.0184,https://api.spotify.com/v1/audio-analysis/48bSfSZaq9Aizbu4AWn4st,10B,0.68,214400.0,0.983,48bSfSZaq9Aizbu4AWn4st,0.0,2.0,0.289,-3.51,1.0,0.333,149.829,4.0,https://api.spotify.com/v1/tracks/48bSfSZaq9Aizbu4AWn4st,audio_features,spotify:track:48bSfSZaq9Aizbu4AWn4st,0.263
20,w/ DJ Fresh   Ce'Cile, Gold Dust ,Flux Pavilion Remix,0.437,https://api.spotify.com/v1/audio-analysis/2fNLP1ln1VEcOgQTVC2TGO,8A,0.674,222583.0,0.347,2fNLP1ln1VEcOgQTVC2TGO,0.89,9.0,0.0775,-19.06,0.0,0.0459,110.028,4.0,https://api.spotify.com/v1/tracks/2fNLP1ln1VEcOgQTVC2TGO,audio_features,spotify:track:2fNLP1ln1VEcOgQTVC2TGO,0.183
21,Marshmello, Alone ,Slushii Remix,0.0307,https://api.spotify.com/v1/audio-analysis/48qF1yaxtfOga12D6xR0Im,6A,0.614,259212.0,0.956,48qF1yaxtfOga12D6xR0Im,0.00316,7.0,0.0854,-2.693,0.0,0.057,150.05,4.0,https://api.spotify.com/v1/tracks/48qF1yaxtfOga12D6xR0Im,audio_features,spotify:track:48qF1yaxtfOga12D6xR0Im,0.199
22,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
23,Wiwek Skrillex   Eliphant, Killa ,Slushii Remix,0.0976,https://api.spotify.com/v1/audio-analysis/5YU0qZXnzIkSHFa0cpcUzO,4B,0.656,201617.0,0.978,5YU0qZXnzIkSHFa0cpcUzO,3.02e-05,8.0,0.131,-2.333,1.0,0.0659,149.956,4.0,https://api.spotify.com/v1/tracks/5YU0qZXnzIkSHFa0cpcUzO,audio_features,spotify:track:5YU0qZXnzIkSHFa0cpcUzO,0.655
24,Flosstradamus GTA   Lil Jon, Prison Riot,unknown,0.0156,https://api.spotify.com/v1/audio-analysis/6up28kSwDtXNk4uxk2JD6F,3B,0.664,189835.0,0.967,6up28kSwDtXNk4uxk2JD6F,0.000132,1.0,0.0674,-2.062,1.0,0.287,150.003,4.0,https://api.spotify.com/v1/tracks/6up28kSwDtXNk4uxk2JD6F,audio_features,spotify:track:6up28kSwDtXNk4uxk2JD6F,0.584
25,w/ Chibs, Sharingan,unknown,,,,,,,,,,,,,,,,,,,
26,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
27,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
28,Galantis, Runaway ,U & I,0.00711,https://api.spotify.com/v1/audio-analysis/46lFttIf5hnUZMGvjK0Wxo,3B,0.506,227074.0,0.805,46lFttIf5hnUZMGvjK0Wxo,0.00193,1.0,0.0856,-4.119,1.0,0.0469,126.008,4.0,https://api.spotify.com/v1/tracks/46lFttIf5hnUZMGvjK0Wxo,audio_features,spotify:track:46lFttIf5hnUZMGvjK0Wxo,0.383
29,w/ Barely Alive, Doggo,unknown,0.00472,https://api.spotify.com/v1/audio-analysis/5L9Ew7w8ZqZwywcsuRP1hk,2B,0.642,226286.0,0.998,5L9Ew7w8ZqZwywcsuRP1hk,0.776,6.0,0.385,-0.821,1.0,0.124,140.006,4.0,https://api.spotify.com/v1/tracks/5L9Ew7w8ZqZwywcsuRP1hk,audio_features,spotify:track:5L9Ew7w8ZqZwywcsuRP1hk,0.582
30,Drake, Hotline Bling ,Ookay VIP Remix,0.00302,https://api.spotify.com/v1/audio-analysis/0wwPcA6wtMf6HUMpIRdeP7,10B,0.903,267067.0,0.621,0wwPcA6wtMf6HUMpIRdeP7,0.000186,2.0,0.0504,-8.132,1.0,0.0578,134.969,4.0,https://api.spotify.com/v1/tracks/0wwPcA6wtMf6HUMpIRdeP7,audio_features,spotify:track:0wwPcA6wtMf6HUMpIRdeP7,0.553
