,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,LA Riots   Great Good Fine Ok, Real Love,unknown,0.0418,https://api.spotify.com/v1/audio-analysis/4Yr7kJU5eo2qYD7rs8jg9E,11A,0.743,210875.0,0.69,4Yr7kJU5eo2qYD7rs8jg9E,2.72e-05,6.0,0.0767,-6.479,0.0,0.0482,118.96,4.0,https://api.spotify.com/v1/tracks/4Yr7kJU5eo2qYD7rs8jg9E,audio_features,spotify:track:4Yr7kJU5eo2qYD7rs8jg9E,0.411
1,Sander van Doorn LVNDSCAPE, Need To Feel Loved,unknown,0.0032,https://api.spotify.com/v1/audio-analysis/3p9CxElbqwkyfzVbqgHHRS,7A,0.712,224516.0,0.744,3p9CxElbqwkyfzVbqgHHRS,0.458,2.0,0.271,-6.457,0.0,0.031,124.04,4.0,https://api.spotify.com/v1/tracks/3p9CxElbqwkyfzVbqgHHRS,audio_features,spotify:track:3p9CxElbqwkyfzVbqgHHRS,0.39
2,Oliver Heldens, I Don't Wanna Go Home,unknown,0.0187,https://api.spotify.com/v1/audio-analysis/0YnN9IJPhKR0HGDVG5ebtf,3B,0.682,203440.0,0.764,0YnN9IJPhKR0HGDVG5ebtf,0.0169,1.0,0.0539,-7.253,1.0,0.0562,125.003,4.0,https://api.spotify.com/v1/tracks/0YnN9IJPhKR0HGDVG5ebtf,audio_features,spotify:track:0YnN9IJPhKR0HGDVG5ebtf,0.644
3,CMC$   Jalise Romy, Keys,unknown,0.29,https://api.spotify.com/v1/audio-analysis/6r5EzPwrpVIFpYDrjXul13,8B,0.569,217957.0,0.509,6r5EzPwrpVIFpYDrjXul13,0.0,0.0,0.0905,-6.739,1.0,0.0507,139.861,4.0,https://api.spotify.com/v1/tracks/6r5EzPwrpVIFpYDrjXul13,audio_features,spotify:track:6r5EzPwrpVIFpYDrjXul13,0.205
4,Trobi   Junglebae, In The Studio,unknown,0.069,https://api.spotify.com/v1/audio-analysis/4alPIFb8I86hjVOERLNnkw,9A,0.662,198087.0,0.718,4alPIFb8I86hjVOERLNnkw,1.13e-06,4.0,0.249,-4.016,0.0,0.0487,106.038,4.0,https://api.spotify.com/v1/tracks/4alPIFb8I86hjVOERLNnkw,audio_features,spotify:track:4alPIFb8I86hjVOERLNnkw,0.336
5,Zonderling, Tunnel Vision ,Don Diablo Edit,0.234,https://api.spotify.com/v1/audio-analysis/5xL84TYVoMCJZc3ZIv50x4,4A,0.763,215476.0,0.913,5xL84TYVoMCJZc3ZIv50x4,0.453,5.0,0.11,-4.1,0.0,0.112,125.999,4.0,https://api.spotify.com/v1/tracks/5xL84TYVoMCJZc3ZIv50x4,audio_features,spotify:track:5xL84TYVoMCJZc3ZIv50x4,0.363
6,Dmitrii G, Magic Boots,unknown,0.00509,https://api.spotify.com/v1/audio-analysis/7nDOly6LVF8k9Igp9LMalJ,10A,0.866,354098.0,0.957,7nDOly6LVF8k9Igp9LMalJ,0.227,11.0,0.503,-4.313,0.0,0.14,121.99,4.0,https://api.spotify.com/v1/tracks/7nDOly6LVF8k9Igp9LMalJ,audio_features,spotify:track:7nDOly6LVF8k9Igp9LMalJ,0.741
7,HOLDON, Blossom,unknown,0.00951,https://api.spotify.com/v1/audio-analysis/5yyZaQx9kGnAqxXAxNvIE7,5B,0.577,185625.0,0.903,5yyZaQx9kGnAqxXAxNvIE7,0.0216,3.0,0.162,-3.0,1.0,0.0757,128.114,4.0,https://api.spotify.com/v1/tracks/5yyZaQx9kGnAqxXAxNvIE7,audio_features,spotify:track:5yyZaQx9kGnAqxXAxNvIE7,0.221
8,Ummet Ozcan   Ambush, Bombjack,unknown,0.00426,https://api.spotify.com/v1/audio-analysis/5CNI7v56sgXCS4KKobp8uL,3B,0.718,229755.0,0.974,5CNI7v56sgXCS4KKobp8uL,0.279,1.0,0.0529,-3.632,1.0,0.0465,125.001,4.0,https://api.spotify.com/v1/tracks/5CNI7v56sgXCS4KKobp8uL,audio_features,spotify:track:5CNI7v56sgXCS4KKobp8uL,0.423
9,Breathe Carolina Bassjackers   CADE, Can't Take It,unknown,,,,,,,,,,,,,,,,,,,
10,Fox Stevenson Mesto, Chatterbox,unknown,0.000418,https://api.spotify.com/v1/audio-analysis/3ztFDkJHqb8PGcSh4Vobjb,1B,0.661,178359.0,0.99,3ztFDkJHqb8PGcSh4Vobjb,0.801,11.0,0.132,-3.542,1.0,0.0773,128.017,4.0,https://api.spotify.com/v1/tracks/3ztFDkJHqb8PGcSh4Vobjb,audio_features,spotify:track:3ztFDkJHqb8PGcSh4Vobjb,0.504
11,Fox Stevenson Bougenvilla, ID,unknown,0.262,https://api.spotify.com/v1/audio-analysis/11A6bpXsCkmiy1XgD5hjZa,9B,0.577,278627.0,0.382,11A6bpXsCkmiy1XgD5hjZa,0.000221,7.0,0.129,-14.733,1.0,0.0324,116.379,4.0,https://api.spotify.com/v1/tracks/11A6bpXsCkmiy1XgD5hjZa,audio_features,spotify:track:11A6bpXsCkmiy1XgD5hjZa,0.135
12,Skrillex MUST DIE!, VIP's,unknown,0.0692,https://api.spotify.com/v1/audio-analysis/3ePeqsAf7wC431EKdZ3wUh,10A,0.715,219960.0,0.789,3ePeqsAf7wC431EKdZ3wUh,0.0,11.0,0.331,-6.005,0.0,0.298,130.591,5.0,https://api.spotify.com/v1/tracks/3ePeqsAf7wC431EKdZ3wUh,audio_features,spotify:track:3ePeqsAf7wC431EKdZ3wUh,0.615
13,w/ Curbi Fox Stevenson, Hoohah,unknown,0.0013,https://api.spotify.com/v1/audio-analysis/16N85X3HBrk8dmAeq1Y3DL,12A,0.692,190513.0,0.875,16N85X3HBrk8dmAeq1Y3DL,0.904,1.0,0.656,-4.68,0.0,0.0545,126.002,4.0,https://api.spotify.com/v1/tracks/16N85X3HBrk8dmAeq1Y3DL,audio_features,spotify:track:16N85X3HBrk8dmAeq1Y3DL,0.655
14,Pep Rash, Rumors ,Curbi Remix,0.0785,https://api.spotify.com/v1/audio-analysis/1hsCSmQWQjt1mTTtMzIA1m,3B,0.755,293869.0,0.941,1hsCSmQWQjt1mTTtMzIA1m,0.392,1.0,0.253,-2.09,1.0,0.172,124.988,4.0,https://api.spotify.com/v1/tracks/1hsCSmQWQjt1mTTtMzIA1m,audio_features,spotify:track:1hsCSmQWQjt1mTTtMzIA1m,0.612
15,w/ Curbi Bougenvilla, Butterfly Effect,unknown,0.182,https://api.spotify.com/v1/audio-analysis/7hhYXmCP5dpqdBkBi8bg9d,10B,0.203,227067.0,0.276,7hhYXmCP5dpqdBkBi8bg9d,0.821,2.0,0.495,-18.363,1.0,0.031,80.535,4.0,https://api.spotify.com/v1/tracks/7hhYXmCP5dpqdBkBi8bg9d,audio_features,spotify:track:7hhYXmCP5dpqdBkBi8bg9d,0.342
16,Fox Stevenson, Hello?,unknown,0.0546,https://api.spotify.com/v1/audio-analysis/5I2ewrCmkQboL2PyVlnQrS,4A,0.664,255200.0,0.96,5I2ewrCmkQboL2PyVlnQrS,0.19,5.0,0.377,-0.991,0.0,0.0454,127.988,4.0,https://api.spotify.com/v1/tracks/5I2ewrCmkQboL2PyVlnQrS,audio_features,spotify:track:5I2ewrCmkQboL2PyVlnQrS,0.515
17,Getter Ghastly, 666!,unknown,0.00732,https://api.spotify.com/v1/audio-analysis/40SfMmB5d1xaB4ZWTe06nh,11B,0.758,224516.0,0.98,40SfMmB5d1xaB4ZWTe06nh,0.151,9.0,0.667,-1.871,1.0,0.0904,123.957,4.0,https://api.spotify.com/v1/tracks/40SfMmB5d1xaB4ZWTe06nh,audio_features,spotify:track:40SfMmB5d1xaB4ZWTe06nh,0.276
18,Fox Stevenson, ID,unknown,0.262,https://api.spotify.com/v1/audio-analysis/11A6bpXsCkmiy1XgD5hjZa,9B,0.577,278627.0,0.382,11A6bpXsCkmiy1XgD5hjZa,0.000221,7.0,0.129,-14.733,1.0,0.0324,116.379,4.0,https://api.spotify.com/v1/tracks/11A6bpXsCkmiy1XgD5hjZa,audio_features,spotify:track:11A6bpXsCkmiy1XgD5hjZa,0.135
19,Don Diablo   Jungle Brothers, I'll House You ,VIP Mix,,,,,,,,,,,,,,,,,,,
20,Oliver Heldens, Flamingo ,Fox Stevenson Remix,0.0199,https://api.spotify.com/v1/audio-analysis/49HhxOiGkOyShSuoJVIiWz,1B,0.741,187080.0,0.792,49HhxOiGkOyShSuoJVIiWz,0.886,11.0,0.0571,-7.006,1.0,0.0417,126.024,4.0,https://api.spotify.com/v1/tracks/49HhxOiGkOyShSuoJVIiWz,audio_features,spotify:track:49HhxOiGkOyShSuoJVIiWz,0.475
21,Tiësto Oliver Heldens, Wombass,unknown,0.33,https://api.spotify.com/v1/audio-analysis/6etVFDSbFabj0tPY10MAXR,4B,0.641,240010.0,0.895,6etVFDSbFabj0tPY10MAXR,0.694,8.0,0.931,-5.4,1.0,0.0456,125.043,4.0,https://api.spotify.com/v1/tracks/6etVFDSbFabj0tPY10MAXR,audio_features,spotify:track:6etVFDSbFabj0tPY10MAXR,0.329
22,w/ Madison Mars, Milky Way,unknown,0.324,https://api.spotify.com/v1/audio-analysis/7ePCOh3Sz58HDzb4MJsuLN,9B,0.574,232587.0,0.396,7ePCOh3Sz58HDzb4MJsuLN,0.0,7.0,0.127,-8.161,1.0,0.0279,147.685,4.0,https://api.spotify.com/v1/tracks/7ePCOh3Sz58HDzb4MJsuLN,audio_features,spotify:track:7ePCOh3Sz58HDzb4MJsuLN,0.362
23,Fox Stevenson, ID ,Beach Body,0.262,https://api.spotify.com/v1/audio-analysis/11A6bpXsCkmiy1XgD5hjZa,9B,0.577,278627.0,0.382,11A6bpXsCkmiy1XgD5hjZa,0.000221,7.0,0.129,-14.733,1.0,0.0324,116.379,4.0,https://api.spotify.com/v1/tracks/11A6bpXsCkmiy1XgD5hjZa,audio_features,spotify:track:11A6bpXsCkmiy1XgD5hjZa,0.135
24,JOYRYDE, Hot Drum,unknown,0.0009,https://api.spotify.com/v1/audio-analysis/0gcPFlSLjkVqz84RcDhyJk,9B,0.625,266880.0,0.981,0gcPFlSLjkVqz84RcDhyJk,0.329,7.0,0.357,-3.799,1.0,0.0597,125.008,4.0,https://api.spotify.com/v1/tracks/0gcPFlSLjkVqz84RcDhyJk,audio_features,spotify:track:0gcPFlSLjkVqz84RcDhyJk,0.156
25,Curbi Fox Stevenson, Hoohah ,VIP Edit,0.0013,https://api.spotify.com/v1/audio-analysis/16N85X3HBrk8dmAeq1Y3DL,12A,0.692,190513.0,0.875,16N85X3HBrk8dmAeq1Y3DL,0.904,1.0,0.656,-4.68,0.0,0.0545,126.002,4.0,https://api.spotify.com/v1/tracks/16N85X3HBrk8dmAeq1Y3DL,audio_features,spotify:track:16N85X3HBrk8dmAeq1Y3DL,0.655
26,Priority One TwoThirds, City Needs Sleep,unknown,0.183,https://api.spotify.com/v1/audio-analysis/6ifdoJBkspiMAy1xDnHA91,11A,0.581,270240.0,0.939,6ifdoJBkspiMAy1xDnHA91,0.919,6.0,0.162,-5.0,0.0,0.0736,175.07,4.0,https://api.spotify.com/v1/tracks/6ifdoJBkspiMAy1xDnHA91,audio_features,spotify:track:6ifdoJBkspiMAy1xDnHA91,0.0615
27,Fox Stevenson, Never Before ,Working Title,0.258,https://api.spotify.com/v1/audio-analysis/7mWWFlq345YC5DKF4KFqfP,1B,0.534,200470.0,0.911,7mWWFlq345YC5DKF4KFqfP,0.000145,11.0,0.141,-1.861,1.0,0.0501,175.025,4.0,https://api.spotify.com/v1/tracks/7mWWFlq345YC5DKF4KFqfP,audio_features,spotify:track:7mWWFlq345YC5DKF4KFqfP,0.403
28,Fox Stevenson, Knowhow,unknown,0.00793,https://api.spotify.com/v1/audio-analysis/75s49AukLTQKYZku9nycXJ,4A,0.52,268832.0,0.901,75s49AukLTQKYZku9nycXJ,0.000901,5.0,0.0744,-3.083,0.0,0.121,175.048,4.0,https://api.spotify.com/v1/tracks/75s49AukLTQKYZku9nycXJ,audio_features,spotify:track:75s49AukLTQKYZku9nycXJ,0.62
