,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,YOOKiE   Woogie, Chango,unknown,0.00101,https://api.spotify.com/v1/audio-analysis/7sxyhqvydn9JeCweK7ygxV,3A,0.816,171442.0,0.892,7sxyhqvydn9JeCweK7ygxV,0.172,10.0,0.0727,-2.718,0.0,0.175,139.974,4.0,https://api.spotify.com/v1/tracks/7sxyhqvydn9JeCweK7ygxV,audio_features,spotify:track:7sxyhqvydn9JeCweK7ygxV,0.425
1,Ape Drums, Ghost,unknown,0.189,https://api.spotify.com/v1/audio-analysis/6OlDp5F8ma8Bd9x2Vfj5hY,3B,0.81,180629.0,0.957,6OlDp5F8ma8Bd9x2Vfj5hY,0.821,1.0,0.11,-4.639,1.0,0.1,139.999,4.0,https://api.spotify.com/v1/tracks/6OlDp5F8ma8Bd9x2Vfj5hY,audio_features,spotify:track:6OlDp5F8ma8Bd9x2Vfj5hY,0.508
2,Bassjackers, Wobble & Jiggle,unknown,0.00367,https://api.spotify.com/v1/audio-analysis/1dF3Gtrb2yYyGGjrE8Ybb5,4B,0.707,184625.0,0.901,1dF3Gtrb2yYyGGjrE8Ybb5,0.881,8.0,0.0646,-3.938,1.0,0.0525,99.967,4.0,https://api.spotify.com/v1/tracks/1dF3Gtrb2yYyGGjrE8Ybb5,audio_features,spotify:track:1dF3Gtrb2yYyGGjrE8Ybb5,0.101
3,Jauz x Eptic, Get Down,unknown,0.00983,https://api.spotify.com/v1/audio-analysis/4KijRdYr1flPW84eTMg6de,3B,0.404,185625.0,0.99,4KijRdYr1flPW84eTMg6de,0.000254,1.0,0.282,-2.83,1.0,0.125,127.842,4.0,https://api.spotify.com/v1/tracks/4KijRdYr1flPW84eTMg6de,audio_features,spotify:track:4KijRdYr1flPW84eTMg6de,0.0786
4,Quintino NERVO, Lost In You ,ΛLCHEMY Remix,0.0523,https://api.spotify.com/v1/audio-analysis/7KAn815wVOf43EqS4xP9HY,1B,0.521,206957.0,0.659,7KAn815wVOf43EqS4xP9HY,0.0,11.0,0.159,-5.284,1.0,0.0368,138.285,4.0,https://api.spotify.com/v1/tracks/7KAn815wVOf43EqS4xP9HY,audio_features,spotify:track:7KAn815wVOf43EqS4xP9HY,0.279
5,ARMNHMR   NKOLO, Oceans,unknown,0.294,https://api.spotify.com/v1/audio-analysis/5Zx2Sy6lTc5vxCccyedLdA,9A,0.46,222222.0,0.79,5Zx2Sy6lTc5vxCccyedLdA,0.0,4.0,0.259,-3.832,0.0,0.044,162.217,4.0,https://api.spotify.com/v1/tracks/5Zx2Sy6lTc5vxCccyedLdA,audio_features,spotify:track:5Zx2Sy6lTc5vxCccyedLdA,0.312
6,Lady Bee   TropKillaz Oktavian, Murder,unknown,0.0145,https://api.spotify.com/v1/audio-analysis/5bTOlI5mNJDlkXJcPvMag5,11A,0.674,154286.0,0.752,5bTOlI5mNJDlkXJcPvMag5,0.000396,6.0,0.415,-4.863,0.0,0.0501,105.045,4.0,https://api.spotify.com/v1/tracks/5bTOlI5mNJDlkXJcPvMag5,audio_features,spotify:track:5bTOlI5mNJDlkXJcPvMag5,0.534
7,Snavs   King, End With You,unknown,0.0576,https://api.spotify.com/v1/audio-analysis/5D71m5NN0FIragdKt6an1L,11A,0.477,201847.0,0.795,5D71m5NN0FIragdKt6an1L,0.0,6.0,0.064,-5.907,0.0,0.0662,74.959,4.0,https://api.spotify.com/v1/tracks/5D71m5NN0FIragdKt6an1L,audio_features,spotify:track:5D71m5NN0FIragdKt6an1L,0.246
8,Jauz Ephwurd, Rock The Party,unknown,0.0362,https://api.spotify.com/v1/audio-analysis/3G0awBmyUu0eLh30XTthBk,8B,0.695,190784.0,0.981,3G0awBmyUu0eLh30XTthBk,0.00247,0.0,0.0584,-3.137,1.0,0.173,128.018,4.0,https://api.spotify.com/v1/tracks/3G0awBmyUu0eLh30XTthBk,audio_features,spotify:track:3G0awBmyUu0eLh30XTthBk,0.27
9,Eptic, Eat My Dust,unknown,0.0906,https://api.spotify.com/v1/audio-analysis/0MWh4HE2dRw437x1IYCSte,4A,0.804,234375.0,0.995,0MWh4HE2dRw437x1IYCSte,0.475,5.0,0.264,-3.118,0.0,0.27,128.013,4.0,https://api.spotify.com/v1/tracks/0MWh4HE2dRw437x1IYCSte,audio_features,spotify:track:0MWh4HE2dRw437x1IYCSte,0.101
