,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Noisecontrollers, Spirit Of Hardstyle,unknown,0.0287,https://api.spotify.com/v1/audio-analysis/3kvvgoRDEXgott6Dry1hNN,8B,0.491,287631.0,0.92,3kvvgoRDEXgott6Dry1hNN,0.212,0.0,0.0805,-5.539,1.0,0.0507,149.868,4.0,https://api.spotify.com/v1/tracks/3kvvgoRDEXgott6Dry1hNN,audio_features,spotify:track:3kvvgoRDEXgott6Dry1hNN,0.22
1,Robin Schulz   James Blunt, OK ,Audiotricz Festival Mix,0.118,https://api.spotify.com/v1/audio-analysis/32y9LSjv2Q49T3NnkETXCm,6A,0.653,189307.0,0.81,32y9LSjv2Q49T3NnkETXCm,0.0,7.0,0.126,-6.032,0.0,0.0558,121.951,4.0,https://api.spotify.com/v1/tracks/32y9LSjv2Q49T3NnkETXCm,audio_features,spotify:track:32y9LSjv2Q49T3NnkETXCm,0.583
2,Da Tweekaz, Komon,unknown,0.0554,https://api.spotify.com/v1/audio-analysis/7itqliMZptunXCWBruDmi5,4A,0.371,214038.0,0.927,7itqliMZptunXCWBruDmi5,3.27e-06,5.0,0.303,-3.438,0.0,0.105,147.633,4.0,https://api.spotify.com/v1/tracks/7itqliMZptunXCWBruDmi5,audio_features,spotify:track:7itqliMZptunXCWBruDmi5,0.408
3,Atmozfears   David Spekter, Leave It All Behind,unknown,0.155,https://api.spotify.com/v1/audio-analysis/4drYOZCl2spM3cWcpdRUJz,8A,0.604,161604.0,0.88,4drYOZCl2spM3cWcpdRUJz,0.0,9.0,0.0805,-5.601,0.0,0.0894,149.99,4.0,https://api.spotify.com/v1/tracks/4drYOZCl2spM3cWcpdRUJz,audio_features,spotify:track:4drYOZCl2spM3cWcpdRUJz,0.358
4,Coone Wildstylez, Here I Come,unknown,0.0112,https://api.spotify.com/v1/audio-analysis/019j8UOaqlO7DAIGwG8QnH,8A,0.567,199200.0,0.882,019j8UOaqlO7DAIGwG8QnH,2.88e-06,9.0,0.298,-4.146,0.0,0.0596,149.957,4.0,https://api.spotify.com/v1/tracks/019j8UOaqlO7DAIGwG8QnH,audio_features,spotify:track:019j8UOaqlO7DAIGwG8QnH,0.662
5,Noisecontrollers Bass Modulators   Arpeggio, Electric Solar,unknown,0.00456,https://api.spotify.com/v1/audio-analysis/1l8oQMzRJlT1bE51YnxLMu,3A,0.397,191942.0,0.933,1l8oQMzRJlT1bE51YnxLMu,0.0605,10.0,0.262,-2.932,0.0,0.0877,149.963,3.0,https://api.spotify.com/v1/tracks/1l8oQMzRJlT1bE51YnxLMu,audio_features,spotify:track:1l8oQMzRJlT1bE51YnxLMu,0.314
6,Audiotricz MC Villain, World Is Mine,unknown,0.00925,https://api.spotify.com/v1/audio-analysis/3CDDVh8Hq6Vz0zWgvsZVAr,6A,0.554,164000.0,0.869,3CDDVh8Hq6Vz0zWgvsZVAr,0.000492,7.0,0.356,-4.769,0.0,0.0471,150.146,4.0,https://api.spotify.com/v1/tracks/3CDDVh8Hq6Vz0zWgvsZVAr,audio_features,spotify:track:3CDDVh8Hq6Vz0zWgvsZVAr,0.0988
7,TNT aka Technoboy 'N' Tuneboy, 1998,unknown,0.00436,https://api.spotify.com/v1/audio-analysis/2oo2VE6LalZ5B6xLsQmVvY,4A,0.444,218093.0,0.828,2oo2VE6LalZ5B6xLsQmVvY,0.91,5.0,0.0835,-4.223,0.0,0.0326,150.012,4.0,https://api.spotify.com/v1/tracks/2oo2VE6LalZ5B6xLsQmVvY,audio_features,spotify:track:2oo2VE6LalZ5B6xLsQmVvY,0.106
8,KELTEK, Mask On My Face,unknown,0.00968,https://api.spotify.com/v1/audio-analysis/3JwQQ3gM0QBFcLmN15ERWL,4B,0.499,208800.0,0.877,3JwQQ3gM0QBFcLmN15ERWL,0.00508,8.0,0.346,-9.987,1.0,0.0582,150.005,4.0,https://api.spotify.com/v1/tracks/3JwQQ3gM0QBFcLmN15ERWL,audio_features,spotify:track:3JwQQ3gM0QBFcLmN15ERWL,0.32
9,NCBM, This Is Eternity,unknown,,,,,,,,,,,,,,,,,,,
