,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Steve Angello   T.D. Jakes, Rejoice,unknown,0.0593,https://api.spotify.com/v1/audio-analysis/763ZaL10pL15NsbGnl3q4k,6A,0.394,454907.0,0.612,763ZaL10pL15NsbGnl3q4k,2.57e-05,7.0,0.107,-9.311,0.0,0.0647,109.767,4.0,https://api.spotify.com/v1/tracks/763ZaL10pL15NsbGnl3q4k,audio_features,spotify:track:763ZaL10pL15NsbGnl3q4k,0.277
1,Steve Angello, Knas,unknown,0.00116,https://api.spotify.com/v1/audio-analysis/6d3gCQtM0PV1COmgXS26Vv,8B,0.795,300618.0,0.377,6d3gCQtM0PV1COmgXS26Vv,0.759,0.0,0.0676,-8.484,1.0,0.0654,127.998,4.0,https://api.spotify.com/v1/tracks/6d3gCQtM0PV1COmgXS26Vv,audio_features,spotify:track:6d3gCQtM0PV1COmgXS26Vv,0.265
2,Steve Angello Matisse Sadko   Eurythmics, SLVR ,Steve Angello Mashup,0.00458,https://api.spotify.com/v1/audio-analysis/3Qntjzw2xY1VDb6x808BPi,8B,0.659,306560.0,0.619,3Qntjzw2xY1VDb6x808BPi,0.972,0.0,0.0897,-7.389,1.0,0.05,128.015,4.0,https://api.spotify.com/v1/tracks/3Qntjzw2xY1VDb6x808BPi,audio_features,spotify:track:3Qntjzw2xY1VDb6x808BPi,0.119
3,Steve Angello Still Young   Robin S, Follow Me ,Steve Angello Mashup,0.793,https://api.spotify.com/v1/audio-analysis/6sHIIKO3XTAsvMtpr9vONF,9B,0.501,181653.0,0.4,6sHIIKO3XTAsvMtpr9vONF,0.747,7.0,0.159,-7.481,1.0,0.0422,124.76,4.0,https://api.spotify.com/v1/tracks/6sHIIKO3XTAsvMtpr9vONF,audio_features,spotify:track:6sHIIKO3XTAsvMtpr9vONF,0.397
4,Corey James Teamworx   Thomas Feelman STV, Make The Crowd Go ,Steve Angello Mashup,0.154,https://api.spotify.com/v1/audio-analysis/1Ll3XUM03QbWDWUKVvcl51,9B,0.554,158086.0,0.972,1Ll3XUM03QbWDWUKVvcl51,0.0245,7.0,0.178,-4.168,1.0,0.2,128.07,4.0,https://api.spotify.com/v1/tracks/1Ll3XUM03QbWDWUKVvcl51,audio_features,spotify:track:1Ll3XUM03QbWDWUKVvcl51,0.553
5,Steve Angello AN21 Sebjak, GODS,unknown,0.982,https://api.spotify.com/v1/audio-analysis/1LuvUlqig9qKRfpQesbxWF,9B,0.52,205973.0,0.0403,1LuvUlqig9qKRfpQesbxWF,0.772,7.0,0.0753,-25.809,1.0,0.0623,115.425,3.0,https://api.spotify.com/v1/tracks/1LuvUlqig9qKRfpQesbxWF,audio_features,spotify:track:1LuvUlqig9qKRfpQesbxWF,0.382
6,w/ The Good Men, Give It Up ,Acapella,0.0192,https://api.spotify.com/v1/audio-analysis/3yDhZq8f17SmumVmEyCaRN,5B,0.862,254240.0,0.624,3yDhZq8f17SmumVmEyCaRN,0.000153,3.0,0.0465,-11.63,1.0,0.0565,124.896,4.0,https://api.spotify.com/v1/tracks/3yDhZq8f17SmumVmEyCaRN,audio_features,spotify:track:3yDhZq8f17SmumVmEyCaRN,0.882
7,"Thomas Feelman, Teamworx STV   Swedish House Mafia John Martin", Never Stop ,Steve Angello Mashup,0.00399,https://api.spotify.com/v1/audio-analysis/3GFcFLJYSe5IEnta7X5Vvl,9B,0.571,215957.0,0.913,3GFcFLJYSe5IEnta7X5Vvl,0.44,7.0,0.124,-4.377,1.0,0.0566,127.998,4.0,https://api.spotify.com/v1/tracks/3GFcFLJYSe5IEnta7X5Vvl,audio_features,spotify:track:3GFcFLJYSe5IEnta7X5Vvl,0.213
8,The Chemical Brothers   Chris Avantgarde Corey James   KAAZE   Swedish House Mafia   Nari Milani   Oui'wack," Hey Boy, Hey Girl ",Steve Angello Mashup,0.119,https://api.spotify.com/v1/audio-analysis/7kXmJwrZGIhDaLT9sNo3ut,10B,0.632,290493.0,0.92,7kXmJwrZGIhDaLT9sNo3ut,0.508,2.0,0.114,-4.976,1.0,0.0531,127.001,4.0,https://api.spotify.com/v1/tracks/7kXmJwrZGIhDaLT9sNo3ut,audio_features,spotify:track:7kXmJwrZGIhDaLT9sNo3ut,0.363
9,Corey James WILL K   Swedish House Mafia Knife Party, LMSY ,Steve Angello Mashup,0.0278,https://api.spotify.com/v1/audio-analysis/1YkfSCaM9DHQwszKaqALzp,11A,0.72,167619.0,0.98,1YkfSCaM9DHQwszKaqALzp,0.055,6.0,0.095,-6.477,0.0,0.0501,126.019,4.0,https://api.spotify.com/v1/tracks/1YkfSCaM9DHQwszKaqALzp,audio_features,spotify:track:1YkfSCaM9DHQwszKaqALzp,0.467
10,Abel The Kid Abel Ramos   Steve Angello   Faithless, Old School ,Steve Angello Mashup,0.653,https://api.spotify.com/v1/audio-analysis/5uYvwOo6zMaF1TI5y5Abzq,7B,0.963,123533.0,0.357,5uYvwOo6zMaF1TI5y5Abzq,0.0,5.0,0.194,-13.813,1.0,0.0492,109.938,4.0,https://api.spotify.com/v1/tracks/5uYvwOo6zMaF1TI5y5Abzq,audio_features,spotify:track:5uYvwOo6zMaF1TI5y5Abzq,0.736
11,Highly Sedated, Make Love ,CYA Remix,0.0101,https://api.spotify.com/v1/audio-analysis/1eaX0ZRZ5qIdB7IXS9UgYg,9B,0.679,316800.0,0.776,1eaX0ZRZ5qIdB7IXS9UgYg,0.916,7.0,0.11,-7.221,1.0,0.0598,125.015,4.0,https://api.spotify.com/v1/tracks/1eaX0ZRZ5qIdB7IXS9UgYg,audio_features,spotify:track:1eaX0ZRZ5qIdB7IXS9UgYg,0.0758
12,Eric Prydz, Opus,unknown,0.000702,https://api.spotify.com/v1/audio-analysis/3v2oAQomhOcYCPPHafS3KV,11A,0.275,543453.0,0.721,3v2oAQomhOcYCPPHafS3KV,0.821,6.0,0.0792,-6.222,0.0,0.0359,125.045,4.0,https://api.spotify.com/v1/tracks/3v2oAQomhOcYCPPHafS3KV,audio_features,spotify:track:3v2oAQomhOcYCPPHafS3KV,0.184
13,Ivan Gough Feenixpawl   Georgi Kay, In My Mind ,Axwell Mix,0.0393,https://api.spotify.com/v1/audio-analysis/4S7J46CLuda7ayjLc2dL9v,6A,0.668,399790.0,0.896,4S7J46CLuda7ayjLc2dL9v,0.00223,7.0,0.298,-5.188,0.0,0.0886,127.997,4.0,https://api.spotify.com/v1/tracks/4S7J46CLuda7ayjLc2dL9v,audio_features,spotify:track:4S7J46CLuda7ayjLc2dL9v,0.302
14,Dimitri Vangelis Wyman   Sebastian Ingrosso Tommy Trash, ID2 ,Steve Angello Mashup,0.000741,https://api.spotify.com/v1/audio-analysis/43FJWTHA5hPwWFfMXEjPwI,8A,0.577,204312.0,0.905,43FJWTHA5hPwWFfMXEjPwI,0.00257,9.0,0.446,-5.382,0.0,0.0355,127.982,4.0,https://api.spotify.com/v1/tracks/43FJWTHA5hPwWFfMXEjPwI,audio_features,spotify:track:43FJWTHA5hPwWFfMXEjPwI,0.213
15,Third Party   Whitney Houston, Arrival ,Steve Angello Mashup,0.000247,https://api.spotify.com/v1/audio-analysis/2ki9jYpqqmCKkoNH36npi6,3B,0.527,223465.0,0.977,2ki9jYpqqmCKkoNH36npi6,0.86,1.0,0.277,-6.052,1.0,0.0544,127.002,4.0,https://api.spotify.com/v1/tracks/2ki9jYpqqmCKkoNH36npi6,audio_features,spotify:track:2ki9jYpqqmCKkoNH36npi6,0.35
16,Swedish House Mafia   John Martin, Don't You Worry Child,unknown,,,,,,,,,,,,,,,,,,,
17,Swedish House Mafia   Plastikman Dubfire, One ,Steve Angello Mashup,0.0075,https://api.spotify.com/v1/audio-analysis/41KPpw0EZCytxNkmEMJVgr,8B,0.802,169920.0,0.781,41KPpw0EZCytxNkmEMJVgr,0.825,0.0,0.147,-6.564,1.0,0.0368,125.026,4.0,https://api.spotify.com/v1/tracks/41KPpw0EZCytxNkmEMJVgr,audio_features,spotify:track:41KPpw0EZCytxNkmEMJVgr,0.622
18,Steve Angello Dimitri Vegas Like Mike   Swedish House Mafia Laidback Luke   Deborah Cox, Sentido ,Steve Angello Mashup,0.00285,https://api.spotify.com/v1/audio-analysis/2Ezv1JQzFXalEhYj1YruSD,3A,0.449,300000.0,0.716,2Ezv1JQzFXalEhYj1YruSD,0.0,10.0,0.155,-8.074,0.0,0.195,142.939,4.0,https://api.spotify.com/v1/tracks/2Ezv1JQzFXalEhYj1YruSD,audio_features,spotify:track:2Ezv1JQzFXalEhYj1YruSD,0.496
19,Still Young, White Label ,Is This Love,0.306,https://api.spotify.com/v1/audio-analysis/1xBAWewcnRlCTeFOkrelDo,1A,0.696,192000.0,0.795,1xBAWewcnRlCTeFOkrelDo,7.72e-06,8.0,0.243,-4.892,0.0,0.188,126.186,4.0,https://api.spotify.com/v1/tracks/1xBAWewcnRlCTeFOkrelDo,audio_features,spotify:track:1xBAWewcnRlCTeFOkrelDo,0.165
20,Steve Angello   Mako, Children Of The Wild ,We Will Rock You Edit,0.00148,https://api.spotify.com/v1/audio-analysis/5uSLlQnpMZqsjZXJxe9kct,11B,0.518,246093.0,0.911,5uSLlQnpMZqsjZXJxe9kct,0.0,9.0,0.516,-3.649,1.0,0.086,128.014,4.0,https://api.spotify.com/v1/tracks/5uSLlQnpMZqsjZXJxe9kct,audio_features,spotify:track:5uSLlQnpMZqsjZXJxe9kct,0.126
21,Steve Angello   The Presets, Remember,unknown,0.0289,https://api.spotify.com/v1/audio-analysis/3IvgnZ2vUJedikovn6OLmy,6A,0.623,334267.0,0.911,3IvgnZ2vUJedikovn6OLmy,0.382,7.0,0.128,-4.494,0.0,0.0377,126.485,4.0,https://api.spotify.com/v1/tracks/3IvgnZ2vUJedikovn6OLmy,audio_features,spotify:track:3IvgnZ2vUJedikovn6OLmy,0.329
22,Kryder ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
23,Steve Angello   Dimitri Vangelis Wyman, Payback ,Steve Angello Mashup,0.0691,https://api.spotify.com/v1/audio-analysis/6tknmly8hPeSiCjThSe61A,3A,0.749,355650.0,0.607,6tknmly8hPeSiCjThSe61A,0.206,10.0,0.108,-9.185,0.0,0.0438,96.032,4.0,https://api.spotify.com/v1/tracks/6tknmly8hPeSiCjThSe61A,audio_features,spotify:track:6tknmly8hPeSiCjThSe61A,0.768
24,Pendulum, The Island ,Steve Angello & AN21 & Max Vangeli Remix,0.00231,https://api.spotify.com/v1/audio-analysis/2RS9TJTiHvg0guy8hSmiAF,9B,0.612,399523.0,0.825,2RS9TJTiHvg0guy8hSmiAF,0.000462,7.0,0.294,-6.261,1.0,0.217,125.943,4.0,https://api.spotify.com/v1/tracks/2RS9TJTiHvg0guy8hSmiAF,audio_features,spotify:track:2RS9TJTiHvg0guy8hSmiAF,0.114
25,Steve Angello, Break Me Down ,Working Title,0.00455,https://api.spotify.com/v1/audio-analysis/0ZlJbNS7AU7FUSRF4pl7Sk,3A,0.577,237053.0,0.507,0ZlJbNS7AU7FUSRF4pl7Sk,0.0,10.0,0.149,-7.027,0.0,0.0366,127.931,4.0,https://api.spotify.com/v1/tracks/0ZlJbNS7AU7FUSRF4pl7Sk,audio_features,spotify:track:0ZlJbNS7AU7FUSRF4pl7Sk,0.245
26,Steve Angello, ID,unknown,0.464,https://api.spotify.com/v1/audio-analysis/7dZcaNQgZpK8dvV9U2cazR,9B,0.262,183777.0,0.276,7dZcaNQgZpK8dvV9U2cazR,0.0,7.0,0.0955,-16.456,1.0,0.0315,146.065,4.0,https://api.spotify.com/v1/tracks/7dZcaNQgZpK8dvV9U2cazR,audio_features,spotify:track:7dZcaNQgZpK8dvV9U2cazR,0.353
27,w/ Florence + The Machine, You've Got The Love ,Acapella,0.0633,https://api.spotify.com/v1/audio-analysis/1S321KQRV2MzPq2IYHDXxo,3A,0.402,262533.0,0.599,1S321KQRV2MzPq2IYHDXxo,0.0,10.0,0.948,-7.67,0.0,0.28,85.142,4.0,https://api.spotify.com/v1/tracks/1S321KQRV2MzPq2IYHDXxo,audio_features,spotify:track:1S321KQRV2MzPq2IYHDXxo,0.522
28,Steve Angello   Brandon Flowers, Feels Like Heaven ,Working Title,0.217,https://api.spotify.com/v1/audio-analysis/53R5HS9zn0nKl9b0GvSU7F,10B,0.64,206827.0,0.535,53R5HS9zn0nKl9b0GvSU7F,2.48e-05,2.0,0.313,-11.306,1.0,0.027,117.055,4.0,https://api.spotify.com/v1/tracks/53R5HS9zn0nKl9b0GvSU7F,audio_features,spotify:track:53R5HS9zn0nKl9b0GvSU7F,0.773
