,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Rain Man   Krysta Youngs, Habit ,Morgan Page Remix,0.00156,https://api.spotify.com/v1/audio-analysis/3OL8RUzxkdPXMEgSj1O4vC,7B,0.453,205313.0,0.862,3OL8RUzxkdPXMEgSj1O4vC,0.000106,5.0,0.393,-3.022,1.0,0.0327,128.092,4.0,https://api.spotify.com/v1/tracks/3OL8RUzxkdPXMEgSj1O4vC,audio_features,spotify:track:3OL8RUzxkdPXMEgSj1O4vC,0.388
1,Autoerotique, Reverse,unknown,0.00245,https://api.spotify.com/v1/audio-analysis/01D3dXIcNvrstov65fgaCs,9B,0.801,195000.0,0.921,01D3dXIcNvrstov65fgaCs,0.779,7.0,0.0417,-3.127,1.0,0.121,128.014,4.0,https://api.spotify.com/v1/tracks/01D3dXIcNvrstov65fgaCs,audio_features,spotify:track:01D3dXIcNvrstov65fgaCs,0.612
2,BROHUG, Giggle Juice,unknown,0.0119,https://api.spotify.com/v1/audio-analysis/3reLGbeRXeHXz3ujgfsWE4,11A,0.753,195570.0,0.956,3reLGbeRXeHXz3ujgfsWE4,0.559,6.0,0.258,-2.435,0.0,0.124,125.039,4.0,https://api.spotify.com/v1/tracks/3reLGbeRXeHXz3ujgfsWE4,audio_features,spotify:track:3reLGbeRXeHXz3ujgfsWE4,0.568
3,Botnek, Think I Feel It,unknown,6.44e-05,https://api.spotify.com/v1/audio-analysis/1oElhN4CWf0aHC1WpQywpi,3B,0.727,356600.0,0.802,1oElhN4CWf0aHC1WpQywpi,0.0013,1.0,0.115,-4.009,1.0,0.0839,128.988,4.0,https://api.spotify.com/v1/tracks/1oElhN4CWf0aHC1WpQywpi,audio_features,spotify:track:1oElhN4CWf0aHC1WpQywpi,0.842
4,Botnek, Losing My Mind ,Botnek's Buffering Mix,0.000351,https://api.spotify.com/v1/audio-analysis/6qhpcTrEP7gVcpKvucq90k,7A,0.583,261526.0,0.851,6qhpcTrEP7gVcpKvucq90k,0.4,2.0,0.0633,-5.416,0.0,0.0791,106.025,4.0,https://api.spotify.com/v1/tracks/6qhpcTrEP7gVcpKvucq90k,audio_features,spotify:track:6qhpcTrEP7gVcpKvucq90k,0.0951
5,Max Styler Devault Luciana, Gold,unknown,0.00577,https://api.spotify.com/v1/audio-analysis/0vgEtMUkGDhgmsIaWoz8Bm,9B,0.451,220800.0,0.943,0vgEtMUkGDhgmsIaWoz8Bm,0.0,7.0,0.219,-3.034,1.0,0.431,150.165,4.0,https://api.spotify.com/v1/tracks/0vgEtMUkGDhgmsIaWoz8Bm,audio_features,spotify:track:0vgEtMUkGDhgmsIaWoz8Bm,0.0852
6,MORTEN   Mr Vegas, Love ,Blossom Remix,0.0356,https://api.spotify.com/v1/audio-analysis/1aZyRkRlF1SdBlwU5BCAvB,3B,0.667,165746.0,0.975,1aZyRkRlF1SdBlwU5BCAvB,0.000567,1.0,0.0581,-3.355,1.0,0.0879,139.967,4.0,https://api.spotify.com/v1/tracks/1aZyRkRlF1SdBlwU5BCAvB,audio_features,spotify:track:1aZyRkRlF1SdBlwU5BCAvB,0.761
7,Spaces, Day Dream,unknown,0.13,https://api.spotify.com/v1/audio-analysis/6MxgRJ3MaFHaG65CniANxm,8B,0.302,162909.0,0.762,6MxgRJ3MaFHaG65CniANxm,0.00208,0.0,0.276,-4.895,1.0,0.106,79.919,4.0,https://api.spotify.com/v1/tracks/6MxgRJ3MaFHaG65CniANxm,audio_features,spotify:track:6MxgRJ3MaFHaG65CniANxm,0.0924
8,Aquadrop, Watch Me DVB,unknown,0.0975,https://api.spotify.com/v1/audio-analysis/4Iq39EN4d0sWAp3WbhDCpH,6A,0.526,220137.0,0.946,4Iq39EN4d0sWAp3WbhDCpH,0.0,7.0,0.377,-3.752,0.0,0.323,159.901,4.0,https://api.spotify.com/v1/tracks/4Iq39EN4d0sWAp3WbhDCpH,audio_features,spotify:track:4Iq39EN4d0sWAp3WbhDCpH,0.6
9,Eliminate, Goodbye,unknown,0.00682,https://api.spotify.com/v1/audio-analysis/1LXWN6lAKiKwcy8fBONOGa,7A,0.692,250800.0,0.869,1LXWN6lAKiKwcy8fBONOGa,0.0558,2.0,0.059,-2.454,0.0,0.0897,100.043,4.0,https://api.spotify.com/v1/tracks/1LXWN6lAKiKwcy8fBONOGa,audio_features,spotify:track:1LXWN6lAKiKwcy8fBONOGa,0.405
10,My Chemical Romance, Welcome To The Black Parade ,Steve Aoki 10th Anniversary Remix,0.00479,https://api.spotify.com/v1/audio-analysis/0cON9blGpAWOsecmThlqUN,9B,0.503,210000.0,0.902,0cON9blGpAWOsecmThlqUN,2.94e-06,7.0,0.083,-2.215,1.0,0.0704,160.105,4.0,https://api.spotify.com/v1/tracks/0cON9blGpAWOsecmThlqUN,audio_features,spotify:track:0cON9blGpAWOsecmThlqUN,0.384
11,Bok Nero   Jahlil Beats, Hop Out The Phantom ,Riot Ten & CYBRPNK Remix,0.000255,https://api.spotify.com/v1/audio-analysis/4e9lSMiAfuU0oKSG3BKkWy,10B,0.703,334564.0,0.61,4e9lSMiAfuU0oKSG3BKkWy,0.696,2.0,0.208,-7.503,1.0,0.0582,145.998,4.0,https://api.spotify.com/v1/tracks/4e9lSMiAfuU0oKSG3BKkWy,audio_features,spotify:track:4e9lSMiAfuU0oKSG3BKkWy,0.422
