,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Steve Aoki MARNIK, Bella Ciao ,Money Heist,0.00328,https://api.spotify.com/v1/audio-analysis/4oXP6haPK2dorhIBHvBgKU,9A,0.481,172478.0,0.944,4oXP6haPK2dorhIBHvBgKU,0.00142,4.0,0.297,-2.618,0.0,0.0426,144.803,4.0,https://api.spotify.com/v1/tracks/4oXP6haPK2dorhIBHvBgKU,audio_features,spotify:track:4oXP6haPK2dorhIBHvBgKU,0.326
1,BIJOU   Way, Young & Reckless,unknown,0.0171,https://api.spotify.com/v1/audio-analysis/2BxRX4EB9i5zpUflHjxMZB,8B,0.804,161905.0,0.962,2BxRX4EB9i5zpUflHjxMZB,0.000211,0.0,0.109,-3.963,1.0,0.0766,126.02,4.0,https://api.spotify.com/v1/tracks/2BxRX4EB9i5zpUflHjxMZB,audio_features,spotify:track:2BxRX4EB9i5zpUflHjxMZB,0.567
2,Max Styler, Feel It,unknown,0.0417,https://api.spotify.com/v1/audio-analysis/3NWWgwMGSQVaq3cCI6wFWk,8B,0.598,201905.0,0.626,3NWWgwMGSQVaq3cCI6wFWk,1.24e-06,0.0,0.478,-5.675,1.0,0.0488,126.012,4.0,https://api.spotify.com/v1/tracks/3NWWgwMGSQVaq3cCI6wFWk,audio_features,spotify:track:3NWWgwMGSQVaq3cCI6wFWk,0.272
3,Deorro, Dechorro,unknown,0.00465,https://api.spotify.com/v1/audio-analysis/4QQ7Xcd40mLpMyjemaFAB9,4A,0.77,307500.0,0.837,4QQ7Xcd40mLpMyjemaFAB9,0.115,5.0,0.122,-3.978,0.0,0.0696,127.989,4.0,https://api.spotify.com/v1/tracks/4QQ7Xcd40mLpMyjemaFAB9,audio_features,spotify:track:4QQ7Xcd40mLpMyjemaFAB9,0.186
4,Deorro D3FAI, Titan,unknown,0.0204,https://api.spotify.com/v1/audio-analysis/3qOOHpLET66FvDvsYOLy4S,4B,0.619,213770.0,0.948,3qOOHpLET66FvDvsYOLy4S,0.17,8.0,0.0707,-4.633,1.0,0.0558,128.009,4.0,https://api.spotify.com/v1/tracks/3qOOHpLET66FvDvsYOLy4S,audio_features,spotify:track:3qOOHpLET66FvDvsYOLy4S,0.283
5,Steve Aoki   AJR Lil Yatchy, Pretender ,Blanke Remix,0.0248,https://api.spotify.com/v1/audio-analysis/0ftAX4mbuRx6Wr6PvpAIZs,4A,0.637,188738.0,0.778,0ftAX4mbuRx6Wr6PvpAIZs,0.0,5.0,0.228,-3.642,0.0,0.0706,103.093,4.0,https://api.spotify.com/v1/tracks/0ftAX4mbuRx6Wr6PvpAIZs,audio_features,spotify:track:0ftAX4mbuRx6Wr6PvpAIZs,0.286
6,B,Sides & Pixel Terror ft. Gabby Buko ,unknown,,,,,,,,,,,,,,,,,,,
7,Kaivon   Kini Solana, 77,unknown,0.307,https://api.spotify.com/v1/audio-analysis/5nP2yzzEiDz033ajWpeMCV,10A,0.318,248889.0,0.592,5nP2yzzEiDz033ajWpeMCV,6.64e-05,11.0,0.0866,-4.597,0.0,0.0494,67.231,4.0,https://api.spotify.com/v1/tracks/5nP2yzzEiDz033ajWpeMCV,audio_features,spotify:track:5nP2yzzEiDz033ajWpeMCV,0.123
8,Skrillex   Poo Bear, Would You Ever ,1788-L Remix,0.0079,https://api.spotify.com/v1/audio-analysis/57p8CBvPOxrvyCbn6ttl5r,6B,0.653,234286.0,0.91,57p8CBvPOxrvyCbn6ttl5r,0.0,10.0,0.318,-3.36,1.0,0.0566,126.047,4.0,https://api.spotify.com/v1/tracks/57p8CBvPOxrvyCbn6ttl5r,audio_features,spotify:track:57p8CBvPOxrvyCbn6ttl5r,0.0921
9,Riot Ten   Jeff Kush, No Surrender,unknown,0.00466,https://api.spotify.com/v1/audio-analysis/4HE8lBgasq7To3TDrPKDOV,10B,0.699,191212.0,0.97,4HE8lBgasq7To3TDrPKDOV,0.203,2.0,0.0895,-3.77,1.0,0.0596,149.942,4.0,https://api.spotify.com/v1/tracks/4HE8lBgasq7To3TDrPKDOV,audio_features,spotify:track:4HE8lBgasq7To3TDrPKDOV,0.223
