,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Swanky Tunes, Give It,unknown,0.00118,https://api.spotify.com/v1/audio-analysis/7oqctG3NMwZ3HogDcOoifS,12A,0.777,234000.0,0.934,7oqctG3NMwZ3HogDcOoifS,0.179,1.0,0.116,-4.519,0.0,0.0783,127.985,4.0,https://api.spotify.com/v1/tracks/7oqctG3NMwZ3HogDcOoifS,audio_features,spotify:track:7oqctG3NMwZ3HogDcOoifS,0.363
1,w/ R3hab Swanky Tunes   Max'C, Sending My Love ,Acapella,0.182,https://api.spotify.com/v1/audio-analysis/6Ent7NbbsC3hfU3lwqsmmb,12B,0.443,275053.0,0.585,6Ent7NbbsC3hfU3lwqsmmb,1.87e-06,4.0,0.129,-8.854,1.0,0.0436,143.836,4.0,https://api.spotify.com/v1/tracks/6Ent7NbbsC3hfU3lwqsmmb,audio_features,spotify:track:6Ent7NbbsC3hfU3lwqsmmb,0.606
2,Swanky Tunes   Pete Wilde, Wherever U Go,unknown,0.159,https://api.spotify.com/v1/audio-analysis/3u5qx7z9vbS3n5HZIVY0B8,8A,0.732,198750.0,0.787,3u5qx7z9vbS3n5HZIVY0B8,0.0,9.0,0.602,-1.881,0.0,0.0703,128.042,4.0,https://api.spotify.com/v1/tracks/3u5qx7z9vbS3n5HZIVY0B8,audio_features,spotify:track:3u5qx7z9vbS3n5HZIVY0B8,0.772
3,Thomas Newson Marco V, Tumbleweed,unknown,0.00368,https://api.spotify.com/v1/audio-analysis/37srk5CiVZeadVyEVZlOAe,10A,0.641,174375.0,0.993,37srk5CiVZeadVyEVZlOAe,0.427,11.0,0.131,-3.853,0.0,0.0884,127.979,4.0,https://api.spotify.com/v1/tracks/37srk5CiVZeadVyEVZlOAe,audio_features,spotify:track:37srk5CiVZeadVyEVZlOAe,0.489
4,Maroon 5   Alesso, This Summer,unknown,0.0592,https://api.spotify.com/v1/audio-analysis/4Fqf6sRaSGQppXHwO0gZs3,9A,0.359,191506.0,0.912,4Fqf6sRaSGQppXHwO0gZs3,0.0,4.0,0.853,-4.054,0.0,0.432,121.339,4.0,https://api.spotify.com/v1/tracks/4Fqf6sRaSGQppXHwO0gZs3,audio_features,spotify:track:4Fqf6sRaSGQppXHwO0gZs3,0.365
5,w/ Def Rock Tarlan, Hook,unknown,0.189,https://api.spotify.com/v1/audio-analysis/0aeuzFWCTLpJJiJcP2OjtV,6A,0.745,165146.0,0.503,0aeuzFWCTLpJJiJcP2OjtV,0.0,7.0,0.34,-8.028,0.0,0.324,82.548,4.0,https://api.spotify.com/v1/tracks/0aeuzFWCTLpJJiJcP2OjtV,audio_features,spotify:track:0aeuzFWCTLpJJiJcP2OjtV,0.643
6,Sebastian Ingrosso, Dark River ,Festival Version,0.00534,https://api.spotify.com/v1/audio-analysis/0ikuoejgnBNitqFArW6fFk,10A,0.744,262857.0,0.745,0ikuoejgnBNitqFArW6fFk,0.013,11.0,0.0498,-4.71,0.0,0.0384,126.005,4.0,https://api.spotify.com/v1/tracks/0ikuoejgnBNitqFArW6fFk,audio_features,spotify:track:0ikuoejgnBNitqFArW6fFk,0.418
7,w/ Liquido, Narcotic,unknown,0.379,https://api.spotify.com/v1/audio-analysis/7DMSpp4DApCurcHoRPEp05,3B,0.567,194000.0,0.9,7DMSpp4DApCurcHoRPEp05,4.27e-06,1.0,0.234,-4.487,1.0,0.085,134.035,4.0,https://api.spotify.com/v1/tracks/7DMSpp4DApCurcHoRPEp05,audio_features,spotify:track:7DMSpp4DApCurcHoRPEp05,0.817
8,The White Stripes, Seven Nation Army,unknown,0.00817,https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN,8B,0.737,231733.0,0.463,7i6r9KotUPQg3ozKKgEPIN,0.447,0.0,0.255,-7.828,1.0,0.0792,123.881,4.0,https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN,audio_features,spotify:track:7i6r9KotUPQg3ozKKgEPIN,0.324
9,w/ Avicii, Pure Grinding ,Sunnery James & Ryan Marciano Remix,0.0852,https://api.spotify.com/v1/audio-analysis/3uEu7hcvgrSOrgnMxzqugh,10B,0.712,171960.0,0.743,3uEu7hcvgrSOrgnMxzqugh,4.16e-06,2.0,0.106,-3.462,1.0,0.0627,104.008,4.0,https://api.spotify.com/v1/tracks/3uEu7hcvgrSOrgnMxzqugh,audio_features,spotify:track:3uEu7hcvgrSOrgnMxzqugh,0.361
