,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Alpha² Wildstylez, Atrocious,unknown,,,,,,,,,,,,,,,,,,,
1,Psyko Punkz, Pull Your Strings ,2010 Remix,0.00952,https://api.spotify.com/v1/audio-analysis/2aXqpHzAFXrAtA6ANEfjb2,4B,0.753,318103.0,0.763,2aXqpHzAFXrAtA6ANEfjb2,0.00074,8.0,0.0779,-4.454,1.0,0.103,150.013,4.0,https://api.spotify.com/v1/tracks/2aXqpHzAFXrAtA6ANEfjb2,audio_features,spotify:track:2aXqpHzAFXrAtA6ANEfjb2,0.459
2,Zatox Max Enforcer, It Must Be,unknown,0.0344,https://api.spotify.com/v1/audio-analysis/0eAZ56mzI2ioVYGCu5weWd,3B,0.567,304338.0,0.973,0eAZ56mzI2ioVYGCu5weWd,1.62e-05,1.0,0.601,-4.406,1.0,0.208,149.969,4.0,https://api.spotify.com/v1/tracks/0eAZ56mzI2ioVYGCu5weWd,audio_features,spotify:track:0eAZ56mzI2ioVYGCu5weWd,0.413
3,Ran,D ,unknown,0.28,https://api.spotify.com/v1/audio-analysis/4DKgW2VzcO0aRgHbEgsWRR,11B,0.75,140867.0,0.533,4DKgW2VzcO0aRgHbEgsWRR,3.59e-05,9.0,0.174,-10.289,1.0,0.102,81.993,4.0,https://api.spotify.com/v1/tracks/4DKgW2VzcO0aRgHbEgsWRR,audio_features,spotify:track:4DKgW2VzcO0aRgHbEgsWRR,0.883
4,The Pitcher   Slim Shore, This Is Who We Are,unknown,0.0492,https://api.spotify.com/v1/audio-analysis/0viqA09q0lMA3bMwq4xtga,11A,0.464,182410.0,0.87,0viqA09q0lMA3bMwq4xtga,0.000143,6.0,0.135,-5.6,0.0,0.0271,149.941,4.0,https://api.spotify.com/v1/tracks/0viqA09q0lMA3bMwq4xtga,audio_features,spotify:track:0viqA09q0lMA3bMwq4xtga,0.282
5,Zany, Psychedelic Trip,unknown,0.0634,https://api.spotify.com/v1/audio-analysis/0nd8vOi4MSSi230xqihNjl,7A,0.578,302709.0,0.937,0nd8vOi4MSSi230xqihNjl,0.0112,2.0,0.158,-6.353,0.0,0.0842,150.038,4.0,https://api.spotify.com/v1/tracks/0nd8vOi4MSSi230xqihNjl,audio_features,spotify:track:0nd8vOi4MSSi230xqihNjl,0.171
6,Artic, F#ck The Fake Shit ,Adaro Remix,0.0155,https://api.spotify.com/v1/audio-analysis/1qgZZH0OE22fkp9dAxR8Dq,9B,0.719,316813.0,0.939,1qgZZH0OE22fkp9dAxR8Dq,0.00893,7.0,0.852,-9.109,1.0,0.0572,150.027,4.0,https://api.spotify.com/v1/tracks/1qgZZH0OE22fkp9dAxR8Dq,audio_features,spotify:track:1qgZZH0OE22fkp9dAxR8Dq,0.285
7,Ivan Carsten, You Try To Play Me,unknown,0.00462,https://api.spotify.com/v1/audio-analysis/34w17cFj5DWQtVdySkM9SL,11A,0.716,348944.0,0.949,34w17cFj5DWQtVdySkM9SL,0.0569,6.0,0.0709,-4.051,0.0,0.186,149.956,4.0,https://api.spotify.com/v1/tracks/34w17cFj5DWQtVdySkM9SL,audio_features,spotify:track:34w17cFj5DWQtVdySkM9SL,0.28
8,Southstylers, Pounding Senses ,Zany & Noisecontrollers Edit,0.0524,https://api.spotify.com/v1/audio-analysis/70u88oh0vYR4EBrdbzZfOo,3A,0.536,241905.0,0.957,70u88oh0vYR4EBrdbzZfOo,0.295,10.0,0.107,-5.684,0.0,0.118,149.977,4.0,https://api.spotify.com/v1/tracks/70u88oh0vYR4EBrdbzZfOo,audio_features,spotify:track:70u88oh0vYR4EBrdbzZfOo,0.0975
9,Tartaros, Let The Beat Rock,unknown,0.148,https://api.spotify.com/v1/audio-analysis/74U23Fp34VTu3dJdmMwtZ5,2B,0.561,277647.0,0.86,74U23Fp34VTu3dJdmMwtZ5,0.000214,6.0,0.385,-4.679,1.0,0.0856,152.825,4.0,https://api.spotify.com/v1/tracks/74U23Fp34VTu3dJdmMwtZ5,audio_features,spotify:track:74U23Fp34VTu3dJdmMwtZ5,0.365
10,E,Force & Frequencerz ,Devin Wild Remix,,,,,,,,,,,,,,,,,,,
11,Clockartz, Delirium,unknown,0.00201,https://api.spotify.com/v1/audio-analysis/4KEQFUAlqA710ckgxLCXJm,3B,0.49,225290.0,0.964,4KEQFUAlqA710ckgxLCXJm,0.409,1.0,0.347,-4.794,1.0,0.0657,154.978,4.0,https://api.spotify.com/v1/tracks/4KEQFUAlqA710ckgxLCXJm,audio_features,spotify:track:4KEQFUAlqA710ckgxLCXJm,0.324
12,Scooter, Nessaja ,Tartaros Bootleg,0.00139,https://api.spotify.com/v1/audio-analysis/2zhGnnDewN4kBsVzbqjBtX,10B,0.492,208933.0,0.901,2zhGnnDewN4kBsVzbqjBtX,0.0486,2.0,0.186,-7.03,1.0,0.045,143.014,4.0,https://api.spotify.com/v1/tracks/2zhGnnDewN4kBsVzbqjBtX,audio_features,spotify:track:2zhGnnDewN4kBsVzbqjBtX,0.104
13,Tartaros, Party Starter,unknown,0.0501,https://api.spotify.com/v1/audio-analysis/7DyP3OjzBviWH5tVLdjWlJ,4A,0.485,263800.0,0.964,7DyP3OjzBviWH5tVLdjWlJ,0.00633,5.0,0.344,-5.199,0.0,0.0697,150.073,4.0,https://api.spotify.com/v1/tracks/7DyP3OjzBviWH5tVLdjWlJ,audio_features,spotify:track:7DyP3OjzBviWH5tVLdjWlJ,0.424
14,Frequencerz, Victory Forever ,Defqon.1 Anthem 2017,0.00365,https://api.spotify.com/v1/audio-analysis/4TOgCXS3zOgm5OalzhE7QV,11A,0.336,312000.0,0.936,4TOgCXS3zOgm5OalzhE7QV,1.06e-05,6.0,0.381,-3.909,0.0,0.241,148.695,4.0,https://api.spotify.com/v1/tracks/4TOgCXS3zOgm5OalzhE7QV,audio_features,spotify:track:4TOgCXS3zOgm5OalzhE7QV,0.206
15,Frequencerz Tartaros   Mc Jeff, Wolfpack,unknown,0.0319,https://api.spotify.com/v1/audio-analysis/1nSIYqlekzwFovP3WThvJ8,10B,0.462,152735.0,0.937,1nSIYqlekzwFovP3WThvJ8,0.0,2.0,0.163,-3.123,1.0,0.0432,150.012,4.0,https://api.spotify.com/v1/tracks/1nSIYqlekzwFovP3WThvJ8,audio_features,spotify:track:1nSIYqlekzwFovP3WThvJ8,0.188
16,Tartaros, Puppet On A String,unknown,,,,,,,,,,,,,,,,,,,
17,Tartaros, Bustin' Jieber,unknown,0.0776,https://api.spotify.com/v1/audio-analysis/3sLGG8GKRHDhtvrZgqUYXC,3A,0.275,179389.0,0.972,3sLGG8GKRHDhtvrZgqUYXC,0.0,10.0,0.338,-3.137,0.0,0.449,149.919,4.0,https://api.spotify.com/v1/tracks/3sLGG8GKRHDhtvrZgqUYXC,audio_features,spotify:track:3sLGG8GKRHDhtvrZgqUYXC,0.178
18,Radical Redemption Tartaros, One By One,unknown,0.338,https://api.spotify.com/v1/audio-analysis/2aMPrZ4lk5oYVWfjR4uk8e,1A,0.527,201533.0,0.912,2aMPrZ4lk5oYVWfjR4uk8e,0.048,8.0,0.239,-5.073,0.0,0.291,157.316,4.0,https://api.spotify.com/v1/tracks/2aMPrZ4lk5oYVWfjR4uk8e,audio_features,spotify:track:2aMPrZ4lk5oYVWfjR4uk8e,0.0724
