,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Axel Boman, Just Imagine ,Part I & II,0.571,https://api.spotify.com/v1/audio-analysis/5qnDie0MT5q04UTh3Pyi1J,4A,0.71,489047.0,0.72,5qnDie0MT5q04UTh3Pyi1J,0.851,5.0,0.129,-9.853,0.0,0.0385,115.98,4.0,https://api.spotify.com/v1/tracks/5qnDie0MT5q04UTh3Pyi1J,audio_features,spotify:track:5qnDie0MT5q04UTh3Pyi1J,0.444
1,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
2,Of Norway, Favourite Mistake ,Karim Sahraoui Uplifting Mix,0.0504,https://api.spotify.com/v1/audio-analysis/2i4v8DEBhWkRSGqXyIW1ul,10B,0.689,409106.0,0.851,2i4v8DEBhWkRSGqXyIW1ul,0.619,2.0,0.119,-9.333,1.0,0.0388,123.019,4.0,https://api.spotify.com/v1/tracks/2i4v8DEBhWkRSGqXyIW1ul,audio_features,spotify:track:2i4v8DEBhWkRSGqXyIW1ul,0.429
3,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,D.Ramirez Denney, Stranger Things ,dubSPEEKA Remix,0.000181,https://api.spotify.com/v1/audio-analysis/0CHkRC5SnP0XEnhKhcRdbB,9B,0.737,403892.0,0.784,0CHkRC5SnP0XEnhKhcRdbB,0.929,7.0,0.0496,-13.513,1.0,0.0614,121.993,4.0,https://api.spotify.com/v1/tracks/0CHkRC5SnP0XEnhKhcRdbB,audio_features,spotify:track:0CHkRC5SnP0XEnhKhcRdbB,0.312
5,David Mayer, Movement,unknown,5.4e-05,https://api.spotify.com/v1/audio-analysis/5z7q1Jee3DvAMFl4i7E77z,1A,0.793,521955.0,0.704,5z7q1Jee3DvAMFl4i7E77z,0.897,8.0,0.0285,-8.878,0.0,0.0667,122.054,4.0,https://api.spotify.com/v1/tracks/5z7q1Jee3DvAMFl4i7E77z,audio_features,spotify:track:5z7q1Jee3DvAMFl4i7E77z,0.27
6,Trikk, Saitama,unknown,0.185,https://api.spotify.com/v1/audio-analysis/3awsa3jQK9ZLCAicM0cXd3,7A,0.845,400450.0,0.453,3awsa3jQK9ZLCAicM0cXd3,0.26,2.0,0.0971,-9.625,0.0,0.0521,115.995,4.0,https://api.spotify.com/v1/tracks/3awsa3jQK9ZLCAicM0cXd3,audio_features,spotify:track:3awsa3jQK9ZLCAicM0cXd3,0.091
7,Atjazz, Track 6 ,Mix 1,0.00657,https://api.spotify.com/v1/audio-analysis/0Ho1L7IrtxVl8WdDXRyz7v,11A,0.684,429268.0,0.894,0Ho1L7IrtxVl8WdDXRyz7v,0.911,6.0,0.0749,-7.729,0.0,0.0436,123.003,4.0,https://api.spotify.com/v1/tracks/0Ho1L7IrtxVl8WdDXRyz7v,audio_features,spotify:track:0Ho1L7IrtxVl8WdDXRyz7v,0.0369
8,Finnebassen, Sanguine,unknown,0.000444,https://api.spotify.com/v1/audio-analysis/0mwOPEHO0nmXMoashJ573Y,8B,0.799,498135.0,0.804,0mwOPEHO0nmXMoashJ573Y,0.805,0.0,0.642,-9.796,1.0,0.0499,122.001,4.0,https://api.spotify.com/v1/tracks/0mwOPEHO0nmXMoashJ573Y,audio_features,spotify:track:0mwOPEHO0nmXMoashJ573Y,0.416
9,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
10,Audiofly Patrice Bäumel, Atacama,unknown,0.00315,https://api.spotify.com/v1/audio-analysis/6sHHWdK5ijfpIZQXSMgiBW,3B,0.806,464585.0,0.615,6sHHWdK5ijfpIZQXSMgiBW,0.865,1.0,0.115,-9.742,1.0,0.0601,124.004,4.0,https://api.spotify.com/v1/tracks/6sHHWdK5ijfpIZQXSMgiBW,audio_features,spotify:track:6sHHWdK5ijfpIZQXSMgiBW,0.0657
11,L. Doblado, Lie Alone ,16 Bit Lolitas Remix,0.029,https://api.spotify.com/v1/audio-analysis/5Fnk2uXVwy9UC6PgLUqSRD,8A,0.792,390769.0,0.418,5Fnk2uXVwy9UC6PgLUqSRD,0.895,9.0,0.0947,-10.386,0.0,0.0811,121.997,4.0,https://api.spotify.com/v1/tracks/5Fnk2uXVwy9UC6PgLUqSRD,audio_features,spotify:track:5Fnk2uXVwy9UC6PgLUqSRD,0.237
