,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,MÖWE feat. Cleah, Back In The Summer,unknown,0.33,https://api.spotify.com/v1/audio-analysis/2Nc8sojmtZlxxiiwrIaNHM,8B,0.645,177096.0,0.617,2Nc8sojmtZlxxiiwrIaNHM,1.48e-05,0.0,0.115,-5.676,1.0,0.0966,104.795,4.0,https://api.spotify.com/v1/tracks/2Nc8sojmtZlxxiiwrIaNHM,audio_features,spotify:track:2Nc8sojmtZlxxiiwrIaNHM,0.392
1,Frank Pole feat. Greyson Chance, Anything,unknown,0.0274,https://api.spotify.com/v1/audio-analysis/3XC7XxAo5G6aFN0bIwJNkE,6B,0.478,221623.0,0.871,3XC7XxAo5G6aFN0bIwJNkE,0.0,10.0,0.111,-4.716,1.0,0.274,122.337,4.0,https://api.spotify.com/v1/tracks/3XC7XxAo5G6aFN0bIwJNkE,audio_features,spotify:track:3XC7XxAo5G6aFN0bIwJNkE,0.333
2,Dennis Kruissen, Falling In Love,unknown,0.0247,https://api.spotify.com/v1/audio-analysis/6w7pyStLqgxZn8WYf0cHrF,1B,0.459,210857.0,0.454,6w7pyStLqgxZn8WYf0cHrF,0.0,11.0,0.169,-9.202,1.0,0.0387,139.909,4.0,https://api.spotify.com/v1/tracks/6w7pyStLqgxZn8WYf0cHrF,audio_features,spotify:track:6w7pyStLqgxZn8WYf0cHrF,0.0741
3,Harold van Lennep Stone Van Brooken feat. Ani,K ,unknown,0.00957,https://api.spotify.com/v1/audio-analysis/3DvjuEmZh4GqWABVK0unpP,8B,0.708,446875.0,0.625,3DvjuEmZh4GqWABVK0unpP,0.95,0.0,0.0889,-12.808,1.0,0.041,123.006,4.0,https://api.spotify.com/v1/tracks/3DvjuEmZh4GqWABVK0unpP,audio_features,spotify:track:3DvjuEmZh4GqWABVK0unpP,0.384
4,MIKVH feat. Tammy Infusino, Know Better,unknown,0.0188,https://api.spotify.com/v1/audio-analysis/3XibWHmH6aq8jOLCMJ5zaG,9B,0.685,201324.0,0.654,3XibWHmH6aq8jOLCMJ5zaG,0.0,7.0,0.405,-5.536,1.0,0.0554,107.052,4.0,https://api.spotify.com/v1/tracks/3XibWHmH6aq8jOLCMJ5zaG,audio_features,spotify:track:3XibWHmH6aq8jOLCMJ5zaG,0.385
5,Boy Kiss Girl, Bring It On Home,unknown,0.23,https://api.spotify.com/v1/audio-analysis/5dhgNuKalc74nrJcKxH6Rv,10A,0.855,144443.0,0.679,5dhgNuKalc74nrJcKxH6Rv,0.0,11.0,0.351,-7.29,0.0,0.0975,109.969,4.0,https://api.spotify.com/v1/tracks/5dhgNuKalc74nrJcKxH6Rv,audio_features,spotify:track:5dhgNuKalc74nrJcKxH6Rv,0.799
6,Nick Martin feat. Natalola, Shackles,unknown,0.356,https://api.spotify.com/v1/audio-analysis/4MQn8kE6CNaALk9Fd8jWpS,10A,0.83,156680.0,0.289,4MQn8kE6CNaALk9Fd8jWpS,0.000523,11.0,0.0785,-9.004,0.0,0.0753,90.011,4.0,https://api.spotify.com/v1/tracks/4MQn8kE6CNaALk9Fd8jWpS,audio_features,spotify:track:4MQn8kE6CNaALk9Fd8jWpS,0.232
7,Felon feat. Mullally, Rush,unknown,0.0122,https://api.spotify.com/v1/audio-analysis/37d5H9NaWlGEPs2MmmMFMF,8A,0.751,172500.0,0.706,37d5H9NaWlGEPs2MmmMFMF,0.0,9.0,0.117,-4.624,0.0,0.0416,119.997,4.0,https://api.spotify.com/v1/tracks/37d5H9NaWlGEPs2MmmMFMF,audio_features,spotify:track:37d5H9NaWlGEPs2MmmMFMF,0.8
8,Paris Simo feat. Gabrielle Current FINNEAS, Evermore,unknown,0.0126,https://api.spotify.com/v1/audio-analysis/6fo3R6u9iNe7O5iRWQYWTF,7B,0.551,176600.0,0.818,6fo3R6u9iNe7O5iRWQYWTF,0.000146,5.0,0.0999,-5.562,1.0,0.0515,115.825,4.0,https://api.spotify.com/v1/tracks/6fo3R6u9iNe7O5iRWQYWTF,audio_features,spotify:track:6fo3R6u9iNe7O5iRWQYWTF,0.067
9,Sebastien feat. OVI, When It's Over,unknown,0.152,https://api.spotify.com/v1/audio-analysis/7yebvgOaP8l5WkYh59dPxh,7B,0.657,186055.0,0.882,7yebvgOaP8l5WkYh59dPxh,0.0,5.0,0.241,-5.202,1.0,0.126,119.917,4.0,https://api.spotify.com/v1/tracks/7yebvgOaP8l5WkYh59dPxh,audio_features,spotify:track:7yebvgOaP8l5WkYh59dPxh,0.286
10,Yozo feat. Bonnie Legion, The Bright Sign,unknown,0.00552,https://api.spotify.com/v1/audio-analysis/3BDrZlCldJaXx3Giblqp3k,10B,0.683,212811.0,0.785,3BDrZlCldJaXx3Giblqp3k,0.393,2.0,0.296,-6.695,1.0,0.0387,121.984,4.0,https://api.spotify.com/v1/tracks/3BDrZlCldJaXx3Giblqp3k,audio_features,spotify:track:3BDrZlCldJaXx3Giblqp3k,0.0771
11,KRONO feat. Paul Kostick, You're Beautiful,unknown,,,,,,,,,,,,,,,,,,,
12,Joyzu, Running,unknown,0.13,https://api.spotify.com/v1/audio-analysis/6zdfu1i0bGQXM1skrfN3ke,8A,0.425,187064.0,0.743,6zdfu1i0bGQXM1skrfN3ke,0.0,9.0,0.133,-5.533,0.0,0.235,136.898,4.0,https://api.spotify.com/v1/tracks/6zdfu1i0bGQXM1skrfN3ke,audio_features,spotify:track:6zdfu1i0bGQXM1skrfN3ke,0.458
13,Felix Leiter, Be Free,unknown,0.00242,https://api.spotify.com/v1/audio-analysis/28vZDToHFQcJWlATH4sQkj,9B,0.541,160556.0,0.919,28vZDToHFQcJWlATH4sQkj,0.241,7.0,0.249,-4.133,1.0,0.0365,123.005,4.0,https://api.spotify.com/v1/tracks/28vZDToHFQcJWlATH4sQkj,audio_features,spotify:track:28vZDToHFQcJWlATH4sQkj,0.435
14,Branchez feat. Santell, Dreamer,unknown,0.0251,https://api.spotify.com/v1/audio-analysis/1WeV9p52BtqBJStatKA7SK,8B,0.717,231453.0,0.827,1WeV9p52BtqBJStatKA7SK,0.00305,0.0,0.903,-6.37,1.0,0.0389,128.009,4.0,https://api.spotify.com/v1/tracks/1WeV9p52BtqBJStatKA7SK,audio_features,spotify:track:1WeV9p52BtqBJStatKA7SK,0.609
15,Martin Jamar, Stars,unknown,0.612,https://api.spotify.com/v1/audio-analysis/1DKW77CuG2akW5cnqMzRUg,10A,0.778,172637.0,0.49,1DKW77CuG2akW5cnqMzRUg,0.0984,11.0,0.12,-12.396,0.0,0.0429,118.001,4.0,https://api.spotify.com/v1/tracks/1DKW77CuG2akW5cnqMzRUg,audio_features,spotify:track:1DKW77CuG2akW5cnqMzRUg,0.157
