,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Skrillex   Diplo G,Dragon & CL ,Habstrakt Remix,,,,,,,,,,,,,,,,,,,
1,RL Grime   What So Not, Tell Me ,Baauer Edit,0.244,https://api.spotify.com/v1/audio-analysis/60E5behybi3XUzcme2uojn,4A,0.597,281143.0,0.961,60E5behybi3XUzcme2uojn,0.412,5.0,0.0928,-2.909,0.0,0.0492,140.034,4.0,https://api.spotify.com/v1/tracks/60E5behybi3XUzcme2uojn,audio_features,spotify:track:60E5behybi3XUzcme2uojn,0.345
2,The Weeknd, Live For ,The Ninetys X HUCCI Remix,0.537,https://api.spotify.com/v1/audio-analysis/3kgqHVqfiabABjaFi9Tnhn,8A,0.568,222667.0,0.69,3kgqHVqfiabABjaFi9Tnhn,0.0,9.0,0.116,-7.542,0.0,0.226,151.936,4.0,https://api.spotify.com/v1/tracks/3kgqHVqfiabABjaFi9Tnhn,audio_features,spotify:track:3kgqHVqfiabABjaFi9Tnhn,0.2
3,A. G. Cook, Beautiful ,Rustie Edit,0.495,https://api.spotify.com/v1/audio-analysis/2eiOSen0lk3HjBwpiXWwHI,8A,0.611,195200.0,0.715,2eiOSen0lk3HjBwpiXWwHI,0.0,9.0,0.327,-5.951,0.0,0.267,90.621,4.0,https://api.spotify.com/v1/tracks/2eiOSen0lk3HjBwpiXWwHI,audio_features,spotify:track:2eiOSen0lk3HjBwpiXWwHI,0.504
4,Rae Sremmurd, No Type ,Prod. by Mike WiLL Made It,0.013,https://api.spotify.com/v1/audio-analysis/4scpF6J5uMBvoh6sFB7EL1,2B,0.888,200080.0,0.483,4scpF6J5uMBvoh6sFB7EL1,4.85e-06,6.0,0.0926,-7.797,1.0,0.154,125.008,4.0,https://api.spotify.com/v1/tracks/4scpF6J5uMBvoh6sFB7EL1,audio_features,spotify:track:4scpF6J5uMBvoh6sFB7EL1,0.226
5,Michael Calfan, Treasured Soul,unknown,0.0191,https://api.spotify.com/v1/audio-analysis/2z9BHtXQT5XsrIThekoZ8s,9A,0.623,177600.0,0.833,2z9BHtXQT5XsrIThekoZ8s,0.0174,4.0,0.331,-2.951,0.0,0.0557,124.973,4.0,https://api.spotify.com/v1/tracks/2z9BHtXQT5XsrIThekoZ8s,audio_features,spotify:track:2z9BHtXQT5XsrIThekoZ8s,0.411
6,Martin Solveig GTA, Intoxicated,unknown,0.00435,https://api.spotify.com/v1/audio-analysis/0dbQ4h3cs8QE5fOPMYdDrX,8B,0.792,159560.0,0.688,0dbQ4h3cs8QE5fOPMYdDrX,0.00477,0.0,0.0972,-4.008,1.0,0.0386,124.987,4.0,https://api.spotify.com/v1/tracks/0dbQ4h3cs8QE5fOPMYdDrX,audio_features,spotify:track:0dbQ4h3cs8QE5fOPMYdDrX,0.502
7,The Griswolds, Beware The Dog ,Autograf Remix,0.00751,https://api.spotify.com/v1/audio-analysis/57AiehxdEDIhlpd0m5KIja,6B,0.825,262623.0,0.645,57AiehxdEDIhlpd0m5KIja,0.121,10.0,0.0927,-5.616,1.0,0.0404,121.996,4.0,https://api.spotify.com/v1/tracks/57AiehxdEDIhlpd0m5KIja,audio_features,spotify:track:57AiehxdEDIhlpd0m5KIja,0.401
8,The Chainsmokers   SirenXX, KANYE ,Dave Edwards Remix,0.308,https://api.spotify.com/v1/audio-analysis/3ZLyt2ndLFBh148XRYjYYZ,5A,0.531,203794.0,0.544,3ZLyt2ndLFBh148XRYjYYZ,1.89e-06,0.0,0.0835,-8.615,0.0,0.462,131.921,4.0,https://api.spotify.com/v1/tracks/3ZLyt2ndLFBh148XRYjYYZ,audio_features,spotify:track:3ZLyt2ndLFBh148XRYjYYZ,0.398
9,Showtek   MC Ambush, 90's By Nature,unknown,,,,,,,,,,,,,,,,,,,
