,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Chainsmokers   Emily Warren, Side Effects,unknown,0.00277,https://api.spotify.com/v1/audio-analysis/5hrXLJJrnKraxRQntH0Vv9,4B,0.673,173613.0,0.71,5hrXLJJrnKraxRQntH0Vv9,0.0,8.0,0.55,-6.744,1.0,0.0324,110.017,4.0,https://api.spotify.com/v1/tracks/5hrXLJJrnKraxRQntH0Vv9,audio_features,spotify:track:5hrXLJJrnKraxRQntH0Vv9,0.54
1,Nitti Gritti, Fear ,Hyphee X Benvy Remix,0.00164,https://api.spotify.com/v1/audio-analysis/68wDwfXRvvUTCG0KDG6LZn,3A,0.793,180000.0,0.925,68wDwfXRvvUTCG0KDG6LZn,0.558,10.0,0.037,-3.928,0.0,0.0449,128.017,4.0,https://api.spotify.com/v1/tracks/68wDwfXRvvUTCG0KDG6LZn,audio_features,spotify:track:68wDwfXRvvUTCG0KDG6LZn,0.423
2,Snow, Informer ,D'Maduro Rudeboy Remix,0.0984,https://api.spotify.com/v1/audio-analysis/2LjiPAQOVazT8sRyXL3XRs,11A,0.763,268910.0,0.742,2LjiPAQOVazT8sRyXL3XRs,0.0,6.0,0.38,-10.975,0.0,0.188,98.145,4.0,https://api.spotify.com/v1/tracks/2LjiPAQOVazT8sRyXL3XRs,audio_features,spotify:track:2LjiPAQOVazT8sRyXL3XRs,0.483
3,JAUZ Zeds Dead, Lights Go Down ,Spirix Remix,0.38,https://api.spotify.com/v1/audio-analysis/1UOWNaUMhOxXxSZHGhVDVj,12A,0.593,213187.0,0.917,1UOWNaUMhOxXxSZHGhVDVj,0.0052,1.0,0.29,-3.738,0.0,0.0909,170.033,4.0,https://api.spotify.com/v1/tracks/1UOWNaUMhOxXxSZHGhVDVj,audio_features,spotify:track:1UOWNaUMhOxXxSZHGhVDVj,0.262
4,Lil Peep   graves, Awful Things ,Lodato & Benzi Edit,0.0157,https://api.spotify.com/v1/audio-analysis/7Hr2XoaGpIMKbNXCZDZ3le,12A,0.368,214427.0,0.796,7Hr2XoaGpIMKbNXCZDZ3le,0.0,1.0,0.0694,-4.923,0.0,0.0823,170.033,4.0,https://api.spotify.com/v1/tracks/7Hr2XoaGpIMKbNXCZDZ3le,audio_features,spotify:track:7Hr2XoaGpIMKbNXCZDZ3le,0.181
5,Drake, Nonstop,unknown,0.0164,https://api.spotify.com/v1/audio-analysis/0TlLq3lA83rQOYtrqBqSct,9B,0.912,238614.0,0.412,0TlLq3lA83rQOYtrqBqSct,0.013,7.0,0.104,-8.074,1.0,0.124,154.983,4.0,https://api.spotify.com/v1/tracks/0TlLq3lA83rQOYtrqBqSct,audio_features,spotify:track:0TlLq3lA83rQOYtrqBqSct,0.422
6,w/ Twine, Die 4 U,unknown,0.000358,https://api.spotify.com/v1/audio-analysis/1QxCFffb8aOEVoLmaYWcii,3B,0.549,250980.0,0.997,1QxCFffb8aOEVoLmaYWcii,0.299,1.0,0.0985,-0.441,1.0,0.195,152.963,4.0,https://api.spotify.com/v1/tracks/1QxCFffb8aOEVoLmaYWcii,audio_features,spotify:track:1QxCFffb8aOEVoLmaYWcii,0.122
7,Jay Rock, WIN ,Ookay Remix,0.0152,https://api.spotify.com/v1/audio-analysis/6o6XM9jgPHopOG6SMTyHoE,3B,0.879,215227.0,0.595,6o6XM9jgPHopOG6SMTyHoE,0.0,1.0,0.391,-2.936,1.0,0.0889,125.994,4.0,https://api.spotify.com/v1/tracks/6o6XM9jgPHopOG6SMTyHoE,audio_features,spotify:track:6o6XM9jgPHopOG6SMTyHoE,0.355
8,w/ Just A Gent   MOZA, You'll Never Know,unknown,,,,,,,,,,,,,,,,,,,
9,The Temper Trap, Sweet Disposition ,Codeko & LZRD Remix,0.0701,https://api.spotify.com/v1/audio-analysis/5RoIXwyTCdyUjpMMkk4uPd,10B,0.531,230800.0,0.821,5RoIXwyTCdyUjpMMkk4uPd,0.171,2.0,0.124,-6.812,1.0,0.0439,129.139,4.0,https://api.spotify.com/v1/tracks/5RoIXwyTCdyUjpMMkk4uPd,audio_features,spotify:track:5RoIXwyTCdyUjpMMkk4uPd,0.34
