,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Corine, Pluie Fine ,Polo & Pan Remix,0.383,https://api.spotify.com/v1/audio-analysis/1z8j5rGC0dEpXroxfmm4ay,1A,0.849,238081.0,0.7,1z8j5rGC0dEpXroxfmm4ay,0.731,8.0,0.0955,-8.064,0.0,0.0625,118.011,4.0,https://api.spotify.com/v1/tracks/1z8j5rGC0dEpXroxfmm4ay,audio_features,spotify:track:1z8j5rGC0dEpXroxfmm4ay,0.215
1,Black Box, Everybody Everybody,unknown,0.00359,https://api.spotify.com/v1/audio-analysis/24lF0of2nbQlTYDU8i6glX,4A,0.711,247000.0,0.81,24lF0of2nbQlTYDU8i6glX,1.19e-05,5.0,0.0881,-6.443,0.0,0.0379,117.627,4.0,https://api.spotify.com/v1/tracks/24lF0of2nbQlTYDU8i6glX,audio_features,spotify:track:24lF0of2nbQlTYDU8i6glX,0.974
2,Tove Lo, Disco Tits ,MK Remix,0.00384,https://api.spotify.com/v1/audio-analysis/6se5yPtEj1iQAkrm3o7kDc,11A,0.672,302811.0,0.89,6se5yPtEj1iQAkrm3o7kDc,0.0201,6.0,0.0521,-6.042,0.0,0.0364,123.982,4.0,https://api.spotify.com/v1/tracks/6se5yPtEj1iQAkrm3o7kDc,audio_features,spotify:track:6se5yPtEj1iQAkrm3o7kDc,0.532
3,Reel 2 Real   The Mad Stuntman, I Like To Move It,unknown,0.0394,https://api.spotify.com/v1/audio-analysis/6dHTkQYY3zdR9i9Nj0IGVW,4A,0.863,230760.0,0.781,6dHTkQYY3zdR9i9Nj0IGVW,0.000292,5.0,0.125,-8.546,0.0,0.0785,122.938,4.0,https://api.spotify.com/v1/tracks/6dHTkQYY3zdR9i9Nj0IGVW,audio_features,spotify:track:6dHTkQYY3zdR9i9Nj0IGVW,0.764
4,Fatboy Slim," Right Here, Right Now ",CamelPhat Remix,0.0192,https://api.spotify.com/v1/audio-analysis/6VtKtv4e3u4hbUsS3iQTD5,9B,0.609,209792.0,0.946,6VtKtv4e3u4hbUsS3iQTD5,0.604,7.0,0.561,-5.101,1.0,0.069,123.002,4.0,https://api.spotify.com/v1/tracks/6VtKtv4e3u4hbUsS3iQTD5,audio_features,spotify:track:6VtKtv4e3u4hbUsS3iQTD5,0.0872
5,Kylie Minogue, In Your Eyes,unknown,0.133,https://api.spotify.com/v1/audio-analysis/1t5nwfsb90IliczIhOMnpJ,11A,0.689,197827.0,0.894,1t5nwfsb90IliczIhOMnpJ,4.72e-05,6.0,0.0681,-6.342,0.0,0.0672,123.971,4.0,https://api.spotify.com/v1/tracks/1t5nwfsb90IliczIhOMnpJ,audio_features,spotify:track:1t5nwfsb90IliczIhOMnpJ,0.709
6,LP Giobbi, Amber Rose,unknown,0.0183,https://api.spotify.com/v1/audio-analysis/495ZrrYaSAJri9Pg7pHIYy,10A,0.79,247627.0,0.804,495ZrrYaSAJri9Pg7pHIYy,0.0018,11.0,0.0955,-6.896,0.0,0.0647,125.034,4.0,https://api.spotify.com/v1/tracks/495ZrrYaSAJri9Pg7pHIYy,audio_features,spotify:track:495ZrrYaSAJri9Pg7pHIYy,0.699
7,Rokky, Deux,unknown,,,,,,,,,,,,,,,,,,,
8,AMY MIYÚ Rochelle, All Good,unknown,0.00641,https://api.spotify.com/v1/audio-analysis/2OycSpF7wmhavoWaOrRvY5,9A,0.818,206477.0,0.785,2OycSpF7wmhavoWaOrRvY5,0.000358,4.0,0.133,-5.652,0.0,0.0643,123.001,4.0,https://api.spotify.com/v1/tracks/2OycSpF7wmhavoWaOrRvY5,audio_features,spotify:track:2OycSpF7wmhavoWaOrRvY5,0.622
9,K,Klass ,Main Vocal Mix,0.0229,https://api.spotify.com/v1/audio-analysis/5ugX0Vy1hK3gKpoIoa8phm,10A,0.824,446267.0,0.607,5ugX0Vy1hK3gKpoIoa8phm,0.00328,11.0,0.0537,-7.7,0.0,0.0599,122.033,4.0,https://api.spotify.com/v1/tracks/5ugX0Vy1hK3gKpoIoa8phm,audio_features,spotify:track:5ugX0Vy1hK3gKpoIoa8phm,0.631
10,OMC, How Bizarre,unknown,0.323,https://api.spotify.com/v1/audio-analysis/0wJyFu6JHwUoKQN5X3uzVe,8B,0.785,224165.0,0.686,0wJyFu6JHwUoKQN5X3uzVe,1.83e-06,0.0,0.566,-7.748,1.0,0.0497,124.918,4.0,https://api.spotify.com/v1/tracks/0wJyFu6JHwUoKQN5X3uzVe,audio_features,spotify:track:0wJyFu6JHwUoKQN5X3uzVe,0.838
11,Sofi Tukker   NERVO The Knocks Alisa Ueno, Best Friend ,Oliver Heldens Remix,0.0107,https://api.spotify.com/v1/audio-analysis/72KFD0CLxKVBtzN0nq42Fm,11A,0.695,205100.0,0.914,72KFD0CLxKVBtzN0nq42Fm,0.00212,6.0,0.332,-6.611,0.0,0.0534,120.995,4.0,https://api.spotify.com/v1/tracks/72KFD0CLxKVBtzN0nq42Fm,audio_features,spotify:track:72KFD0CLxKVBtzN0nq42Fm,0.289
12,John Tejada, Sweat ,On The Walls,0.00709,https://api.spotify.com/v1/audio-analysis/3IWukfXCcSwmXJRADZVjiH,10B,0.771,411550.0,0.649,3IWukfXCcSwmXJRADZVjiH,0.156,2.0,0.0805,-9.103,1.0,0.0473,124.99,4.0,https://api.spotify.com/v1/tracks/3IWukfXCcSwmXJRADZVjiH,audio_features,spotify:track:3IWukfXCcSwmXJRADZVjiH,0.289
13,Sofi Tukker, Fuck They,unknown,0.0771,https://api.spotify.com/v1/audio-analysis/4o3B718MLAePzaSUcj8pR8,9B,0.819,184053.0,0.591,4o3B718MLAePzaSUcj8pR8,0.00182,7.0,0.305,-8.81,1.0,0.098,126.981,4.0,https://api.spotify.com/v1/tracks/4o3B718MLAePzaSUcj8pR8,audio_features,spotify:track:4o3B718MLAePzaSUcj8pR8,0.697
14,Sofi Tukker, Batshit,unknown,0.0101,https://api.spotify.com/v1/audio-analysis/398W8M7yOg2MuZJnlzrRS5,3B,0.787,203413.0,0.522,398W8M7yOg2MuZJnlzrRS5,0.00814,1.0,0.11,-6.88,1.0,0.0483,115.017,4.0,https://api.spotify.com/v1/tracks/398W8M7yOg2MuZJnlzrRS5,audio_features,spotify:track:398W8M7yOg2MuZJnlzrRS5,0.499
15,Sofi Tukker   Pabllo Vittar, Energia ,ID Remix,0.0446,https://api.spotify.com/v1/audio-analysis/4LDOAbqOhaAcY5ccwfIlJL,3A,0.612,269103.0,0.839,4LDOAbqOhaAcY5ccwfIlJL,0.0504,10.0,0.105,-6.841,0.0,0.0324,135.061,4.0,https://api.spotify.com/v1/tracks/4LDOAbqOhaAcY5ccwfIlJL,audio_features,spotify:track:4LDOAbqOhaAcY5ccwfIlJL,0.389
