,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Bazzi, Mine ,Jengi Remix,0.0934,https://api.spotify.com/v1/audio-analysis/6wR0RLhc2y75cZjEeQIHj5,11A,0.786,190099.0,0.704,6wR0RLhc2y75cZjEeQIHj5,2.46e-05,6.0,0.0948,-6.46,0.0,0.0523,101.021,4.0,https://api.spotify.com/v1/tracks/6wR0RLhc2y75cZjEeQIHj5,audio_features,spotify:track:6wR0RLhc2y75cZjEeQIHj5,0.68
1,SG Lewis, Coming Up,unknown,0.0168,https://api.spotify.com/v1/audio-analysis/6M4nGe5cOV0yObqDW8Qpru,10A,0.721,197052.0,0.686,6M4nGe5cOV0yObqDW8Qpru,0.00767,11.0,0.298,-5.966,0.0,0.0792,104.985,4.0,https://api.spotify.com/v1/tracks/6M4nGe5cOV0yObqDW8Qpru,audio_features,spotify:track:6M4nGe5cOV0yObqDW8Qpru,0.738
2,A,Trak & Yehme2 ,unknown,,,,,,,,,,,,,,,,,,,
3,The Magician   Ebenezer, Las Vegas ,Vladimir Cauchemar Remix,0.0719,https://api.spotify.com/v1/audio-analysis/6Qi1JE62ReYbKOakGuWyXG,2B,0.818,223187.0,0.773,6Qi1JE62ReYbKOakGuWyXG,5.3e-05,6.0,0.0781,-5.965,1.0,0.049,115.025,4.0,https://api.spotify.com/v1/tracks/6Qi1JE62ReYbKOakGuWyXG,audio_features,spotify:track:6Qi1JE62ReYbKOakGuWyXG,0.58
4,Duke Dumont   Ebenezer, Inhale,unknown,0.0281,https://api.spotify.com/v1/audio-analysis/05bUAkDRK3xzvVkZlGU6ee,10B,0.741,190730.0,0.814,05bUAkDRK3xzvVkZlGU6ee,0.0,2.0,0.064,-4.393,1.0,0.0646,118.048,4.0,https://api.spotify.com/v1/tracks/05bUAkDRK3xzvVkZlGU6ee,audio_features,spotify:track:05bUAkDRK3xzvVkZlGU6ee,0.476
5,Disciples, 48HRS,unknown,0.0558,https://api.spotify.com/v1/audio-analysis/2XapuT0KLcIYHMgfDdBTBE,4B,0.773,203036.0,0.728,2XapuT0KLcIYHMgfDdBTBE,0.245,8.0,0.0945,-7.334,1.0,0.057,119.97,4.0,https://api.spotify.com/v1/tracks/2XapuT0KLcIYHMgfDdBTBE,audio_features,spotify:track:2XapuT0KLcIYHMgfDdBTBE,0.482
6,Tony S, Feel Alright ,Ross Couch Remix,0.00407,https://api.spotify.com/v1/audio-analysis/59YkYrMzrQ9Q4PuLWlLyCl,9B,0.803,337383.0,0.699,59YkYrMzrQ9Q4PuLWlLyCl,0.248,7.0,0.0423,-6.289,1.0,0.221,120.262,4.0,https://api.spotify.com/v1/tracks/59YkYrMzrQ9Q4PuLWlLyCl,audio_features,spotify:track:59YkYrMzrQ9Q4PuLWlLyCl,0.96
7,Crush Club, We Dance ,ID Remix,0.0125,https://api.spotify.com/v1/audio-analysis/0VXZ2d0nys3S1WNcbxBb8d,4A,0.683,157375.0,0.951,0VXZ2d0nys3S1WNcbxBb8d,0.194,5.0,0.348,-4.77,0.0,0.0629,121.984,4.0,https://api.spotify.com/v1/tracks/0VXZ2d0nys3S1WNcbxBb8d,audio_features,spotify:track:0VXZ2d0nys3S1WNcbxBb8d,0.557
8,Sophie Lloyd   Dames Brown, Calling Out,unknown,0.239,https://api.spotify.com/v1/audio-analysis/54BjeQ51K2tO2WzUpks6sR,6A,0.701,228217.0,0.692,54BjeQ51K2tO2WzUpks6sR,0.0854,7.0,0.742,-6.529,0.0,0.0521,122.003,4.0,https://api.spotify.com/v1/tracks/54BjeQ51K2tO2WzUpks6sR,audio_features,spotify:track:54BjeQ51K2tO2WzUpks6sR,0.551
9,Peggy Gou, It Makes You Forget ,Itgehane,0.0177,https://api.spotify.com/v1/audio-analysis/1GZJu6ciZ55S8Kp1s8Z5ex,8B,0.794,236160.0,0.89,1GZJu6ciZ55S8Kp1s8Z5ex,0.468,0.0,0.0838,-9.438,1.0,0.0431,125.003,4.0,https://api.spotify.com/v1/tracks/1GZJu6ciZ55S8Kp1s8Z5ex,audio_features,spotify:track:1GZJu6ciZ55S8Kp1s8Z5ex,0.77
