,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Justice, Safe And Sound,unknown,7.79e-05,https://api.spotify.com/v1/audio-analysis/5pqbHlHaVbkHJQlsAxhcZM,11A,0.602,345304.0,0.793,5pqbHlHaVbkHJQlsAxhcZM,0.139,6.0,0.0968,-5.198,0.0,0.0623,115.001,4.0,https://api.spotify.com/v1/tracks/5pqbHlHaVbkHJQlsAxhcZM,audio_features,spotify:track:5pqbHlHaVbkHJQlsAxhcZM,0.583
1,ATICA, Go Back,unknown,0.000421,https://api.spotify.com/v1/audio-analysis/7bYHPKQBz1LA4U8lcUi4lt,11A,0.81,252666.0,0.851,7bYHPKQBz1LA4U8lcUi4lt,0.358,6.0,0.0543,-4.268,0.0,0.203,125.029,4.0,https://api.spotify.com/v1/tracks/7bYHPKQBz1LA4U8lcUi4lt,audio_features,spotify:track:7bYHPKQBz1LA4U8lcUi4lt,0.552
2,ALOK   Iro, Love,unknown,0.033,https://api.spotify.com/v1/audio-analysis/5I1p294NoVUJvLiLqnftnz,11B,0.602,218250.0,0.769,5I1p294NoVUJvLiLqnftnz,9.27e-06,9.0,0.102,-5.194,1.0,0.0667,160.098,4.0,https://api.spotify.com/v1/tracks/5I1p294NoVUJvLiLqnftnz,audio_features,spotify:track:5I1p294NoVUJvLiLqnftnz,0.331
3,Dua Lipa, Hotter Than Hell ,Shadow Child Remix,0.00016,https://api.spotify.com/v1/audio-analysis/0c6mI3THHtFnYz3qkbxzD5,1B,0.776,387912.0,0.56,0c6mI3THHtFnYz3qkbxzD5,0.000244,11.0,0.0869,-9.906,1.0,0.126,124.018,4.0,https://api.spotify.com/v1/tracks/0c6mI3THHtFnYz3qkbxzD5,audio_features,spotify:track:0c6mI3THHtFnYz3qkbxzD5,0.307
4,Jegers Jean Beatz, Koe,unknown,0.000665,https://api.spotify.com/v1/audio-analysis/5Eq65x3KWWXo3gSoVZ0sl5,1A,0.786,259579.0,0.94,5Eq65x3KWWXo3gSoVZ0sl5,0.814,8.0,0.0459,-4.02,0.0,0.143,125.971,4.0,https://api.spotify.com/v1/tracks/5Eq65x3KWWXo3gSoVZ0sl5,audio_features,spotify:track:5Eq65x3KWWXo3gSoVZ0sl5,0.503
5,Armand Van Helden, Wings,unknown,0.000179,https://api.spotify.com/v1/audio-analysis/0IMJIkOxtCFnmOmrpIH08O,11A,0.586,181967.0,0.855,0IMJIkOxtCFnmOmrpIH08O,0.0148,6.0,0.112,-6.418,0.0,0.0446,122.044,4.0,https://api.spotify.com/v1/tracks/0IMJIkOxtCFnmOmrpIH08O,audio_features,spotify:track:0IMJIkOxtCFnmOmrpIH08O,0.479
6,Madeaux   Kaleena Zanders, New Wav ,Wuki Remix,0.00433,https://api.spotify.com/v1/audio-analysis/6x5WmXF72jTFdXMRMgkz5c,3B,0.828,281466.0,0.914,6x5WmXF72jTFdXMRMgkz5c,0.668,1.0,0.0416,-6.841,1.0,0.0414,128.004,4.0,https://api.spotify.com/v1/tracks/6x5WmXF72jTFdXMRMgkz5c,audio_features,spotify:track:6x5WmXF72jTFdXMRMgkz5c,0.0472
7,Snavs Fabian Mazur, Murda,unknown,0.00143,https://api.spotify.com/v1/audio-analysis/71qyOCH1CFv1aJtQOlSlFP,1A,0.492,214400.0,0.925,71qyOCH1CFv1aJtQOlSlFP,0.0574,8.0,0.362,-4.264,0.0,0.285,150.153,4.0,https://api.spotify.com/v1/tracks/71qyOCH1CFv1aJtQOlSlFP,audio_features,spotify:track:71qyOCH1CFv1aJtQOlSlFP,0.463
8,Martin Garrix Bebe Rexha, In The Name Of Love,unknown,0.109,https://api.spotify.com/v1/audio-analysis/23L5CiUhw2jV1OIMwthR3S,9A,0.501,195707.0,0.519,23L5CiUhw2jV1OIMwthR3S,0.0,4.0,0.454,-5.88,0.0,0.0409,133.99,4.0,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,audio_features,spotify:track:23L5CiUhw2jV1OIMwthR3S,0.168
9,Axwell Λ Ingrosso   Salem Al Fakir Vincent Pontare, Sun Is Shining,unknown,0.0866,https://api.spotify.com/v1/audio-analysis/4b2tcjrG1qUkSdsqEFP2dB,10B,0.467,254653.0,0.757,4b2tcjrG1qUkSdsqEFP2dB,0.0,2.0,0.0742,-3.01,1.0,0.0517,131.993,4.0,https://api.spotify.com/v1/tracks/4b2tcjrG1qUkSdsqEFP2dB,audio_features,spotify:track:4b2tcjrG1qUkSdsqEFP2dB,0.383
