,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Tiësto The Chainsmokers, Split ,Only U,0.048,https://api.spotify.com/v1/audio-analysis/5zwBmW0IbXpIA84cVHDGhe,3B,0.634,256641.0,0.927,5zwBmW0IbXpIA84cVHDGhe,0.687,1.0,0.0864,-3.282,1.0,0.136,128.016,4.0,https://api.spotify.com/v1/tracks/5zwBmW0IbXpIA84cVHDGhe,audio_features,spotify:track:5zwBmW0IbXpIA84cVHDGhe,0.35
1,Tiësto DallasK, Show Me,unknown,2.59e-05,https://api.spotify.com/v1/audio-analysis/5dpHUPhXfwtEG1yQO1xGXH,7B,0.663,179747.0,0.951,5dpHUPhXfwtEG1yQO1xGXH,0.91,5.0,0.292,-7.527,1.0,0.138,128.154,4.0,https://api.spotify.com/v1/tracks/5dpHUPhXfwtEG1yQO1xGXH,audio_features,spotify:track:5dpHUPhXfwtEG1yQO1xGXH,0.0396
2,Wee,O ft. Morgan Karr ,Tiësto Edit,,,,,,,,,,,,,,,,,,,
3,Holl Rush   Walden   Tove Lo, Shogun ,Axwell Λ Ingrosso Mashup,0.05,https://api.spotify.com/v1/audio-analysis/7hivvmoGHDk0zvJmj9WaIO,8B,0.612,202498.0,0.97,7hivvmoGHDk0zvJmj9WaIO,0.00047,0.0,0.295,-2.637,1.0,0.0973,128.027,4.0,https://api.spotify.com/v1/tracks/7hivvmoGHDk0zvJmj9WaIO,audio_features,spotify:track:7hivvmoGHDk0zvJmj9WaIO,0.281
4,Galantis, No Money ,Tom & Jame Bootleg,0.0282,https://api.spotify.com/v1/audio-analysis/0gb1J5UrTpzaU1s3nupgCd,11A,0.671,189127.0,0.916,0gb1J5UrTpzaU1s3nupgCd,0.00762,6.0,0.24,-4.014,0.0,0.0397,126.01,4.0,https://api.spotify.com/v1/tracks/0gb1J5UrTpzaU1s3nupgCd,audio_features,spotify:track:0gb1J5UrTpzaU1s3nupgCd,0.803
5,TUJAMO Danny Avila, Cream,unknown,0.014,https://api.spotify.com/v1/audio-analysis/4tnwr1Z0YTGCT8PohX0pKg,7B,0.709,153880.0,0.996,4tnwr1Z0YTGCT8PohX0pKg,0.775,5.0,0.0842,-2.725,1.0,0.044,127.989,4.0,https://api.spotify.com/v1/tracks/4tnwr1Z0YTGCT8PohX0pKg,audio_features,spotify:track:4tnwr1Z0YTGCT8PohX0pKg,0.644
6,Quintino Hardwell   DJ Kool, Let Me Clear My Scorpion ,Henry Fong Mashup,,,,,,,,,,,,,,,,,,,
7,Dzeko Torres   Delaney Jane, Crazy,unknown,0.689,https://api.spotify.com/v1/audio-analysis/2AbK7LH7VPSLDkt93oJGFr,6B,0.37,189587.0,0.411,2AbK7LH7VPSLDkt93oJGFr,0.0,10.0,0.301,-8.627,1.0,0.0306,169.419,4.0,https://api.spotify.com/v1/tracks/2AbK7LH7VPSLDkt93oJGFr,audio_features,spotify:track:2AbK7LH7VPSLDkt93oJGFr,0.323
8,Alan Walker   Iselin Solheim, Faded ,Tiësto Northern Lights Remix,0.0291,https://api.spotify.com/v1/audio-analysis/7gHs73wELdeycvS48JfIos,2B,0.589,212627.0,0.651,7gHs73wELdeycvS48JfIos,3.2e-06,6.0,0.111,-5.097,1.0,0.0306,90.011,4.0,https://api.spotify.com/v1/tracks/7gHs73wELdeycvS48JfIos,audio_features,spotify:track:7gHs73wELdeycvS48JfIos,0.166
9,Tiësto, Red Lights,unknown,0.000629,https://api.spotify.com/v1/audio-analysis/5L2l7mI8J1USMzhsmdjat9,6B,0.654,262200.0,0.83,5L2l7mI8J1USMzhsmdjat9,1.13e-06,10.0,0.121,-4.801,1.0,0.0366,124.989,4.0,https://api.spotify.com/v1/tracks/5L2l7mI8J1USMzhsmdjat9,audio_features,spotify:track:5L2l7mI8J1USMzhsmdjat9,0.548
10,John Legend, All Of Me ,Tiësto Birthday Treatment Mix,0.922,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,4B,0.422,269560.0,0.264,3U4isOIWM3VvDubwSI3y7a,0.0,8.0,0.132,-7.064,1.0,0.0322,119.93,4.0,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,audio_features,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.331
11,Tiësto   Matthew Koma, Wasted,unknown,0.00149,https://api.spotify.com/v1/audio-analysis/7m3povhdMDLZwuEKak0l0n,10B,0.638,190014.0,0.816,7m3povhdMDLZwuEKak0l0n,0.00115,2.0,0.195,-5.503,1.0,0.0308,112.014,4.0,https://api.spotify.com/v1/tracks/7m3povhdMDLZwuEKak0l0n,audio_features,spotify:track:7m3povhdMDLZwuEKak0l0n,0.386
12,w/ ID, ID,unknown,0.948,https://api.spotify.com/v1/audio-analysis/2CHVX2nzAYl5omgRfAtkjC,5B,0.575,156373.0,0.125,2CHVX2nzAYl5omgRfAtkjC,0.0,3.0,0.438,-18.952,1.0,0.145,126.925,4.0,https://api.spotify.com/v1/tracks/2CHVX2nzAYl5omgRfAtkjC,audio_features,spotify:track:2CHVX2nzAYl5omgRfAtkjC,0.35
