,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Eric Prydz, Generate,unknown,0.00927,https://api.spotify.com/v1/audio-analysis/5LT8hO0Z9Y1nlCJ7nfuSJi,1B,0.608,165076.0,0.815,5LT8hO0Z9Y1nlCJ7nfuSJi,2.36e-05,11.0,0.119,-5.043,1.0,0.0272,127.022,4.0,https://api.spotify.com/v1/tracks/5LT8hO0Z9Y1nlCJ7nfuSJi,audio_features,spotify:track:5LT8hO0Z9Y1nlCJ7nfuSJi,0.544
1,Martin Garrix Third Party, Lions In The Wild,unknown,0.00434,https://api.spotify.com/v1/audio-analysis/6lBQ0SMCrJ7zy1LSCuXqwV,6A,0.504,211890.0,0.847,6lBQ0SMCrJ7zy1LSCuXqwV,0.0,7.0,0.816,-6.81,0.0,0.0442,127.854,4.0,https://api.spotify.com/v1/tracks/6lBQ0SMCrJ7zy1LSCuXqwV,audio_features,spotify:track:6lBQ0SMCrJ7zy1LSCuXqwV,0.28
2,Kryder Eddie Thoneick, The Chant ,unknown,0.00722,https://api.spotify.com/v1/audio-analysis/3F91JrM1flxzO4LDT6jFH4,8B,0.553,204062.0,0.965,3F91JrM1flxzO4LDT6jFH4,0.00406,0.0,0.376,-3.07,1.0,0.0536,125.961,4.0,https://api.spotify.com/v1/tracks/3F91JrM1flxzO4LDT6jFH4,audio_features,spotify:track:3F91JrM1flxzO4LDT6jFH4,0.536
3,Dyone, Only Love Can Set,Bicep Remix,0.0773,https://api.spotify.com/v1/audio-analysis/1LGKBU1sGrGabC5c8gzBuj,3A,0.661,299528.0,0.894,1LGKBU1sGrGabC5c8gzBuj,0.962,10.0,0.07,-6.463,0.0,0.0623,121.986,4.0,https://api.spotify.com/v1/tracks/1LGKBU1sGrGabC5c8gzBuj,audio_features,spotify:track:1LGKBU1sGrGabC5c8gzBuj,0.56
4,"Michael Feiner, Axwell", Mantra ,unknown,0.0111,https://api.spotify.com/v1/audio-analysis/2UOeRG6mTa06loIxiOin4S,9B,0.83,297043.0,0.855,2UOeRG6mTa06loIxiOin4S,0.923,7.0,0.335,-4.67,1.0,0.0565,125.017,4.0,https://api.spotify.com/v1/tracks/2UOeRG6mTa06loIxiOin4S,audio_features,spotify:track:2UOeRG6mTa06loIxiOin4S,0.437
5,Dimitri Vangelis Wyman VS Tom Staar, Empire ,Original Mix,0.00609,https://api.spotify.com/v1/audio-analysis/5pBLaJWcFk7K6tSWBn4nh2,2A,0.53,260410.0,0.843,5pBLaJWcFk7K6tSWBn4nh2,0.0215,3.0,0.391,-4.426,0.0,0.054,128.029,4.0,https://api.spotify.com/v1/tracks/5pBLaJWcFk7K6tSWBn4nh2,audio_features,spotify:track:5pBLaJWcFk7K6tSWBn4nh2,0.191
6,Dimitri Vegas Like Mike feat. Major Lazer, Hey Baby,unknown,0.0154,https://api.spotify.com/v1/audio-analysis/0JWeXAsgB7Bz9I87hmGpB9,11A,0.658,190813.0,0.88,0JWeXAsgB7Bz9I87hmGpB9,0.0,6.0,0.235,-4.582,0.0,0.0845,90.018,4.0,https://api.spotify.com/v1/tracks/0JWeXAsgB7Bz9I87hmGpB9,audio_features,spotify:track:0JWeXAsgB7Bz9I87hmGpB9,0.831
7,Alesso Deniz Koyu, I Wanna Know,unknown,0.0703,https://api.spotify.com/v1/audio-analysis/7HwGFDbX9zC4R4fgFUZBrD,10B,0.707,327053.0,0.736,7HwGFDbX9zC4R4fgFUZBrD,5.59e-06,2.0,0.0403,-5.314,1.0,0.0526,124.97,4.0,https://api.spotify.com/v1/tracks/7HwGFDbX9zC4R4fgFUZBrD,audio_features,spotify:track:7HwGFDbX9zC4R4fgFUZBrD,0.551
8,Green Velvet, Flash ,Eats Everything Remix,0.000422,https://api.spotify.com/v1/audio-analysis/19VopGXSNK7wUyHA7FPKgL,11A,0.761,410125.0,0.69,19VopGXSNK7wUyHA7FPKgL,0.0218,6.0,0.112,-8.657,0.0,0.0637,128.0,4.0,https://api.spotify.com/v1/tracks/19VopGXSNK7wUyHA7FPKgL,audio_features,spotify:track:19VopGXSNK7wUyHA7FPKgL,0.401
9,Moby, Go ,Hi Lo Remix,0.0409,https://api.spotify.com/v1/audio-analysis/64Fzi6QIclG2p0GfdkZsdW,10A,0.695,274035.0,0.895,64Fzi6QIclG2p0GfdkZsdW,0.871,11.0,0.229,-5.822,0.0,0.0862,126.969,4.0,https://api.spotify.com/v1/tracks/64Fzi6QIclG2p0GfdkZsdW,audio_features,spotify:track:64Fzi6QIclG2p0GfdkZsdW,0.0671
10,Armand Van Helden, Wings,unknown,0.000179,https://api.spotify.com/v1/audio-analysis/0IMJIkOxtCFnmOmrpIH08O,11A,0.586,181967.0,0.855,0IMJIkOxtCFnmOmrpIH08O,0.0148,6.0,0.112,-6.418,0.0,0.0446,122.044,4.0,https://api.spotify.com/v1/tracks/0IMJIkOxtCFnmOmrpIH08O,audio_features,spotify:track:0IMJIkOxtCFnmOmrpIH08O,0.479
11,Laidback Luke Yves V, To The Beat ,ft. Hawkboy,0.00152,https://api.spotify.com/v1/audio-analysis/0PN5HXsNv4hjVbQYcHLGOG,3B,0.688,157500.0,0.959,0PN5HXsNv4hjVbQYcHLGOG,0.165,1.0,0.118,-2.71,1.0,0.037,128.007,4.0,https://api.spotify.com/v1/tracks/0PN5HXsNv4hjVbQYcHLGOG,audio_features,spotify:track:0PN5HXsNv4hjVbQYcHLGOG,0.264
12,Lifelike feat. Chris Menace, Discopolis ,Kydus Remix,0.000354,https://api.spotify.com/v1/audio-analysis/1G4x8Uz7vnuwY4JASJVRWg,11A,0.484,213601.0,0.735,1G4x8Uz7vnuwY4JASJVRWg,0.167,6.0,0.346,-11.985,0.0,0.0689,130.035,4.0,https://api.spotify.com/v1/tracks/1G4x8Uz7vnuwY4JASJVRWg,audio_features,spotify:track:1G4x8Uz7vnuwY4JASJVRWg,0.201
13,Armin van Buuren vs Human Resource, Dominator,unknown,0.0105,https://api.spotify.com/v1/audio-analysis/2ZCMqo7JeI7XtWTUy9W0VH,12A,0.62,149625.0,0.982,2ZCMqo7JeI7XtWTUy9W0VH,0.00647,1.0,0.119,-3.234,0.0,0.494,132.055,4.0,https://api.spotify.com/v1/tracks/2ZCMqo7JeI7XtWTUy9W0VH,audio_features,spotify:track:2ZCMqo7JeI7XtWTUy9W0VH,0.214
14,Garmiani, Bomb A Drop,unknown,0.0022,https://api.spotify.com/v1/audio-analysis/2OccinWNEPIEmZPkqnLPSR,6A,0.675,158555.0,0.992,2OccinWNEPIEmZPkqnLPSR,0.221,7.0,0.387,-0.533,0.0,0.0605,128.034,4.0,https://api.spotify.com/v1/tracks/2OccinWNEPIEmZPkqnLPSR,audio_features,spotify:track:2OccinWNEPIEmZPkqnLPSR,0.483
