,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Tritonal, Hey Mamama,unknown,0.0576,https://api.spotify.com/v1/audio-analysis/7d4jtgM37pF41HUbM4wt9d,12B,0.565,209524.0,0.9,7d4jtgM37pF41HUbM4wt9d,0.000467,4.0,0.32,-3.99,1.0,0.0539,126.094,4.0,https://api.spotify.com/v1/tracks/7d4jtgM37pF41HUbM4wt9d,audio_features,spotify:track:7d4jtgM37pF41HUbM4wt9d,0.159
1,The Chainsmokers, Honest ,Tritonal Remix,0.138,https://api.spotify.com/v1/audio-analysis/0iWYUegJm3Ty16VEp69HLs,4B,0.352,259960.0,0.749,0iWYUegJm3Ty16VEp69HLs,0.000178,8.0,0.632,-5.829,1.0,0.0526,105.004,4.0,https://api.spotify.com/v1/tracks/0iWYUegJm3Ty16VEp69HLs,audio_features,spotify:track:0iWYUegJm3Ty16VEp69HLs,0.382
2,Tritonal   Angel Taylor, Getaway,unknown,0.128,https://api.spotify.com/v1/audio-analysis/6ofKVSjtTu0ZHEarXBsSej,11A,0.583,217499.0,0.723,6ofKVSjtTu0ZHEarXBsSej,0.0,6.0,0.323,-3.888,0.0,0.0434,128.138,4.0,https://api.spotify.com/v1/tracks/6ofKVSjtTu0ZHEarXBsSej,audio_features,spotify:track:6ofKVSjtTu0ZHEarXBsSej,0.351
3,The Chainsmokers Coldplay, Something Just Like This ,Tritonal Remix,0.0498,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,10A,0.617,247160.0,0.635,6RUKPb4LETWmmr3iAEQktW,1.44e-05,11.0,0.164,-6.769,0.0,0.0317,103.019,4.0,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,audio_features,spotify:track:6RUKPb4LETWmmr3iAEQktW,0.446
4,Tritonal Jenaux   Adam Lambert, Broken ,Codeko Remix,0.00272,https://api.spotify.com/v1/audio-analysis/30CKPRxr7bLAPT446YdX0a,9B,0.311,198624.0,0.87,30CKPRxr7bLAPT446YdX0a,7.05e-06,7.0,0.361,-4.44,1.0,0.0625,125.064,1.0,https://api.spotify.com/v1/tracks/30CKPRxr7bLAPT446YdX0a,audio_features,spotify:track:30CKPRxr7bLAPT446YdX0a,0.272
5,Bassjackers   Skytech Fafaq, Pillowfight,unknown,0.00141,https://api.spotify.com/v1/audio-analysis/1E75rZKl27oNDBtAyiinhd,6A,0.584,197837.0,0.932,1E75rZKl27oNDBtAyiinhd,0.127,7.0,0.182,-3.91,0.0,0.136,128.18,4.0,https://api.spotify.com/v1/tracks/1E75rZKl27oNDBtAyiinhd,audio_features,spotify:track:1E75rZKl27oNDBtAyiinhd,0.244
6,Tritonal   Laurell, Good Thing,unknown,0.487,https://api.spotify.com/v1/audio-analysis/4Df6RCPoJkH3YotB6Tu6vy,9B,0.679,202314.0,0.769,4Df6RCPoJkH3YotB6Tu6vy,0.0,7.0,0.292,-3.405,1.0,0.0365,121.055,4.0,https://api.spotify.com/v1/tracks/4Df6RCPoJkH3YotB6Tu6vy,audio_features,spotify:track:4Df6RCPoJkH3YotB6Tu6vy,0.657
7,Tritonal Cash Cash   JHart, Untouchable,unknown,0.0664,https://api.spotify.com/v1/audio-analysis/05dL7chWJaVjMJnGO1YCKk,9B,0.542,228837.0,0.795,05dL7chWJaVjMJnGO1YCKk,2.89e-06,7.0,0.313,-3.131,1.0,0.0379,128.959,4.0,https://api.spotify.com/v1/tracks/05dL7chWJaVjMJnGO1YCKk,audio_features,spotify:track:05dL7chWJaVjMJnGO1YCKk,0.251
8,DJ Snake, Propaganda,unknown,0.00216,https://api.spotify.com/v1/audio-analysis/7sn0OyaKn1XKx18JjUZkSw,3B,0.66,249600.0,0.926,7sn0OyaKn1XKx18JjUZkSw,0.698,1.0,0.705,-3.997,1.0,0.0927,150.239,4.0,https://api.spotify.com/v1/tracks/7sn0OyaKn1XKx18JjUZkSw,audio_features,spotify:track:7sn0OyaKn1XKx18JjUZkSw,0.25
9,Zedd Alessia Cara, Stay,unknown,0.253,https://api.spotify.com/v1/audio-analysis/6uBhi9gBXWjanegOb2Phh0,4A,0.69,210091.0,0.622,6uBhi9gBXWjanegOb2Phh0,0.0,5.0,0.116,-5.025,0.0,0.0622,102.04,4.0,https://api.spotify.com/v1/tracks/6uBhi9gBXWjanegOb2Phh0,audio_features,spotify:track:6uBhi9gBXWjanegOb2Phh0,0.544
10,Tritonal SJ   Emma Gatsby, Hung Up,unknown,0.416,https://api.spotify.com/v1/audio-analysis/2ULg8Cw0Ckn5JDGUkCNXko,9B,0.443,220000.0,0.726,2ULg8Cw0Ckn5JDGUkCNXko,0.0,7.0,0.369,-3.745,1.0,0.167,119.824,4.0,https://api.spotify.com/v1/tracks/2ULg8Cw0Ckn5JDGUkCNXko,audio_features,spotify:track:2ULg8Cw0Ckn5JDGUkCNXko,0.37
