,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,TroyBoi, B.I.A.,unknown,0.00499,https://api.spotify.com/v1/audio-analysis/5eug6dDFWvTOiC4m5TUHuz,11A,0.819,236471.0,0.479,5eug6dDFWvTOiC4m5TUHuz,0.0853,6.0,0.319,-6.809,0.0,0.182,135.978,4.0,https://api.spotify.com/v1/tracks/5eug6dDFWvTOiC4m5TUHuz,audio_features,spotify:track:5eug6dDFWvTOiC4m5TUHuz,0.391
1,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
2,Young Side Chain QUIX   Gucci Mane, Rat Traps,unknown,,,,,,,,,,,,,,,,,,,
3,Flosstradamus   Waka Flocka Flame, TTU ,Too Turnt Up,0.00399,https://api.spotify.com/v1/audio-analysis/4JLLnjcRyPn67pRcBJSu19,10A,0.579,241702.0,0.79,4JLLnjcRyPn67pRcBJSu19,0.135,11.0,0.101,-4.683,0.0,0.0468,144.998,4.0,https://api.spotify.com/v1/tracks/4JLLnjcRyPn67pRcBJSu19,audio_features,spotify:track:4JLLnjcRyPn67pRcBJSu19,0.233
4,Hudson Mohawke, Furnace Loop ,Montell2099 Edit,,,,,,,,,,,,,,,,,,,
5,TroyBoi, Back To The Wall,unknown,0.18,https://api.spotify.com/v1/audio-analysis/6IfsvWQORqjmG3tQxyB516,2A,0.772,237857.0,0.705,6IfsvWQORqjmG3tQxyB516,0.273,3.0,0.133,-4.576,0.0,0.0852,140.051,4.0,https://api.spotify.com/v1/tracks/6IfsvWQORqjmG3tQxyB516,audio_features,spotify:track:6IfsvWQORqjmG3tQxyB516,0.593
6,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,w/ Mura Masa, Lotus Eater,unknown,0.736,https://api.spotify.com/v1/audio-analysis/18SDFwz5UNo3C7M3FzGCyN,1B,0.571,145655.0,0.373,18SDFwz5UNo3C7M3FzGCyN,0.458,11.0,0.141,-8.068,1.0,0.348,135.796,1.0,https://api.spotify.com/v1/tracks/18SDFwz5UNo3C7M3FzGCyN,audio_features,spotify:track:18SDFwz5UNo3C7M3FzGCyN,0.501
8,TroyBoi, Kinjabang,unknown,0.0157,https://api.spotify.com/v1/audio-analysis/0XddCYuoHRELfWxXBYAXsU,8A,0.774,106000.0,0.766,0XddCYuoHRELfWxXBYAXsU,0.00746,9.0,0.382,-4.522,0.0,0.313,75.007,4.0,https://api.spotify.com/v1/tracks/0XddCYuoHRELfWxXBYAXsU,audio_features,spotify:track:0XddCYuoHRELfWxXBYAXsU,0.384
9,Travis Scott, Butterfly Effect,unknown,0.0531,https://api.spotify.com/v1/audio-analysis/2cYqizR4lgvp4Qu6IQ3qGN,1B,0.763,190557.0,0.628,2cYqizR4lgvp4Qu6IQ3qGN,0.0,11.0,0.114,-5.85,1.0,0.05,140.958,4.0,https://api.spotify.com/v1/tracks/2cYqizR4lgvp4Qu6IQ3qGN,audio_features,spotify:track:2cYqizR4lgvp4Qu6IQ3qGN,0.193
