,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Fila Brazillia, A Zed And Two L's,unknown,0.228,https://api.spotify.com/v1/audio-analysis/0zaNoKovmrdck2PeLdGpeQ,3B,0.467,566147.0,0.173,0zaNoKovmrdck2PeLdGpeQ,0.672,1.0,0.0723,-21.835,1.0,0.0374,99.993,4.0,https://api.spotify.com/v1/tracks/0zaNoKovmrdck2PeLdGpeQ,audio_features,spotify:track:0zaNoKovmrdck2PeLdGpeQ,0.542
1,King Of Woolworths, Bakerloo ,Main Titles,0.0645,https://api.spotify.com/v1/audio-analysis/0IPyeeA8EaAAxyh9rlycaH,2B,0.608,379227.0,0.698,0IPyeeA8EaAAxyh9rlycaH,0.864,6.0,0.392,-6.238,1.0,0.0254,141.995,4.0,https://api.spotify.com/v1/tracks/0IPyeeA8EaAAxyh9rlycaH,audio_features,spotify:track:0IPyeeA8EaAAxyh9rlycaH,0.209
2,Squarepusher, Iambic 5 Poetry ,unknown,0.018,https://api.spotify.com/v1/audio-analysis/1QxHv0yRCu1zWiB7aVwGIz,12B,0.445,331493.0,0.537,1QxHv0yRCu1zWiB7aVwGIz,0.884,4.0,0.126,-11.292,1.0,0.0264,75.655,4.0,https://api.spotify.com/v1/tracks/1QxHv0yRCu1zWiB7aVwGIz,audio_features,spotify:track:1QxHv0yRCu1zWiB7aVwGIz,0.5
3,DJ Krust, Soul In Motion,unknown,0.0257,https://api.spotify.com/v1/audio-analysis/1UXoh8kSdPWTukx178tr1u,3B,0.743,428380.0,0.527,1UXoh8kSdPWTukx178tr1u,0.021,1.0,0.0513,-10.892,1.0,0.0354,124.99,4.0,https://api.spotify.com/v1/tracks/1UXoh8kSdPWTukx178tr1u,audio_features,spotify:track:1UXoh8kSdPWTukx178tr1u,0.721
4,Aphex Twin, IZ,unknown,0.0398,https://api.spotify.com/v1/audio-analysis/0c0Z5agmnSibjIWjdZV6R1,2A,0.581,177267.0,0.459,0c0Z5agmnSibjIWjdZV6R1,0.881,3.0,0.151,-14.519,0.0,0.0314,119.042,4.0,https://api.spotify.com/v1/tracks/0c0Z5agmnSibjIWjdZV6R1,audio_features,spotify:track:0c0Z5agmnSibjIWjdZV6R1,0.315
5,Tycho, Adrift,unknown,0.082,https://api.spotify.com/v1/audio-analysis/3DERgYjztCL6oME2fvRl6z,3B,0.571,362389.0,0.616,3DERgYjztCL6oME2fvRl6z,0.947,1.0,0.71,-10.159,1.0,0.0327,150.003,4.0,https://api.spotify.com/v1/tracks/3DERgYjztCL6oME2fvRl6z,audio_features,spotify:track:3DERgYjztCL6oME2fvRl6z,0.288
6,PFM, One & Only ,unknown,0.0174,https://api.spotify.com/v1/audio-analysis/4n8BqyKlGtuoO4b2HXTEpS,2B,0.466,560133.0,0.696,4n8BqyKlGtuoO4b2HXTEpS,0.854,6.0,0.0706,-10.932,1.0,0.039,160.988,4.0,https://api.spotify.com/v1/tracks/4n8BqyKlGtuoO4b2HXTEpS,audio_features,spotify:track:4n8BqyKlGtuoO4b2HXTEpS,0.865
7,Art Feynman, Slow Down ,unknown,0.237,https://api.spotify.com/v1/audio-analysis/3Bk7pEt6FUB7yvFazrULGh,3B,0.783,187561.0,0.881,3Bk7pEt6FUB7yvFazrULGh,0.785,1.0,0.108,-5.531,1.0,0.0453,104.653,4.0,https://api.spotify.com/v1/tracks/3Bk7pEt6FUB7yvFazrULGh,audio_features,spotify:track:3Bk7pEt6FUB7yvFazrULGh,0.76
8,Weval, Thinking Of ,unknown,0.382,https://api.spotify.com/v1/audio-analysis/5BHv97RZfZasa1mvMMZVf3,1A,0.709,156553.0,0.559,5BHv97RZfZasa1mvMMZVf3,0.825,8.0,0.107,-13.673,0.0,0.0519,120.003,4.0,https://api.spotify.com/v1/tracks/5BHv97RZfZasa1mvMMZVf3,audio_features,spotify:track:5BHv97RZfZasa1mvMMZVf3,0.457
9,Glue70, Til You Say,unknown,0.289,https://api.spotify.com/v1/audio-analysis/1u7YoIlNxanPdGU9SOsgef,12A,0.82,235514.0,0.501,1u7YoIlNxanPdGU9SOsgef,0.0817,1.0,0.0637,-11.061,0.0,0.0871,106.997,4.0,https://api.spotify.com/v1/tracks/1u7YoIlNxanPdGU9SOsgef,audio_features,spotify:track:1u7YoIlNxanPdGU9SOsgef,0.726
10,Com Truise, Flightwave,unknown,0.762,https://api.spotify.com/v1/audio-analysis/1okJwg2NN9n2c065VYQ3ED,3A,0.524,304533.0,0.871,1okJwg2NN9n2c065VYQ3ED,0.0426,10.0,0.344,-8.102,0.0,0.165,175.978,4.0,https://api.spotify.com/v1/tracks/1okJwg2NN9n2c065VYQ3ED,audio_features,spotify:track:1okJwg2NN9n2c065VYQ3ED,0.678
11,Melanie De Biasio, Afro Blue,unknown,0.845,https://api.spotify.com/v1/audio-analysis/0ZLzeAUwKcfLb6wSsAp0KN,8A,0.64,273227.0,0.291,0ZLzeAUwKcfLb6wSsAp0KN,0.516,9.0,0.109,-16.519,0.0,0.0289,101.984,3.0,https://api.spotify.com/v1/tracks/0ZLzeAUwKcfLb6wSsAp0KN,audio_features,spotify:track:0ZLzeAUwKcfLb6wSsAp0KN,0.605
12,James Holden, 10101,unknown,0.138,https://api.spotify.com/v1/audio-analysis/7A346qNsYSIeTbfUKWNARL,3A,0.773,365307.0,0.418,7A346qNsYSIeTbfUKWNARL,0.8,10.0,0.0794,-14.29,0.0,0.268,126.793,4.0,https://api.spotify.com/v1/tracks/7A346qNsYSIeTbfUKWNARL,audio_features,spotify:track:7A346qNsYSIeTbfUKWNARL,0.689
13,Voyage, Dynamic,unknown,0.678,https://api.spotify.com/v1/audio-analysis/1xDZYFJaDsDw4C4xatOyTM,12A,0.779,220145.0,0.464,1xDZYFJaDsDw4C4xatOyTM,0.768,1.0,0.0793,-12.18,0.0,0.0606,115.001,4.0,https://api.spotify.com/v1/tracks/1xDZYFJaDsDw4C4xatOyTM,audio_features,spotify:track:1xDZYFJaDsDw4C4xatOyTM,0.102
14,Weval, It'll Be Just Fine ,unknown,,,,,,,,,,,,,,,,,,,
15,Roman Flügel, 9 Years ,DJ Koze Remix,0.00157,https://api.spotify.com/v1/audio-analysis/5EXuw91HUQM28mjkhGO4eM,3B,0.806,600613.0,0.521,5EXuw91HUQM28mjkhGO4eM,0.67,1.0,0.0425,-9.095,1.0,0.0644,120.0,4.0,https://api.spotify.com/v1/tracks/5EXuw91HUQM28mjkhGO4eM,audio_features,spotify:track:5EXuw91HUQM28mjkhGO4eM,0.165
16,Jon Hopkins, Emerald Rush,unknown,0.00629,https://api.spotify.com/v1/audio-analysis/5S3F5GL8LASIjPg2PMiU1Q,12A,0.414,336707.0,0.498,5S3F5GL8LASIjPg2PMiU1Q,0.87,1.0,0.205,-11.945,0.0,0.0579,106.978,4.0,https://api.spotify.com/v1/tracks/5S3F5GL8LASIjPg2PMiU1Q,audio_features,spotify:track:5S3F5GL8LASIjPg2PMiU1Q,0.37
17,Pluko, l o v e,unknown,0.859,https://api.spotify.com/v1/audio-analysis/5wsgMJ8QybiZc5zuTCWCTx,7B,0.763,166072.0,0.328,5wsgMJ8QybiZc5zuTCWCTx,0.885,5.0,0.0919,-12.61,1.0,0.105,133.003,4.0,https://api.spotify.com/v1/tracks/5wsgMJ8QybiZc5zuTCWCTx,audio_features,spotify:track:5wsgMJ8QybiZc5zuTCWCTx,0.48
18,Aleksandir, Yamaha,unknown,0.295,https://api.spotify.com/v1/audio-analysis/161gNmulsrxnBFhYD1yXFA,4A,0.778,388484.0,0.504,161gNmulsrxnBFhYD1yXFA,0.913,5.0,0.0792,-12.26,0.0,0.052,120.999,3.0,https://api.spotify.com/v1/tracks/161gNmulsrxnBFhYD1yXFA,audio_features,spotify:track:161gNmulsrxnBFhYD1yXFA,0.708
19,Chrome Sparks, Moonraker,unknown,0.202,https://api.spotify.com/v1/audio-analysis/3pwQGGm4rFNRdnb3EHJA1H,12A,0.659,364279.0,0.739,3pwQGGm4rFNRdnb3EHJA1H,0.573,1.0,0.358,-8.083,0.0,0.0474,119.984,4.0,https://api.spotify.com/v1/tracks/3pwQGGm4rFNRdnb3EHJA1H,audio_features,spotify:track:3pwQGGm4rFNRdnb3EHJA1H,0.209
