,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Apollo Pan, Carribean Wave,unknown,0.00262,https://api.spotify.com/v1/audio-analysis/6TLS5Y83e4lBp3j4YgBOgu,2B,0.789,309120.0,0.974,6TLS5Y83e4lBp3j4YgBOgu,0.885,6.0,0.446,-4.585,1.0,0.0687,124.963,4.0,https://api.spotify.com/v1/tracks/6TLS5Y83e4lBp3j4YgBOgu,audio_features,spotify:track:6TLS5Y83e4lBp3j4YgBOgu,0.525
1,MOGUAI AKA AKA, Satisfied ,Me & My Toothbrush Remix,0.0219,https://api.spotify.com/v1/audio-analysis/1A7i18mNk7IAIJ3bxYbe8P,4B,0.794,204590.0,0.916,1A7i18mNk7IAIJ3bxYbe8P,0.278,8.0,0.0782,-3.79,1.0,0.0788,121.989,4.0,https://api.spotify.com/v1/tracks/1A7i18mNk7IAIJ3bxYbe8P,audio_features,spotify:track:1A7i18mNk7IAIJ3bxYbe8P,0.633
2,Nicola Fasano Paul Jockey, La Cumbia De La Barra,unknown,0.000767,https://api.spotify.com/v1/audio-analysis/3If2selGSz2YtyWX5adcZ8,3B,0.764,290000.0,0.944,3If2selGSz2YtyWX5adcZ8,0.0499,1.0,0.208,-4.723,1.0,0.0416,125.989,4.0,https://api.spotify.com/v1/tracks/3If2selGSz2YtyWX5adcZ8,audio_features,spotify:track:3If2selGSz2YtyWX5adcZ8,0.225
3,Fedde Le Grand Dannic   Coco Star, Coco's Miracle,unknown,0.0678,https://api.spotify.com/v1/audio-analysis/6lAc6XdM1MQHnk0UHAeIAe,9A,0.68,184762.0,0.768,6lAc6XdM1MQHnk0UHAeIAe,0.0,4.0,0.0721,-3.595,0.0,0.0343,126.026,4.0,https://api.spotify.com/v1/tracks/6lAc6XdM1MQHnk0UHAeIAe,audio_features,spotify:track:6lAc6XdM1MQHnk0UHAeIAe,0.203
4,Maydes, The Heat,unknown,0.189,https://api.spotify.com/v1/audio-analysis/2USBCiqe9aV0uXa8mUL0pc,9A,0.757,240010.0,0.979,2USBCiqe9aV0uXa8mUL0pc,2.04e-05,4.0,0.182,-0.385,0.0,0.0778,125.157,4.0,https://api.spotify.com/v1/tracks/2USBCiqe9aV0uXa8mUL0pc,audio_features,spotify:track:2USBCiqe9aV0uXa8mUL0pc,0.288
5,Jude Frank   J8man, Agua,unknown,0.00843,https://api.spotify.com/v1/audio-analysis/4mTfNGHVUmcD1Fdg3AQVlG,8A,0.731,366614.0,0.97,4mTfNGHVUmcD1Fdg3AQVlG,0.354,9.0,0.0349,-3.546,0.0,0.0892,126.998,4.0,https://api.spotify.com/v1/tracks/4mTfNGHVUmcD1Fdg3AQVlG,audio_features,spotify:track:4mTfNGHVUmcD1Fdg3AQVlG,0.488
6,Ysquar3, Un Flauto,unknown,0.000105,https://api.spotify.com/v1/audio-analysis/62sLr0sePYgP7KT1Kl1hfy,5B,0.533,233040.0,0.944,62sLr0sePYgP7KT1Kl1hfy,0.00444,3.0,0.151,-6.364,1.0,0.0634,128.012,4.0,https://api.spotify.com/v1/tracks/62sLr0sePYgP7KT1Kl1hfy,audio_features,spotify:track:62sLr0sePYgP7KT1Kl1hfy,0.24
7,Double Pleasure, Hustle,unknown,0.00859,https://api.spotify.com/v1/audio-analysis/4LwpgaZ3Anb5JAfdm8Ad7H,10B,0.621,204375.0,0.944,4LwpgaZ3Anb5JAfdm8Ad7H,0.61,2.0,0.299,-3.366,1.0,0.051,128.031,4.0,https://api.spotify.com/v1/tracks/4LwpgaZ3Anb5JAfdm8Ad7H,audio_features,spotify:track:4LwpgaZ3Anb5JAfdm8Ad7H,0.695
8,Ciro Parcheri, Quantum,unknown,0.0434,https://api.spotify.com/v1/audio-analysis/2E9BXDXZ46pCLPAjqGFyMa,1B,0.313,359949.0,0.962,2E9BXDXZ46pCLPAjqGFyMa,0.0925,11.0,0.232,-5.692,1.0,0.0636,127.999,4.0,https://api.spotify.com/v1/tracks/2E9BXDXZ46pCLPAjqGFyMa,audio_features,spotify:track:2E9BXDXZ46pCLPAjqGFyMa,0.313
9,Showtek   GC, Mosh Pit,unknown,,,,,,,,,,,,,,,,,,,
10,Sebastian Mateo Aroty FSB, Switchback 123,unknown,,,,,,,,,,,,,,,,,,,
11,HunterSynth Takahiro Yoshihira, Going Back,unknown,0.000376,https://api.spotify.com/v1/audio-analysis/5ickxA9QVH8acCmDqJDHEH,9B,0.598,218000.0,0.997,5ickxA9QVH8acCmDqJDHEH,0.62,7.0,0.309,-3.097,1.0,0.108,128.012,4.0,https://api.spotify.com/v1/tracks/5ickxA9QVH8acCmDqJDHEH,audio_features,spotify:track:5ickxA9QVH8acCmDqJDHEH,0.388
12,Dunsterz, Rambla,unknown,0.00169,https://api.spotify.com/v1/audio-analysis/4UXrLTevu8aNrwWDjgcU94,10A,0.687,262560.0,0.946,4UXrLTevu8aNrwWDjgcU94,0.607,11.0,0.146,-4.505,0.0,0.0629,127.965,4.0,https://api.spotify.com/v1/tracks/4UXrLTevu8aNrwWDjgcU94,audio_features,spotify:track:4UXrLTevu8aNrwWDjgcU94,0.835
13,Robin S, Show Me Love ,Jewelz & Sparks Bootleg,0.014,https://api.spotify.com/v1/audio-analysis/4t0UsYzmmmZRMTWn77jiGF,7B,0.811,252107.0,0.833,4t0UsYzmmmZRMTWn77jiGF,2.06e-05,5.0,0.0769,-4.259,1.0,0.153,120.258,4.0,https://api.spotify.com/v1/tracks/4t0UsYzmmmZRMTWn77jiGF,audio_features,spotify:track:4t0UsYzmmmZRMTWn77jiGF,0.567
14,Hardwell Moksi, Powermove,unknown,0.000825,https://api.spotify.com/v1/audio-analysis/53HIkrlrAESvduKg6ImacO,3B,0.553,173538.0,0.886,53HIkrlrAESvduKg6ImacO,0.00196,1.0,0.194,-4.582,1.0,0.0954,129.791,4.0,https://api.spotify.com/v1/tracks/53HIkrlrAESvduKg6ImacO,audio_features,spotify:track:53HIkrlrAESvduKg6ImacO,0.14
15,Mr. Sid, Ponteme,unknown,,,,,,,,,,,,,,,,,,,
16,Richard Grey Fully Charged, We Are One Together,unknown,0.0125,https://api.spotify.com/v1/audio-analysis/50o7801F9kqTucltDOarNA,6A,0.742,307619.0,0.916,50o7801F9kqTucltDOarNA,0.706,7.0,0.262,-6.606,0.0,0.0665,126.019,4.0,https://api.spotify.com/v1/tracks/50o7801F9kqTucltDOarNA,audio_features,spotify:track:50o7801F9kqTucltDOarNA,0.3
