,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Laidback Luke Ralvero   Ina, XOXO ,KURA Jungle Remix,0.00412,https://api.spotify.com/v1/audio-analysis/11BHx1QpCJVGKLQZiRB7xk,11B,0.517,165000.0,0.84,11BHx1QpCJVGKLQZiRB7xk,2.41e-05,9.0,0.342,-4.688,1.0,0.0725,149.935,4.0,https://api.spotify.com/v1/tracks/11BHx1QpCJVGKLQZiRB7xk,audio_features,spotify:track:11BHx1QpCJVGKLQZiRB7xk,0.391
1,VINAI, Our Style,unknown,,,,,,,,,,,,,,,,,,,
2,BROHUG, Knuckles,unknown,0.00591,https://api.spotify.com/v1/audio-analysis/1Aygbc1SNRdhrUiLQk51vy,12B,0.644,186240.0,0.927,1Aygbc1SNRdhrUiLQk51vy,0.448,4.0,0.363,-4.651,1.0,0.0508,125.001,4.0,https://api.spotify.com/v1/tracks/1Aygbc1SNRdhrUiLQk51vy,audio_features,spotify:track:1Aygbc1SNRdhrUiLQk51vy,0.316
3,The Knocks   Delacey, Feel Love,unknown,0.381,https://api.spotify.com/v1/audio-analysis/60n2CwqknqYSbA14vvpTv3,2B,0.553,241803.0,0.816,60n2CwqknqYSbA14vvpTv3,0.0,6.0,0.0856,-3.777,1.0,0.171,109.033,4.0,https://api.spotify.com/v1/tracks/60n2CwqknqYSbA14vvpTv3,audio_features,spotify:track:60n2CwqknqYSbA14vvpTv3,0.505
4,Dirty Rush Gregor Es, Rock Thiz,unknown,0.0106,https://api.spotify.com/v1/audio-analysis/6ZMN6DdiwynOEpvrHYYV4L,8B,0.687,151971.0,0.97,6ZMN6DdiwynOEpvrHYYV4L,4.64e-06,0.0,0.655,-2.585,1.0,0.276,123.973,4.0,https://api.spotify.com/v1/tracks/6ZMN6DdiwynOEpvrHYYV4L,audio_features,spotify:track:6ZMN6DdiwynOEpvrHYYV4L,0.541
5,Tim Mason, Drifter,unknown,0.000958,https://api.spotify.com/v1/audio-analysis/0INnA0wSTYyA40IBGpT0C7,5B,0.551,243934.0,0.861,0INnA0wSTYyA40IBGpT0C7,0.844,3.0,0.261,-6.521,1.0,0.0333,122.016,3.0,https://api.spotify.com/v1/tracks/0INnA0wSTYyA40IBGpT0C7,audio_features,spotify:track:0INnA0wSTYyA40IBGpT0C7,0.276
6,TIMBO   Bibiane Z, You ,Bitas Remix,0.0189,https://api.spotify.com/v1/audio-analysis/7D4VnnlL1EYDk06iF7XDMz,4A,0.676,260664.0,0.977,7D4VnnlL1EYDk06iF7XDMz,1.33e-05,5.0,0.137,-1.958,0.0,0.0762,127.967,4.0,https://api.spotify.com/v1/tracks/7D4VnnlL1EYDk06iF7XDMz,audio_features,spotify:track:7D4VnnlL1EYDk06iF7XDMz,0.13
7,Monkey Warriors, Crazy Trumpets,unknown,0.000567,https://api.spotify.com/v1/audio-analysis/6w8NgEj1BAgcjwA2sbwoDa,7B,0.755,200630.0,0.835,6w8NgEj1BAgcjwA2sbwoDa,0.75,5.0,0.0809,-5.722,1.0,0.0582,128.036,4.0,https://api.spotify.com/v1/tracks/6w8NgEj1BAgcjwA2sbwoDa,audio_features,spotify:track:6w8NgEj1BAgcjwA2sbwoDa,0.12
8,The Chainsmokers, Paris ,VINAI Remix,0.0648,https://api.spotify.com/v1/audio-analysis/7ldlgbsVshuUnFWyimgBxn,10B,0.532,218787.0,0.822,7ldlgbsVshuUnFWyimgBxn,0.0,2.0,0.356,-3.309,1.0,0.0432,99.962,4.0,https://api.spotify.com/v1/tracks/7ldlgbsVshuUnFWyimgBxn,audio_features,spotify:track:7ldlgbsVshuUnFWyimgBxn,0.335
9,Don Diablo MARNIK, Children Of A Miracle,unknown,0.169,https://api.spotify.com/v1/audio-analysis/1zG3vdLkyPZG9l9tWkSnVn,2B,0.53,189103.0,0.812,1zG3vdLkyPZG9l9tWkSnVn,0.0,6.0,0.141,-3.021,1.0,0.0472,144.809,4.0,https://api.spotify.com/v1/tracks/1zG3vdLkyPZG9l9tWkSnVn,audio_features,spotify:track:1zG3vdLkyPZG9l9tWkSnVn,0.325
