,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,3LAU   Yeah Boy, Is It Love ,Arty Remix,0.0037,https://api.spotify.com/v1/audio-analysis/1qJhb6zftFI5PT39nL84vw,12A,0.454,202510.0,0.846,1qJhb6zftFI5PT39nL84vw,0.0,1.0,0.105,-4.577,0.0,0.0764,128.064,4.0,https://api.spotify.com/v1/tracks/1qJhb6zftFI5PT39nL84vw,audio_features,spotify:track:1qJhb6zftFI5PT39nL84vw,0.216
1,Don Diablo   DYU, Drifter,unknown,0.26,https://api.spotify.com/v1/audio-analysis/22Nb194SYRoeGp0D925X0d,1B,0.753,179524.0,0.96,22Nb194SYRoeGp0D925X0d,0.00105,11.0,0.69,-3.7,1.0,0.099,125.979,3.0,https://api.spotify.com/v1/tracks/22Nb194SYRoeGp0D925X0d,audio_features,spotify:track:22Nb194SYRoeGp0D925X0d,0.693
2,Odd Mob   Starley, Into You ,ak9 Remix,0.000956,https://api.spotify.com/v1/audio-analysis/4DOVoB7gRuLejzOWRJvvtK,1A,0.758,323269.0,0.888,4DOVoB7gRuLejzOWRJvvtK,0.000242,8.0,0.0695,-5.237,0.0,0.23,126.046,4.0,https://api.spotify.com/v1/tracks/4DOVoB7gRuLejzOWRJvvtK,audio_features,spotify:track:4DOVoB7gRuLejzOWRJvvtK,0.501
3,DBSTF, Afreaka,unknown,0.0199,https://api.spotify.com/v1/audio-analysis/5xCeiDoBOrTiKj6I9GR5xv,1B,0.617,179000.0,0.898,5xCeiDoBOrTiKj6I9GR5xv,0.00131,11.0,0.068,-2.3,1.0,0.104,128.021,4.0,https://api.spotify.com/v1/tracks/5xCeiDoBOrTiKj6I9GR5xv,audio_features,spotify:track:5xCeiDoBOrTiKj6I9GR5xv,0.321
4,Spencer Brown, Wannamaker ,Fatum Remix,0.000355,https://api.spotify.com/v1/audio-analysis/4cQ50ewl5Dbo1tzs4ihmVO,4A,0.515,209524.0,0.798,4cQ50ewl5Dbo1tzs4ihmVO,0.916,5.0,0.142,-8.225,0.0,0.0576,125.969,4.0,https://api.spotify.com/v1/tracks/4cQ50ewl5Dbo1tzs4ihmVO,audio_features,spotify:track:4cQ50ewl5Dbo1tzs4ihmVO,0.144
5,Firebeatz Fafaq, Sir Duke ,Festival Mix,0.139,https://api.spotify.com/v1/audio-analysis/5bAb5K3V9cIbCqx5l3gUVD,4A,0.651,158672.0,0.799,5bAb5K3V9cIbCqx5l3gUVD,0.0,5.0,0.118,-3.384,0.0,0.0608,128.046,4.0,https://api.spotify.com/v1/tracks/5bAb5K3V9cIbCqx5l3gUVD,audio_features,spotify:track:5bAb5K3V9cIbCqx5l3gUVD,0.351
6,Afrojack Ravitez   MC Ambush, System,unknown,0.00085,https://api.spotify.com/v1/audio-analysis/5hSA51cARAkURX4KrYxoll,9B,0.544,169973.0,0.955,5hSA51cARAkURX4KrYxoll,3.16e-05,7.0,0.216,-5.614,1.0,0.123,91.561,4.0,https://api.spotify.com/v1/tracks/5hSA51cARAkURX4KrYxoll,audio_features,spotify:track:5hSA51cARAkURX4KrYxoll,0.293
7,Sander van Doorn, You're Not Alone,unknown,,,,,,,,,,,,,,,,,,,
8,Bassjackers Jay Hardway, El Mariachi,unknown,0.00952,https://api.spotify.com/v1/audio-analysis/0NgvcpMVBHVq47GehFT5IX,9B,0.717,157510.0,0.898,0NgvcpMVBHVq47GehFT5IX,0.919,7.0,0.146,-1.575,1.0,0.0347,128.017,4.0,https://api.spotify.com/v1/tracks/0NgvcpMVBHVq47GehFT5IX,audio_features,spotify:track:0NgvcpMVBHVq47GehFT5IX,0.161
9,KAAZE, Milk Man,unknown,0.00703,https://api.spotify.com/v1/audio-analysis/6YK1G2lRAmuCHjVna1cYTH,10B,0.72,149994.0,0.822,6YK1G2lRAmuCHjVna1cYTH,0.0064,2.0,0.165,-4.194,1.0,0.0412,127.984,4.0,https://api.spotify.com/v1/tracks/6YK1G2lRAmuCHjVna1cYTH,audio_features,spotify:track:6YK1G2lRAmuCHjVna1cYTH,0.311
10,Timmy Trumpet ANGEMI, Collab Bro,unknown,0.0121,https://api.spotify.com/v1/audio-analysis/4BlAlQdKjigrkeHhkRHmK8,10B,0.511,181420.0,0.905,4BlAlQdKjigrkeHhkRHmK8,0.00014,2.0,0.87,-3.902,1.0,0.339,127.838,4.0,https://api.spotify.com/v1/tracks/4BlAlQdKjigrkeHhkRHmK8,audio_features,spotify:track:4BlAlQdKjigrkeHhkRHmK8,0.0879
11,KSHMR, Dhoom,unknown,0.00339,https://api.spotify.com/v1/audio-analysis/5cbOPrj8MIp7lPAALhdYlR,12B,0.638,198750.0,0.984,5cbOPrj8MIp7lPAALhdYlR,0.251,4.0,0.436,-2.886,1.0,0.0475,128.017,4.0,https://api.spotify.com/v1/tracks/5cbOPrj8MIp7lPAALhdYlR,audio_features,spotify:track:5cbOPrj8MIp7lPAALhdYlR,0.203
12,Autoerotique Hunter Siegel, O.T.F.,unknown,,,,,,,,,,,,,,,,,,,
13,Alesso   Nico Vinz, I Wanna Know ,Deniz Koyu & Alesso Remix,0.0703,https://api.spotify.com/v1/audio-analysis/7HwGFDbX9zC4R4fgFUZBrD,10B,0.707,327053.0,0.736,7HwGFDbX9zC4R4fgFUZBrD,5.59e-06,2.0,0.0403,-5.314,1.0,0.0526,124.97,4.0,https://api.spotify.com/v1/tracks/7HwGFDbX9zC4R4fgFUZBrD,audio_features,spotify:track:7HwGFDbX9zC4R4fgFUZBrD,0.551
14,Vida, White Flags,unknown,0.0438,https://api.spotify.com/v1/audio-analysis/0D91QrXxrUXUlDUZgqjInv,10B,0.45,206367.0,0.912,0D91QrXxrUXUlDUZgqjInv,0.956,2.0,0.384,-5.455,1.0,0.0697,127.954,4.0,https://api.spotify.com/v1/tracks/0D91QrXxrUXUlDUZgqjInv,audio_features,spotify:track:0D91QrXxrUXUlDUZgqjInv,0.33
15,Andy Tau Sean Mathews Max Millian, Shadows & Light,unknown,0.00273,https://api.spotify.com/v1/audio-analysis/0FkkwBo8pc8ub45TaPe0oD,4A,0.501,210000.0,0.913,0FkkwBo8pc8ub45TaPe0oD,0.704,5.0,0.218,-6.463,0.0,0.0549,129.981,4.0,https://api.spotify.com/v1/tracks/0FkkwBo8pc8ub45TaPe0oD,audio_features,spotify:track:0FkkwBo8pc8ub45TaPe0oD,0.0973
16,KSHMR, Jungle Whistle,unknown,0.0407,https://api.spotify.com/v1/audio-analysis/7vl9ktgLz3BiOjXvuksyry,7A,0.539,235618.0,0.886,7vl9ktgLz3BiOjXvuksyry,0.00451,2.0,0.747,-4.891,0.0,0.0749,111.008,4.0,https://api.spotify.com/v1/tracks/7vl9ktgLz3BiOjXvuksyry,audio_features,spotify:track:7vl9ktgLz3BiOjXvuksyry,0.218
17,VINAI   Anjulie, Into The Fire,unknown,0.0102,https://api.spotify.com/v1/audio-analysis/6jbAyDDqnahf7KV1yafqjY,10B,0.644,164571.0,0.821,6jbAyDDqnahf7KV1yafqjY,2.95e-06,2.0,0.351,-3.629,1.0,0.0304,105.016,4.0,https://api.spotify.com/v1/tracks/6jbAyDDqnahf7KV1yafqjY,audio_features,spotify:track:6jbAyDDqnahf7KV1yafqjY,0.15
