,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,W&W, Put 'Em Up ,Intro Edit,0.0609,https://api.spotify.com/v1/audio-analysis/3VZ9fRU9Eg7QFiTh7RKzPw,4A,0.398,182842.0,0.942,3VZ9fRU9Eg7QFiTh7RKzPw,0.0654,5.0,0.687,-4.544,0.0,0.319,102.113,4.0,https://api.spotify.com/v1/tracks/3VZ9fRU9Eg7QFiTh7RKzPw,audio_features,spotify:track:3VZ9fRU9Eg7QFiTh7RKzPw,0.336
1,W&W, Rave Culture,unknown,0.00195,https://api.spotify.com/v1/audio-analysis/0WLEZyWfVSyS9h32qV4S28,4A,0.557,165469.0,0.973,0WLEZyWfVSyS9h32qV4S28,0.698,5.0,0.361,-2.878,0.0,0.169,128.003,4.0,https://api.spotify.com/v1/tracks/0WLEZyWfVSyS9h32qV4S28,audio_features,spotify:track:0WLEZyWfVSyS9h32qV4S28,0.302
2,Timmy Trumpet, Freaks ,W&W Bigroom Edit,0.0136,https://api.spotify.com/v1/audio-analysis/4f3NHOxgC8Bg21IJBg4cZ3,12B,0.882,169160.0,0.965,4f3NHOxgC8Bg21IJBg4cZ3,0.388,4.0,0.206,-0.818,1.0,0.13,128.129,4.0,https://api.spotify.com/v1/tracks/4f3NHOxgC8Bg21IJBg4cZ3,audio_features,spotify:track:4f3NHOxgC8Bg21IJBg4cZ3,0.759
3,Darude, Sandstorm ,Mark Sixma Bootleg,0.169,https://api.spotify.com/v1/audio-analysis/24CXuh2WNpgeSYUOvz14jk,10A,0.539,225373.0,0.98,24CXuh2WNpgeSYUOvz14jk,0.982,11.0,0.084,-8.18,0.0,0.0469,136.087,4.0,https://api.spotify.com/v1/tracks/24CXuh2WNpgeSYUOvz14jk,audio_features,spotify:track:24CXuh2WNpgeSYUOvz14jk,0.522
4,W&W Blasterjaxx, ID,unknown,,,,,,,,,,,,,,,,,,,
5,w/ Van Halen, Aint Talkin' Bout Love ,W&W Bootleg,0.021,https://api.spotify.com/v1/audio-analysis/6fybp4N6eW3bsFAvARxyVe,1A,0.518,227800.0,0.938,6fybp4N6eW3bsFAvARxyVe,0.000305,8.0,0.288,-5.964,0.0,0.0416,139.138,4.0,https://api.spotify.com/v1/tracks/6fybp4N6eW3bsFAvARxyVe,audio_features,spotify:track:6fybp4N6eW3bsFAvARxyVe,0.71
6,W&W   Riva Starr Fatboy Slim   DJ Isaac Crystal Lake, Rave After Rave ,W&W Mashup,0.00419,https://api.spotify.com/v1/audio-analysis/7cuRgdYlesmnGmVaZwhkda,11A,0.639,161953.0,0.907,7cuRgdYlesmnGmVaZwhkda,0.00535,6.0,0.366,-3.214,0.0,0.0837,128.055,4.0,https://api.spotify.com/v1/tracks/7cuRgdYlesmnGmVaZwhkda,audio_features,spotify:track:7cuRgdYlesmnGmVaZwhkda,0.468
7,w/ Pakito, Living On Video ,Mark Sixma Rework,0.000193,https://api.spotify.com/v1/audio-analysis/3SQY5MzR2wJAUjqGEIJk69,9A,0.632,199547.0,0.877,3SQY5MzR2wJAUjqGEIJk69,0.776,4.0,0.256,-6.116,0.0,0.0345,131.012,4.0,https://api.spotify.com/v1/tracks/3SQY5MzR2wJAUjqGEIJk69,audio_features,spotify:track:3SQY5MzR2wJAUjqGEIJk69,0.559
8,Dimitri Vegas Like Mike Steve Aoki W&W, Komodo ,Trackname Unconfirmed,,,,,,,,,,,,,,,,,,,
9,Dimitri Vegas Like Mike Armin van Buuren W&W, Repeat,unknown,3.48e-05,https://api.spotify.com/v1/audio-analysis/4oFG9uzL5xk42DzfvwFPOP,11A,0.461,322195.0,0.966,4oFG9uzL5xk42DzfvwFPOP,0.000381,6.0,0.309,-4.199,0.0,0.181,141.786,4.0,https://api.spotify.com/v1/tracks/4oFG9uzL5xk42DzfvwFPOP,audio_features,spotify:track:4oFG9uzL5xk42DzfvwFPOP,0.256
10,w/ David Guetta GLOWINTHEDARK   Harrison, Ain't A Party ,Acapella,,,,,,,,,,,,,,,,,,,
11,W&W Groove Coverage, God Is A Girl,unknown,0.00128,https://api.spotify.com/v1/audio-analysis/244w7BpXC62Dc5dAtQryAv,5A,0.528,194483.0,0.884,244w7BpXC62Dc5dAtQryAv,0.000273,0.0,0.0952,-5.144,0.0,0.037,145.033,4.0,https://api.spotify.com/v1/tracks/244w7BpXC62Dc5dAtQryAv,audio_features,spotify:track:244w7BpXC62Dc5dAtQryAv,0.254
12,W&W Vini Vici   Armin Van Buuren, Chakra ,W&W Mashup,0.0038,https://api.spotify.com/v1/audio-analysis/0yn1vlbJKUVQuFmFDnRUyK,4A,0.451,263130.0,0.887,0yn1vlbJKUVQuFmFDnRUyK,0.0858,5.0,0.0153,-3.907,0.0,0.0698,150.017,4.0,https://api.spotify.com/v1/tracks/0yn1vlbJKUVQuFmFDnRUyK,audio_features,spotify:track:0yn1vlbJKUVQuFmFDnRUyK,0.21
13,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
14,w/ Jamie Lewis   Michael Watford, For You ,Put Your Hands Up In The Air Acapella,0.185,https://api.spotify.com/v1/audio-analysis/3CO19cTl5zzlWx9GWEpOhD,11B,0.425,273773.0,0.519,3CO19cTl5zzlWx9GWEpOhD,0.0,9.0,0.102,-9.707,1.0,0.0279,143.887,4.0,https://api.spotify.com/v1/tracks/3CO19cTl5zzlWx9GWEpOhD,audio_features,spotify:track:3CO19cTl5zzlWx9GWEpOhD,0.208
15,Jordan Baker W&W   Chuckie   Blasterjaxx, Explode ,W&W Mashup,0.000218,https://api.spotify.com/v1/audio-analysis/7jvE23VecS5su78qW81JEH,2A,0.683,424861.0,0.954,7jvE23VecS5su78qW81JEH,0.854,3.0,0.329,-8.565,0.0,0.0498,138.991,4.0,https://api.spotify.com/v1/tracks/7jvE23VecS5su78qW81JEH,audio_features,spotify:track:7jvE23VecS5su78qW81JEH,0.214
16,Hardwell Blasterjaxx   Mitch Crown, Bigroom Never Dies,unknown,0.000732,https://api.spotify.com/v1/audio-analysis/7sV8l9oBVkyNlHXgZQZg6a,4B,0.715,175846.0,0.948,7sV8l9oBVkyNlHXgZQZg6a,0.0206,8.0,0.315,-4.887,1.0,0.0532,129.969,4.0,https://api.spotify.com/v1/tracks/7sV8l9oBVkyNlHXgZQZg6a,audio_features,spotify:track:7sV8l9oBVkyNlHXgZQZg6a,0.165
17,w/ Yeah Yeah Yeahs, Heads Will Roll ,A-Trak Remix,0.00025,https://api.spotify.com/v1/audio-analysis/18oWEPapjNt32E6sCM6VLb,1A,0.56,221000.0,0.901,18oWEPapjNt32E6sCM6VLb,0.134,8.0,0.299,-4.481,0.0,0.032,132.009,4.0,https://api.spotify.com/v1/tracks/18oWEPapjNt32E6sCM6VLb,audio_features,spotify:track:18oWEPapjNt32E6sCM6VLb,0.807
