,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Wolfpack Boostedkids, Loknez,unknown,0.000224,https://api.spotify.com/v1/audio-analysis/4GlBJJeve5074iMeOoGOFC,8A,0.598,228750.0,0.836,4GlBJJeve5074iMeOoGOFC,0.0893,9.0,0.0933,-5.955,0.0,0.0467,128.08,4.0,https://api.spotify.com/v1/tracks/4GlBJJeve5074iMeOoGOFC,audio_features,spotify:track:4GlBJJeve5074iMeOoGOFC,0.143
1,Wolfpack Warp Brothers, Phatt Bass 2016,unknown,0.0087,https://api.spotify.com/v1/audio-analysis/7MZtss93L0DHDr9k214DLw,3B,0.578,194711.0,0.997,7MZtss93L0DHDr9k214DLw,0.864,1.0,0.752,-2.173,1.0,0.193,127.981,4.0,https://api.spotify.com/v1/tracks/7MZtss93L0DHDr9k214DLw,audio_features,spotify:track:7MZtss93L0DHDr9k214DLw,0.126
2,w/ Dimitri Vegas Like Mike   W&W, Arcade,unknown,0.00714,https://api.spotify.com/v1/audio-analysis/0rS5GffjthPE8zm0wWvrCN,2A,0.552,255938.0,0.968,0rS5GffjthPE8zm0wWvrCN,0.853,3.0,0.356,-4.173,0.0,0.0813,127.964,4.0,https://api.spotify.com/v1/tracks/0rS5GffjthPE8zm0wWvrCN,audio_features,spotify:track:0rS5GffjthPE8zm0wWvrCN,0.133
3,RELOAD eSQUIRE   Leanne Brown, Dirty Cash,unknown,0.0131,https://api.spotify.com/v1/audio-analysis/52JVmB2YNFgIYMIhtWzwoH,10A,0.736,260035.0,0.921,52JVmB2YNFgIYMIhtWzwoH,0.00337,11.0,0.037,-2.326,0.0,0.0355,123.003,4.0,https://api.spotify.com/v1/tracks/52JVmB2YNFgIYMIhtWzwoH,audio_features,spotify:track:52JVmB2YNFgIYMIhtWzwoH,0.261
4,w/ Dimitri Vegas Like Mike MOGUAI, Mammoth,unknown,0.636,https://api.spotify.com/v1/audio-analysis/4uGbDnAeaUjylrhmDrO4M7,7A,0.17,143283.0,0.494,4uGbDnAeaUjylrhmDrO4M7,0.582,2.0,0.108,-13.825,0.0,0.0423,63.918,4.0,https://api.spotify.com/v1/tracks/4uGbDnAeaUjylrhmDrO4M7,audio_features,spotify:track:4uGbDnAeaUjylrhmDrO4M7,0.486
5,Ale Mora   Xavi Gi, Party All Night,unknown,0.000711,https://api.spotify.com/v1/audio-analysis/5eyMOb7utmJKp4toVOTqbi,10A,0.691,241875.0,0.955,5eyMOb7utmJKp4toVOTqbi,0.0122,11.0,0.102,-1.963,0.0,0.0835,128.043,4.0,https://api.spotify.com/v1/tracks/5eyMOb7utmJKp4toVOTqbi,audio_features,spotify:track:5eyMOb7utmJKp4toVOTqbi,0.484
6,Yellow Claw Wiwek   Lil Debbie, Pop It,unknown,0.0698,https://api.spotify.com/v1/audio-analysis/7z2ulpwzRfig09Njowj73b,10B,0.686,261927.0,0.553,7z2ulpwzRfig09Njowj73b,0.795,2.0,0.168,-10.313,1.0,0.0566,115.023,4.0,https://api.spotify.com/v1/tracks/7z2ulpwzRfig09Njowj73b,audio_features,spotify:track:7z2ulpwzRfig09Njowj73b,0.273
7,AvAlanche, Jungleland,unknown,0.00155,https://api.spotify.com/v1/audio-analysis/00Qs6I04RBsUkmyzmiWRbq,8B,0.632,296250.0,0.978,00Qs6I04RBsUkmyzmiWRbq,0.666,0.0,0.887,-2.299,1.0,0.327,128.052,4.0,https://api.spotify.com/v1/tracks/00Qs6I04RBsUkmyzmiWRbq,audio_features,spotify:track:00Qs6I04RBsUkmyzmiWRbq,0.519
8,Patrolla   Adamski   Seal, Killer ,MOTi Remix,0.00748,https://api.spotify.com/v1/audio-analysis/1a0KHMZPpGi6NPMjFPGhyz,4B,0.657,220442.0,0.797,1a0KHMZPpGi6NPMjFPGhyz,0.0128,8.0,0.111,-5.906,1.0,0.0324,123.99,4.0,https://api.spotify.com/v1/tracks/1a0KHMZPpGi6NPMjFPGhyz,audio_features,spotify:track:1a0KHMZPpGi6NPMjFPGhyz,0.588
9,w/ Garmiani, Bomb A Drop,unknown,0.0022,https://api.spotify.com/v1/audio-analysis/2OccinWNEPIEmZPkqnLPSR,6A,0.675,158555.0,0.992,2OccinWNEPIEmZPkqnLPSR,0.221,7.0,0.387,-0.533,0.0,0.0605,128.034,4.0,https://api.spotify.com/v1/tracks/2OccinWNEPIEmZPkqnLPSR,audio_features,spotify:track:2OccinWNEPIEmZPkqnLPSR,0.483
10,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
11,w/ Matroda, Chronic,unknown,0.0043,https://api.spotify.com/v1/audio-analysis/60iecXayDdZkYlpz40NKb3,10A,0.739,202728.0,0.951,60iecXayDdZkYlpz40NKb3,0.00133,11.0,0.142,-3.919,0.0,0.0751,125.993,4.0,https://api.spotify.com/v1/tracks/60iecXayDdZkYlpz40NKb3,audio_features,spotify:track:60iecXayDdZkYlpz40NKb3,0.723
12,Fedde Le Grand Merk Kremont, Give Me Some,unknown,0.2,https://api.spotify.com/v1/audio-analysis/3jTCKuqEDe4IZOaXtim0M5,1B,0.707,205706.0,0.922,3jTCKuqEDe4IZOaXtim0M5,0.0133,11.0,0.0807,-4.679,1.0,0.0522,128.04,4.0,https://api.spotify.com/v1/tracks/3jTCKuqEDe4IZOaXtim0M5,audio_features,spotify:track:3jTCKuqEDe4IZOaXtim0M5,0.348
