,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Mamas The Papas, California Dreamin,unknown,0.352,https://api.spotify.com/v1/audio-analysis/4s6LhHAV5SEsOV0lC2tjvJ,12A,0.552,162373.0,0.616,4s6LhHAV5SEsOV0lC2tjvJ,0.0,1.0,0.0501,-9.785,0.0,0.0346,112.442,4.0,https://api.spotify.com/v1/tracks/4s6LhHAV5SEsOV0lC2tjvJ,audio_features,spotify:track:4s6LhHAV5SEsOV0lC2tjvJ,0.667
1,Loge21, Flip The Funk,unknown,0.0202,https://api.spotify.com/v1/audio-analysis/5XuQzp7inkniyMCmLOJmmf,3B,0.854,228402.0,0.714,5XuQzp7inkniyMCmLOJmmf,0.249,1.0,0.0966,-3.141,1.0,0.0887,124.0,4.0,https://api.spotify.com/v1/tracks/5XuQzp7inkniyMCmLOJmmf,audio_features,spotify:track:5XuQzp7inkniyMCmLOJmmf,0.273
2,Oliver Heldens Zeds Dead, You Know,unknown,0.573,https://api.spotify.com/v1/audio-analysis/5D0z0n4bolUy96pBX1Z7kF,8B,0.384,229336.0,0.463,5D0z0n4bolUy96pBX1Z7kF,0.624,0.0,0.107,-8.587,1.0,0.0303,74.948,4.0,https://api.spotify.com/v1/tracks/5D0z0n4bolUy96pBX1Z7kF,audio_features,spotify:track:5D0z0n4bolUy96pBX1Z7kF,0.143
3,Skrillex Habstrakt, Chicken Soup,unknown,0.00129,https://api.spotify.com/v1/audio-analysis/7hU38LHqMSPFrvoqADFJp4,1B,0.823,207293.0,0.815,7hU38LHqMSPFrvoqADFJp4,0.0494,11.0,0.599,-3.947,1.0,0.134,125.989,4.0,https://api.spotify.com/v1/tracks/7hU38LHqMSPFrvoqADFJp4,audio_features,spotify:track:7hU38LHqMSPFrvoqADFJp4,0.474
4,Zeds Dead Twin Shadow   D'Angelo Lacy, Lost You,unknown,0.0833,https://api.spotify.com/v1/audio-analysis/2kYiMFZZhzx1kICBN39hEp,10A,0.736,218312.0,0.882,2kYiMFZZhzx1kICBN39hEp,0.000349,11.0,0.354,-4.285,0.0,0.0398,126.012,4.0,https://api.spotify.com/v1/tracks/2kYiMFZZhzx1kICBN39hEp,audio_features,spotify:track:2kYiMFZZhzx1kICBN39hEp,0.517
5,Wuki, Tricky,unknown,,,,,,,,,,,,,,,,,,,
6,Dombresky, Utopia,unknown,0.00338,https://api.spotify.com/v1/audio-analysis/3IVjcQvCFu1Bo7Kq3WRlNn,3A,0.754,280952.0,0.833,3IVjcQvCFu1Bo7Kq3WRlNn,0.54,10.0,0.0666,-5.143,0.0,0.0428,126.031,4.0,https://api.spotify.com/v1/tracks/3IVjcQvCFu1Bo7Kq3WRlNn,audio_features,spotify:track:3IVjcQvCFu1Bo7Kq3WRlNn,0.105
7,Zeds Dead   Memorecks, Collapse,unknown,0.108,https://api.spotify.com/v1/audio-analysis/4fb0iBhHbQeiJHOfLr6R75,12A,0.45,284444.0,0.756,4fb0iBhHbQeiJHOfLr6R75,0.0205,1.0,0.0762,-6.307,0.0,0.0389,135.102,4.0,https://api.spotify.com/v1/tracks/4fb0iBhHbQeiJHOfLr6R75,audio_features,spotify:track:4fb0iBhHbQeiJHOfLr6R75,0.268
8,Benga, To Hell And Back,unknown,,,,,,,,,,,,,,,,,,,
9,Kanye West, All Day ,Club Killers Remix,0.0648,https://api.spotify.com/v1/audio-analysis/79reBHqpRoWXaQbjBBY3UC,8A,0.855,310907.0,0.638,79reBHqpRoWXaQbjBBY3UC,0.0,9.0,0.162,-4.968,0.0,0.143,122.967,4.0,https://api.spotify.com/v1/tracks/79reBHqpRoWXaQbjBBY3UC,audio_features,spotify:track:79reBHqpRoWXaQbjBBY3UC,0.412
