,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sublime, Doin' Time ,Zeds Dead Summer Grime Remix,0.0467,https://api.spotify.com/v1/audio-analysis/4mAqG6KNWZQiekSthr2QtL,9B,0.712,251120.0,0.717,4mAqG6KNWZQiekSthr2QtL,2.19e-06,7.0,0.134,-5.98,1.0,0.0888,80.987,4.0,https://api.spotify.com/v1/tracks/4mAqG6KNWZQiekSthr2QtL,audio_features,spotify:track:4mAqG6KNWZQiekSthr2QtL,0.492
1,Zeds Dead Ganja White Night, Samurai,unknown,0.00866,https://api.spotify.com/v1/audio-analysis/0EE9zT8qlmoZhW5bwuoYVS,3A,0.674,278720.0,0.641,0EE9zT8qlmoZhW5bwuoYVS,0.022,10.0,0.0604,-8.461,0.0,0.0618,144.934,4.0,https://api.spotify.com/v1/tracks/0EE9zT8qlmoZhW5bwuoYVS,audio_features,spotify:track:0EE9zT8qlmoZhW5bwuoYVS,0.0784
2,Zeds Dead Dirtyphonics   Bright Lights, Where Are You Now,unknown,0.0102,https://api.spotify.com/v1/audio-analysis/5XdajP6WMdreqzPp7bZScQ,3A,0.42,267234.0,0.777,5XdajP6WMdreqzPp7bZScQ,0.00176,10.0,0.808,-3.929,0.0,0.065,141.016,4.0,https://api.spotify.com/v1/tracks/5XdajP6WMdreqzPp7bZScQ,audio_features,spotify:track:5XdajP6WMdreqzPp7bZScQ,0.67
3,Joker, Mad Night,unknown,0.0792,https://api.spotify.com/v1/audio-analysis/1ADXxtB9WKgutz2grGFRWR,3A,0.802,255429.0,0.83,1ADXxtB9WKgutz2grGFRWR,0.000817,10.0,0.687,-3.535,0.0,0.235,139.991,4.0,https://api.spotify.com/v1/tracks/1ADXxtB9WKgutz2grGFRWR,audio_features,spotify:track:1ADXxtB9WKgutz2grGFRWR,0.5
4,16bit, Boston Cream,unknown,0.000494,https://api.spotify.com/v1/audio-analysis/6UOFOptG76LXse8VgTuNzD,11A,0.756,256422.0,0.9,6UOFOptG76LXse8VgTuNzD,0.104,6.0,0.296,-4.916,0.0,0.228,139.985,4.0,https://api.spotify.com/v1/tracks/6UOFOptG76LXse8VgTuNzD,audio_features,spotify:track:6UOFOptG76LXse8VgTuNzD,0.376
5,Damian Marley, Welcome To Jamrock ,Zeds Dead Welcome To Deadrocks Edit,0.0229,https://api.spotify.com/v1/audio-analysis/22AbXxQbMdVqEz7xJjhccG,6A,0.84,213200.0,0.658,22AbXxQbMdVqEz7xJjhccG,0.0,7.0,0.342,-6.496,0.0,0.333,76.638,4.0,https://api.spotify.com/v1/tracks/22AbXxQbMdVqEz7xJjhccG,audio_features,spotify:track:22AbXxQbMdVqEz7xJjhccG,0.732
6,SLANDER YOOKiE   Zach Sorgen, One Life ,YOOKiE VIP,0.206,https://api.spotify.com/v1/audio-analysis/48RTkx0x64UEGcXbiW3Adn,6A,0.642,195273.0,0.962,48RTkx0x64UEGcXbiW3Adn,0.00589,7.0,0.344,-2.73,0.0,0.0355,150.011,4.0,https://api.spotify.com/v1/tracks/48RTkx0x64UEGcXbiW3Adn,audio_features,spotify:track:48RTkx0x64UEGcXbiW3Adn,0.763
7,Zeds Dead, Woman Wine,unknown,0.0555,https://api.spotify.com/v1/audio-analysis/3xO1EGy0qq9nZRGowRyk7R,9B,0.764,193600.0,0.878,3xO1EGy0qq9nZRGowRyk7R,0.00856,7.0,0.349,-5.483,1.0,0.174,74.994,4.0,https://api.spotify.com/v1/tracks/3xO1EGy0qq9nZRGowRyk7R,audio_features,spotify:track:3xO1EGy0qq9nZRGowRyk7R,0.72
8,ConRank, Lose The Plot,unknown,0.0149,https://api.spotify.com/v1/audio-analysis/751NegHeiAh7VHpAaI4h7X,3A,0.574,170000.0,0.954,751NegHeiAh7VHpAaI4h7X,0.0082,10.0,0.36,-3.035,0.0,0.0875,143.986,4.0,https://api.spotify.com/v1/tracks/751NegHeiAh7VHpAaI4h7X,audio_features,spotify:track:751NegHeiAh7VHpAaI4h7X,0.323
9,The Beatles, Eleanor Rigby,unknown,0.936,https://api.spotify.com/v1/audio-analysis/5GjPQ0eI7AgmOnADn1EO6Q,9A,0.581,126533.0,0.28,5GjPQ0eI7AgmOnADn1EO6Q,1.56e-05,4.0,0.305,-9.091,0.0,0.0381,137.831,4.0,https://api.spotify.com/v1/tracks/5GjPQ0eI7AgmOnADn1EO6Q,audio_features,spotify:track:5GjPQ0eI7AgmOnADn1EO6Q,0.813
