,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,SUB,human ,unknown,0.0216,https://api.spotify.com/v1/audio-analysis/3BPwdEiGbbw4ZGTk8WaoVP,12B,0.531,442457.0,0.852,3BPwdEiGbbw4ZGTk8WaoVP,0.0685,4.0,0.821,-5.622,1.0,0.148,174.981,4.0,https://api.spotify.com/v1/tracks/3BPwdEiGbbw4ZGTk8WaoVP,audio_features,spotify:track:3BPwdEiGbbw4ZGTk8WaoVP,0.402
2,Zeds Dead NGHTMRE   GG Magree, Frontlines,unknown,0.0143,https://api.spotify.com/v1/audio-analysis/0c8X4ApJu6CNEXoIb5VKMo,10A,0.424,214733.0,0.93,0c8X4ApJu6CNEXoIb5VKMo,0.00124,11.0,0.251,-4.156,0.0,0.0685,75.941,4.0,https://api.spotify.com/v1/tracks/0c8X4ApJu6CNEXoIb5VKMo,audio_features,spotify:track:0c8X4ApJu6CNEXoIb5VKMo,0.129
3,Snavs, Won't Let Us,unknown,,,,,,,,,,,,,,,,,,,
4,Dillon Francis NGHTMRE, Another Dimension ,YOOKiE Remix,0.000478,https://api.spotify.com/v1/audio-analysis/18kRiAeDDUbkHIMilpGzjG,3B,0.408,159181.0,0.971,18kRiAeDDUbkHIMilpGzjG,0.196,1.0,0.328,-3.468,1.0,0.291,130.104,4.0,https://api.spotify.com/v1/tracks/18kRiAeDDUbkHIMilpGzjG,audio_features,spotify:track:18kRiAeDDUbkHIMilpGzjG,0.329
5,Flux Pavilion Meaux Green, Call To Arms,unknown,0.00304,https://api.spotify.com/v1/audio-analysis/1BI8ckLveSxwNNtIDoZycR,9A,0.478,203014.0,0.904,1BI8ckLveSxwNNtIDoZycR,0.338,4.0,0.306,-5.6,0.0,0.0362,150.039,4.0,https://api.spotify.com/v1/tracks/1BI8ckLveSxwNNtIDoZycR,audio_features,spotify:track:1BI8ckLveSxwNNtIDoZycR,0.174
6,Zeds Dead, Ratchet ,Crankdat Dubstep Re-Crank,0.027,https://api.spotify.com/v1/audio-analysis/6Crys4EEr2NGmL4lhz7XgO,9B,0.777,221202.0,0.899,6Crys4EEr2NGmL4lhz7XgO,0.0,7.0,0.879,-5.675,1.0,0.256,174.064,4.0,https://api.spotify.com/v1/tracks/6Crys4EEr2NGmL4lhz7XgO,audio_features,spotify:track:6Crys4EEr2NGmL4lhz7XgO,0.711
7,Zeds Dead 1000volts (Redman Jayceeoh), ID,Redman & Jayceeoh,0.266,https://api.spotify.com/v1/audio-analysis/1gTrrkWkgAoB6l2IoKbOBB,9B,0.839,252133.0,0.655,1gTrrkWkgAoB6l2IoKbOBB,0.0,7.0,0.53,-14.698,1.0,0.292,143.294,4.0,https://api.spotify.com/v1/tracks/1gTrrkWkgAoB6l2IoKbOBB,audio_features,spotify:track:1gTrrkWkgAoB6l2IoKbOBB,0.744
8,ID, ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
9,Ray Volpe, Rave Rage ,Oliverse Remix,4.22e-05,https://api.spotify.com/v1/audio-analysis/2zC8gqhTAoy7JIb2mewtqT,3B,0.531,224000.0,0.995,2zC8gqhTAoy7JIb2mewtqT,0.779,1.0,0.261,-1.528,1.0,0.108,149.948,4.0,https://api.spotify.com/v1/tracks/2zC8gqhTAoy7JIb2mewtqT,audio_features,spotify:track:2zC8gqhTAoy7JIb2mewtqT,0.228
