,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Gorillaz, Busted And Blue ,Yotto Remix,0.00054,https://api.spotify.com/v1/audio-analysis/3PgIZG6N4bNzmBoqETxwPj,7B,0.697,405893.0,0.824,3PgIZG6N4bNzmBoqETxwPj,0.782,5.0,0.107,-8.169,1.0,0.0371,124.006,4.0,https://api.spotify.com/v1/tracks/3PgIZG6N4bNzmBoqETxwPj,audio_features,spotify:track:3PgIZG6N4bNzmBoqETxwPj,0.0804
1,Walker Royce   Green Velvet, Rub Anotha Dub,unknown,0.00072,https://api.spotify.com/v1/audio-analysis/3mnpVW7HeT2wvRgX1iFaJx,8B,0.707,266667.0,0.789,3mnpVW7HeT2wvRgX1iFaJx,0.627,0.0,0.521,-7.339,1.0,0.0713,125.991,4.0,https://api.spotify.com/v1/tracks/3mnpVW7HeT2wvRgX1iFaJx,audio_features,spotify:track:3mnpVW7HeT2wvRgX1iFaJx,0.63
2,Monstergetdown Rinzen, Paradox,unknown,0.0168,https://api.spotify.com/v1/audio-analysis/6Txyi8PEpW6KyM1rWK0Gyy,2B,0.718,363902.0,0.75,6Txyi8PEpW6KyM1rWK0Gyy,0.897,6.0,0.108,-8.34,1.0,0.0486,123.018,4.0,https://api.spotify.com/v1/tracks/6Txyi8PEpW6KyM1rWK0Gyy,audio_features,spotify:track:6Txyi8PEpW6KyM1rWK0Gyy,0.116
3,Wehbba, Fake,unknown,0.000406,https://api.spotify.com/v1/audio-analysis/7wcezlPS0mPgBW7XiXu2WO,11B,0.718,438891.0,0.707,7wcezlPS0mPgBW7XiXu2WO,0.89,9.0,0.0867,-7.757,1.0,0.172,124.983,4.0,https://api.spotify.com/v1/tracks/7wcezlPS0mPgBW7XiXu2WO,audio_features,spotify:track:7wcezlPS0mPgBW7XiXu2WO,0.0395
4,Maya Jane Coles, Weak ,Wax Wings Remix,0.00847,https://api.spotify.com/v1/audio-analysis/6AOlSeH5i736dkB50mjctY,11A,0.71,272092.0,0.767,6AOlSeH5i736dkB50mjctY,0.00466,6.0,0.205,-6.007,0.0,0.0443,99.987,4.0,https://api.spotify.com/v1/tracks/6AOlSeH5i736dkB50mjctY,audio_features,spotify:track:6AOlSeH5i736dkB50mjctY,0.167
5,Tinlicker, Pussylion,unknown,0.00457,https://api.spotify.com/v1/audio-analysis/0C6sd9zSVNlB28JyjLyLCb,5A,0.701,411351.0,0.862,0C6sd9zSVNlB28JyjLyLCb,0.877,0.0,0.0759,-6.473,0.0,0.0896,123.997,4.0,https://api.spotify.com/v1/tracks/0C6sd9zSVNlB28JyjLyLCb,audio_features,spotify:track:0C6sd9zSVNlB28JyjLyLCb,0.699
6,Adam Beyer Enrico Sangiuliano, Preset Heaven,unknown,4.19e-05,https://api.spotify.com/v1/audio-analysis/4gwuQ4JIMhJc4vyg8pyeDS,10B,0.802,495360.0,0.931,4gwuQ4JIMhJc4vyg8pyeDS,0.864,2.0,0.106,-5.807,1.0,0.0624,124.995,4.0,https://api.spotify.com/v1/tracks/4gwuQ4JIMhJc4vyg8pyeDS,audio_features,spotify:track:4gwuQ4JIMhJc4vyg8pyeDS,0.0398
7,Nina Kraviz, Pochuvstvui,unknown,0.00437,https://api.spotify.com/v1/audio-analysis/4riIxToiB6XDWAKX5C08Na,2B,0.864,318049.0,0.867,4riIxToiB6XDWAKX5C08Na,0.891,6.0,0.188,-12.281,1.0,0.0524,128.01,4.0,https://api.spotify.com/v1/tracks/4riIxToiB6XDWAKX5C08Na,audio_features,spotify:track:4riIxToiB6XDWAKX5C08Na,0.542
8,Lutzenkirchen, Undoomed ,SUDO Remix,0.00307,https://api.spotify.com/v1/audio-analysis/1pO2dqeqsBla6S3vKcnqT9,9B,0.794,450198.0,0.903,1pO2dqeqsBla6S3vKcnqT9,0.845,7.0,0.101,-7.62,1.0,0.0561,124.989,4.0,https://api.spotify.com/v1/tracks/1pO2dqeqsBla6S3vKcnqT9,audio_features,spotify:track:1pO2dqeqsBla6S3vKcnqT9,0.155
9,Tiga, Woke,unknown,0.000217,https://api.spotify.com/v1/audio-analysis/6uW3XQ5BrEftXX5J4yRR32,12A,0.8,452400.0,0.764,6uW3XQ5BrEftXX5J4yRR32,0.828,1.0,0.0923,-11.211,0.0,0.0529,125.013,4.0,https://api.spotify.com/v1/tracks/6uW3XQ5BrEftXX5J4yRR32,audio_features,spotify:track:6uW3XQ5BrEftXX5J4yRR32,0.356
10,Bump Ugly, Just A Beat,unknown,,,,,,,,,,,,,,,,,,,
11,Shiba San Tim Baresko, The Connection,unknown,0.00127,https://api.spotify.com/v1/audio-analysis/1frBOIWcLbCOgKMW3AdN5m,1B,0.802,236951.0,0.82,1frBOIWcLbCOgKMW3AdN5m,0.842,11.0,0.0675,-8.085,1.0,0.0498,122.997,4.0,https://api.spotify.com/v1/tracks/1frBOIWcLbCOgKMW3AdN5m,audio_features,spotify:track:1frBOIWcLbCOgKMW3AdN5m,0.335
12,Will Clarke ZDS, Beat My House,unknown,,,,,,,,,,,,,,,,,,,
13,Green Velvet Claude VonStroke pres. Get Real, Mind Yo Bizness,unknown,0.000194,https://api.spotify.com/v1/audio-analysis/0QCl9rZxNa6wJDAcLawmy9,6A,0.805,331554.0,0.655,0QCl9rZxNa6wJDAcLawmy9,0.725,7.0,0.0718,-7.797,0.0,0.0564,122.026,4.0,https://api.spotify.com/v1/tracks/0QCl9rZxNa6wJDAcLawmy9,audio_features,spotify:track:0QCl9rZxNa6wJDAcLawmy9,0.607
14,Mancodex, Freak Out,unknown,0.000251,https://api.spotify.com/v1/audio-analysis/6vOfz0EszIYxLBxmMowqmU,3B,0.811,362006.0,0.699,6vOfz0EszIYxLBxmMowqmU,0.809,1.0,0.131,-8.98,1.0,0.0767,123.999,4.0,https://api.spotify.com/v1/tracks/6vOfz0EszIYxLBxmMowqmU,audio_features,spotify:track:6vOfz0EszIYxLBxmMowqmU,0.454
15,Fisher, Stop It,unknown,0.024,https://api.spotify.com/v1/audio-analysis/4qetR2UUyBeUrJ9DbYrpVQ,4B,0.86,163790.0,0.824,4qetR2UUyBeUrJ9DbYrpVQ,0.657,8.0,0.205,-7.207,1.0,0.0518,124.016,4.0,https://api.spotify.com/v1/tracks/4qetR2UUyBeUrJ9DbYrpVQ,audio_features,spotify:track:4qetR2UUyBeUrJ9DbYrpVQ,0.87
16,Walker Royce, Can You Pass That,unknown,0.00243,https://api.spotify.com/v1/audio-analysis/1JTGEPuCkShsGZASnuHo5v,2B,0.729,251529.0,0.782,1JTGEPuCkShsGZASnuHo5v,0.58,6.0,0.0938,-6.36,1.0,0.0352,125.991,4.0,https://api.spotify.com/v1/tracks/1JTGEPuCkShsGZASnuHo5v,audio_features,spotify:track:1JTGEPuCkShsGZASnuHo5v,0.463
17,Claude VonStroke, Barrump ,Billy Kenny Remix,0.000477,https://api.spotify.com/v1/audio-analysis/3mYy69TSJ4pNoBitzWVXRP,1B,0.8,321442.0,0.853,3mYy69TSJ4pNoBitzWVXRP,0.779,11.0,0.0813,-6.705,1.0,0.112,123.994,4.0,https://api.spotify.com/v1/tracks/3mYy69TSJ4pNoBitzWVXRP,audio_features,spotify:track:3mYy69TSJ4pNoBitzWVXRP,0.177
18,ARTBAT, Tabu,unknown,0.0177,https://api.spotify.com/v1/audio-analysis/5BqFpUSAVMnxebiKfEizeP,11B,0.757,493519.0,0.631,5BqFpUSAVMnxebiKfEizeP,0.8,9.0,0.659,-11.181,1.0,0.0521,121.998,4.0,https://api.spotify.com/v1/tracks/5BqFpUSAVMnxebiKfEizeP,audio_features,spotify:track:5BqFpUSAVMnxebiKfEizeP,0.112
19,Electrocado, Bouncey Balls,unknown,0.0124,https://api.spotify.com/v1/audio-analysis/2OSG3xTwtGn9VAd872CB1F,10A,0.849,405000.0,0.479,2OSG3xTwtGn9VAd872CB1F,0.882,11.0,0.0751,-10.298,0.0,0.081,128.035,4.0,https://api.spotify.com/v1/tracks/2OSG3xTwtGn9VAd872CB1F,audio_features,spotify:track:2OSG3xTwtGn9VAd872CB1F,0.246
20,Rinzen, Forbidden City,unknown,0.000574,https://api.spotify.com/v1/audio-analysis/2fGHyezLXeYeOWZh1qk3NH,1B,0.82,356091.0,0.754,2fGHyezLXeYeOWZh1qk3NH,0.848,11.0,0.111,-10.774,1.0,0.0557,123.019,4.0,https://api.spotify.com/v1/tracks/2fGHyezLXeYeOWZh1qk3NH,audio_features,spotify:track:2fGHyezLXeYeOWZh1qk3NH,0.247
21,Kalyma, Again,unknown,0.000563,https://api.spotify.com/v1/audio-analysis/1AHQIKNNTH7tlPT5UNKjHo,9B,0.803,528459.0,0.82,1AHQIKNNTH7tlPT5UNKjHo,0.795,7.0,0.123,-10.999,1.0,0.0654,120.008,4.0,https://api.spotify.com/v1/tracks/1AHQIKNNTH7tlPT5UNKjHo,audio_features,spotify:track:1AHQIKNNTH7tlPT5UNKjHo,0.501
22,Noir   J.U.D.G.E, Keep Up,unknown,0.106,https://api.spotify.com/v1/audio-analysis/0sfhR14VuijcrGW41CL1YG,10A,0.587,465157.0,0.674,0sfhR14VuijcrGW41CL1YG,0.269,11.0,0.109,-11.947,0.0,0.043,125.007,4.0,https://api.spotify.com/v1/tracks/0sfhR14VuijcrGW41CL1YG,audio_features,spotify:track:0sfhR14VuijcrGW41CL1YG,0.1
