,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Third Party,Get Back,unknown,9.34e-05,https://api.spotify.com/v1/audio-analysis/3CNMwYeVqoALztcXF2jfvy,11A,0.548,366191.0,0.982,3CNMwYeVqoALztcXF2jfvy,0.824,6.0,0.928,-5.711,0.0,0.0458,125.999,4.0,https://api.spotify.com/v1/tracks/3CNMwYeVqoALztcXF2jfvy,audio_features,spotify:track:3CNMwYeVqoALztcXF2jfvy,0.732
1,D.O.D,Sixes,unknown,0.000641,https://api.spotify.com/v1/audio-analysis/1NQcFF1frcwdZZGhaMEYH4,8B,0.729,153214.0,0.998,1NQcFF1frcwdZZGhaMEYH4,0.244,0.0,0.0586,0.042,1.0,0.0693,126.016,4.0,https://api.spotify.com/v1/tracks/1NQcFF1frcwdZZGhaMEYH4,audio_features,spotify:track:1NQcFF1frcwdZZGhaMEYH4,0.732
2,"Antoine Clamaran,Divolly,Markward,Jude,Frank",Zumba E 2017,unknown,0.0127,https://api.spotify.com/v1/audio-analysis/5WO4KKiq7YFZjcdSVNvPVX,10A,0.766,158438.0,0.936,5WO4KKiq7YFZjcdSVNvPVX,0.0222,11.0,0.156,-5.587,0.0,0.19,127.954,4.0,https://api.spotify.com/v1/tracks/5WO4KKiq7YFZjcdSVNvPVX,audio_features,spotify:track:5WO4KKiq7YFZjcdSVNvPVX,0.305
3,Olin Batista,Funkin',FREE,0.00196,https://api.spotify.com/v1/audio-analysis/1GnMTFSJLIhNx3GtVbZUuT,11A,0.653,227927.0,0.957,1GnMTFSJLIhNx3GtVbZUuT,0.886,6.0,0.1,-4.68,0.0,0.0583,124.972,4.0,https://api.spotify.com/v1/tracks/1GnMTFSJLIhNx3GtVbZUuT,audio_features,spotify:track:1GnMTFSJLIhNx3GtVbZUuT,0.571
4,Marcus Schossow,Rumble,unknown,0.000967,https://api.spotify.com/v1/audio-analysis/4O3wrXnkn52vkregqKfJpt,9A,0.533,228000.0,0.941,4O3wrXnkn52vkregqKfJpt,0.969,4.0,0.241,-5.052,0.0,0.0395,121.987,4.0,https://api.spotify.com/v1/tracks/4O3wrXnkn52vkregqKfJpt,audio_features,spotify:track:4O3wrXnkn52vkregqKfJpt,0.474
5,Leandro Da Silva,Bring Your Body,FREE,0.000238,https://api.spotify.com/v1/audio-analysis/1TeVHwL1322zQdmZ0gbSYO,11B,0.727,375484.0,0.971,1TeVHwL1322zQdmZ0gbSYO,0.825,9.0,0.138,-3.573,1.0,0.068,124.025,4.0,https://api.spotify.com/v1/tracks/1TeVHwL1322zQdmZ0gbSYO,audio_features,spotify:track:1TeVHwL1322zQdmZ0gbSYO,0.823
6,"Michael Feiner,DJ Gregory,Gregor Salto",Mantra Luanda,Digital Junkiez Edit,,,,,,,,,,,,,,,,,,,
7,"DJ Gregory,Gregor Salto,The Serafim Crew",Paris Luanda,unknown,4.69e-05,https://api.spotify.com/v1/audio-analysis/3x8KapiFZHn5R8yKfIsk3w,11A,0.801,419346.0,0.926,3x8KapiFZHn5R8yKfIsk3w,0.685,6.0,0.0636,-5.33,0.0,0.0767,127.007,4.0,https://api.spotify.com/v1/tracks/3x8KapiFZHn5R8yKfIsk3w,audio_features,spotify:track:3x8KapiFZHn5R8yKfIsk3w,0.0713
8,Michael Feiner,Mantra,unknown,0.0111,https://api.spotify.com/v1/audio-analysis/2UOeRG6mTa06loIxiOin4S,9B,0.83,297043.0,0.855,2UOeRG6mTa06loIxiOin4S,0.923,7.0,0.335,-4.67,1.0,0.0565,125.017,4.0,https://api.spotify.com/v1/tracks/2UOeRG6mTa06loIxiOin4S,audio_features,spotify:track:2UOeRG6mTa06loIxiOin4S,0.437
9,"Splashfunk,Nicola Fasano",Shosholoza,Splashfunk Remix,0.00113,https://api.spotify.com/v1/audio-analysis/0qM8dYgk5l6vtZGG6c5o3s,3B,0.789,338286.0,0.791,0qM8dYgk5l6vtZGG6c5o3s,0.715,1.0,0.072,-5.611,1.0,0.0856,127.992,4.0,https://api.spotify.com/v1/tracks/0qM8dYgk5l6vtZGG6c5o3s,audio_features,spotify:track:0qM8dYgk5l6vtZGG6c5o3s,0.523
10,"Gregor Salto,Curio Capoeira",Para Voce,unknown,0.0526,https://api.spotify.com/v1/audio-analysis/5P5NG0o1kmDds93Gwhlraq,9B,0.915,123629.0,0.53,5P5NG0o1kmDds93Gwhlraq,0.0,7.0,0.0761,-8.578,1.0,0.165,127.086,4.0,https://api.spotify.com/v1/tracks/5P5NG0o1kmDds93Gwhlraq,audio_features,spotify:track:5P5NG0o1kmDds93Gwhlraq,0.75
11,"Kenny Summit,Mousse Blanc",Born Again,Mark Lanzetta Mashup,0.000931,https://api.spotify.com/v1/audio-analysis/3PhXgoiyT2PhDbCP1vDDLR,1A,0.806,307538.0,0.944,3PhXgoiyT2PhDbCP1vDDLR,0.222,8.0,0.058,-6.197,0.0,0.0501,125.02,4.0,https://api.spotify.com/v1/tracks/3PhXgoiyT2PhDbCP1vDDLR,audio_features,spotify:track:3PhXgoiyT2PhDbCP1vDDLR,0.526
12,Jaded,In The Morning,GotSome & Jaded Remix,0.0315,https://api.spotify.com/v1/audio-analysis/4nkgAfnmDXCV6IHnjmoxZ6,11B,0.806,204467.0,0.937,4nkgAfnmDXCV6IHnjmoxZ6,0.298,9.0,0.316,-5.788,1.0,0.137,124.013,4.0,https://api.spotify.com/v1/tracks/4nkgAfnmDXCV6IHnjmoxZ6,audio_features,spotify:track:4nkgAfnmDXCV6IHnjmoxZ6,0.681
