,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Unit 2,Sunshine,KiNK Remix,0.032,https://api.spotify.com/v1/audio-analysis/3lcuqlvHCjoxXgebIKKUKv,3B,0.645,438109.0,0.968,3lcuqlvHCjoxXgebIKKUKv,0.882,1.0,0.0879,-7.64,1.0,0.0486,123.023,4.0,https://api.spotify.com/v1/tracks/3lcuqlvHCjoxXgebIKKUKv,audio_features,spotify:track:3lcuqlvHCjoxXgebIKKUKv,0.39
1,"ANGELZ,Wu",Tang Clan,unknown,0.197,https://api.spotify.com/v1/audio-analysis/24vNw0Z0srb4zYXwrakw8E,3A,0.826,216133.0,0.566,24vNw0Z0srb4zYXwrakw8E,0.0,10.0,0.356,-10.747,0.0,0.31,99.13,4.0,https://api.spotify.com/v1/tracks/24vNw0Z0srb4zYXwrakw8E,audio_features,spotify:track:24vNw0Z0srb4zYXwrakw8E,0.653
2,Go Freek,Time,unknown,0.0035,https://api.spotify.com/v1/audio-analysis/1dwGpOC4zMnjRGMHctZAzU,12A,0.774,281257.0,0.713,1dwGpOC4zMnjRGMHctZAzU,0.742,1.0,0.422,-6.352,0.0,0.0867,124.003,4.0,https://api.spotify.com/v1/tracks/1dwGpOC4zMnjRGMHctZAzU,audio_features,spotify:track:1dwGpOC4zMnjRGMHctZAzU,0.467
3,"MERCER,Ron Carroll",Satisfy,unknown,0.01,https://api.spotify.com/v1/audio-analysis/5u5bgOaZ5ZD6B7gGN5Ah71,7A,0.674,184920.0,0.852,5u5bgOaZ5ZD6B7gGN5Ah71,6.08e-05,2.0,0.127,-4.889,0.0,0.249,125.027,4.0,https://api.spotify.com/v1/tracks/5u5bgOaZ5ZD6B7gGN5Ah71,audio_features,spotify:track:5u5bgOaZ5ZD6B7gGN5Ah71,0.749
4,Oliver Heldens,King Kong,HI-LO Touch,0.0028,https://api.spotify.com/v1/audio-analysis/2eHOZfX7vxk7CRWQLeSLML,3B,0.691,188090.0,0.823,2eHOZfX7vxk7CRWQLeSLML,0.819,1.0,0.123,-8.309,1.0,0.034,125.996,4.0,https://api.spotify.com/v1/tracks/2eHOZfX7vxk7CRWQLeSLML,audio_features,spotify:track:2eHOZfX7vxk7CRWQLeSLML,0.384
5,"Ryan Blyth,BB Diamond",Raise A Glass,Club Mix,0.116,https://api.spotify.com/v1/audio-analysis/01LbB6CMPSc5FRrqda4kj5,4B,0.67,175334.0,0.897,01LbB6CMPSc5FRrqda4kj5,0.0,8.0,0.323,-4.237,1.0,0.0649,122.991,4.0,https://api.spotify.com/v1/tracks/01LbB6CMPSc5FRrqda4kj5,audio_features,spotify:track:01LbB6CMPSc5FRrqda4kj5,0.633
6,MK,17,unknown,0.00149,https://api.spotify.com/v1/audio-analysis/15DwFznkBJir7AK9PyMyRR,5A,0.703,196489.0,0.832,15DwFznkBJir7AK9PyMyRR,0.127,0.0,0.0696,-7.202,0.0,0.0689,122.029,4.0,https://api.spotify.com/v1/tracks/15DwFznkBJir7AK9PyMyRR,audio_features,spotify:track:15DwFznkBJir7AK9PyMyRR,0.667
7,"Illyus,Barrientos",So Serious,unknown,0.0025,https://api.spotify.com/v1/audio-analysis/273mQVagZbcrzlE8OdUKS6,5A,0.725,175732.0,0.974,273mQVagZbcrzlE8OdUKS6,0.173,0.0,0.13,-5.365,0.0,0.0638,122.99,4.0,https://api.spotify.com/v1/tracks/273mQVagZbcrzlE8OdUKS6,audio_features,spotify:track:273mQVagZbcrzlE8OdUKS6,0.597
8,"CID,Sizzy Rocket",Bad For Me,unknown,0.0457,https://api.spotify.com/v1/audio-analysis/4jUqIEjFUBexT8g6LaCjT6,8B,0.71,152964.0,0.89,4jUqIEjFUBexT8g6LaCjT6,0.000691,0.0,0.12,-3.918,1.0,0.0379,124.038,4.0,https://api.spotify.com/v1/tracks/4jUqIEjFUBexT8g6LaCjT6,audio_features,spotify:track:4jUqIEjFUBexT8g6LaCjT6,0.324
9,Harry Romero,The Vault,unknown,0.0119,https://api.spotify.com/v1/audio-analysis/46SNUxN1oWiQj9DEzTDECd,9B,0.857,218710.0,0.89,46SNUxN1oWiQj9DEzTDECd,0.875,7.0,0.11,-9.154,1.0,0.141,124.001,4.0,https://api.spotify.com/v1/tracks/46SNUxN1oWiQj9DEzTDECd,audio_features,spotify:track:46SNUxN1oWiQj9DEzTDECd,0.407
