,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Rozalla,Everybody's Free,To Feel Good,,,,,,,,,,,,,,,,,,,
1,Didier Sinclair,Heavenly,unknown,0.0244,https://api.spotify.com/v1/audio-analysis/6S0IH4iy5O5KiHDdZfZ1sr,4B,0.803,184640.0,0.746,6S0IH4iy5O5KiHDdZfZ1sr,0.772,8.0,0.495,-6.475,1.0,0.0636,125.004,4.0,https://api.spotify.com/v1/tracks/6S0IH4iy5O5KiHDdZfZ1sr,audio_features,spotify:track:6S0IH4iy5O5KiHDdZfZ1sr,0.594
2,Benjamin Bates,Whole,unknown,0.103,https://api.spotify.com/v1/audio-analysis/6msEsE45ovXQIeTmMqPrOj,8A,0.649,206120.0,0.63,6msEsE45ovXQIeTmMqPrOj,0.000781,9.0,0.118,-10.803,0.0,0.0693,132.002,4.0,https://api.spotify.com/v1/tracks/6msEsE45ovXQIeTmMqPrOj,audio_features,spotify:track:6msEsE45ovXQIeTmMqPrOj,0.522
3,Daan,Swedish Designer Drugs,unknown,0.0109,https://api.spotify.com/v1/audio-analysis/1k1RpdHVf0VIFoljPOGagJ,6A,0.46,277587.0,0.979,1k1RpdHVf0VIFoljPOGagJ,0.00121,7.0,0.129,-5.846,0.0,0.116,127.958,4.0,https://api.spotify.com/v1/tracks/1k1RpdHVf0VIFoljPOGagJ,audio_features,spotify:track:1k1RpdHVf0VIFoljPOGagJ,0.238
4,Alter Ego,Rocker,unknown,2.88e-05,https://api.spotify.com/v1/audio-analysis/3ENMAtH2rwnXp4sPairCxY,6A,0.687,288053.0,0.474,3ENMAtH2rwnXp4sPairCxY,0.435,7.0,0.0796,-7.554,0.0,0.0601,129.961,4.0,https://api.spotify.com/v1/tracks/3ENMAtH2rwnXp4sPairCxY,audio_features,spotify:track:3ENMAtH2rwnXp4sPairCxY,0.56
5,The Chemical Brothers,"Hey Boy, Hey Girl",Acappella,0.119,https://api.spotify.com/v1/audio-analysis/7kXmJwrZGIhDaLT9sNo3ut,10B,0.632,290493.0,0.92,7kXmJwrZGIhDaLT9sNo3ut,0.508,2.0,0.114,-4.976,1.0,0.0531,127.001,4.0,https://api.spotify.com/v1/tracks/7kXmJwrZGIhDaLT9sNo3ut,audio_features,spotify:track:7kXmJwrZGIhDaLT9sNo3ut,0.363
6,Black Strobe,Italian Fireflies,unknown,0.00142,https://api.spotify.com/v1/audio-analysis/7poDWEUnx2A4uGTtrh7Wn3,8B,0.717,394335.0,0.771,7poDWEUnx2A4uGTtrh7Wn3,0.806,0.0,0.108,-7.782,1.0,0.0483,125.997,4.0,https://api.spotify.com/v1/tracks/7poDWEUnx2A4uGTtrh7Wn3,audio_features,spotify:track:7poDWEUnx2A4uGTtrh7Wn3,0.368
7,Rune RK,Calabria,unknown,0.000732,https://api.spotify.com/v1/audio-analysis/0ttPiazh17aXIo5NIckHES,6B,0.636,221250.0,0.879,0ttPiazh17aXIo5NIckHES,0.446,10.0,0.324,-2.862,1.0,0.0702,128.004,4.0,https://api.spotify.com/v1/tracks/0ttPiazh17aXIo5NIckHES,audio_features,spotify:track:0ttPiazh17aXIo5NIckHES,0.395
8,Green Velvet,Flash,unknown,0.00707,https://api.spotify.com/v1/audio-analysis/65yj7fvJxhNZu9M8SAExOk,10A,0.788,341298.0,0.975,65yj7fvJxhNZu9M8SAExOk,0.773,11.0,0.106,-4.71,0.0,0.174,127.983,4.0,https://api.spotify.com/v1/tracks/65yj7fvJxhNZu9M8SAExOk,audio_features,spotify:track:65yj7fvJxhNZu9M8SAExOk,0.47
9,Faithless,Insomnia,ID Remix,0.0352,https://api.spotify.com/v1/audio-analysis/7gWc0QEt2hoIkMv3XxPY1T,9B,0.711,213547.0,0.756,7gWc0QEt2hoIkMv3XxPY1T,0.00313,7.0,0.138,-10.637,1.0,0.0302,127.108,4.0,https://api.spotify.com/v1/tracks/7gWc0QEt2hoIkMv3XxPY1T,audio_features,spotify:track:7gWc0QEt2hoIkMv3XxPY1T,0.493
