,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Moby,Thousand,unknown,0.000321,https://api.spotify.com/v1/audio-analysis/4bYPl1V7sMzCxoRDCSo0Hv,10A,0.188,266000.0,0.892,4bYPl1V7sMzCxoRDCSo0Hv,0.973,11.0,0.112,-8.326,0.0,0.055,136.963,3.0,https://api.spotify.com/v1/tracks/4bYPl1V7sMzCxoRDCSo0Hv,audio_features,spotify:track:4bYPl1V7sMzCxoRDCSo0Hv,0.0497
1,"Benny Benassi,The Biz",Satisfaction,unknown,0.165,https://api.spotify.com/v1/audio-analysis/5JZnjM9ijpit0d5zjT8MM7,1B,0.802,285413.0,0.725,5JZnjM9ijpit0d5zjT8MM7,0.0984,11.0,0.0782,-3.392,1.0,0.102,129.984,4.0,https://api.spotify.com/v1/tracks/5JZnjM9ijpit0d5zjT8MM7,audio_features,spotify:track:5JZnjM9ijpit0d5zjT8MM7,0.347
2,"TV Rock,Hook N Sling,Rudy",Diamonds In The Sky,BE YOURSELF,0.000113,https://api.spotify.com/v1/audio-analysis/2urZvZiwlbUXq9ZQiPy5pk,11A,0.783,390815.0,0.91,2urZvZiwlbUXq9ZQiPy5pk,0.825,6.0,0.0333,-5.402,0.0,0.042,128.011,4.0,https://api.spotify.com/v1/tracks/2urZvZiwlbUXq9ZQiPy5pk,audio_features,spotify:track:2urZvZiwlbUXq9ZQiPy5pk,0.294
3,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,"Outwork,Mr. Gee",Elektro,Acappella,0.0085,https://api.spotify.com/v1/audio-analysis/1G38HQt6IUGNK40qvxeoUP,3B,0.845,231024.0,0.692,1G38HQt6IUGNK40qvxeoUP,0.223,1.0,0.122,-9.135,1.0,0.0855,127.002,4.0,https://api.spotify.com/v1/tracks/1G38HQt6IUGNK40qvxeoUP,audio_features,spotify:track:1G38HQt6IUGNK40qvxeoUP,0.582
5,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
6,"Diddy Dirty Money,Skylar Grey",Coming Home,Dirty South Remix,0.00394,https://api.spotify.com/v1/audio-analysis/7ioXq2vIeCN5qXAWGuZVuw,10A,0.751,416800.0,0.611,7ioXq2vIeCN5qXAWGuZVuw,0.258,11.0,0.224,-8.25,0.0,0.047,128.003,4.0,https://api.spotify.com/v1/tracks/7ioXq2vIeCN5qXAWGuZVuw,audio_features,spotify:track:7ioXq2vIeCN5qXAWGuZVuw,0.45
7,"Roul,Doors,Luke",R,unknown,0.00284,https://api.spotify.com/v1/audio-analysis/10ZQpArWyAnLMcZJHalN3S,6A,0.787,391925.0,0.537,10ZQpArWyAnLMcZJHalN3S,0.931,7.0,0.0855,-3.776,0.0,0.0784,127.989,4.0,https://api.spotify.com/v1/tracks/10ZQpArWyAnLMcZJHalN3S,audio_features,spotify:track:10ZQpArWyAnLMcZJHalN3S,0.492
8,TradeLove,Rock The Casbah,unknown,0.000579,https://api.spotify.com/v1/audio-analysis/5yCGwd0VWjBr8vz4E3bLVV,8A,0.951,360309.0,0.953,5yCGwd0VWjBr8vz4E3bLVV,0.456,9.0,0.025,-6.136,0.0,0.0575,128.014,4.0,https://api.spotify.com/v1/tracks/5yCGwd0VWjBr8vz4E3bLVV,audio_features,spotify:track:5yCGwd0VWjBr8vz4E3bLVV,0.345
9,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
10,"Felix Da Housecat,Miss Kittin",Silver Screen Shower Scene,Acappella,0.000323,https://api.spotify.com/v1/audio-analysis/65EBIxct6KqP1Tm5jrOzex,11B,0.816,280653.0,0.747,65EBIxct6KqP1Tm5jrOzex,0.231,9.0,0.136,-8.058,1.0,0.348,120.976,4.0,https://api.spotify.com/v1/tracks/65EBIxct6KqP1Tm5jrOzex,audio_features,spotify:track:65EBIxct6KqP1Tm5jrOzex,0.389
11,Dubfire,Roadkill,unknown,0.000387,https://api.spotify.com/v1/audio-analysis/0WBzIg2SgxVWjpQpjr47Ba,10B,0.784,496000.0,0.675,0WBzIg2SgxVWjpQpjr47Ba,0.829,2.0,0.103,-9.485,1.0,0.0464,127.997,4.0,https://api.spotify.com/v1/tracks/0WBzIg2SgxVWjpQpjr47Ba,audio_features,spotify:track:0WBzIg2SgxVWjpQpjr47Ba,0.0295
12,Deniz Koyu,Tung!,Sensation Edit,0.00291,https://api.spotify.com/v1/audio-analysis/7EP7F6izHfPBhDftzzwcey,9B,0.7,171397.0,0.954,7EP7F6izHfPBhDftzzwcey,0.893,7.0,0.888,-4.321,1.0,0.0923,127.99,4.0,https://api.spotify.com/v1/tracks/7EP7F6izHfPBhDftzzwcey,audio_features,spotify:track:7EP7F6izHfPBhDftzzwcey,0.905
13,"Swedish House Mafia,John Martin",Save The World,unknown,0.000292,https://api.spotify.com/v1/audio-analysis/5ZwTAZe3enscONgoMKTd9Y,8B,0.636,381056.0,0.687,5ZwTAZe3enscONgoMKTd9Y,0.00791,0.0,0.0496,-4.688,1.0,0.0501,128.006,4.0,https://api.spotify.com/v1/tracks/5ZwTAZe3enscONgoMKTd9Y,audio_features,spotify:track:5ZwTAZe3enscONgoMKTd9Y,0.395
14,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
15,"Tim Berg,Kings Of Leon",Abow,Avicii Bootleg,,,,,,,,,,,,,,,,,,,
16,Tim Berg,Abow,unknown,,,,,,,,,,,,,,,,,,,
17,Kings Of Leon,Sex On Fire,Acappella,0.00172,https://api.spotify.com/v1/audio-analysis/0ntQJM78wzOLVeCUAW7Y45,11B,0.542,203347.0,0.905,0ntQJM78wzOLVeCUAW7Y45,0.0104,9.0,0.136,-5.653,1.0,0.054,153.398,4.0,https://api.spotify.com/v1/tracks/0ntQJM78wzOLVeCUAW7Y45,audio_features,spotify:track:0ntQJM78wzOLVeCUAW7Y45,0.374
18,Avicii,Levels,unknown,0.047,https://api.spotify.com/v1/audio-analysis/720RCxcq6KRF2PaiFnkC0W,12A,0.584,199907.0,0.89,720RCxcq6KRF2PaiFnkC0W,0.814,1.0,0.309,-5.941,0.0,0.0343,126.04,4.0,https://api.spotify.com/v1/tracks/720RCxcq6KRF2PaiFnkC0W,audio_features,spotify:track:720RCxcq6KRF2PaiFnkC0W,0.466
19,The Killers,Spaceman,Sander van Doorn Remix,0.00257,https://api.spotify.com/v1/audio-analysis/1A8SxnqRK3qabmuN2qxIpa,12B,0.525,284547.0,0.904,1A8SxnqRK3qabmuN2qxIpa,0.000648,4.0,0.12,-5.488,1.0,0.0532,151.988,4.0,https://api.spotify.com/v1/tracks/1A8SxnqRK3qabmuN2qxIpa,audio_features,spotify:track:1A8SxnqRK3qabmuN2qxIpa,0.803
20,"Starkillers,Alex Kenji,Nadia Ali",Pressure,Alesso Remix,0.000105,https://api.spotify.com/v1/audio-analysis/4ryyCuUQGxNaE4q09Egjh8,3A,0.675,360745.0,0.957,4ryyCuUQGxNaE4q09Egjh8,0.185,10.0,0.0498,-4.431,0.0,0.15,128.006,4.0,https://api.spotify.com/v1/tracks/4ryyCuUQGxNaE4q09Egjh8,audio_features,spotify:track:4ryyCuUQGxNaE4q09Egjh8,0.278
21,Depeche Mode,Personal Jesus,Eric Prydz Remix,0.0769,https://api.spotify.com/v1/audio-analysis/0VUAga9VcxOSbLKbw27rOo,9B,0.733,446081.0,0.726,0VUAga9VcxOSbLKbw27rOo,0.827,7.0,0.186,-6.32,1.0,0.0985,127.957,4.0,https://api.spotify.com/v1/tracks/0VUAga9VcxOSbLKbw27rOo,audio_features,spotify:track:0VUAga9VcxOSbLKbw27rOo,0.0353
