,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
1,Wavekiki,The Superhero,unknown,0.00238,https://api.spotify.com/v1/audio-analysis/3oZSIeGIZH2ChNgCOBvTmj,9B,0.705,418876.0,0.721,3oZSIeGIZH2ChNgCOBvTmj,0.878,7.0,0.0895,-10.511,1.0,0.0401,120.001,4.0,https://api.spotify.com/v1/tracks/3oZSIeGIZH2ChNgCOBvTmj,audio_features,spotify:track:3oZSIeGIZH2ChNgCOBvTmj,0.0679
2,Mirelle Noveron,Mi Bien,unknown,1.45e-05,https://api.spotify.com/v1/audio-analysis/5t8YyW1Nfu0GLnRiTJgWm4,9A,0.782,208525.0,0.732,5t8YyW1Nfu0GLnRiTJgWm4,0.587,4.0,0.388,-11.24,0.0,0.0702,121.993,4.0,https://api.spotify.com/v1/tracks/5t8YyW1Nfu0GLnRiTJgWm4,audio_features,spotify:track:5t8YyW1Nfu0GLnRiTJgWm4,0.233
3,Offaiah,Private Show,Club Mix,0.000786,https://api.spotify.com/v1/audio-analysis/4wYhajDYMtOgmZT9DvWQbb,11B,0.803,435374.0,0.914,4wYhajDYMtOgmZT9DvWQbb,0.118,9.0,0.266,-6.378,1.0,0.05,122.012,4.0,https://api.spotify.com/v1/tracks/4wYhajDYMtOgmZT9DvWQbb,audio_features,spotify:track:4wYhajDYMtOgmZT9DvWQbb,0.565
4,Mood II Swing,Move Me,Alternate Version,0.11,https://api.spotify.com/v1/audio-analysis/4USxDK8DgwYH2JxnOSBYyG,4B,0.888,381806.0,0.841,4USxDK8DgwYH2JxnOSBYyG,0.399,8.0,0.103,-6.771,1.0,0.033,123.983,4.0,https://api.spotify.com/v1/tracks/4USxDK8DgwYH2JxnOSBYyG,audio_features,spotify:track:4USxDK8DgwYH2JxnOSBYyG,0.159
5,C,Jay & Eelke Kleijn,unknown,,,,,,,,,,,,,,,,,,,
6,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
7,Gai Barone,Monoroid,unknown,0.0153,https://api.spotify.com/v1/audio-analysis/6c1LkuB3ZCrfAxLqwZZ8C5,10A,0.543,259160.0,0.949,6c1LkuB3ZCrfAxLqwZZ8C5,0.316,11.0,0.354,-5.271,0.0,0.0852,127.022,4.0,https://api.spotify.com/v1/tracks/6c1LkuB3ZCrfAxLqwZZ8C5,audio_features,spotify:track:6c1LkuB3ZCrfAxLqwZZ8C5,0.0487
8,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
9,Eelke Kleijn,Celebrate Life,Marten Fisher Vocal Extended Version,0.0034,https://api.spotify.com/v1/audio-analysis/1entBNypp6cnvHieSm86FJ,1B,0.768,439906.0,0.383,1entBNypp6cnvHieSm86FJ,0.586,11.0,0.475,-7.272,1.0,0.0334,120.988,4.0,https://api.spotify.com/v1/tracks/1entBNypp6cnvHieSm86FJ,audio_features,spotify:track:1entBNypp6cnvHieSm86FJ,0.318
