,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,U.S.U.R.A.,Open Your Mind,unknown,0.0215,https://api.spotify.com/v1/audio-analysis/2VYlbeHymVKN0ABoU16DTI,7B,0.76,318333.0,0.781,2VYlbeHymVKN0ABoU16DTI,0.733,5.0,0.235,-10.577,1.0,0.0443,130.851,4.0,https://api.spotify.com/v1/tracks/2VYlbeHymVKN0ABoU16DTI,audio_features,spotify:track:2VYlbeHymVKN0ABoU16DTI,0.524
1,"Molella,The Outhere Brothers",If You Wanna Party,unknown,0.206,https://api.spotify.com/v1/audio-analysis/4yfoCcCgM4iYHekVLfSPSv,1B,0.881,170391.0,0.801,4yfoCcCgM4iYHekVLfSPSv,2.05e-06,11.0,0.0724,-2.567,1.0,0.0597,128.02,4.0,https://api.spotify.com/v1/tracks/4yfoCcCgM4iYHekVLfSPSv,audio_features,spotify:track:4yfoCcCgM4iYHekVLfSPSv,0.963
2,Jinny,Keep Warm,Extended Mix,0.00243,https://api.spotify.com/v1/audio-analysis/4orOU1y1d6qfRQNFJdp3O3,8B,0.674,348507.0,0.884,4orOU1y1d6qfRQNFJdp3O3,0.0287,0.0,0.116,-7.921,1.0,0.042,123.99,4.0,https://api.spotify.com/v1/tracks/4orOU1y1d6qfRQNFJdp3O3,audio_features,spotify:track:4orOU1y1d6qfRQNFJdp3O3,0.796
3,"The Tamperer,Maya",Feel It,Original Version,0.097,https://api.spotify.com/v1/audio-analysis/3tfVgoh2zXTq0rpPcm3Vvy,1B,0.871,178880.0,0.974,3tfVgoh2zXTq0rpPcm3Vvy,0.0384,11.0,0.0542,-6.722,1.0,0.0486,125.05,4.0,https://api.spotify.com/v1/tracks/3tfVgoh2zXTq0rpPcm3Vvy,audio_features,spotify:track:3tfVgoh2zXTq0rpPcm3Vvy,0.653
4,Supercar,Tonite,Extended Mix,0.0533,https://api.spotify.com/v1/audio-analysis/3Y1bXcrHnOmxiPpFVtxAAK,2B,0.753,307618.0,0.987,3Y1bXcrHnOmxiPpFVtxAAK,0.228,6.0,0.354,-7.557,1.0,0.0546,123.978,4.0,https://api.spotify.com/v1/tracks/3Y1bXcrHnOmxiPpFVtxAAK,audio_features,spotify:track:3Y1bXcrHnOmxiPpFVtxAAK,0.738
5,Deadly Sins,We Are Going On Down,Gone With The Wind Mix,0.00462,https://api.spotify.com/v1/audio-analysis/14LPbvNLPWXZbOx6YZ6GZJ,3A,0.666,353686.0,0.666,14LPbvNLPWXZbOx6YZ6GZJ,0.114,10.0,0.0811,-15.224,0.0,0.0369,137.877,4.0,https://api.spotify.com/v1/tracks/14LPbvNLPWXZbOx6YZ6GZJ,audio_features,spotify:track:14LPbvNLPWXZbOx6YZ6GZJ,0.469
6,DJ Dado,Coming Back,Club Mix,0.0154,https://api.spotify.com/v1/audio-analysis/3oD43HDSL3OasngP5Av3g8,4B,0.661,400200.0,0.807,3oD43HDSL3OasngP5Av3g8,0.00329,8.0,0.0999,-8.596,1.0,0.0516,126.986,4.0,https://api.spotify.com/v1/tracks/3oD43HDSL3OasngP5Av3g8,audio_features,spotify:track:3oD43HDSL3OasngP5Av3g8,0.386
7,Datura,Angeli Domini,unknown,0.00158,https://api.spotify.com/v1/audio-analysis/4HIEQB8evNzzI0XKbUZPn6,3A,0.541,351493.0,0.929,4HIEQB8evNzzI0XKbUZPn6,0.307,10.0,0.289,-12.495,0.0,0.0414,150.001,4.0,https://api.spotify.com/v1/tracks/4HIEQB8evNzzI0XKbUZPn6,audio_features,spotify:track:4HIEQB8evNzzI0XKbUZPn6,0.336
8,Taleesa,Let Me Be,Club Mix,0.0411,https://api.spotify.com/v1/audio-analysis/4bi3HnzmJdrzdCzUBW4BBx,3B,0.805,332267.0,0.931,4bi3HnzmJdrzdCzUBW4BBx,0.000375,1.0,0.122,-9.076,1.0,0.0515,143.53,4.0,https://api.spotify.com/v1/tracks/4bi3HnzmJdrzdCzUBW4BBx,audio_features,spotify:track:4bi3HnzmJdrzdCzUBW4BBx,0.897
9,Antares,You Belong To Me,Full Mix,0.105,https://api.spotify.com/v1/audio-analysis/20wlPHW2GMc1QxEGspkQeB,5A,0.749,354508.0,0.715,20wlPHW2GMc1QxEGspkQeB,0.000327,0.0,0.327,-12.88,0.0,0.037,141.851,4.0,https://api.spotify.com/v1/tracks/20wlPHW2GMc1QxEGspkQeB,audio_features,spotify:track:20wlPHW2GMc1QxEGspkQeB,0.848
10,The Lawyer,I Wanna Mmm...,Successful Mix,0.0751,https://api.spotify.com/v1/audio-analysis/31o0U8lYX9AehHcD9pdBmG,12A,0.698,415537.0,0.971,31o0U8lYX9AehHcD9pdBmG,0.000265,1.0,0.343,-4.021,0.0,0.448,134.635,4.0,https://api.spotify.com/v1/tracks/31o0U8lYX9AehHcD9pdBmG,audio_features,spotify:track:31o0U8lYX9AehHcD9pdBmG,0.542
11,Aladino,Brothers In The Space,Grunge Happy Mix,0.0031,https://api.spotify.com/v1/audio-analysis/0yhwNJDycrTtk9lVTvzpjk,12B,0.692,329445.0,0.876,0yhwNJDycrTtk9lVTvzpjk,0.0231,4.0,0.1,-12.956,1.0,0.0309,134.838,4.0,https://api.spotify.com/v1/tracks/0yhwNJDycrTtk9lVTvzpjk,audio_features,spotify:track:0yhwNJDycrTtk9lVTvzpjk,0.889
