,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"Lost Frequencies,Zonderling,David Benjamin",Crazy,Acoustic Version,0.932,https://api.spotify.com/v1/audio-analysis/5HhEkkAFcGMYLQbF6GUa6C,3B,0.739,171744.0,0.289,5HhEkkAFcGMYLQbF6GUa6C,0.0,1.0,0.12,-8.715,1.0,0.031,105.174,4.0,https://api.spotify.com/v1/tracks/5HhEkkAFcGMYLQbF6GUa6C,audio_features,spotify:track:5HhEkkAFcGMYLQbF6GUa6C,0.563
1,Dennis Lloyd,Nevermind,Alright,0.318,https://api.spotify.com/v1/audio-analysis/1rwRQ8EfWU8XkXlWz0uH1F,4A,0.655,150470.0,0.467,1rwRQ8EfWU8XkXlWz0uH1F,0.0,5.0,0.158,-7.473,0.0,0.0571,88.977,4.0,https://api.spotify.com/v1/tracks/1rwRQ8EfWU8XkXlWz0uH1F,audio_features,spotify:track:1rwRQ8EfWU8XkXlWz0uH1F,0.575
2,Patrick Baker,Only,unknown,0.431,https://api.spotify.com/v1/audio-analysis/0A9fNzuRa0WqaCmxY7FOLK,11A,0.634,263935.0,0.556,0A9fNzuRa0WqaCmxY7FOLK,2.2e-05,6.0,0.102,-9.149,0.0,0.064,110.175,4.0,https://api.spotify.com/v1/tracks/0A9fNzuRa0WqaCmxY7FOLK,audio_features,spotify:track:0A9fNzuRa0WqaCmxY7FOLK,0.136
3,Ash (EG),Una Mattina,EG,,,,,,,,,,,,,,,,,,,
4,"2Choice,Jakub Ondra",Reasons To Love You,TIME REC.,0.325,https://api.spotify.com/v1/audio-analysis/5JtPz7FaQaMzLsawrh7Qap,12B,0.696,184364.0,0.685,5JtPz7FaQaMzLsawrh7Qap,0.000975,4.0,0.177,-5.327,1.0,0.0305,119.952,4.0,https://api.spotify.com/v1/tracks/5JtPz7FaQaMzLsawrh7Qap,audio_features,spotify:track:5JtPz7FaQaMzLsawrh7Qap,0.337
5,Glaceo,Deep Sea,TIME REC.,0.0262,https://api.spotify.com/v1/audio-analysis/7F1MIJ6bEW7f7fnB1thc4b,1A,0.6,165120.0,0.92,7F1MIJ6bEW7f7fnB1thc4b,1.52e-06,8.0,0.0618,-4.464,0.0,0.0328,125.022,4.0,https://api.spotify.com/v1/tracks/7F1MIJ6bEW7f7fnB1thc4b,audio_features,spotify:track:7F1MIJ6bEW7f7fnB1thc4b,0.507
6,"Sherrie Sherrie,The Ware,Nina",Nana Song,unknown,0.124,https://api.spotify.com/v1/audio-analysis/6oDP7bCVQPUD1jh4fhYyEz,9A,0.839,193634.0,0.675,6oDP7bCVQPUD1jh4fhYyEz,0.0316,4.0,0.115,-6.273,0.0,0.292,120.01,4.0,https://api.spotify.com/v1/tracks/6oDP7bCVQPUD1jh4fhYyEz,audio_features,spotify:track:6oDP7bCVQPUD1jh4fhYyEz,0.517
7,"Vincenzo Callea,EnnieLoud",My Faults,unknown,0.0185,https://api.spotify.com/v1/audio-analysis/6Dj97E9URK9ESEkgt4mDVX,4A,0.664,162910.0,0.807,6Dj97E9URK9ESEkgt4mDVX,7.42e-06,5.0,0.312,-4.97,0.0,0.059,122.022,4.0,https://api.spotify.com/v1/tracks/6Dj97E9URK9ESEkgt4mDVX,audio_features,spotify:track:6Dj97E9URK9ESEkgt4mDVX,0.455
8,"Mexican Institute Of Sound,Lorna",Pa La Calle,unknown,0.029,https://api.spotify.com/v1/audio-analysis/4HYVyRXqHWHUF7XgLi5RPe,3B,0.822,158720.0,0.91,4HYVyRXqHWHUF7XgLi5RPe,0.00278,1.0,0.0601,-7.642,1.0,0.0881,109.972,4.0,https://api.spotify.com/v1/tracks/4HYVyRXqHWHUF7XgLi5RPe,audio_features,spotify:track:4HYVyRXqHWHUF7XgLi5RPe,0.962
9,Janieck,Does It Matter,unknown,0.0158,https://api.spotify.com/v1/audio-analysis/7FxidSR6IoL3qMRXxFJ8pd,3A,0.728,208016.0,0.756,7FxidSR6IoL3qMRXxFJ8pd,0.0,10.0,0.11,-6.167,0.0,0.0581,126.02,4.0,https://api.spotify.com/v1/tracks/7FxidSR6IoL3qMRXxFJ8pd,audio_features,spotify:track:7FxidSR6IoL3qMRXxFJ8pd,0.292
