,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"A,Z",Symbols,Intro Edit,0.00734,https://api.spotify.com/v1/audio-analysis/2k3l7weYYiopXQxTpAMymS,4A,0.354,178520.0,0.856,2k3l7weYYiopXQxTpAMymS,0.96,5.0,0.262,-12.355,0.0,0.0996,137.091,4.0,https://api.spotify.com/v1/tracks/2k3l7weYYiopXQxTpAMymS,audio_features,spotify:track:2k3l7weYYiopXQxTpAMymS,0.0335
1,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
2,"A,Z",Faith,unknown,0.00258,https://api.spotify.com/v1/audio-analysis/6LXZdDT7PHmxnrB43G0Nrb,12A,0.457,227375.0,0.991,6LXZdDT7PHmxnrB43G0Nrb,0.831,1.0,0.0756,-6.91,0.0,0.0995,140.028,4.0,https://api.spotify.com/v1/tracks/6LXZdDT7PHmxnrB43G0Nrb,audio_features,spotify:track:6LXZdDT7PHmxnrB43G0Nrb,0.121
3,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
4,"Yahel,Eyal Barkan",Voyage,Omar Sherif Remix,0.000125,https://api.spotify.com/v1/audio-analysis/1JP37zf8pI2p1PCQNWXcfJ,2A,0.488,428688.0,0.988,1JP37zf8pI2p1PCQNWXcfJ,0.825,3.0,0.211,-5.094,0.0,0.0591,140.016,4.0,https://api.spotify.com/v1/tracks/1JP37zf8pI2p1PCQNWXcfJ,audio_features,spotify:track:1JP37zf8pI2p1PCQNWXcfJ,0.536
5,"Aly,Fila with HALIENE",Paralyzed,A & Z Remix,0.0539,https://api.spotify.com/v1/audio-analysis/5wc4CoPz0nyHpYaxcMY9qv,6A,0.58,259130.0,0.897,5wc4CoPz0nyHpYaxcMY9qv,0.0886,7.0,0.199,-5.448,0.0,0.0295,138.019,4.0,https://api.spotify.com/v1/tracks/5wc4CoPz0nyHpYaxcMY9qv,audio_features,spotify:track:5wc4CoPz0nyHpYaxcMY9qv,0.39
6,CRW,I Feel Love,Omar Sherif Remix,7.05e-05,https://api.spotify.com/v1/audio-analysis/5HKoLJA4smIoEuK8oMwMoj,11A,0.413,236590.0,0.955,5HKoLJA4smIoEuK8oMwMoj,0.956,6.0,0.354,-11.648,0.0,0.102,137.937,4.0,https://api.spotify.com/v1/tracks/5HKoLJA4smIoEuK8oMwMoj,audio_features,spotify:track:5HKoLJA4smIoEuK8oMwMoj,0.392
7,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
8,ID,ID,unknown,0.000241,https://api.spotify.com/v1/audio-analysis/1aRxfiM606yUIQyKZzaslz,9B,0.269,129715.0,0.901,1aRxfiM606yUIQyKZzaslz,0.717,7.0,0.415,-7.38,1.0,0.0719,141.565,4.0,https://api.spotify.com/v1/tracks/1aRxfiM606yUIQyKZzaslz,audio_features,spotify:track:1aRxfiM606yUIQyKZzaslz,0.439
9,Omar Sherif,Suenos Argentinos,Extended Mix,0.00164,https://api.spotify.com/v1/audio-analysis/6PJ173O1XjAQyDnXnEHanU,8A,0.463,419565.0,0.991,6PJ173O1XjAQyDnXnEHanU,0.803,9.0,0.315,-6.534,0.0,0.0697,137.961,4.0,https://api.spotify.com/v1/tracks/6PJ173O1XjAQyDnXnEHanU,audio_features,spotify:track:6PJ173O1XjAQyDnXnEHanU,0.251
10,"A,Z,Flynn,Denton",Scota,unknown,0.00164,https://api.spotify.com/v1/audio-analysis/07YvpMhDCgbOCoW8vza8Jz,11A,0.464,204478.0,0.986,07YvpMhDCgbOCoW8vza8Jz,0.951,6.0,0.385,-4.517,0.0,0.0677,138.039,4.0,https://api.spotify.com/v1/tracks/07YvpMhDCgbOCoW8vza8Jz,audio_features,spotify:track:07YvpMhDCgbOCoW8vza8Jz,0.0653
11,"Hazem Beltagui,Adara",Back Home,ID Remix,0.00499,https://api.spotify.com/v1/audio-analysis/4rCly1yoBbrkfzBLU9isrf,12A,0.502,370282.0,0.986,4rCly1yoBbrkfzBLU9isrf,0.0146,1.0,0.642,-3.712,0.0,0.0915,140.044,4.0,https://api.spotify.com/v1/tracks/4rCly1yoBbrkfzBLU9isrf,audio_features,spotify:track:4rCly1yoBbrkfzBLU9isrf,0.0715
