,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Format:B,Chunky,unknown,,,,,,,,,,,,,,,,,,,
1,"WiDE AWAKE,Tanya Lacey",Down,Freejak Remix,0.0632,https://api.spotify.com/v1/audio-analysis/7iSOZZTLGV3597Zhciu3m6,12A,0.802,193176.0,0.873,7iSOZZTLGV3597Zhciu3m6,0.00036,1.0,0.0571,-4.355,0.0,0.117,150.015,4.0,https://api.spotify.com/v1/tracks/7iSOZZTLGV3597Zhciu3m6,audio_features,spotify:track:7iSOZZTLGV3597Zhciu3m6,0.698
2,B Young,Jumanji,Shift K3Y Remix,0.0223,https://api.spotify.com/v1/audio-analysis/7clEX6NRkirsMYOGYNP6ZF,3A,0.811,263333.0,0.903,7clEX6NRkirsMYOGYNP6ZF,0.00036,10.0,0.0456,-4.598,0.0,0.166,126.018,4.0,https://api.spotify.com/v1/tracks/7clEX6NRkirsMYOGYNP6ZF,audio_features,spotify:track:7clEX6NRkirsMYOGYNP6ZF,0.655
3,"Mr. Belt,Wezol,Aevion",One More Day,SPINNIN',0.00636,https://api.spotify.com/v1/audio-analysis/57rTFJzzScOwHOKMfbaGsx,8A,0.818,159713.0,0.815,57rTFJzzScOwHOKMfbaGsx,0.00227,9.0,0.296,-5.237,0.0,0.0474,124.038,4.0,https://api.spotify.com/v1/tracks/57rTFJzzScOwHOKMfbaGsx,audio_features,spotify:track:57rTFJzzScOwHOKMfbaGsx,0.608
4,Pawsa,The Groovy Cat,unknown,0.0277,https://api.spotify.com/v1/audio-analysis/08d1uFAAtQgLbuvyP2AkoH,7B,0.8,272395.0,0.846,08d1uFAAtQgLbuvyP2AkoH,0.877,5.0,0.0896,-7.518,1.0,0.0624,127.008,4.0,https://api.spotify.com/v1/tracks/08d1uFAAtQgLbuvyP2AkoH,audio_features,spotify:track:08d1uFAAtQgLbuvyP2AkoH,0.211
5,"Mr. Belt,Wezol,Freejak",Somebody To Love,unknown,0.016,https://api.spotify.com/v1/audio-analysis/5D6hyNmmu1Ar1ie9jIZc5u,12A,0.8,297160.0,0.77,5D6hyNmmu1Ar1ie9jIZc5u,0.00401,1.0,0.0388,-6.87,0.0,0.0523,125.004,4.0,https://api.spotify.com/v1/tracks/5D6hyNmmu1Ar1ie9jIZc5u,audio_features,spotify:track:5D6hyNmmu1Ar1ie9jIZc5u,0.466
6,"Mr. Belt,Wezol",Boogie Wonderland,unknown,0.00448,https://api.spotify.com/v1/audio-analysis/3vub8awVQgbBHzGIzPXdkZ,8B,0.724,168196.0,0.891,3vub8awVQgbBHzGIzPXdkZ,0.0108,0.0,0.158,-4.275,1.0,0.047,124.061,4.0,https://api.spotify.com/v1/tracks/3vub8awVQgbBHzGIzPXdkZ,audio_features,spotify:track:3vub8awVQgbBHzGIzPXdkZ,0.717
7,"Mr. Belt,Wezol,PollyAnna",Reckless,unknown,0.0353,https://api.spotify.com/v1/audio-analysis/0vhGbAMCjVSNlpnVvChj3m,8B,0.616,209891.0,0.774,0vhGbAMCjVSNlpnVvChj3m,0.00397,0.0,0.0665,-4.648,1.0,0.0306,125.018,1.0,https://api.spotify.com/v1/tracks/0vhGbAMCjVSNlpnVvChj3m,audio_features,spotify:track:0vhGbAMCjVSNlpnVvChj3m,0.469
8,Chris Lake,I Want You,unknown,0.00426,https://api.spotify.com/v1/audio-analysis/7IM73yy9leN8ftZsOVmVTO,10A,0.776,248007.0,0.883,7IM73yy9leN8ftZsOVmVTO,0.351,11.0,0.0571,-5.845,0.0,0.0712,125.008,4.0,https://api.spotify.com/v1/tracks/7IM73yy9leN8ftZsOVmVTO,audio_features,spotify:track:7IM73yy9leN8ftZsOVmVTO,0.676
9,The Prodigy,Smack My Bitch Up,Styline Remix,0.00314,https://api.spotify.com/v1/audio-analysis/3tehrxZR8eaANHov4cEctL,3A,0.607,342733.0,0.993,3tehrxZR8eaANHov4cEctL,0.593,10.0,0.112,-4.511,0.0,0.148,136.208,4.0,https://api.spotify.com/v1/tracks/3tehrxZR8eaANHov4cEctL,audio_features,spotify:track:3tehrxZR8eaANHov4cEctL,0.229
