,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"David Guetta,Avicii",Sunshine,unknown,0.000556,https://api.spotify.com/v1/audio-analysis/6oNRhdGxT0CiypPQHyDiKW,12A,0.584,360960.0,0.802,6oNRhdGxT0CiypPQHyDiKW,0.934,1.0,0.0415,-5.063,0.0,0.0436,128.019,4.0,https://api.spotify.com/v1/tracks/6oNRhdGxT0CiypPQHyDiKW,audio_features,spotify:track:6oNRhdGxT0CiypPQHyDiKW,0.273
1,"Avicii,Sebastien Drums",My Feelings For You,unknown,0.121,https://api.spotify.com/v1/audio-analysis/4nEXL3zPZmL2ppIuXfab2X,11A,0.52,300147.0,0.99,4nEXL3zPZmL2ppIuXfab2X,0.184,6.0,0.639,-2.772,0.0,0.121,128.883,4.0,https://api.spotify.com/v1/tracks/4nEXL3zPZmL2ppIuXfab2X,audio_features,spotify:track:4nEXL3zPZmL2ppIuXfab2X,0.111
2,"Armin van Buuren,Laura V",Drowning,Avicii Remix,0.0365,https://api.spotify.com/v1/audio-analysis/19XDJlw6WxC4XOKC1LGKid,1B,0.534,204322.0,0.849,19XDJlw6WxC4XOKC1LGKid,0.00231,11.0,0.379,-7.148,1.0,0.036,126.941,4.0,https://api.spotify.com/v1/tracks/19XDJlw6WxC4XOKC1LGKid,audio_features,spotify:track:19XDJlw6WxC4XOKC1LGKid,0.281
3,Tim Berg,Bromance,Avicii Arena Mix,0.11,https://api.spotify.com/v1/audio-analysis/7cdxGn1ElZlpM4M1At0k4g,1B,0.725,495375.0,0.649,7cdxGn1ElZlpM4M1At0k4g,0.877,11.0,0.109,-11.269,1.0,0.0509,126.018,4.0,https://api.spotify.com/v1/tracks/7cdxGn1ElZlpM4M1At0k4g,audio_features,spotify:track:7cdxGn1ElZlpM4M1At0k4g,0.0353
4,Nadia Ali,Rapture,Avicii New Generation Extended Mix,0.00494,https://api.spotify.com/v1/audio-analysis/1cFuRsPDtoFS7xxnI9R8zX,3A,0.645,427344.0,0.753,1cFuRsPDtoFS7xxnI9R8zX,0.681,10.0,0.245,-5.28,0.0,0.0622,130.006,4.0,https://api.spotify.com/v1/tracks/1cFuRsPDtoFS7xxnI9R8zX,audio_features,spotify:track:1cFuRsPDtoFS7xxnI9R8zX,0.324
5,"Eric Turner,Avicii",Dancing In My Head,Tom Hangs Remix,0.000663,https://api.spotify.com/v1/audio-analysis/22479PY1CnNHqkrHMLF7bR,12B,0.752,332453.0,0.365,22479PY1CnNHqkrHMLF7bR,0.1,4.0,0.0681,-7.313,1.0,0.0636,125.003,4.0,https://api.spotify.com/v1/tracks/22479PY1CnNHqkrHMLF7bR,audio_features,spotify:track:22479PY1CnNHqkrHMLF7bR,0.23
6,Chris Lake,Lose My Mind,unknown,0.142,https://api.spotify.com/v1/audio-analysis/3y8YnAt72vXi4qKaUygr7O,12A,0.711,219638.0,0.983,3y8YnAt72vXi4qKaUygr7O,0.673,1.0,0.34,-8.243,0.0,0.106,125.016,4.0,https://api.spotify.com/v1/tracks/3y8YnAt72vXi4qKaUygr7O,audio_features,spotify:track:3y8YnAt72vXi4qKaUygr7O,0.108
7,"Format:B,DJ PP",In My House,unknown,0.00102,https://api.spotify.com/v1/audio-analysis/7FBjrZFbZ03Ttc6OxmtiBR,11B,0.713,423367.0,0.937,7FBjrZFbZ03Ttc6OxmtiBR,0.2,9.0,0.114,-7.272,1.0,0.0585,127.005,4.0,https://api.spotify.com/v1/tracks/7FBjrZFbZ03Ttc6OxmtiBR,audio_features,spotify:track:7FBjrZFbZ03Ttc6OxmtiBR,0.585
8,Mirko Boni,Solutions,The Cube Guys Remix,0.000146,https://api.spotify.com/v1/audio-analysis/23eybkvkJosGFndFP9yBzp,10B,0.7,353571.0,0.966,23eybkvkJosGFndFP9yBzp,0.573,2.0,0.179,-4.058,1.0,0.0671,126.001,4.0,https://api.spotify.com/v1/tracks/23eybkvkJosGFndFP9yBzp,audio_features,spotify:track:23eybkvkJosGFndFP9yBzp,0.597
9,"Erick Morillo,Jamie Jones,Gene Farris",Medication,ARMADA,0.000698,https://api.spotify.com/v1/audio-analysis/2BQoimDTNQcRhOyJ17oBWk,8B,0.801,205155.0,0.881,2BQoimDTNQcRhOyJ17oBWk,0.87,0.0,0.114,-7.718,1.0,0.0739,123.991,4.0,https://api.spotify.com/v1/tracks/2BQoimDTNQcRhOyJ17oBWk,audio_features,spotify:track:2BQoimDTNQcRhOyJ17oBWk,0.805
