,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,"W,W",Put 'Em Up,Intro Edit,,,,,,,,,,,,,,,,,,,
1,"W,W",Rave Culture,unknown,,,,,,,,,,,,,,,,,,,
2,Hardwell,ID,unknown,,,,,,,,,,,,,,,,,,,
3,"Jamie Lewis,Michael Watford",For You,Put Your Hands Up In The Air Acappella,0.0134,https://api.spotify.com/v1/audio-analysis/6vhgluAsehRaufyTHDjEcj,4B,0.746,381573.0,0.767,6vhgluAsehRaufyTHDjEcj,6.25e-05,8.0,0.124,-5.174,1.0,0.244,126.051,4.0,https://api.spotify.com/v1/tracks/6vhgluAsehRaufyTHDjEcj,audio_features,spotify:track:6vhgluAsehRaufyTHDjEcj,0.514
4,"W,W,Riva Starr,Fatboy Slim,DJ Isaac,Crystal Lake",Rave After Rave,W&W Mashup,,,,,,,,,,,,,,,,,,,
5,"Riva Starr,Fatboy Slim,Beardyman",Eat Sleep Rave Repeat,unknown,0.424,https://api.spotify.com/v1/audio-analysis/6gF4YXwuu1N0lJDOuMLgbU,8B,0.697,168122.0,0.947,6gF4YXwuu1N0lJDOuMLgbU,0.0527,0.0,0.128,-4.156,1.0,0.106,128.004,4.0,https://api.spotify.com/v1/tracks/6gF4YXwuu1N0lJDOuMLgbU,audio_features,spotify:track:6gF4YXwuu1N0lJDOuMLgbU,0.626
6,"W,W",Rave After Rave,ARMADA,,,,,,,,,,,,,,,,,,,
7,"DJ Isaac,Crystal Lake",Stick Em,unknown,0.00142,https://api.spotify.com/v1/audio-analysis/51zwV42B4mazsAw1t4eNO2,9A,0.378,180923.0,0.926,51zwV42B4mazsAw1t4eNO2,0.787,4.0,0.0827,-4.385,0.0,0.0679,130.165,4.0,https://api.spotify.com/v1/tracks/51zwV42B4mazsAw1t4eNO2,audio_features,spotify:track:51zwV42B4mazsAw1t4eNO2,0.0342
8,Timmy Trumpet,Freaks,W&W Bigroom Edit,0.0136,https://api.spotify.com/v1/audio-analysis/4f3NHOxgC8Bg21IJBg4cZ3,12B,0.882,169160.0,0.965,4f3NHOxgC8Bg21IJBg4cZ3,0.388,4.0,0.206,-0.818,1.0,0.13,128.129,4.0,https://api.spotify.com/v1/tracks/4f3NHOxgC8Bg21IJBg4cZ3,audio_features,spotify:track:4f3NHOxgC8Bg21IJBg4cZ3,0.759
9,Van Halen,Aint Talkin' Bout Love,W&W Bootleg,0.021,https://api.spotify.com/v1/audio-analysis/6fybp4N6eW3bsFAvARxyVe,1A,0.518,227800.0,0.938,6fybp4N6eW3bsFAvARxyVe,0.000305,8.0,0.288,-5.964,0.0,0.0416,139.138,4.0,https://api.spotify.com/v1/tracks/6fybp4N6eW3bsFAvARxyVe,audio_features,spotify:track:6fybp4N6eW3bsFAvARxyVe,0.71
10,"Dimitri Vegas,Like Mike,Steve Aoki,W,W",Komodo,Trackname Unconfirmed,,,,,,,,,,,,,,,,,,,
11,"W,W,Groove Coverage",God Is A Girl,ARMADA,0.452,https://api.spotify.com/v1/audio-analysis/6INTPbAeR0xZuRoTq5QDOp,8B,0.627,195831.0,0.634,6INTPbAeR0xZuRoTq5QDOp,0.0,0.0,0.28,-9.084,1.0,0.0264,105.98,4.0,https://api.spotify.com/v1/tracks/6INTPbAeR0xZuRoTq5QDOp,audio_features,spotify:track:6INTPbAeR0xZuRoTq5QDOp,0.76
12,"W,W,Maurice West",ID,unknown,0.000383,https://api.spotify.com/v1/audio-analysis/4AhgE3LxNm0DVoogzaqOK0,4B,0.357,91933.0,0.627,4AhgE3LxNm0DVoogzaqOK0,0.578,8.0,0.15,-11.323,1.0,0.165,91.687,4.0,https://api.spotify.com/v1/tracks/4AhgE3LxNm0DVoogzaqOK0,audio_features,spotify:track:4AhgE3LxNm0DVoogzaqOK0,0.136
13,"W,W,Vini Vici,Armin van Buuren",Chakra,W&W Mashup,,,,,,,,,,,,,,,,,,,
14,"W,W x Vini Vici",Chakra,ARMADA,,,,,,,,,,,,,,,,,,,
