,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Leon Lour, Equilibrium  ,unknown,0.0453,https://api.spotify.com/v1/audio-analysis/6NOjt6GYMuBGSuLuM2AXuB,10A,0.613,198469.0,0.846,6NOjt6GYMuBGSuLuM2AXuB,0.952,11.0,0.24,-4.699,0.0,0.0399,123.995,4.0,https://api.spotify.com/v1/tracks/6NOjt6GYMuBGSuLuM2AXuB,audio_features,spotify:track:6NOjt6GYMuBGSuLuM2AXuB,0.301
1,Denis The Menace Markus Binapfl   Rachele, Sunshine In My Heart  ,unknown,0.000147,https://api.spotify.com/v1/audio-analysis/4oVgDRjoApGxdxwkwjdteo,3A,0.709,435275.0,0.717,4oVgDRjoApGxdxwkwjdteo,0.849,10.0,0.0506,-7.143,0.0,0.0546,127.993,4.0,https://api.spotify.com/v1/tracks/4oVgDRjoApGxdxwkwjdteo,audio_features,spotify:track:4oVgDRjoApGxdxwkwjdteo,0.42
2,Chicane   Barbarella, How Does Your House Work?  ,ARMADA,0.00551,https://api.spotify.com/v1/audio-analysis/3p6L9Q2EMtRdz340OSR5E7,8B,0.647,193548.0,0.917,3p6L9Q2EMtRdz340OSR5E7,0.561,0.0,0.0716,-4.866,1.0,0.0338,124.005,4.0,https://api.spotify.com/v1/tracks/3p6L9Q2EMtRdz340OSR5E7,audio_features,spotify:track:3p6L9Q2EMtRdz340OSR5E7,0.308
3,Menini Viani   NeNi C., You Don't Love Me ,No No No,6.65e-05,https://api.spotify.com/v1/audio-analysis/1OKBSaPHBkZtkDnjQZrY4G,10B,0.792,352541.0,0.802,1OKBSaPHBkZtkDnjQZrY4G,0.745,2.0,0.0749,-6.363,1.0,0.0729,127.999,4.0,https://api.spotify.com/v1/tracks/1OKBSaPHBkZtkDnjQZrY4G,audio_features,spotify:track:1OKBSaPHBkZtkDnjQZrY4G,0.183
4,Sheppard, Edge Of The Night ,KC Lights Remix,0.0117,https://api.spotify.com/v1/audio-analysis/6AW1ClnrGIZ7zOpwnoVC2i,6A,0.601,221227.0,0.841,6AW1ClnrGIZ7zOpwnoVC2i,0.054,7.0,0.0986,-7.016,0.0,0.0352,123.958,4.0,https://api.spotify.com/v1/tracks/6AW1ClnrGIZ7zOpwnoVC2i,audio_features,spotify:track:6AW1ClnrGIZ7zOpwnoVC2i,0.231
5,Sean Finn   Terri B!! Peter Brown, Free ,Leandro Da Silva Remix,0.00284,https://api.spotify.com/v1/audio-analysis/17QDm5z2r27QoQzhvKrokT,11B,0.791,345600.0,0.947,17QDm5z2r27QoQzhvKrokT,0.0428,9.0,0.832,-3.318,1.0,0.0702,125.003,4.0,https://api.spotify.com/v1/tracks/17QDm5z2r27QoQzhvKrokT,audio_features,spotify:track:17QDm5z2r27QoQzhvKrokT,0.833
6,Viani / Valente, Departure  ,unknown,0.0165,https://api.spotify.com/v1/audio-analysis/6HtLDiP858s8fAx9C7YylC,3B,0.627,273692.0,0.956,6HtLDiP858s8fAx9C7YylC,0.627,1.0,0.0597,-4.645,1.0,0.0759,130.002,4.0,https://api.spotify.com/v1/tracks/6HtLDiP858s8fAx9C7YylC,audio_features,spotify:track:6HtLDiP858s8fAx9C7YylC,0.843
7,Will Sparks Joel Fletcher, Kooka  ,unknown,0.0992,https://api.spotify.com/v1/audio-analysis/3FhsecIWRHVFbvfXyUUe5n,10B,0.834,251077.0,0.921,3FhsecIWRHVFbvfXyUUe5n,0.611,2.0,0.0578,-5.7,1.0,0.107,130.001,4.0,https://api.spotify.com/v1/tracks/3FhsecIWRHVFbvfXyUUe5n,audio_features,spotify:track:3FhsecIWRHVFbvfXyUUe5n,0.195
8,D,wayne & Bobby Rock ,unknown,,,,,,,,,,,,,,,,,,,
9,Softpaw, The Sign  ,unknown,0.129,https://api.spotify.com/v1/audio-analysis/5GLiN6RAZRjpEopD70vxwi,7B,0.665,154815.0,0.848,5GLiN6RAZRjpEopD70vxwi,0.00609,5.0,0.141,-5.037,1.0,0.0342,125.994,4.0,https://api.spotify.com/v1/tracks/5GLiN6RAZRjpEopD70vxwi,audio_features,spotify:track:5GLiN6RAZRjpEopD70vxwi,0.43
10,Popcorn Poppers, Switch  ,unknown,0.00106,https://api.spotify.com/v1/audio-analysis/6RPRiBkr8CXKlhHix9AflR,11A,0.801,337143.0,0.957,6RPRiBkr8CXKlhHix9AflR,0.698,6.0,0.0635,-4.916,0.0,0.154,126.013,4.0,https://api.spotify.com/v1/tracks/6RPRiBkr8CXKlhHix9AflR,audio_features,spotify:track:6RPRiBkr8CXKlhHix9AflR,0.575
11,Wolsh Larry Mendes, All Day  ,FREE,0.0192,https://api.spotify.com/v1/audio-analysis/26DLJg395k9Yp2iyzhK96Q,9A,0.671,106667.0,0.947,26DLJg395k9Yp2iyzhK96Q,0.216,4.0,0.291,-7.765,0.0,0.0667,126.009,4.0,https://api.spotify.com/v1/tracks/26DLJg395k9Yp2iyzhK96Q,audio_features,spotify:track:26DLJg395k9Yp2iyzhK96Q,0.406
12,Steven Roys, NIX  ,unknown,,,,,,,,,,,,,,,,,,,
13,Audiorockers Matt Raiden   Kat Nestel, Need You ,Machac Festival 2017 Anthem,0.517,https://api.spotify.com/v1/audio-analysis/4EHWldZTas5KUyFtT0rQlY,6B,0.457,205667.0,0.451,4EHWldZTas5KUyFtT0rQlY,0.0,10.0,0.0928,-6.997,1.0,0.029,74.923,4.0,https://api.spotify.com/v1/tracks/4EHWldZTas5KUyFtT0rQlY,audio_features,spotify:track:4EHWldZTas5KUyFtT0rQlY,0.185
14,Pessto, Bamo  ,unknown,0.000618,https://api.spotify.com/v1/audio-analysis/1e7hIhvT9Zfu8xTI4GQ9hA,8B,0.685,211875.0,0.942,1e7hIhvT9Zfu8xTI4GQ9hA,0.658,0.0,0.0861,-5.272,1.0,0.0701,128.005,4.0,https://api.spotify.com/v1/tracks/1e7hIhvT9Zfu8xTI4GQ9hA,audio_features,spotify:track:1e7hIhvT9Zfu8xTI4GQ9hA,0.383
15,Matthew Ros, Pogo  ,unknown,,,,,,,,,,,,,,,,,,,
16,Mark Vox WTDJ   Robbie Mirello, V4  ,unknown,0.000863,https://api.spotify.com/v1/audio-analysis/6nabv7haTOfjtvNFMFX3nm,9B,0.434,352811.0,0.98,6nabv7haTOfjtvNFMFX3nm,0.85,7.0,0.301,-4.551,1.0,0.1,128.014,4.0,https://api.spotify.com/v1/tracks/6nabv7haTOfjtvNFMFX3nm,audio_features,spotify:track:6nabv7haTOfjtvNFMFX3nm,0.301
17,Brosste Moor Sander Gravell   Ale Aldana, I'm Not Afraid ,Ramiro Rubio Remix,,,,,,,,,,,,,,,,,,,
18,D.O.D, Unforgettable  ,unknown,0.000414,https://api.spotify.com/v1/audio-analysis/0kj4oDn84nyAqPwKWS95vx,10B,0.653,169762.0,0.93,0kj4oDn84nyAqPwKWS95vx,0.167,2.0,0.211,-4.327,1.0,0.0634,126.014,4.0,https://api.spotify.com/v1/tracks/0kj4oDn84nyAqPwKWS95vx,audio_features,spotify:track:0kj4oDn84nyAqPwKWS95vx,0.232
19,Steve Angello   Paul Meany, Breaking Kind  ,unknown,0.126,https://api.spotify.com/v1/audio-analysis/5Rch1HkVmSrNkxfqku0pg0,9A,0.458,200627.0,0.742,5Rch1HkVmSrNkxfqku0pg0,0.0,4.0,0.232,-5.125,0.0,0.101,94.785,4.0,https://api.spotify.com/v1/tracks/5Rch1HkVmSrNkxfqku0pg0,audio_features,spotify:track:5Rch1HkVmSrNkxfqku0pg0,0.248
20,Aldor, Radiance  ,unknown,0.00524,https://api.spotify.com/v1/audio-analysis/161rMwYPvj5g0t0nipLtvu,3A,0.575,210000.0,0.977,161rMwYPvj5g0t0nipLtvu,0.718,10.0,0.307,-4.365,0.0,0.0397,128.017,4.0,https://api.spotify.com/v1/tracks/161rMwYPvj5g0t0nipLtvu,audio_features,spotify:track:161rMwYPvj5g0t0nipLtvu,0.151
21,JuicyTrax Aldor   Amber Revival, Baby's Got A Secret  ,ARMADA,,,,,,,,,,,,,,,,,,,
22,Fedde Le Grand D.O.D, Love's Gonna Get You  ,Extended Mix,,,,,,,,,,,,,,,,,,,
23,Cash Cash ROZES, Matches ,Holl & Rush Remix,0.0425,https://api.spotify.com/v1/audio-analysis/1p4OF1Erg5Cxbe8eTcbiMH,6B,0.475,286082.0,0.881,1p4OF1Erg5Cxbe8eTcbiMH,3.75e-05,10.0,0.817,-2.552,1.0,0.101,129.626,4.0,https://api.spotify.com/v1/tracks/1p4OF1Erg5Cxbe8eTcbiMH,audio_features,spotify:track:1p4OF1Erg5Cxbe8eTcbiMH,0.321
24,Styline, Ignition  ,FREE,0.000888,https://api.spotify.com/v1/audio-analysis/3A0FlMkeVxP1AFw2phk53o,9B,0.708,342857.0,0.968,3A0FlMkeVxP1AFw2phk53o,0.637,7.0,0.0863,-2.408,1.0,0.0768,125.998,4.0,https://api.spotify.com/v1/tracks/3A0FlMkeVxP1AFw2phk53o,audio_features,spotify:track:3A0FlMkeVxP1AFw2phk53o,0.17
25,Tom Staar Corey James, Bird Flu  ,Extended Mix,0.00108,https://api.spotify.com/v1/audio-analysis/2mRigOP1aGaTgb03ncXDE2,4A,0.597,233500.0,0.983,2mRigOP1aGaTgb03ncXDE2,0.934,5.0,0.378,-3.514,0.0,0.0569,125.989,4.0,https://api.spotify.com/v1/tracks/2mRigOP1aGaTgb03ncXDE2,audio_features,spotify:track:2mRigOP1aGaTgb03ncXDE2,0.477
26,Kronic Far East Movement Savage, Push ,Styline Remix,0.00149,https://api.spotify.com/v1/audio-analysis/7129C3zngUbzMLPuBeSGR8,8B,0.828,295680.0,0.957,7129C3zngUbzMLPuBeSGR8,0.281,0.0,0.117,-4.09,1.0,0.0691,124.994,4.0,https://api.spotify.com/v1/tracks/7129C3zngUbzMLPuBeSGR8,audio_features,spotify:track:7129C3zngUbzMLPuBeSGR8,0.761
27,Rene Rodrigezz, Kangaroo  ,unknown,0.00693,https://api.spotify.com/v1/audio-analysis/3hA5fSGfBEXU9YhrJNuhkQ,11B,0.766,165000.0,0.949,3hA5fSGfBEXU9YhrJNuhkQ,0.19,9.0,0.244,-4.228,1.0,0.131,127.991,4.0,https://api.spotify.com/v1/tracks/3hA5fSGfBEXU9YhrJNuhkQ,audio_features,spotify:track:3hA5fSGfBEXU9YhrJNuhkQ,0.358
