,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Samuele Sartini Andrea Torres, Give Me The Funk  ,unknown,0.00286,https://api.spotify.com/v1/audio-analysis/0rre4ON4pkpifNJWfvwsJO,5A,0.812,261145.0,0.785,0rre4ON4pkpifNJWfvwsJO,0.224,0.0,0.0529,-5.162,0.0,0.328,124.977,4.0,https://api.spotify.com/v1/tracks/0rre4ON4pkpifNJWfvwsJO,audio_features,spotify:track:0rre4ON4pkpifNJWfvwsJO,0.382
1,Soneec Crazibiza   Vince Tomas, Once Again  ,unknown,0.0162,https://api.spotify.com/v1/audio-analysis/23uNRb3dJGH5783VG87ApK,8A,0.68,317419.0,0.939,23uNRb3dJGH5783VG87ApK,0.0773,9.0,0.189,-5.224,0.0,0.0798,123.985,4.0,https://api.spotify.com/v1/tracks/23uNRb3dJGH5783VG87ApK,audio_features,spotify:track:23uNRb3dJGH5783VG87ApK,0.831
2,Nicola Fasano Belair, Take Me Higher  ,unknown,,,,,,,,,,,,,,,,,,,
3,Havoc Lawn   SOVTH, Can't Do That  ,FREE,0.00736,https://api.spotify.com/v1/audio-analysis/4viV9ZnPZADxzPQU8ySun4,1B,0.665,137143.0,0.956,4viV9ZnPZADxzPQU8ySun4,0.0229,11.0,0.3,-8.456,1.0,0.149,126.007,4.0,https://api.spotify.com/v1/tracks/4viV9ZnPZADxzPQU8ySun4,audio_features,spotify:track:4viV9ZnPZADxzPQU8ySun4,0.49
4,Roisto, Come On  ,unknown,0.016,https://api.spotify.com/v1/audio-analysis/6hVmci2ABCIKIHg9rTlhSY,9B,0.772,180692.0,0.837,6hVmci2ABCIKIHg9rTlhSY,0.565,7.0,0.174,-6.872,1.0,0.357,124.948,4.0,https://api.spotify.com/v1/tracks/6hVmci2ABCIKIHg9rTlhSY,audio_features,spotify:track:6hVmci2ABCIKIHg9rTlhSY,0.491
5,Sak Noel, OMG  ,unknown,0.00315,https://api.spotify.com/v1/audio-analysis/5XDe4Kiow59YoGfhgphJfo,11A,0.815,192000.0,0.952,5XDe4Kiow59YoGfhgphJfo,0.82,6.0,0.231,-2.94,0.0,0.114,105.003,4.0,https://api.spotify.com/v1/tracks/5XDe4Kiow59YoGfhgphJfo,audio_features,spotify:track:5XDe4Kiow59YoGfhgphJfo,0.422
6,Jude Frank   Toto La Momposina, La Luna ,Electrick Village Remix,0.183,https://api.spotify.com/v1/audio-analysis/7318F2uWkQeL2LFVhNte3O,2B,0.762,184378.0,0.979,7318F2uWkQeL2LFVhNte3O,0.00249,6.0,0.292,-2.559,1.0,0.179,127.023,4.0,https://api.spotify.com/v1/tracks/7318F2uWkQeL2LFVhNte3O,audio_features,spotify:track:7318F2uWkQeL2LFVhNte3O,0.666
7,Twicemark, Clock And Roll  ,unknown,0.357,https://api.spotify.com/v1/audio-analysis/0vPYTsuoWt4SsBm952vE4I,6B,0.593,155404.0,0.98,0vPYTsuoWt4SsBm952vE4I,0.775,10.0,0.546,-5.386,1.0,0.0524,125.004,4.0,https://api.spotify.com/v1/tracks/0vPYTsuoWt4SsBm952vE4I,audio_features,spotify:track:0vPYTsuoWt4SsBm952vE4I,0.98
8,Zheno, Te Guamo  ,unknown,0.000209,https://api.spotify.com/v1/audio-analysis/09F3AEI5CycU2wfZOC52DU,9B,0.723,246910.0,0.922,09F3AEI5CycU2wfZOC52DU,0.873,7.0,0.373,-3.795,1.0,0.0542,128.028,4.0,https://api.spotify.com/v1/tracks/09F3AEI5CycU2wfZOC52DU,audio_features,spotify:track:09F3AEI5CycU2wfZOC52DU,0.197
9,Martin Garrix Brooks   Hook N Sling, Byte By Night ,Arensky Mashup,,,,,,,,,,,,,,,,,,,
10,Hook N Sling   Karin Park, Tokyo By Night  ,unknown,0.00412,https://api.spotify.com/v1/audio-analysis/0M7GrPMggBcwkSzXLh604Q,6A,0.663,333812.0,0.93,0M7GrPMggBcwkSzXLh604Q,0.000966,7.0,0.0852,-4.695,0.0,0.085,127.981,4.0,https://api.spotify.com/v1/tracks/0M7GrPMggBcwkSzXLh604Q,audio_features,spotify:track:0M7GrPMggBcwkSzXLh604Q,0.393
11,Martin Garrix Brooks, Byte  ,unknown,0.000636,https://api.spotify.com/v1/audio-analysis/20hsdn8oITBsuWNLhzr5eh,6A,0.597,285089.0,0.931,20hsdn8oITBsuWNLhzr5eh,0.821,7.0,0.0593,-4.026,0.0,0.0329,128.031,4.0,https://api.spotify.com/v1/tracks/20hsdn8oITBsuWNLhzr5eh,audio_features,spotify:track:20hsdn8oITBsuWNLhzr5eh,0.267
12,Con Daly   Ariana Grande, Touch It Rift ,Mirco Akuma Mashup,,,,,,,,,,,,,,,,,,,
13,Con Daly, Rift  ,FREE,0.0072,https://api.spotify.com/v1/audio-analysis/0LCeqTsCHMGzRDWtCJieqX,6A,0.674,352575.0,0.55,0LCeqTsCHMGzRDWtCJieqX,0.0356,7.0,0.0658,-7.184,0.0,0.0622,127.998,4.0,https://api.spotify.com/v1/tracks/0LCeqTsCHMGzRDWtCJieqX,audio_features,spotify:track:0LCeqTsCHMGzRDWtCJieqX,0.159
14,Ariana Grande, Touch It  ,unknown,0.0305,https://api.spotify.com/v1/audio-analysis/7MGRcJy1saXKiphwqJBnRb,6A,0.536,260000.0,0.694,7MGRcJy1saXKiphwqJBnRb,0.0,7.0,0.183,-4.369,0.0,0.0331,100.899,4.0,https://api.spotify.com/v1/tracks/7MGRcJy1saXKiphwqJBnRb,audio_features,spotify:track:7MGRcJy1saXKiphwqJBnRb,0.293
15,Aitor MV, Let's Fly  ,unknown,,,,,,,,,,,,,,,,,,,
16,"Divolly Markward, Party Killers Drop Department", Take Me Now  ,unknown,0.483,https://api.spotify.com/v1/audio-analysis/3Ki8V24sXCvfINHpP0tU36,3B,0.665,210207.0,0.42,3Ki8V24sXCvfINHpP0tU36,0.0,1.0,0.125,-12.186,1.0,0.0294,115.96,4.0,https://api.spotify.com/v1/tracks/3Ki8V24sXCvfINHpP0tU36,audio_features,spotify:track:3Ki8V24sXCvfINHpP0tU36,0.225
17,Nocturnal Zen, Hydrogen  ,unknown,,,,,,,,,,,,,,,,,,,
18,Sebjak WILL K, Kumasi  ,ARMADA,0.0278,https://api.spotify.com/v1/audio-analysis/161FTTd4oRgaihqxvPLOid,10B,0.753,182421.0,0.754,161FTTd4oRgaihqxvPLOid,0.707,2.0,0.656,-5.751,1.0,0.106,126.007,4.0,https://api.spotify.com/v1/tracks/161FTTd4oRgaihqxvPLOid,audio_features,spotify:track:161FTTd4oRgaihqxvPLOid,0.518
19,Vigel, Children  ,unknown,0.00114,https://api.spotify.com/v1/audio-analysis/1uIMgmJE1OeqimQhLr8Mwi,9A,0.57,313513.0,0.913,1uIMgmJE1OeqimQhLr8Mwi,0.907,4.0,0.168,-4.478,0.0,0.0523,129.979,4.0,https://api.spotify.com/v1/tracks/1uIMgmJE1OeqimQhLr8Mwi,audio_features,spotify:track:1uIMgmJE1OeqimQhLr8Mwi,0.283
20,Misha K, Smilin' ,Vil Remode,0.00466,https://api.spotify.com/v1/audio-analysis/5SVYBXFVL48MxNBe5gbkMc,4B,0.525,179048.0,0.905,5SVYBXFVL48MxNBe5gbkMc,0.104,8.0,0.587,-5.403,1.0,0.0358,126.021,4.0,https://api.spotify.com/v1/tracks/5SVYBXFVL48MxNBe5gbkMc,audio_features,spotify:track:5SVYBXFVL48MxNBe5gbkMc,0.292
21,Danen, Tell Me Why  ,unknown,,,,,,,,,,,,,,,,,,,
22,Bryce Derpan, Kainen  ,unknown,,,,,,,,,,,,,,,,,,,
