,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,MarllDexx, House You  ,unknown,0.00381,https://api.spotify.com/v1/audio-analysis/020nED2Cb8RDSYVGCm9yjP,9B,0.717,262865.0,0.917,020nED2Cb8RDSYVGCm9yjP,0.871,7.0,0.0915,-2.973,1.0,0.04,126.003,4.0,https://api.spotify.com/v1/tracks/020nED2Cb8RDSYVGCm9yjP,audio_features,spotify:track:020nED2Cb8RDSYVGCm9yjP,0.566
1,The Cube Guys   Ben Onono, Work It To The Bone ,Simon de Jano & Madwill Remix,0.00732,https://api.spotify.com/v1/audio-analysis/204pJi06MpDQhs6WjqI0fG,9B,0.617,281966.0,0.795,204pJi06MpDQhs6WjqI0fG,0.536,7.0,0.112,-7.222,1.0,0.0531,126.022,4.0,https://api.spotify.com/v1/tracks/204pJi06MpDQhs6WjqI0fG,audio_features,spotify:track:204pJi06MpDQhs6WjqI0fG,0.271
2,Jegers, Gimme Your Love Now ,Stub Remix,0.00364,https://api.spotify.com/v1/audio-analysis/0TxPTtO8SPsoPuqnOiYFbo,8B,0.686,336455.0,0.75,0TxPTtO8SPsoPuqnOiYFbo,0.0649,0.0,0.445,-7.251,1.0,0.0429,127.989,4.0,https://api.spotify.com/v1/tracks/0TxPTtO8SPsoPuqnOiYFbo,audio_features,spotify:track:0TxPTtO8SPsoPuqnOiYFbo,0.207
3,Rayven Valexx   Davol, Geyser  ,ARMADA,0.0177,https://api.spotify.com/v1/audio-analysis/5hIBUv6sE1kNdVn7FJi6QV,9B,0.44,163762.0,0.956,5hIBUv6sE1kNdVn7FJi6QV,0.929,7.0,0.206,-9.438,1.0,0.058,127.989,4.0,https://api.spotify.com/v1/tracks/5hIBUv6sE1kNdVn7FJi6QV,audio_features,spotify:track:5hIBUv6sE1kNdVn7FJi6QV,0.132
4,MEG \ NERAK, Rocking ,Ido Keshet & Anderva 'Bring' Edit,0.00779,https://api.spotify.com/v1/audio-analysis/5qJeBKwHjrcPKaQl6CJaqO,2B,0.707,291548.0,0.943,5qJeBKwHjrcPKaQl6CJaqO,0.843,6.0,0.0949,-3.65,1.0,0.0526,126.0,4.0,https://api.spotify.com/v1/tracks/5qJeBKwHjrcPKaQl6CJaqO,audio_features,spotify:track:5qJeBKwHjrcPKaQl6CJaqO,0.509
5,Waysons   Charlie Ray Nathan Brumley, Homeland  ,unknown,0.0397,https://api.spotify.com/v1/audio-analysis/59aGR5MXFCE3PLzI9zoQEL,5A,0.636,367500.0,0.918,59aGR5MXFCE3PLzI9zoQEL,0.0254,0.0,0.0752,-4.343,0.0,0.0738,127.993,4.0,https://api.spotify.com/v1/tracks/59aGR5MXFCE3PLzI9zoQEL,audio_features,spotify:track:59aGR5MXFCE3PLzI9zoQEL,0.486
6,Funkagenda   Sultan Ned Shepard   C,mos ,Aixen & Berto Mashup,,,,,,,,,,,,,,,,,,,
7,Jonathan Pitch, Bring Back The Groove  ,unknown,0.00064,https://api.spotify.com/v1/audio-analysis/2gGArdyle4o3Zs2H9JEfmB,2B,0.642,371250.0,0.996,2gGArdyle4o3Zs2H9JEfmB,0.904,6.0,0.0486,-2.506,1.0,0.0952,127.993,4.0,https://api.spotify.com/v1/tracks/2gGArdyle4o3Zs2H9JEfmB,audio_features,spotify:track:2gGArdyle4o3Zs2H9JEfmB,0.573
8,Def Rock, I Like It Like That  ,unknown,0.0018,https://api.spotify.com/v1/audio-analysis/6LhG1ExLGEn2pLzosajwxN,10B,0.743,177133.0,0.929,6LhG1ExLGEn2pLzosajwxN,0.748,2.0,0.0743,-5.709,1.0,0.0674,126.045,4.0,https://api.spotify.com/v1/tracks/6LhG1ExLGEn2pLzosajwxN,audio_features,spotify:track:6LhG1ExLGEn2pLzosajwxN,0.797
9,Evangelos, VNGLS  ,MIXMASH,0.000618,https://api.spotify.com/v1/audio-analysis/6t2RFLJtYQcyjegKAvgVpS,2B,0.644,187500.0,0.984,6t2RFLJtYQcyjegKAvgVpS,0.86,6.0,0.355,-3.115,1.0,0.0543,127.917,4.0,https://api.spotify.com/v1/tracks/6t2RFLJtYQcyjegKAvgVpS,audio_features,spotify:track:6t2RFLJtYQcyjegKAvgVpS,0.163
10,Ephwurd, High On You  ,unknown,0.000841,https://api.spotify.com/v1/audio-analysis/1DRG0SSPpYEbOLZH3PMnTF,3B,0.781,215693.0,0.962,1DRG0SSPpYEbOLZH3PMnTF,0.000477,1.0,0.0618,-2.812,1.0,0.104,127.991,4.0,https://api.spotify.com/v1/tracks/1DRG0SSPpYEbOLZH3PMnTF,audio_features,spotify:track:1DRG0SSPpYEbOLZH3PMnTF,0.489
11,Scotty Boy Cuzzins, Gimme Dat ,Plastik Funk Remix,0.335,https://api.spotify.com/v1/audio-analysis/0ZmX08BC5qYqVYBW3u5hfa,9B,0.786,195440.0,0.699,0ZmX08BC5qYqVYBW3u5hfa,0.0,7.0,0.0909,-8.177,1.0,0.136,83.995,4.0,https://api.spotify.com/v1/tracks/0ZmX08BC5qYqVYBW3u5hfa,audio_features,spotify:track:0ZmX08BC5qYqVYBW3u5hfa,0.967
12,Fast N Loud Lumian, Division  ,unknown,0.109,https://api.spotify.com/v1/audio-analysis/6I8rj7QKYlGTHi0aYVMINz,9B,0.902,390508.0,0.793,6I8rj7QKYlGTHi0aYVMINz,0.949,7.0,0.111,-8.821,1.0,0.0655,118.019,4.0,https://api.spotify.com/v1/tracks/6I8rj7QKYlGTHi0aYVMINz,audio_features,spotify:track:6I8rj7QKYlGTHi0aYVMINz,0.165
13,Thomas Gold   Bright Lights, Believe ,Vincent Arena & From Another World Remix,0.0256,https://api.spotify.com/v1/audio-analysis/2OHm2DXoXyzbpdUPjvU52p,2B,0.514,208125.0,0.841,2OHm2DXoXyzbpdUPjvU52p,4.18e-05,6.0,0.109,-4.537,1.0,0.0475,127.972,4.0,https://api.spotify.com/v1/tracks/2OHm2DXoXyzbpdUPjvU52p,audio_features,spotify:track:2OHm2DXoXyzbpdUPjvU52p,0.442
14,Lost Kings, Loveless  ,unknown,0.263,https://api.spotify.com/v1/audio-analysis/1Eb7hYuukqBarR8Nbnuis6,9B,0.586,207992.0,0.826,1Eb7hYuukqBarR8Nbnuis6,0.0,7.0,0.157,-3.813,1.0,0.0643,125.033,4.0,https://api.spotify.com/v1/tracks/1Eb7hYuukqBarR8Nbnuis6,audio_features,spotify:track:1Eb7hYuukqBarR8Nbnuis6,0.53
15,The Chainsmokers, New York City  ,SONY,0.0127,https://api.spotify.com/v1/audio-analysis/4v1CvZazmdpxQLEt3sCeKH,9A,0.564,230667.0,0.639,4v1CvZazmdpxQLEt3sCeKH,0.0,4.0,0.133,-6.828,0.0,0.038,126.062,4.0,https://api.spotify.com/v1/tracks/4v1CvZazmdpxQLEt3sCeKH,audio_features,spotify:track:4v1CvZazmdpxQLEt3sCeKH,0.0624
16,WILL K, Banzai ,Freddy Sanchez Intro Edit,0.045,https://api.spotify.com/v1/audio-analysis/6uHrBsAOhZ3Wy38RleEefE,11A,0.593,185880.0,0.939,6uHrBsAOhZ3Wy38RleEefE,0.898,6.0,0.139,-7.395,0.0,0.145,128.042,4.0,https://api.spotify.com/v1/tracks/6uHrBsAOhZ3Wy38RleEefE,audio_features,spotify:track:6uHrBsAOhZ3Wy38RleEefE,0.135
17,Matt Nash Felix Leiter, Heartbeats  ,FREE,0.000294,https://api.spotify.com/v1/audio-analysis/2sF19vdMpRS0kwbh9eZ6bo,8B,0.651,276062.0,0.98,2sF19vdMpRS0kwbh9eZ6bo,0.381,0.0,0.292,-4.484,1.0,0.0622,126.968,4.0,https://api.spotify.com/v1/tracks/2sF19vdMpRS0kwbh9eZ6bo,audio_features,spotify:track:2sF19vdMpRS0kwbh9eZ6bo,0.568
18,Tom Staar Ansolo, Apocalypse ,Mehdi Dressy Remix,0.326,https://api.spotify.com/v1/audio-analysis/1d1YGnyrbD1Mv9uabR8riy,10A,0.526,276000.0,0.408,1d1YGnyrbD1Mv9uabR8riy,0.0538,11.0,0.0979,-10.811,0.0,0.0702,171.019,4.0,https://api.spotify.com/v1/tracks/1d1YGnyrbD1Mv9uabR8riy,audio_features,spotify:track:1d1YGnyrbD1Mv9uabR8riy,0.123
19,Shapov Amersy, Vavilon ,Anzjøn Reboot,0.0227,https://api.spotify.com/v1/audio-analysis/2zWr1UXYeNtT5v3HXwZYHo,9B,0.56,337500.0,0.99,2zWr1UXYeNtT5v3HXwZYHo,0.895,7.0,0.21,-1.81,1.0,0.0483,128.003,4.0,https://api.spotify.com/v1/tracks/2zWr1UXYeNtT5v3HXwZYHo,audio_features,spotify:track:2zWr1UXYeNtT5v3HXwZYHo,0.476
