,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Block Crown Pete Rose, Hypnotised  ,unknown,0.0111,https://api.spotify.com/v1/audio-analysis/4eJDx2eoYAWJxEQPvcOb9s,4A,0.859,322439.0,0.81,4eJDx2eoYAWJxEQPvcOb9s,0.00934,5.0,0.339,-2.89,0.0,0.152,122.985,4.0,https://api.spotify.com/v1/tracks/4eJDx2eoYAWJxEQPvcOb9s,audio_features,spotify:track:4eJDx2eoYAWJxEQPvcOb9s,0.408
1,Fiorez, Give Me The Drum  ,unknown,0.00037,https://api.spotify.com/v1/audio-analysis/6yB08i3blM7fcv8aGKRn0A,8B,0.729,152599.0,0.972,6yB08i3blM7fcv8aGKRn0A,0.794,0.0,0.2,-4.661,1.0,0.0487,126.016,4.0,https://api.spotify.com/v1/tracks/6yB08i3blM7fcv8aGKRn0A,audio_features,spotify:track:6yB08i3blM7fcv8aGKRn0A,0.379
2,Styline, Avocado  ,unknown,0.0077,https://api.spotify.com/v1/audio-analysis/1nHteYk3ayyn04Rr4PAnFG,9B,0.682,188160.0,0.957,1nHteYk3ayyn04Rr4PAnFG,0.406,7.0,0.155,-4.605,1.0,0.0853,125.01,4.0,https://api.spotify.com/v1/tracks/1nHteYk3ayyn04Rr4PAnFG,audio_features,spotify:track:1nHteYk3ayyn04Rr4PAnFG,0.331
3,Stainless, Losing Your Mind  ,unknown,0.0121,https://api.spotify.com/v1/audio-analysis/7rqma1yA8kpmSNv77I0lZH,10A,0.871,319888.0,0.676,7rqma1yA8kpmSNv77I0lZH,0.193,11.0,0.0619,-5.686,0.0,0.0861,124.013,4.0,https://api.spotify.com/v1/tracks/7rqma1yA8kpmSNv77I0lZH,audio_features,spotify:track:7rqma1yA8kpmSNv77I0lZH,0.464
4,Alfredo De Nicola   Amanda Wilson, Too Late To Cry ,Nari & Milani Remix,0.00722,https://api.spotify.com/v1/audio-analysis/1StW1rFVVGDcwWzAXBskR4,11B,0.757,266667.0,0.897,1StW1rFVVGDcwWzAXBskR4,0.126,9.0,0.305,-6.283,1.0,0.0415,126.014,4.0,https://api.spotify.com/v1/tracks/1StW1rFVVGDcwWzAXBskR4,audio_features,spotify:track:1StW1rFVVGDcwWzAXBskR4,0.512
5,Lee Carter From Another World, Kamino  ,FREE,0.0185,https://api.spotify.com/v1/audio-analysis/7vNjTSfMBjMxTSdWSuOWyY,3A,0.711,277081.0,0.84,7vNjTSfMBjMxTSdWSuOWyY,0.938,10.0,0.0852,-7.667,0.0,0.0526,127.998,4.0,https://api.spotify.com/v1/tracks/7vNjTSfMBjMxTSdWSuOWyY,audio_features,spotify:track:7vNjTSfMBjMxTSdWSuOWyY,0.118
6,Drop Department Killmod3, Hablando  ,FREE,,,,,,,,,,,,,,,,,,,
7,Sunstars, Ghetto Funk  ,unknown,0.00458,https://api.spotify.com/v1/audio-analysis/5j6JMYtsEeeFOnUxfd7I47,3B,0.679,153071.0,0.941,5j6JMYtsEeeFOnUxfd7I47,0.625,1.0,0.269,-3.46,1.0,0.111,127.027,4.0,https://api.spotify.com/v1/tracks/5j6JMYtsEeeFOnUxfd7I47,audio_features,spotify:track:5j6JMYtsEeeFOnUxfd7I47,0.594
8,Dunsterz, Rambla  ,unknown,0.00169,https://api.spotify.com/v1/audio-analysis/4UXrLTevu8aNrwWDjgcU94,10A,0.687,262560.0,0.946,4UXrLTevu8aNrwWDjgcU94,0.607,11.0,0.146,-4.505,0.0,0.0629,127.965,4.0,https://api.spotify.com/v1/tracks/4UXrLTevu8aNrwWDjgcU94,audio_features,spotify:track:4UXrLTevu8aNrwWDjgcU94,0.835
9,Dirty South   Rudy, Let It Go ,Francisco Lozano Remix,0.0519,https://api.spotify.com/v1/audio-analysis/3EJiQEaia9uyq96d7ABUX0,11A,0.8,424560.0,0.744,3EJiQEaia9uyq96d7ABUX0,0.812,6.0,0.252,-7.753,0.0,0.0891,126.99,4.0,https://api.spotify.com/v1/tracks/3EJiQEaia9uyq96d7ABUX0,audio_features,spotify:track:3EJiQEaia9uyq96d7ABUX0,0.367
10,Mirko Boni, Masai  ,unknown,9.72e-05,https://api.spotify.com/v1/audio-analysis/3IulB8bhoaBQaGFiM4vtwy,9B,0.729,392381.0,0.959,3IulB8bhoaBQaGFiM4vtwy,0.833,7.0,0.149,-3.069,1.0,0.0616,125.999,4.0,https://api.spotify.com/v1/tracks/3IulB8bhoaBQaGFiM4vtwy,audio_features,spotify:track:3IulB8bhoaBQaGFiM4vtwy,0.355
11,Major Lazer   Anitta Pabllo Vittar, Sua Cara ,Danen Bootleg,0.00812,https://api.spotify.com/v1/audio-analysis/3XfsA0zVsrPkVkaDDEr73B,8A,0.789,167311.0,0.767,3XfsA0zVsrPkVkaDDEr73B,0.000348,9.0,0.101,-4.612,0.0,0.0715,99.957,4.0,https://api.spotify.com/v1/tracks/3XfsA0zVsrPkVkaDDEr73B,audio_features,spotify:track:3XfsA0zVsrPkVkaDDEr73B,0.637
12,Avicii   Sandro Cavazza, Without You ,Aventry Remix,0.0018,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,10B,0.653,181673.0,0.863,6Pgkp4qUoTmJIPn7ReaGxL,0.0,2.0,0.0406,-4.799,1.0,0.0457,134.004,4.0,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,audio_features,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,0.276
13,Envyro   Steve Angello Day Reynolds   Marcio Lama, Someone Else's Fuego Labyrinth ,3l3ctronic & B-Rather Mashup,,,,,,,,,,,,,,,,,,,
14,Steve Angello   Dan Reynolds, Someone Else  ,unknown,0.0431,https://api.spotify.com/v1/audio-analysis/3MaQaERbMB7LFtSzPFYQSp,7A,0.541,303627.0,0.539,3MaQaERbMB7LFtSzPFYQSp,0.0,2.0,0.0716,-4.556,0.0,0.0533,129.917,4.0,https://api.spotify.com/v1/tracks/3MaQaERbMB7LFtSzPFYQSp,audio_features,spotify:track:3MaQaERbMB7LFtSzPFYQSp,0.138
15,Marcio Lama, Fuego  ,unknown,0.00026,https://api.spotify.com/v1/audio-analysis/5yPGyfB0RyDG2KwNY4rpo7,3B,0.602,258900.0,0.947,5yPGyfB0RyDG2KwNY4rpo7,0.942,1.0,0.028,-4.016,1.0,0.049,128.009,4.0,https://api.spotify.com/v1/tracks/5yPGyfB0RyDG2KwNY4rpo7,audio_features,spotify:track:5yPGyfB0RyDG2KwNY4rpo7,0.136
16,Envyro, Labyrinth  ,unknown,0.000139,https://api.spotify.com/v1/audio-analysis/2HT9izXhwkNbcycyUu8Elu,10B,0.574,176843.0,0.992,2HT9izXhwkNbcycyUu8Elu,0.939,2.0,0.787,-5.328,1.0,0.174,127.997,4.0,https://api.spotify.com/v1/tracks/2HT9izXhwkNbcycyUu8Elu,audio_features,spotify:track:2HT9izXhwkNbcycyUu8Elu,0.188
17,Rymor   Lux, Misery  ,unknown,0.00426,https://api.spotify.com/v1/audio-analysis/651Lmz2uk1DOjm8udnKcHc,2A,0.54,293608.0,0.887,651Lmz2uk1DOjm8udnKcHc,0.0,3.0,0.376,-4.603,0.0,0.0704,128.06,4.0,https://api.spotify.com/v1/tracks/651Lmz2uk1DOjm8udnKcHc,audio_features,spotify:track:651Lmz2uk1DOjm8udnKcHc,0.532
18,Nocturnal Zen, Justice Matters  ,unknown,,,,,,,,,,,,,,,,,,,
19,SaberZ NoTech, Blassoma  ,unknown,0.059,https://api.spotify.com/v1/audio-analysis/2cVlN4NvmWn2UM1z0moNMI,8B,0.69,136895.0,0.95,2cVlN4NvmWn2UM1z0moNMI,0.00025,0.0,0.229,-4.416,1.0,0.101,128.002,4.0,https://api.spotify.com/v1/tracks/2cVlN4NvmWn2UM1z0moNMI,audio_features,spotify:track:2cVlN4NvmWn2UM1z0moNMI,0.368
20,Rayven Valexx, Old School ,Dannic Edit,0.00124,https://api.spotify.com/v1/audio-analysis/4CytOqf19bwnLscn6JEAvh,3B,0.546,165937.0,0.995,4CytOqf19bwnLscn6JEAvh,0.269,1.0,0.191,-2.459,1.0,0.0773,127.963,4.0,https://api.spotify.com/v1/tracks/4CytOqf19bwnLscn6JEAvh,audio_features,spotify:track:4CytOqf19bwnLscn6JEAvh,0.262
21,Martin Garrix, Pizza  ,unknown,0.000408,https://api.spotify.com/v1/audio-analysis/5oAgI7Pzg6vxuKrfapg3Pi,7B,0.381,255103.0,0.712,5oAgI7Pzg6vxuKrfapg3Pi,0.589,5.0,0.183,-6.9,1.0,0.0355,127.967,4.0,https://api.spotify.com/v1/tracks/5oAgI7Pzg6vxuKrfapg3Pi,audio_features,spotify:track:5oAgI7Pzg6vxuKrfapg3Pi,0.0378
22,Radiology FTKS   Thomas Daniel, Helium ,Vil Remix,0.00298,https://api.spotify.com/v1/audio-analysis/3tjrawPateZAjkp75esjAq,7B,0.569,258770.0,0.791,3tjrawPateZAjkp75esjAq,0.0415,5.0,0.101,-4.828,1.0,0.0439,127.956,4.0,https://api.spotify.com/v1/tracks/3tjrawPateZAjkp75esjAq,audio_features,spotify:track:3tjrawPateZAjkp75esjAq,0.351
23,Audien   3LAU   Victoria Zaro, Hot Water ,3LAU DNB Remix,0.00815,https://api.spotify.com/v1/audio-analysis/1f1rIAbu2ni1PxOPOBBu4g,4A,0.551,207645.0,0.903,1f1rIAbu2ni1PxOPOBBu4g,0.00202,5.0,0.13,-2.64,0.0,0.0588,172.095,4.0,https://api.spotify.com/v1/tracks/1f1rIAbu2ni1PxOPOBBu4g,audio_features,spotify:track:1f1rIAbu2ni1PxOPOBBu4g,0.228
24,KSHMR Maurice West, Festival Of Lights  ,SPINNIN',0.123,https://api.spotify.com/v1/audio-analysis/4Ganul9T2XttkBRYZeZD8w,7A,0.56,195000.0,0.947,4Ganul9T2XttkBRYZeZD8w,0.0467,2.0,0.327,-3.098,0.0,0.131,128.011,4.0,https://api.spotify.com/v1/tracks/4Ganul9T2XttkBRYZeZD8w,audio_features,spotify:track:4Ganul9T2XttkBRYZeZD8w,0.238
25,Rudy Zensky   Lozt Found, Sway  ,unknown,0.0028,https://api.spotify.com/v1/audio-analysis/65JcUjtyxf9YO2hHXVDe10,11A,0.624,292120.0,0.916,65JcUjtyxf9YO2hHXVDe10,0.158,6.0,0.0836,-4.03,0.0,0.0363,127.991,4.0,https://api.spotify.com/v1/tracks/65JcUjtyxf9YO2hHXVDe10,audio_features,spotify:track:65JcUjtyxf9YO2hHXVDe10,0.45
26,Dirty Palm, Dancin  ,unknown,0.00498,https://api.spotify.com/v1/audio-analysis/0KID15PQ6WtvP6ADHstcve,1A,0.766,221209.0,0.945,0KID15PQ6WtvP6ADHstcve,0.063,8.0,0.0928,-3.48,0.0,0.102,128.004,4.0,https://api.spotify.com/v1/tracks/0KID15PQ6WtvP6ADHstcve,audio_features,spotify:track:0KID15PQ6WtvP6ADHstcve,0.536
27,Timmy Trumpet Krunk!, Al Pacino  ,unknown,0.0129,https://api.spotify.com/v1/audio-analysis/5ykdEvOIec7UjP2N4Vcuyv,2B,0.817,221579.0,0.921,5ykdEvOIec7UjP2N4Vcuyv,0.58,6.0,0.0641,-5.022,1.0,0.168,132.015,4.0,https://api.spotify.com/v1/tracks/5ykdEvOIec7UjP2N4Vcuyv,audio_features,spotify:track:5ykdEvOIec7UjP2N4Vcuyv,0.617
