,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Weiss, Feel My Needs  ,unknown,0.00916,https://api.spotify.com/v1/audio-analysis/05Gqos5iV5LkjGcxmBV9C8,2A,0.695,181000.0,0.848,05Gqos5iV5LkjGcxmBV9C8,0.109,3.0,0.12,-6.068,0.0,0.0506,122.028,4.0,https://api.spotify.com/v1/tracks/05Gqos5iV5LkjGcxmBV9C8,audio_features,spotify:track:05Gqos5iV5LkjGcxmBV9C8,0.797
1,Vidojean Oliver Loenn, The Citadel Guard  ,unknown,0.0024,https://api.spotify.com/v1/audio-analysis/3fwDgDnE9wJJKX5xlf3L1v,11A,0.736,333674.0,0.937,3fwDgDnE9wJJKX5xlf3L1v,0.469,6.0,0.652,-5.445,0.0,0.0723,123.037,4.0,https://api.spotify.com/v1/tracks/3fwDgDnE9wJJKX5xlf3L1v,audio_features,spotify:track:3fwDgDnE9wJJKX5xlf3L1v,0.227
2,Marc Vedo DJ RAE, Make Me Better  ,Club Mix,0.00792,https://api.spotify.com/v1/audio-analysis/4axVD8W7gazj5L0PhczdWM,10A,0.808,372750.0,0.895,4axVD8W7gazj5L0PhczdWM,0.0361,11.0,0.0725,-6.783,0.0,0.102,124.002,4.0,https://api.spotify.com/v1/tracks/4axVD8W7gazj5L0PhczdWM,audio_features,spotify:track:4axVD8W7gazj5L0PhczdWM,0.41
3,Matt Caseli David Jimenez   Groove Junkies Alexander Polinsky, Losing My Mind  ,unknown,0.000543,https://api.spotify.com/v1/audio-analysis/28RXRyrSmFtV0OiV3QmiIT,12A,0.61,163200.0,0.955,28RXRyrSmFtV0OiV3QmiIT,0.723,1.0,0.0996,-6.864,0.0,0.0383,125.023,4.0,https://api.spotify.com/v1/tracks/28RXRyrSmFtV0OiV3QmiIT,audio_features,spotify:track:28RXRyrSmFtV0OiV3QmiIT,0.782
4,Dallerium, Need U  ,FUTURE HOUSE MUSIC,0.273,https://api.spotify.com/v1/audio-analysis/7eTEk7f4QwagocdQ2kKYVW,1A,0.718,196721.0,0.909,7eTEk7f4QwagocdQ2kKYVW,0.927,8.0,0.302,-3.934,0.0,0.0443,121.952,4.0,https://api.spotify.com/v1/tracks/7eTEk7f4QwagocdQ2kKYVW,audio_features,spotify:track:7eTEk7f4QwagocdQ2kKYVW,0.161
5,Innersphere aka Shinedoe, Phunk ,Mr. Sid & Kiro Prime Remix,5.67e-05,https://api.spotify.com/v1/audio-analysis/5Wyb1h02inuO25v8hxuiUZ,1B,0.536,469974.0,0.954,5Wyb1h02inuO25v8hxuiUZ,0.93,11.0,0.111,-5.299,1.0,0.0572,134.093,4.0,https://api.spotify.com/v1/tracks/5Wyb1h02inuO25v8hxuiUZ,audio_features,spotify:track:5Wyb1h02inuO25v8hxuiUZ,0.374
6,John Dahlbäck, Blink ,PRCHT Remix,0.105,https://api.spotify.com/v1/audio-analysis/1L6ZjM6aj7pGGjgHVSdSPd,10B,0.552,189375.0,0.905,1L6ZjM6aj7pGGjgHVSdSPd,0.00226,2.0,0.338,-2.985,1.0,0.0497,128.007,4.0,https://api.spotify.com/v1/tracks/1L6ZjM6aj7pGGjgHVSdSPd,audio_features,spotify:track:1L6ZjM6aj7pGGjgHVSdSPd,0.0741
7,Felicity, Mantis  ,unknown,0.00974,https://api.spotify.com/v1/audio-analysis/48ypvT5M1bmlMlqbDPCk3t,1A,0.684,276494.0,0.748,48ypvT5M1bmlMlqbDPCk3t,0.763,8.0,0.105,-9.154,0.0,0.0438,124.996,4.0,https://api.spotify.com/v1/tracks/48ypvT5M1bmlMlqbDPCk3t,audio_features,spotify:track:48ypvT5M1bmlMlqbDPCk3t,0.738
8,Mikael Weermets   Faye, Big Life ,Adrien Mezsi & Noizy Mark Remix,0.00103,https://api.spotify.com/v1/audio-analysis/7xzZBY7wd9fKRiXussw459,11A,0.722,251960.0,0.889,7xzZBY7wd9fKRiXussw459,0.402,6.0,0.102,-5.355,0.0,0.079,127.996,4.0,https://api.spotify.com/v1/tracks/7xzZBY7wd9fKRiXussw459,audio_features,spotify:track:7xzZBY7wd9fKRiXussw459,0.47
9,Fabv   Thomas Gold Deniz Koyu, Never Alone Dreamer ,B-Rather & Tyo ,,,,,,,,,,,,,,,,,,,
