,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ATFC, I Feel The Earth Move  ,unknown,0.00563,https://api.spotify.com/v1/audio-analysis/6ggBsnmojOdKcbESrCnxUz,6A,0.768,409801.0,0.982,6ggBsnmojOdKcbESrCnxUz,0.305,7.0,0.312,-7.024,0.0,0.0428,122.996,4.0,https://api.spotify.com/v1/tracks/6ggBsnmojOdKcbESrCnxUz,audio_features,spotify:track:6ggBsnmojOdKcbESrCnxUz,0.574
1,Silvio Carrano, Beat Rockin  ,unknown,0.000232,https://api.spotify.com/v1/audio-analysis/0dRp4sLF1K5XoeGRT3BvBU,9B,0.599,167705.0,0.906,0dRp4sLF1K5XoeGRT3BvBU,0.105,7.0,0.175,-4.703,1.0,0.0703,122.001,4.0,https://api.spotify.com/v1/tracks/0dRp4sLF1K5XoeGRT3BvBU,audio_features,spotify:track:0dRp4sLF1K5XoeGRT3BvBU,0.576
2,The Cube Guys, Sax Delivery  ,FREE,0.0031,https://api.spotify.com/v1/audio-analysis/7dn2nUCZyK1HxdoNE9lZZS,2A,0.689,316074.0,0.994,7dn2nUCZyK1HxdoNE9lZZS,0.847,3.0,0.292,-3.573,0.0,0.0584,126.018,4.0,https://api.spotify.com/v1/tracks/7dn2nUCZyK1HxdoNE9lZZS,audio_features,spotify:track:7dn2nUCZyK1HxdoNE9lZZS,0.835
3,Matt Caseli David Jimenez   Groove Junkies Alexander Polinsky, Losing My Mind  ,unknown,0.000543,https://api.spotify.com/v1/audio-analysis/28RXRyrSmFtV0OiV3QmiIT,12A,0.61,163200.0,0.955,28RXRyrSmFtV0OiV3QmiIT,0.723,1.0,0.0996,-6.864,0.0,0.0383,125.023,4.0,https://api.spotify.com/v1/tracks/28RXRyrSmFtV0OiV3QmiIT,audio_features,spotify:track:28RXRyrSmFtV0OiV3QmiIT,0.782
4,Simon Fava Dual Beat, TagoMago ,Tom Wax Remix,0.00017,https://api.spotify.com/v1/audio-analysis/1tuz8hdqL24ggJematFx7u,3A,0.738,284160.0,0.856,1tuz8hdqL24ggJematFx7u,0.826,10.0,0.234,-3.87,0.0,0.0409,124.987,4.0,https://api.spotify.com/v1/tracks/1tuz8hdqL24ggJematFx7u,audio_features,spotify:track:1tuz8hdqL24ggJematFx7u,0.236
5,Skitzofrenix Helsloot, Clap Ya Hands  ,unknown,0.000555,https://api.spotify.com/v1/audio-analysis/1q2jR63Zp22TeOgDpdPrir,9A,0.782,249677.0,0.906,1q2jR63Zp22TeOgDpdPrir,0.49,4.0,0.0653,-8.318,0.0,0.0627,124.006,4.0,https://api.spotify.com/v1/tracks/1q2jR63Zp22TeOgDpdPrir,audio_features,spotify:track:1q2jR63Zp22TeOgDpdPrir,0.682
6,Leandro Da Silva, Yemanjá ,Jude & Frank Remix,0.000301,https://api.spotify.com/v1/audio-analysis/4VI2QqXlWZCisiz5o6f7qD,3A,0.583,266667.0,0.875,4VI2QqXlWZCisiz5o6f7qD,0.0187,10.0,0.0794,-5.389,0.0,0.0606,125.993,4.0,https://api.spotify.com/v1/tracks/4VI2QqXlWZCisiz5o6f7qD,audio_features,spotify:track:4VI2QqXlWZCisiz5o6f7qD,0.541
7,USAI, Get Enough ,WYNE Remix,0.00824,https://api.spotify.com/v1/audio-analysis/1BeoLCrz5QlvWg1PrANN2Z,11B,0.687,210020.0,0.912,1BeoLCrz5QlvWg1PrANN2Z,0.00126,9.0,0.0921,-3.715,1.0,0.136,128.0,4.0,https://api.spotify.com/v1/tracks/1BeoLCrz5QlvWg1PrANN2Z,audio_features,spotify:track:1BeoLCrz5QlvWg1PrANN2Z,0.4
8,Nocturnal Zen, Hope  ,unknown,0.884,https://api.spotify.com/v1/audio-analysis/3NwxzybWfnBKfZo04muzrT,5B,0.149,227200.0,0.0417,3NwxzybWfnBKfZo04muzrT,0.971,3.0,0.103,-28.485,1.0,0.0374,76.186,3.0,https://api.spotify.com/v1/tracks/3NwxzybWfnBKfZo04muzrT,audio_features,spotify:track:3NwxzybWfnBKfZo04muzrT,0.0392
9,Swedish House Mafia   Tinie Tempah, Miami 2 Ibiza ,Kanu & Delli Paoli Edit,0.00237,https://api.spotify.com/v1/audio-analysis/5ZFVacinyPxz19eK2vTodL,6A,0.736,206461.0,0.929,5ZFVacinyPxz19eK2vTodL,1.11e-05,7.0,0.402,-5.89,0.0,0.0674,125.03,4.0,https://api.spotify.com/v1/tracks/5ZFVacinyPxz19eK2vTodL,audio_features,spotify:track:5ZFVacinyPxz19eK2vTodL,0.658
10,KAAZE, Cast Away 2018  ,Extended Mix,0.00456,https://api.spotify.com/v1/audio-analysis/5HWuXUx7gkWRQCiwVe41Cj,11A,0.649,243750.0,0.773,5HWuXUx7gkWRQCiwVe41Cj,0.104,6.0,0.0342,-4.229,0.0,0.0362,127.975,4.0,https://api.spotify.com/v1/tracks/5HWuXUx7gkWRQCiwVe41Cj,audio_features,spotify:track:5HWuXUx7gkWRQCiwVe41Cj,0.25
11,Dada Life, Do It Till Your Face Hurts  ,Extended Mix,0.00936,https://api.spotify.com/v1/audio-analysis/6t5WJ7J4JBFmIUvpiSGUl8,6A,0.594,202500.0,0.755,6t5WJ7J4JBFmIUvpiSGUl8,0.246,7.0,0.1,-6.347,0.0,0.0525,128.046,4.0,https://api.spotify.com/v1/tracks/6t5WJ7J4JBFmIUvpiSGUl8,audio_features,spotify:track:6t5WJ7J4JBFmIUvpiSGUl8,0.0377
12,Dr. Shiver   Jmi Sissoko, Brave Love ,Guiigs Remix,0.0087,https://api.spotify.com/v1/audio-analysis/5r1LE6NeWIwJVEwlIoSqL3,6A,0.534,247031.0,0.609,5r1LE6NeWIwJVEwlIoSqL3,0.0,7.0,0.456,-8.143,0.0,0.0619,128.055,4.0,https://api.spotify.com/v1/tracks/5r1LE6NeWIwJVEwlIoSqL3,audio_features,spotify:track:5r1LE6NeWIwJVEwlIoSqL3,0.128
