,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Benji Of Sweden Linda Axelsson, Fall In Love  ,WORMLAND MUSIC,0.423,https://api.spotify.com/v1/audio-analysis/2zhJf5HSExDXULWvVVjEkz,8B,0.729,208987.0,0.561,2zhJf5HSExDXULWvVVjEkz,0.0312,0.0,0.106,-10.083,1.0,0.0492,144.993,4.0,https://api.spotify.com/v1/tracks/2zhJf5HSExDXULWvVVjEkz,audio_features,spotify:track:2zhJf5HSExDXULWvVVjEkz,0.85
1,Danny Howard, Don't Wanna Stop  ,unknown,,,,,,,,,,,,,,,,,,,
2,Jerry Ropero Denis The Menace   Jaqueline, Coraçao ,Vee Brondi Remix,0.00195,https://api.spotify.com/v1/audio-analysis/5dvye5whbUyPZS3X9jIMxB,11A,0.693,421417.0,0.909,5dvye5whbUyPZS3X9jIMxB,0.141,6.0,0.0626,-5.918,0.0,0.0512,127.997,4.0,https://api.spotify.com/v1/tracks/5dvye5whbUyPZS3X9jIMxB,audio_features,spotify:track:5dvye5whbUyPZS3X9jIMxB,0.895
3,Ashley Izco Lucy Clarke, Groove On  ,unknown,0.0124,https://api.spotify.com/v1/audio-analysis/3TsWExknQzMgHlNI1JmahL,4A,0.67,316207.0,0.813,3TsWExknQzMgHlNI1JmahL,0.0996,5.0,0.07,-6.74,0.0,0.04,126.001,4.0,https://api.spotify.com/v1/tracks/3TsWExknQzMgHlNI1JmahL,audio_features,spotify:track:3TsWExknQzMgHlNI1JmahL,0.419
4,Jay Hardway, Somnia  ,unknown,0.000419,https://api.spotify.com/v1/audio-analysis/5pmpN7RtQBBBqxramwHcPB,5A,0.554,168000.0,0.822,5pmpN7RtQBBBqxramwHcPB,0.74,0.0,0.114,-5.922,0.0,0.0545,119.988,4.0,https://api.spotify.com/v1/tracks/5pmpN7RtQBBBqxramwHcPB,audio_features,spotify:track:5pmpN7RtQBBBqxramwHcPB,0.214
5,Jack Note, Revolt  ,BE YOURSELF,0.625,https://api.spotify.com/v1/audio-analysis/1Df7OfQu5MzaQ3FpkgB9Id,9B,0.433,245039.0,0.622,1Df7OfQu5MzaQ3FpkgB9Id,0.853,7.0,0.246,-8.607,1.0,0.0315,104.948,4.0,https://api.spotify.com/v1/tracks/1Df7OfQu5MzaQ3FpkgB9Id,audio_features,spotify:track:1Df7OfQu5MzaQ3FpkgB9Id,0.705
6,Mikael Weermets Sodeep, Arms Open Wide ,Lee Carter & Gvn Remix,0.00424,https://api.spotify.com/v1/audio-analysis/45dddWFyBmM37ny3TAYRx3,4A,0.634,296279.0,0.984,45dddWFyBmM37ny3TAYRx3,0.861,5.0,0.26,-4.764,0.0,0.0711,127.99,4.0,https://api.spotify.com/v1/tracks/45dddWFyBmM37ny3TAYRx3,audio_features,spotify:track:45dddWFyBmM37ny3TAYRx3,0.537
7,Luca Testa Paki Jaro, Keep It Up  ,SPINNIN',0.0276,https://api.spotify.com/v1/audio-analysis/6JfxACJJ6KUl1tatUD7dLU,8A,0.85,156630.0,0.916,6JfxACJJ6KUl1tatUD7dLU,0.841,9.0,0.109,-3.039,0.0,0.202,128.005,4.0,https://api.spotify.com/v1/tracks/6JfxACJJ6KUl1tatUD7dLU,audio_features,spotify:track:6JfxACJJ6KUl1tatUD7dLU,0.522
8,Reebs   Nomi, Never Go Home ,Dirty Ducks Remix,0.00727,https://api.spotify.com/v1/audio-analysis/1dW0Uo8qsFzlnoLpMeaAfy,9B,0.642,253163.0,0.916,1dW0Uo8qsFzlnoLpMeaAfy,5.33e-05,7.0,0.0188,-3.539,1.0,0.176,128.062,4.0,https://api.spotify.com/v1/tracks/1dW0Uo8qsFzlnoLpMeaAfy,audio_features,spotify:track:1dW0Uo8qsFzlnoLpMeaAfy,0.488
9,Elephante   Lyon Hart, Shake The Earth  ,unknown,0.00189,https://api.spotify.com/v1/audio-analysis/2K8GDPS3x753bWwBnQsV6S,12A,0.512,271875.0,0.628,2K8GDPS3x753bWwBnQsV6S,8.07e-05,1.0,0.0937,-4.302,0.0,0.0359,127.965,4.0,https://api.spotify.com/v1/tracks/2K8GDPS3x753bWwBnQsV6S,audio_features,spotify:track:2K8GDPS3x753bWwBnQsV6S,0.3
10,Dirty South   Rudy, Just Dream ,Wrathul Edit,0.00459,https://api.spotify.com/v1/audio-analysis/7cakSyQJf4SAjyqdSUO9p1,4A,0.467,260952.0,0.928,7cakSyQJf4SAjyqdSUO9p1,0.0352,5.0,0.224,-6.629,0.0,0.0626,126.029,4.0,https://api.spotify.com/v1/tracks/7cakSyQJf4SAjyqdSUO9p1,audio_features,spotify:track:7cakSyQJf4SAjyqdSUO9p1,0.106
11,Funkerman, Speed Up ,Steff Da Campo & Arys Refix,0.114,https://api.spotify.com/v1/audio-analysis/1UqYgMJegke08Hl7J8Dnhm,4A,0.656,246721.0,0.89,1UqYgMJegke08Hl7J8Dnhm,0.00286,5.0,0.334,-5.811,0.0,0.0684,123.043,4.0,https://api.spotify.com/v1/tracks/1UqYgMJegke08Hl7J8Dnhm,audio_features,spotify:track:1UqYgMJegke08Hl7J8Dnhm,0.747
12,Juze X AURORA, I Went Too Far  ,unknown,0.0437,https://api.spotify.com/v1/audio-analysis/1DtyyKcLBsBoHkbyXd6wzL,6A,0.676,237070.0,0.762,1DtyyKcLBsBoHkbyXd6wzL,0.00827,7.0,0.122,-6.453,0.0,0.0363,120.042,4.0,https://api.spotify.com/v1/tracks/1DtyyKcLBsBoHkbyXd6wzL,audio_features,spotify:track:1DtyyKcLBsBoHkbyXd6wzL,0.389
13,Justin Timberlake, Can't Stop The Feeling ,Tannergaard Remix,,,,,,,,,,,,,,,,,,,
14,Ariana Grande, Into You ,Pontus Green Remix,0.0162,https://api.spotify.com/v1/audio-analysis/2meEiZKWkiN28gITzFwQo5,11B,0.623,244453.0,0.734,2meEiZKWkiN28gITzFwQo5,1.9e-06,9.0,0.145,-5.95,1.0,0.107,107.853,4.0,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,audio_features,spotify:track:2meEiZKWkiN28gITzFwQo5,0.372
15,Rain Man   OLY, Bring Back The Summer ,Warren & KOS Remix,0.0215,https://api.spotify.com/v1/audio-analysis/1cg9BfCNuU7I5vwpEriWQS,10A,0.693,220421.0,0.85,1cg9BfCNuU7I5vwpEriWQS,0.00266,11.0,0.192,-3.436,0.0,0.0405,98.09,4.0,https://api.spotify.com/v1/tracks/1cg9BfCNuU7I5vwpEriWQS,audio_features,spotify:track:1cg9BfCNuU7I5vwpEriWQS,0.237
16,Zedef Treeko, Duro ,Havoc & Lawn Remix,0.00147,https://api.spotify.com/v1/audio-analysis/0SXnomNTT8KKMvRfQqL5ni,12A,0.792,178790.0,0.837,0SXnomNTT8KKMvRfQqL5ni,0.039,1.0,0.269,-3.764,0.0,0.0842,100.01,4.0,https://api.spotify.com/v1/tracks/0SXnomNTT8KKMvRfQqL5ni,audio_features,spotify:track:0SXnomNTT8KKMvRfQqL5ni,0.417
17,Taabz, Stridency  ,unknown,0.00071,https://api.spotify.com/v1/audio-analysis/3799rIQ3VlmhBvsfczAmpg,10A,0.627,287425.0,0.885,3799rIQ3VlmhBvsfczAmpg,0.927,11.0,0.777,-3.951,0.0,0.0391,128.009,4.0,https://api.spotify.com/v1/tracks/3799rIQ3VlmhBvsfczAmpg,audio_features,spotify:track:3799rIQ3VlmhBvsfczAmpg,0.319
18,SICK INDIVIDUALS   Holl Rush, Helix  ,ARMADA,0.00256,https://api.spotify.com/v1/audio-analysis/0N9MGqzOyGu9f0lo6s5Xz8,3A,0.474,209297.0,0.982,0N9MGqzOyGu9f0lo6s5Xz8,0.35,10.0,0.401,-3.821,0.0,0.0529,127.582,4.0,https://api.spotify.com/v1/tracks/0N9MGqzOyGu9f0lo6s5Xz8,audio_features,spotify:track:0N9MGqzOyGu9f0lo6s5Xz8,0.221
19,Timmo Hendriks Lindequist, Odyssey  ,unknown,,,,,,,,,,,,,,,,,,,
20,Ilan Bluestone Grum, SOS  ,unknown,0.000378,https://api.spotify.com/v1/audio-analysis/57mN1JMP7E87JGXuE1wFLi,11A,0.653,241882.0,0.867,57mN1JMP7E87JGXuE1wFLi,0.711,6.0,0.049,-6.388,0.0,0.0472,128.007,4.0,https://api.spotify.com/v1/tracks/57mN1JMP7E87JGXuE1wFLi,audio_features,spotify:track:57mN1JMP7E87JGXuE1wFLi,0.346
21,arthurB   System30, Darkness Rising  ,unknown,0.026,https://api.spotify.com/v1/audio-analysis/387QvEJ61fhxwreBxyn1cl,4A,0.649,188813.0,0.779,387QvEJ61fhxwreBxyn1cl,0.892,5.0,0.0896,-7.764,0.0,0.0407,102.004,4.0,https://api.spotify.com/v1/tracks/387QvEJ61fhxwreBxyn1cl,audio_features,spotify:track:387QvEJ61fhxwreBxyn1cl,0.0397
22,Ministers De La Funk   Jocelyn Brown, Believe ,Vocal Mix,0.0122,https://api.spotify.com/v1/audio-analysis/7EURNOp2xE3d4cafQx7BOr,10A,0.839,511790.0,0.746,7EURNOp2xE3d4cafQx7BOr,0.00402,11.0,0.268,-9.843,0.0,0.0679,127.154,4.0,https://api.spotify.com/v1/tracks/7EURNOp2xE3d4cafQx7BOr,audio_features,spotify:track:7EURNOp2xE3d4cafQx7BOr,0.848
23,DJ DLG, Your Eyes  ,unknown,0.0217,https://api.spotify.com/v1/audio-analysis/4Ybfc6khKPpnk6IsOhu6T8,4B,0.655,286200.0,0.889,4Ybfc6khKPpnk6IsOhu6T8,0.00578,8.0,0.213,-6.793,1.0,0.0318,140.006,4.0,https://api.spotify.com/v1/tracks/4Ybfc6khKPpnk6IsOhu6T8,audio_features,spotify:track:4Ybfc6khKPpnk6IsOhu6T8,0.0549
24,Mark Knight, Yebisah  ,unknown,0.0024,https://api.spotify.com/v1/audio-analysis/5MYzarVq7dyU7G8z8NQKF2,10B,0.54,201290.0,0.933,5MYzarVq7dyU7G8z8NQKF2,0.954,2.0,0.371,-6.784,1.0,0.0364,123.988,4.0,https://api.spotify.com/v1/tracks/5MYzarVq7dyU7G8z8NQKF2,audio_features,spotify:track:5MYzarVq7dyU7G8z8NQKF2,0.238
